id,username,created_at,lang,favorite_count,retweet_count,text
1389999383429713920,vineetkumar_s,2021-05-05 17:44:12,en,0,195,RT @rach_aha: #NCR #ICUBed Urgent Pediatric ICU bed required for 2 month baby Chitransh Pandey in a govt hospital/ private hospital in Delh…
1389994997328584705,vineetkumar_s,2021-05-05 17:26:46,en,0,107,"RT @roshanabbas: Sant Nirankari Covid Center -New Contact Person: Rahul Mogha - 9625565752

Beds are available with oxygen concentrators an…"
1389968670705790979,vineetkumar_s,2021-05-05 15:42:10,en,0,869,"RT @varungrover: Alert: 4 ICU beds with Oxygen available in Green City Hospital, #Patna. 

You can call at 8709253652 to confirm before you…"
1389950962790404097,vineetkumar_s,2021-05-05 14:31:48,und,2,0,@faneebhushan @PranavMatraaPPS @iManishSharma_ @yogitabhayana @iAmritapandey_ @Isudhanshu_in @NitishKumar… https://t.co/nIwke9fWcP
1389946690421936128,vineetkumar_s,2021-05-05 14:14:49,en,3,0,@mynameyash @iamsrk @VenkyMysore @_GauravVerma @khyatimadaan @RedChilliesEnt @vfx_redchillies @KKRiders @BilalS158… https://t.co/TteJSmtlDH
1389942624375689217,vineetkumar_s,2021-05-05 13:58:40,hi,2,0,@mynameyash @iamsrk @VenkyMysore @_GauravVerma @khyatimadaan @RedChilliesEnt @vfx_redchillies @KKRiders @BilalS158… https://t.co/1qqSsENrUN
1389940647495442432,vineetkumar_s,2021-05-05 13:50:48,in,4,1,@_GauravVerma @srinivasiyc @tehseenp Dekhta hun
1389938064680697859,vineetkumar_s,2021-05-05 13:40:33,en,0,0,@PranavMatraaPPS @iManishSharma_ @yogitabhayana @iAmritapandey_ @Isudhanshu_in @NitishKumar @mangalpandeybjp @TheAdityaKumar Drop a message
1389937980371001348,vineetkumar_s,2021-05-05 13:40:12,hi,0,604,"RT @iManishSharma_: मेरी माँ को पुरा परिवार बर्बादी के कगार हैंभाई कोई तो मदद करो वेंटिलेटर दिलवा दो 🙏 
अभी बिहटा esi में हूँ 
Oxn lev 35…"
1389918953972113409,vineetkumar_s,2021-05-05 12:24:36,en,8,2,@iManishSharma_ @yogitabhayana @iAmritapandey_ @Isudhanshu_in @NitishKumar @mangalpandeybjp @TheAdityaKumar… https://t.co/0wpkceLTZt
1389889410414653440,vineetkumar_s,2021-05-05 10:27:12,hi,2,0,@_PatnaBeats @manojkjhadu @BajpayeeManoj @iamnarendranath @_MohitChauhan @RubikaLiyaquat @IAmSudhirMishra… https://t.co/xKhyf4RHoD
1389865755639009283,vineetkumar_s,2021-05-05 08:53:13,und,1,0,@manojmridul @shikhar99647565 @iShashiShekhar
1389864874839351308,vineetkumar_s,2021-05-05 08:49:43,en,0,0,@_PatnaBeats @manojkjhadu @BajpayeeManoj @iamnarendranath @_MohitChauhan @RubikaLiyaquat @IAmSudhirMishra @rajshekharis Okay
1389860273217998851,vineetkumar_s,2021-05-05 08:31:26,en,0,97,"RT @Mithileshdhar: गोरखपुर में तत्काल #Remedisivir इंजेक्शन की जरूरत है-

Vineet Singh , age - 37 is hospitalized in Divyaman hospital at G…"
1389849715135500288,vineetkumar_s,2021-05-05 07:49:28,en,0,0,"@PreetiC41385631 @drharshvardhan @DrHVoffice Share the details in this format 

Patient Name:
Age:
Place:
Oxygen Le… https://t.co/bVqJxzvo2y"
1389848040094113793,vineetkumar_s,2021-05-05 07:42:49,en,2,0,@YuganshChokra Check DM
1389847763609808899,vineetkumar_s,2021-05-05 07:41:43,en,2,0,@YuganshChokra Open your DM
1389843489341464578,vineetkumar_s,2021-05-05 07:24:44,und,1,0,@YuganshChokra ??
1389841966968487938,vineetkumar_s,2021-05-05 07:18:41,und,1,0,@TheAdityaKumar @ggiittiikkaa @PreetiC41385631 @PranavMatraaPPS 👍
1389841758398427137,vineetkumar_s,2021-05-05 07:17:51,en,1,0,"@YuganshChokra Send me the details in this format 

Patient Name:
Age:
Place:
Oxygen Level:
Requirement: 
Attendant name:
Contact No:"
1389833707884740610,vineetkumar_s,2021-05-05 06:45:52,und,4,0,@irfaniyat @dmvaranasi2016 @manojmridul @varanasi_covid @iShashiShekhar 🙏
1389828055577808896,vineetkumar_s,2021-05-05 06:23:24,und,0,51,"RT @irfaniyat: Varanasi Pls Help. @dmvaranasi2016

1. मरीज- Nand Ji Singh
2. उम्र -55, M
3.ऑक्सीजन–73 with oxygen
4.सीटी Unavailable 
5.Add…"
1389827580153454592,vineetkumar_s,2021-05-05 06:21:31,en,3,0,@RahulPandeyrstv Okay
1389827532866965507,vineetkumar_s,2021-05-05 06:21:20,en,7,2,"@irfaniyat @dmvaranasi2016 @manojmridul @varanasi_covid @iShashiShekhar 
please look into this. 

#OxygenBed #Ventilator 
#Varanasi"
1389821181495218178,vineetkumar_s,2021-05-05 05:56:05,en,1,0,@ggiittiikkaa @PreetiC41385631 @TheAdityaKumar @PranavMatraaPPS please look into this
1389813279858495489,vineetkumar_s,2021-05-05 05:24:42,en,0,27,"RT @gvicks: This is for my sis law - any donor cured before April 1st pls help 
Name: Vinita Gupta; Patient Age:50; Gender: Female
O2 level…"
1389793943362146304,vineetkumar_s,2021-05-05 04:07:51,und,2,0,@ArunabhKumar @toonfactory @sumitdrew @mshahnawaz 🙏
1389791567007862786,vineetkumar_s,2021-05-05 03:58:25,en,0,0,@harshsharmaRLD @RajivLather Open your DM @harshsharmaRLD
1389669366401224714,vineetkumar_s,2021-05-04 19:52:50,hi,46,24,@utkarshrajput81 ye dekho. Patient kai ghante se emergency ward mein hai ICU ki ummeed mein. Aashwasan mila hai lek… https://t.co/cUM8IKwBQA
1389667565241356295,vineetkumar_s,2021-05-04 19:45:40,en,14,0,"@ArunabhKumar @COVResourcesIn @join2manish @toonfactory @sumitdrew Doctor se baat ho gayi hai.
All well @ArunabhKumar"
1389645804990783488,vineetkumar_s,2021-05-04 18:19:12,en,0,357,"RT @nidhiindiatv: #SOSDelhi - IBS Hospital in #LajpatNagar is running out of oxygen. According to the hospital, it will be able to manage o…"
1389640837831839750,vineetkumar_s,2021-05-04 17:59:28,en,2,0,@manojmridul @patRohit please look into this
1389622778328870915,vineetkumar_s,2021-05-04 16:47:42,ne,0,0,@nikkhiladvani ॐ शान्ति 🙏
1389591673508974602,vineetkumar_s,2021-05-04 14:44:06,en,0,109,"RT @ArunabhKumar: Any leads on a 25-50 Litre Oxygen Cylinder in Saharanpur area, 

Patient Name- Mohd. Faisal 
SPo2- 80-85, 
In another hos…"
1389589671789965322,vineetkumar_s,2021-05-04 14:36:09,en,0,1596,RT @ManMundra: Getting 1200 oxygen concentrators home to India. Have been a tough exercise. Pls pray that they now reach India asap. #letsd…
1389582818284613636,vineetkumar_s,2021-05-04 14:08:55,en,703,557,"हे दिल्ली!
मदद 

Need ICU bed in Delhi. Please help..Kal se pareshan hain ye log

Patient: Raj Kumar Gupta 
Age: 59… https://t.co/vLhjFnC5Pe"
1389580214708183040,vineetkumar_s,2021-05-04 13:58:34,en,2,0,@saurabh55684882 @taapsee @anubhavsinha @vinodkapri @saurabhtop @sosiyc @TeamSOSIndia @Ankitasaxena03 please look i… https://t.co/LdHWegSnOd
1389579077783281668,vineetkumar_s,2021-05-04 13:54:03,tl,0,0,"@shikhar99647565 @manojmridul @shikhar99647565 Requirement batao? 

@Ankitasaxena03"
1389578116260110336,vineetkumar_s,2021-05-04 13:50:14,hi,10,0,@taapsee @gulshandevaiah @iamnm @bindaasudit dekho ye
1389576646722793475,vineetkumar_s,2021-05-04 13:44:24,en,21,2,@taapsee @gulshandevaiah @iamnm please look into this
1389575541246865413,vineetkumar_s,2021-05-04 13:40:00,hi,38,8,"जितना हो सके करते चलो।
🙏 https://t.co/EpIp6HQVYj"
1389574428875448320,vineetkumar_s,2021-05-04 13:35:35,en,1,0,@PranavMatraaPPS @scribe_prashant @yadavtejashwi @sanjuydv @TheAdityaKumar Okay
1389548021613006851,vineetkumar_s,2021-05-04 11:50:39,und,0,0,@CodeNamePrakhar @arunimaranjan @nidhitripathi92 🙏
1389547795741356032,vineetkumar_s,2021-05-04 11:49:45,en,1,0,"@iamnm @manojmridul @setwickk @AnupamkPandey  
Please look into this 

#OxygenBed #Lucknow"
1389546905869377539,vineetkumar_s,2021-05-04 11:46:13,en,0,0,@iamnm DMed u
1389541934549684231,vineetkumar_s,2021-05-04 11:26:28,en,1,0,@bhavnakv1 @sushant_says DMed you.
1389518804108124166,vineetkumar_s,2021-05-04 09:54:33,und,1,0,@varanasi_covid @ashu14312 @manojmridul @iShashiShekhar 👍
1389513698511839235,vineetkumar_s,2021-05-04 09:34:16,und,7,0,@tahira_k 😇
1389509886308933632,vineetkumar_s,2021-05-04 09:19:07,en,2,0,@ashu14312 @manojmridul @varanasi_covid @iShashiShekhar please look into this
1389509299492294657,vineetkumar_s,2021-05-04 09:16:47,en,0,48,"RT @ashu14312: #myogiadityanath
Sir my grand mother is covid positive in varanasi but BHU doctor not taking admit to her she want urjent ox…"
1389479374416719873,vineetkumar_s,2021-05-04 07:17:52,en,5,0,"@chinukofficial @awwwnchal @richaanirudh @bhumipednekar @SonuSood 9454417537 DM Gonda. 
WhatsApp him the details n requirement"
1389469473065799680,vineetkumar_s,2021-05-04 06:38:32,en,0,482,"RT @THNewDelhi: Just In | Triton Hospital in Delhi, which has about 10 babies in the NICU, said at 9:30 am that they only have one backup o…"
1389467358738198528,vineetkumar_s,2021-05-04 06:30:08,ne,23,0,@PiaBajpai ॐ शान्ति 🙏
1389448853284347904,vineetkumar_s,2021-05-04 05:16:35,en,0,66,"RT @i_m_shan09: Hello to all of you, it's an emergency 
My friend's father needs ventilator bed in Patna in AAIMS patna or IGIMS patna ,his…"
1389445118235611137,vineetkumar_s,2021-05-04 05:01:45,en,0,2782,RT @pfizer: Today we have announced we are mobilizing the largest humanitarian relief effort in our company’s history to help the people of…
1389442980201734144,vineetkumar_s,2021-05-04 04:53:15,en,0,343,"RT @scribe_prashant: URGENT: Need a ventilator bed for my colleague’s father in Patna. 

Patient Name :- Govind Tripathi

Age :- 72 year's…"
1389442872760410115,vineetkumar_s,2021-05-04 04:52:50,en,3,4,"@scribe_prashant @yadavtejashwi @sanjuydv Bhai @TheAdityaKumar @PranavMatraaPPS 
Same requirement. 

Please follow… https://t.co/apDSCv6TME"
1389442223381520386,vineetkumar_s,2021-05-04 04:50:15,und,4,0,@manojmridul @Bollywoodirect @srinivasiyc @iamnarendranath @NakuulMehta @FarOutAkhtar @TheJohnAbraham @anubhavsinha… https://t.co/nWJD8CfaUp
1389442049309511685,vineetkumar_s,2021-05-04 04:49:33,en,2,0,@PranavMatraaPPS @AsimAli6 @varungrover @NitishKumar @yadavtejashwi @TheAdityaKumar Follow this case Pranav
1389441847139860484,vineetkumar_s,2021-05-04 04:48:45,en,4,0,@manojmridul @Bollywoodirect @srinivasiyc @iamnarendranath @NakuulMehta @FarOutAkhtar @TheJohnAbraham @anubhavsinha… https://t.co/gFki9EU56M
1389441180748767242,vineetkumar_s,2021-05-04 04:46:06,en,0,345,"RT @SudhaRamenIFS: A lesson to you, dear Humans!!! 

Ps - Let's appreciate the training given to this dog. Credits n d video. https://t.co/…"
1389440789353091077,vineetkumar_s,2021-05-04 04:44:33,en,0,4173,"RT @srijitspeaketh: CPM party office torched. Red Volunteers working tirelessly as Covid warriors, attacked. BJP workers assaulted, moleste…"
1389440416303353856,vineetkumar_s,2021-05-04 04:43:04,hi,1,0,"@AsimAli6 @varungrover @NitishKumar @yadavtejashwi @TheAdityaKumar @PranavMatraaPPS Dekho ye bhai 

#Urgent 
#Patna #Ventilator"
1389440178045919233,vineetkumar_s,2021-05-04 04:42:07,en,0,144,"RT @AsimAli6: #SOSPatna 

Urgently need ventilator for friend's dad in critical condition. He is admitted in Medizone Hospital, Kankerbagh-…"
1389434458282074115,vineetkumar_s,2021-05-04 04:19:23,en,10,1,@Bollywoodirect @srinivasiyc @iamnarendranath @NakuulMehta @FarOutAkhtar @TheJohnAbraham @anubhavsinha @soniiannup… https://t.co/PB5BndcrqS
1389403704344907780,vineetkumar_s,2021-05-04 02:17:11,en,0,2942,RT @AssertiveTeen: Are you buying an oxygen concentrator for someone with COVID? There's lots of misinformation and it's hard to weed out t…
1389397178142138369,vineetkumar_s,2021-05-04 01:51:15,en,7,0,"Got the medical help but....

Deleting this tweet. 

ॐ शान्ति 🙏"
1389279926654803977,vineetkumar_s,2021-05-03 18:05:20,en,1,0,@rkxiss @GautamGambhir @chinukofficial please look into this
1389277472768806916,vineetkumar_s,2021-05-03 17:55:35,en,0,184,"RT @VishalDadlani: ICU Bed in Delhi URGENTLY needed. 

O² at 53. Please help.

Requirement : ICU bed
Patient Name : Mrs. Nimma Bakshi
 Numb…"
1389276435454496768,vineetkumar_s,2021-05-03 17:51:28,hi,202,17,सहमत हूँ ✊🏽 https://t.co/QuVSjQy9wo
1389256185136787462,vineetkumar_s,2021-05-03 16:31:00,en,3,0,@Spoof911 @VaibhavMall @dnt_gkp @myogiadityanath @manojmridul @Ankitasaxena03 @setwickk please look into this
1389243422725263368,vineetkumar_s,2021-05-03 15:40:17,en,0,28,"RT @Surothwale: Patient Name: Shushila
Age: 55
Place: bagpat  , UP.
O2 Level: 62-65
Requirement: ventilator 
Attendant: Rajnish
Contact No:…"
1389235906415058952,vineetkumar_s,2021-05-03 15:10:25,hi,1,0,@PranavMatraaPPS @TheAdityaKumar आदेश नहीं आग्रह 🙏
1389235448862715906,vineetkumar_s,2021-05-03 15:08:36,hi,0,234,"RT @ErMukeshCivil: #Verified
स्तिथि नाज़ुक है, इनके पति लखनाऊ में लेखराज मार्केट में काम करते हैं।
पूँजी भी ख़त्म है।
धन से , आक्सीजन से ,…"
1389231111293870086,vineetkumar_s,2021-05-03 14:51:22,hi,2,1,"@Apoorvanand__ @utkarshrajput81 भाई ये देखो 

#Delhi 
#OxygenCylinder #URGENT"
1389229762493698048,vineetkumar_s,2021-05-03 14:46:00,und,0,0,@minimathur @PBnrg 🙏🙏
