id,username,created_at,lang,favorite_count,retweet_count,text
1390153725696626688,warikoo,2021-05-06 03:57:30,en,0,416,"RT @parrysingh: The three things courageous leaders say:
1.  I’m sorry, I messed up. 
2.  Here’s the plan, we’ll work on this together. 
3.…"
1390152744057532419,warikoo,2021-05-06 03:53:36,en,22,0,"@rajeshlalwani I am so sorry for your loss Rajesh. 
Praying for strength and hope for you and your family during th… https://t.co/QQFVVUamSI"
1390151759666970629,warikoo,2021-05-06 03:49:41,en,0,22,"RT @AnkurWarikooBot: There are people who never tell you that you are wrong
There are people who tell you that you are wrong
There are peop…"
1390151481760698370,warikoo,2021-05-06 03:48:35,en,303,5,"@kunalb11 Freedom is a privilege. 

But if you crave freedom, you are forever a slave!"
1390151008387428352,warikoo,2021-05-06 03:46:42,und,18,0,@ishikaajaain https://t.co/ytFYYFHZ54
1389987857771601920,warikoo,2021-05-05 16:58:24,en,80,1,"People on Twitter will always believe they will be that 1% in the 4th option. 

Same poll on an alternate platform… https://t.co/4FJ2mcMncV"
1389920315594088449,warikoo,2021-05-05 12:30:01,en,18,0,"@ash6av What you will feel when you help someone in a way you were never helped 
Sorry :))) couldn't resist. 

Fulf… https://t.co/9SCNZxfg8k"
1389919201544921103,warikoo,2021-05-05 12:25:35,en,2295,267,The most fulfilling thing you will do in your life is to help someone in a way you were never helped.
1389889179752931331,warikoo,2021-05-05 10:26:18,en,26,0,@misterwhiii It’s a game changer
1389869728135589892,warikoo,2021-05-05 09:09:00,en,29,0,@Yashi__Jaiswal Thank you :))
1389869278413869060,warikoo,2021-05-05 09:07:13,en,8,0,@Abbasshaikh42 I have gained all my leadership lessons by following leaders. Directly by working with them. Indirec… https://t.co/rA3jhKuDpa
1389851991984132099,warikoo,2021-05-05 07:58:31,en,881,64,"99% of leadership in my experience, is understanding people and their motivations. 

Not collectively. 
Individuall… https://t.co/W2uJ0v7yf5"
1389793737098862593,warikoo,2021-05-05 04:07:02,en,102,0,"@GabbbarSingh This is so tragically true, that one feels guilty laughing at the video."
1389792884820426752,warikoo,2021-05-05 04:03:39,en,249,6,@GabbbarSingh We are the 5 feeds we spend most time with.
1389768986808569857,warikoo,2021-05-05 02:28:41,und,0,0,@dborah955 🙏🙏
1389768868986454018,warikoo,2021-05-05 02:28:13,en,0,55,"RT @AnkurWarikooBot: Commentary, will always be easier than playing on the ground.

-@warikoo"
1389613180490375172,warikoo,2021-05-04 16:09:34,und,1,0,@unfak1314 @ASoftstar Yup
1389606975911067653,warikoo,2021-05-04 15:44:55,und,151,1,@ASoftstar https://t.co/ddy04ntEYZ
1389606579649990658,warikoo,2021-05-04 15:43:20,en,712,16,"@kunalb11 Wow!! 58% believe think that something other than FDs will be worse over a 10yr horizon

Just wow!

Kaafi… https://t.co/wiprjc5WOb"
1389605591148941318,warikoo,2021-05-04 15:39:25,en,245,12,"@paraschopra YouTube playlist of “most motivational scenes” :) 

Even this scene uplifts me, whenever I watch it.… https://t.co/scUvvZKoji"
1389504859074822147,warikoo,2021-05-04 08:59:08,en,1,0,"@_Priyansha__ I would call that knowledge. Not advice. 

https://t.co/KOZBUhBM3E"
1389504695136186370,warikoo,2021-05-04 08:58:29,en,9,0,"@ash6av When one is clueless, what they seek is not advice, instead knowledge or help.

The distinction is importan… https://t.co/HMZCFFIE6u"
1389498401331449857,warikoo,2021-05-04 08:33:29,en,1391,95,Advice is what we seek when we know the answer but are hoping there is a better one!
1389497822253182977,warikoo,2021-05-04 08:31:11,en,0,56,"RT @AnkurWarikooBot: Just because someone carries it well, doesn't mean it isn't heavy.

Everyone carries a heavy load.

-@warikoo"
1389258105452589062,warikoo,2021-05-03 16:38:38,en,0,2947,"RT @naval: Pain is a fact. 

Suffering is a choice."
1389222719024099331,warikoo,2021-05-03 14:18:01,hi,11,0,@rock_patekar @kunalb11 @elonmusk @naval Baat karke dekhta hoon
1389222588459544581,warikoo,2021-05-03 14:17:30,en,13,0,@adhisavla Not necessarily. But the other way is usually true
1389222433593298950,warikoo,2021-05-03 14:16:53,en,8,0,@Hustling_Star @kunalb11 I would love that tag too
1389212753345204224,warikoo,2021-05-03 13:38:25,en,1295,83,"If there was ever a way, I would any day want to acquire the curiosity levels of the wealthiest people in the world… https://t.co/ENaIatE6b8"
1389211950140125184,warikoo,2021-05-03 13:35:13,en,56,1,"@jamesrp13 @naval That is such a powerful way to learn. 

I do that often. 
Sometimes, I am that angry reply myself… https://t.co/Q8QemtU60y"
1389211608761602052,warikoo,2021-05-03 13:33:52,en,2,0,"@WarrierNandita @ShaneAParrish Until it doesnt get to a point where you HAVE to get fit, you will always struggle t… https://t.co/SeYZo48Qqq"
1389211216501895170,warikoo,2021-05-03 13:32:18,en,2,0,@ombharatiya You are so blessed!
1389211083613691905,warikoo,2021-05-03 13:31:47,en,1,0,@ugichapla @ShaneAParrish You answered the question
1389196584697548800,warikoo,2021-05-03 12:34:10,en,89,7,@ShaneAParrish We usually need external motivation when we have to do something that is not truly natural to us or… https://t.co/7wDWNykciH
1389195799200890883,warikoo,2021-05-03 12:31:03,en,5,0,"@tanmaya17 @BananaCap_ It is a social media platform that aggregates feeds from across all the platforms, thus serv… https://t.co/PhxMYMfDbA"
1389194814445408264,warikoo,2021-05-03 12:27:08,en,9,0,"@5414vivek I recognise and respect that. 

If the relationship has not been toxic, then try giving it a chance. You… https://t.co/CtkqHd6m5c"
1389194503659999237,warikoo,2021-05-03 12:25:54,en,0,0,@shashiprabha63 Awesome!
1389194434282024966,warikoo,2021-05-03 12:25:37,en,2,0,@EiSharma That is why it is important for us to remind them that they have come out of hopeless situations in the past.
1389194317038686211,warikoo,2021-05-03 12:25:09,en,4,0,@RishavSaha_ Don’t talk about your worry. Talk about the time they came out of theirs.
1389178155038957570,warikoo,2021-05-03 11:20:56,en,1161,71,"Anytime you find yourself losing hope, go and sit down with your parents. 

“Ma/Papa - tell me of a one when you ha… https://t.co/yOmWcRxEGL"
1389169109661671426,warikoo,2021-05-03 10:44:59,en,0,1104,"RT @IAmMarkManson: 4 Harsh Truths About Life

1. The less you force relationships, the stronger they are. 

2. You’re not supposed to accom…"
1389149245689585664,warikoo,2021-05-03 09:26:03,en,369,2,@BrianNorgard Will?
1389027058756452352,warikoo,2021-05-03 01:20:32,en,0,72,"RT @AnkurWarikooBot: Congratulating an entrepreneur on raising funds is like congratulating a chef on buying vegetables

-@warikoo"
1388841437815443457,warikoo,2021-05-02 13:02:56,en,434,9,"@kunalb11 Remember, @kunalb11 isn’t talking about parties or politics. His thoughts are directed towards the countr… https://t.co/PiAyGBlcVE"
1388838672913608704,warikoo,2021-05-02 12:51:57,en,859,46,"@kunalb11 There is a third unfortunate option, that seems to be the one most of us chose

Don’t leave the country
G… https://t.co/08Zj8PsbLz"
1388772688160694278,warikoo,2021-05-02 08:29:45,en,245,1,@sujoy_sawant @naval @kunalb11 My way of rising up to Naval’s awareness levels one day :)
1388735140235411461,warikoo,2021-05-02 06:00:33,en,166,15,"An important question. One I have asked multiple times in life, the answer to which has only clarified. https://t.co/D809xhj0eN"
1388734698218610690,warikoo,2021-05-02 05:58:48,en,2,0,"@joelkaka People change. And others either accept the change or don’t. 

I consider it evolution. 
Hence don’t think about it too much :)"
1388662311150252035,warikoo,2021-05-02 01:11:09,en,18,0,@tiwarituraj Means a lot
1388661873906573312,warikoo,2021-05-02 01:09:25,und,30,0,@AxitMehta :))
1388661561506426883,warikoo,2021-05-02 01:08:11,en,0,0,@Hop24900929 Most banks do not allow payment of credit card due through another credit card.
1388522252564525058,warikoo,2021-05-01 15:54:37,en,473,27,"@kunalb11 The ones you can trust are the ones you will follow. 

And trust is not built during happy times. Instead… https://t.co/4LCtcgfo70"
1388492024198746117,warikoo,2021-05-01 13:54:30,en,747,12,"@kunalb11 If in my 20s = A
Take the money and then go for C

If in my 40s = C
Go for impact 

For those in 30s, Kunal is just teasing you :)"
