id,username,created_at,lang,favorite_count,retweet_count,text
1389996619211284480,yisongyue,2021-05-05 17:33:13,en,1,0,@rasbt @zacharylipton Both statements can appear to be true depending on the sample of papers one reads.
1389963283260530689,yisongyue,2021-05-05 15:20:45,en,0,9,RT @pappasg69: Working on the interface between machine learning and control systems? Consider submitting a regular paper or a technical no…
1389521254793818115,yisongyue,2021-05-04 10:04:17,en,0,5,"RT @s_mandt: New paper: hierarchical autoregressive modeling for neural video compression. Tomorrow (Tuesday), 5pm PDT. #ICLR2021 (with Rui…"
1389359116720566275,yisongyue,2021-05-03 23:20:01,en,0,9,"RT @ControlMeetsML: Our next talk:
May 5: Steve Brunton (UW) @eigensteve  

“Data-Driven Dynamical Systems and Control” 

Please visit http…"
1389283889009500161,yisongyue,2021-05-03 18:21:05,en,0,221,"RT @NASA_Marshall: Four in the books!

@NASAJPL's Ingenuity #MarsHelicopter completed another record-setting flight on Friday, traveling ov…"
1389256816064753669,yisongyue,2021-05-03 16:33:30,en,0,113,"RT @wenzeljakob: During the last year, my group has been pondering a great deal about differentiable rendering to understand it theoretical…"
1389253527143260162,yisongyue,2021-05-03 16:20:26,en,0,13,"RT @masahiro_ono: This strongly reminds me of Hsue-Shen Tsien, a co-founder of JPL who made a substantial contribution to American rocketry…"
1389247729159655424,yisongyue,2021-05-03 15:57:24,en,54,9,Nianshuang Wang helped design the COVID-19 vaccine. He also considered leaving the US because he had so much troubl… https://t.co/WfTowOhzrM
1389212103093886980,yisongyue,2021-05-03 13:35:50,en,0,3,RT @yuqirose: Today 9 a.m. PDT — 11 a.m. PDT - Poster Session 02 at #ICLR2021. See you there!
1389043490743406593,yisongyue,2021-05-03 02:25:50,en,0,19,"RT @geomblog: This is exactly it. 

https://t.co/GTE8Z3YHNf"
1389003969477758976,yisongyue,2021-05-02 23:48:47,en,0,646,RT @jenzhuscott: This is brilliant. What’s your answer? https://t.co/17ZRqV6C8j
1388863317888798725,yisongyue,2021-05-02 14:29:53,en,0,0,@lzamparo The perils of setting the learning rate too small.
1388657077438930944,yisongyue,2021-05-02 00:50:21,und,0,4958,RT @yoda: https://t.co/bVKXqLBWZj
1388616762824949760,yisongyue,2021-05-01 22:10:10,en,0,223,RT @wtgowers: An interesting paper by Adam Wagner appeared on arXiv a couple of days ago (thanks to Imre Leader for drawing my attention to…
1388581327448907776,yisongyue,2021-05-01 19:49:21,en,42,2,Rinse and repeat every 4 months. https://t.co/B0SSpd8lR5
1388394081848631297,yisongyue,2021-05-01 07:25:18,en,0,7563,"RT @AndrewBarnas: I fixed the ""Types of Scientific Paper"" meme. https://t.co/H4JtWI1Bhz"
1388393200658747398,yisongyue,2021-05-01 07:21:48,en,8,1,All your Basecamp are belong to us.
1388390675436036098,yisongyue,2021-05-01 07:11:46,en,0,11,RT @VivianGradinaru: Our lab's mature #AAV and #neuro science went to  @CapsidaBio to accelerate the pace and quality of genetic medicines.…
1388283164464799748,yisongyue,2021-05-01 00:04:34,en,2,0,"@TaliaRinger I think using a ranking approach based on LMs is good.  

Related alternative is to model distribution… https://t.co/0obVDfQvg7"
1388255067078152192,yisongyue,2021-04-30 22:12:55,en,1,0,@TaliaRinger First reaction is to use large language models with a checker to make sure the generated proof is corr… https://t.co/XTKNPKCHj3
1388228397583585281,yisongyue,2021-04-30 20:26:56,en,0,13,RT @Caltech: Meet the 2021 cohort of #AI4Science Fellows. They will apply cutting-edge #ML and #AI techniques to research areas ranging fro…
1388168632476131332,yisongyue,2021-04-30 16:29:27,en,0,11,RT @KyleCranmer: Next Wednesday I’ll be talking at the Physics ∩ ML series on “Explorations at the Physics ∩ ML Interface”. I had a hard ti…
1387799239657279490,yisongyue,2021-04-29 16:01:37,en,2,1,@TaliaRinger I completely agree.  Have you seen this: https://t.co/8pjltW0Vv3
1387792926818791425,yisongyue,2021-04-29 15:36:32,und,4,2,@_ddjohnson @TaliaRinger https://t.co/4BuSJsZw8s
1387787980417294345,yisongyue,2021-04-29 15:16:53,en,0,5,"RT @JenJSun: Call for papers! Our workshop @CVPR on Affective Understanding in Video is accepting submissions until May 28th. ❤️💻
Submissio…"
1387533517320450051,yisongyue,2021-04-28 22:25:44,en,1,0,@0xhexhex Ugo was previously a PhD student there.  That video is from his thesis work.
1387459623343460352,yisongyue,2021-04-28 17:32:06,en,5,1,"Check out his work in action:
https://t.co/GWS3zAZsix"
1387459528728276998,yisongyue,2021-04-28 17:31:44,en,9,0,Great to see @ugorosolia sharing his world-class expertise on model-predictive control! https://t.co/Ydtek9E9mX
1387454012681703425,yisongyue,2021-04-28 17:09:48,en,0,8,"RT @ugorosolia: MPC is a key component of model-based RL and it is ubiquitous in the autonomous 🚘 industry

Check out the sufficient condit…"
1387446947468910594,yisongyue,2021-04-28 16:41:44,en,0,25,"RT @KyleCranmer: The recording of my invited talk on Simulation-Based Inference for @aistats_conf is now online 
@NYUDataScience @NYUPhysic…"
1387446165948407808,yisongyue,2021-04-28 16:38:38,en,0,15,RT @TheOfficialACM: Congratulations to Michael Franz of @UCIrvine for receiving the 2020 ACM Charles P. “Chuck” Thacker Breakthrough in Com…
1387445203561181185,yisongyue,2021-04-28 16:34:48,en,0,531,"RT @PetarV_93: Proud to share our 150-page ""proto-book"" with @mmbronstein @joanbruna @TacoCohen on geometric DL! Through the lens of symmet…"
1387123084486856708,yisongyue,2021-04-27 19:14:49,en,0,3,"RT @JenJSun: As part of the MABe challenge, we also released &gt; 6mil frames of trajectory data from dyadic social interactions between mice!…"
1387075199795744773,yisongyue,2021-04-27 16:04:32,en,0,3,"RT @Antihebbiann: Small PSA, if you're looking for animal behavior datasets, the old CRIM13 and Fly-vs-Fly datasets are back online thanks…"
1387068671621681159,yisongyue,2021-04-27 15:38:36,en,0,35,"RT @icmlconf: We are excited to have Dr. Esther Duflo (https://t.co/bALCBDkIpX) give an invited talk at #ICML21. Dr. Duflo, an Economics Pr…"
1387067814456950790,yisongyue,2021-04-27 15:35:12,en,0,17,RT @MSFTResearch: Remember to reserve your virtual seat for Episode #9 of the Directions in ML: AutoML and Automating Algorithms series. He…
1386824189798076418,yisongyue,2021-04-26 23:27:07,en,0,5,"RT @ControlMeetsML: Our next talk:
April 28: Patricio Vela (Georgia Tech)

“On the Structure of Learning: What’s in the Black Box?” 

Pleas…"
1386807879399710725,yisongyue,2021-04-26 22:22:18,en,0,3,"RT @Antihebbiann: Task 1 of the Multi-Agent Behavior Challenge ends at 18:00 UTC this Friday! But we've added another week to Tasks 2-3, to…"
1386535764536614914,yisongyue,2021-04-26 04:21:01,en,0,23,"RT @gibsmk: We are hiring for many roles at @generate_biomed! 

This is a fun one: come help us drive the strategy for our machine learning…"
1386444001021087745,yisongyue,2021-04-25 22:16:23,en,0,1302,"RT @NASAJPL: Far Out 🚁
For this third flight, the #MarsHelicopter traveled almost half the length of a football field and increased its air…"
