,lemmas
"'covid',",100
"'health',",79
"'people',",78
"'vaccine',",70
"'new',",68
"'case',",62
"'care',",58
"'death',",58
"'test',",56
"'mask',",55
"'day',",44
"'work',",43
"'need',",41
"'covid-',",41
"'patient',",40
"'state',",38
"'coronavirus',",38
"'not',",36
"'report',",35
"'good',",32
"'today',",30
"'hospital',",28
"'news',",28
"'cdc',",28
"'week',",27
"'rate',",27
"['erictopol',",27
"'testing',",26
"'public',",26
"'year',",24
"'know',",24
"'worker',",24
"'datum',",24
"'spread',",24
"'trump',",23
"['great',",23
"'big',",23
"'find',",23
"'get',",23
"'million',",22
"'like',",22
"'come',",22
"'house',",21
"'stop',",21
"'time',",21
"'result',",20
"'cdcgov',",20
"'say',",20
"'piece',",20
"'look',",19
"'story',",19
"'thank',",19
"'life',",18
"'system',",18
"'w',",18
"'number',",18
"'study',",18
[],18
"'b',",18
"'white',",17
"'vaccination',",17
"'country',",17
"'president',",17
"'ariadnelabs',",17
"'ask',",17
"'high',",17
"'twitter',",17
"'want',",17
"'show',",17
"'thread',",16
"'article',",16
"'cost',",16
"'staff',",16
"'dose',",16
"'mean',",16
"'school',",16
"'rise',",15
"'world',",15
"'see',",15
"'evidence',",15
"'wear',",15
"['ashishkjha',",15
"'drug',",15
"'end',",15
"'age',",15
"'place',",15
"'pandemic',",15
"'administration',",15
"'important',",14
"'large',",14
"'way',",14
"'fda',",14
"'give',",14
"'infection',",14
"'tell',",14
"'primary',",14
"'read',",14
"'official',",14
"'go',",14
"'virus',",13
"'break',",13
"'newyorker',",13
"['drtomfrieden',",13
"'bad',",13
"'national',",13
"'states',",13
"'risk',",13
"'outbreak',",13
"'great',",13
"'make',",13
"'include',",13
"'let',",12
"'american',",12
"'atulgawande',",12
"'face',",12
"'gop',",12
"'medical',",12
"'far',",12
"'trial',",12
"'right',",12
"['ariadnelabs',",12
"'thing',",12
"'follow',",12
"'young',",12
"'population',",12
"'real',",11
"'point',",11
"'close',",11
"'safe',",11
"'control',",11
"'supply',",11
"'low',",11
"'texas',",11
"'old',",11
"'protect',",11
"'k',",11
"'uk',",11
"['excellent',",11
"'take',",11
"'home',",11
"'americans',",11
"'plan',",11
"'attack',",11
"'use',",11
"'open',",11
"'level',",11
"'social',",11
'b'],10
"'appear',",10
"'effective',",10
"'help',",10
"'pre',",10
"'hospitalization',",10
"'nytimes',",10
"'increase',",10
"'lab',",10
"'suggest',",10
"'clear',",10
"'research',",10
"'pfizer',",10
'c'],10
"['larrylevitt',",10
"['scottgottliebmd',",10
"'support',",10
"['aaronecarroll',",10
"'surge',",10
"'change',",9
"'response',",9
"'effect',",9
"'account',",9
"'early',",9
"'spend',",9
"'estimate',",9
