,lemmas
"'world',",115
"'win',",107
"'dart',",101
"['sportinglife',",89
"'player',",62
"'like',",61
"'great',",59
"'time',",57
"'year',",57
"'match',",55
"'v',",55
"'final',",54
"'get',",51
"'think',",48
"'good',",47
"""o'sullivan"",",45
"'price',",45
"'go',",44
"'ronnie',",42
"'title',",42
"'watch',",42
"'van',",41
"'championship',",41
"'day',",38
"['sportinglifefc',",38
"'mvg',",33
"'play',",32
"'th',",32
"'league',",31
"'beat',",31
"'wright',",31
"'pdc',",30
"['gwsnookertips',",30
"'not',",30
"'theasset',",29
"'hit',",29
"'darter',",28
"'fan',",28
"'thank',",28
"'anderson',",27
"'people',",27
"'uk',",27
"'lose',",27
"'white',",27
"'big',",26
"'moment',",26
"'gerwen',",25
"'sport',",25
"'tonight',",25
"'snooker',",24
"'come',",23
"['ronnie',",23
"'peter',",23
"['carlyfletch',",22
"'open',",22
"'sportinglife',",22
"'way',",22
"'gerwyn',",22
"'today',",22
"'premier',",22
"'incredible',",22
"'game',",22
"'crucible',",22
"'stephen',",21
"'take',",21
"'see',",21
"'look',",21
"'aspinall',",21
"'feel',",21
"'season',",21
"'paul',",21
"'jimmy',",20
"'major',",20
"'champion',",20
"'need',",20
"'mark',",20
"'sure',",20
"'second',",20
"'old',",20
"'goal',",19
"'week',",19
"'hendry',",19
"'michael',",19
"'yes',",19
"'know',",19
"'start',",19
"'double',",19
"'new',",18
"'matchplay',",18
"'miss',",18
"'frame',",18
"'say',",18
"'point',",17
"'score',",17
"'end',",17
"['duncanmitchel',",17
"'read',",17
"'tournament',",17
"'agree',",17
"'winner',",17
"'tour',",17
"'long',",17
"'cup',",17
"'leg',",17
"'crowd',",16
"'try',",16
"'bit',",16
"'history',",16
"'preview',",16
"'hear',",16
"['michael',",15
"'gary',",15
"'smith',",15
"'finish',",15
"'checkout',",15
"'record',",15
"'reach',",15
"'england',",15
"'night',",15
"'fantastic',",15
"['tomc',",15
"'draw',",14
"'darts',",14
"'shoot',",14
"'right',",14
"'minute',",14
"'grand',",14
"'weekend',",13
"'fallon',",13
"['philhaigh',",13
'final'],13
"'s',",13
"'sherrock',",13
"'remember',",13
"'semi',",13
"'fair',",13
"['nickmetcalfe',",13
"'enjoy',",13
"'story',",13
"'event',",13
"'selby',",13
"'durrant',",12
"'bad',",12
"'john',",12
"'make',",12
"'close',",12
"'break',",12
"'away',",12
"['theasset',",11
"'hope',",11
"'mean',",11
"['hamisharnold',",11
'year'],11
"'ball',",11
"'home',",11
"'be',",11
"'hi',",11
"'give',",11
"'decide',",11
"'tip',",11
"'century',",11
"'commentary',",11
"'work',",10
"'ally',",10
"'believe',",10
"'nathan',",10
"'lot',",10
"'debut',",10
"'want',",10
"'ago',",10
"'interview',",10
"'performance',",10
'dart'],10
'time'],10
"'televise',",10
"['peter',",10
"['gary',",10
"'pot',",10
"['great',",10
"'carlyfletch',",10
"'star',",10
"'medium',",10
"'turn',",10
"'dobey',",10
'like'],10
"['jimmy',",10
"'reaction',",10
"'federer',",10
"'quarter',",10
"'run',",10
"'love',",10
"'action',",10
"'nicholson',",10
"'kind',",9
"'hopefully',",9
"'average',",9
'think'],9
"'celebrate',",9
"'imagine',",9
"'include',",9
"'let',",9
"'defeat',",9
"'complete',",9
"'taylor',",9
"'especially',",9
"'wonder',",9
'win'],9
"'st',",9
"['schoolersport',",9
