,lemmas
'scrdchat'],103
"'scrdchat',",63
"['drjennyroot',",58
"'not',",51
"'think',",47
"'student',",44
"'benjaminwitts',",43
"['mattbrodhead',",39
"['nsteve',",39
"['operantbaby',",39
"'drjennyroot',",37
"'need',",37
"'love',",37
"'know',",36
"'study',",36
"'oh',",36
"'read',",34
"'mattbrodhead',",33
"'drduek',",31
"'valdeepsaini',",30
"'design',",29
"'case',",29
"'like',",29
"['willavandijk',",29
"['burnsmk',",29
"['mrsdennis',",29
"'tiffanypeltier',",29
"'datum',",28
"['drduek',",28
"'kirbylevelsup',",28
"'work',",28
"'intervention',",28
"'burnsmk',",27
"'use',",27
"'thank',",26
"'question',",25
"'sarahpowellphd',",25
"['kirbylevelsup',",24
"'find',",24
"['benjaminwitts',",23
"'review',",23
"'check',",23
"'get',",23
"'share',",23
"'research',",22
"'actually',",21
"'help',",21
"'time',",21
"['saluwf',",21
"'math',",21
"'q',",21
"'have',",21
"'let',",21
"'report',",20
"'write',",20
"'single',",19
"'graph',",19
"'mrsdennis',",19
"'scrd',",19
"'haha',",19
"'bhananaima',",19
"'analysis',",19
"'yeah',",19
"'week',",18
"'want',",18
"['imcommon',",18
"['ledfordtweets',",18
"'be',",18
"'try',",18
"'go',",18
"'effect',",18
"['sarahpowellphd',",17
"'paper',",17
"'meta',",17
"'oueducation',",17
"'look',",17
"['michealsandbank',",17
"'would',",17
"'cool',",16
"'good',",16
"'yes',",16
"'benridenjmu',",16
"'instruction',",16
"'article',",16
"'s',",16
"'nsteve',",16
"'lot',",15
"'course',",15
"'new',",15
"'come',",15
"'systematic',",15
"'talk',",15
"'group',",15
"['trinadspencer',",14
"['sarahhurwitz',",14
"'teach',",14
"['mkirkpatrick',",14
"'point',",14
"'agree',",14
"'chat',",14
"'behaviorpsych',",14
"['rfarmer',",14
"'people',",14
"'sarahhurwitz',",14
"'jepusto',",14
"'teacher',",14
"['bhananaima',",14
"'tomorrow',",13
"'coreyjpeltier',",13
"'provide',",13
"'amazing',",13
"'word',",13
"['valdeepsaini',",13
"'join',",13
"'ill',",13
"'learn',",13
"'start',",13
"'author',",13
"'result',",13
"'great',",13
"'amandavande',",13
"'issue',",12
"'include',",12
"'ask',",12
"'visual',",12
"['elindstromphd',",12
"'make',",12
"'evaluate',",12
"'hear',",11
"'ledfordtweets',",11
"'williamsalicen',",11
"['tiffanypeltier',",11
"'email',",11
"'add',",11
"['williamsalicen',",11
"'discuss',",11
"'send',",11
"'baseline',",11
"'rfarmer',",11
"'data',",11
"'focus',",11
"['drmachalicek',",11
"'practice',",11
"'set',",11
"'important',",11
"'tiffany',",11
"'explicit',",11
"'approach',",11
"['amaustin',",10
"['joannegross',",10
"'drop',",10
"'specific',",10
"'true',",10
"'social',",10
"'context',",10
"['erikatsvicoms',",10
"'big',",10
"'operantcomfort',",10
"'idea',",10
"'say',",10
"['benridenjmu',",10
"'change',",10
"'decision',",10
"'guide',",10
"'validity',",9
"'plan',",9
"'size',",9
"'consider',",9
"'schotz',",9
"'different',",9
"'michelecaracapp',",9
"'tweet',",9
"['behaviorpsych',",9
"'problem',",9
"['jepusto',",9
"'brittanyhottphd',",9
"'class',",9
"['drjulielt',",9
'drduek'],9
"'operantbaby',",9
"'feel',",9
"'colleague',",9
"'post',",9
"'depend',",9
"'pre',",9
"'basically',",9
"['harleylang',",9
"['benjaminheddy',",9
"'replication',",9
"'lead',",9
"'base',",9
"'measure',",9
"'couple',",8
"'miriamfein',",8
"'manuscript',",8
"'thing',",8
"'way',",8
'tiffanypeltier'],8
"'criterion',",8
'mattbrodhead'],8
"'journal',",8
"'poster',",8
"'test',",8
"'twitter',",8
"'year',",8
"'response',",8
"'explain',",8
"'corey',",8
"'discussion',",8
"'conduct',",8
"'evanhdart',",8
"'maybe',",8
"'basicslabuu',",8
"'interesting',",8
"'feedback',",8
"'wait',",8
"'take',",8
"'interested',",8
"'today',",8
"['schotz',",8
"'impact',",8
"'well',",7
"'kid',",7
"'fidelity',",7
'analysis'],7
"'gif',",7
"'see',",7
"'peltier',",7
"'dang',",7
"'variable',",7
"'figure',",7
"'compare',",7
"'give',",7
"'create',",7
"'will',",7
'love'],7
"'thought',",7
"'school',",7
"'nee',",7
"'program',",7
"'reference',",7
"'professor',",7
"['hey',",7
"'to',",7
"'bryangcook',",7
"'aba',",7
"'hate',",7
"'quantitative',",7
"'information',",7
"'imcommon',",7
"'highlight',",6
"['helenemarie',",6
"['waltershadley',",6
"'challenge',",6
"'erikatsvicoms',",6
"'multiple',",6
"'va',",6
"'evidence',",6
"'nicolegravina',",6
"['minnie',",6
"['cremerle',",6
"['katepeeples',",6
'find'],6
"'reporting',",6
'intervention'],6
"'publish',",6
"'johnmck',",6
"'solid',",6
"'dr',",6
'study'],6
"'assistant',",6
"'woah',",6
"'believe',",6
"'example',",6
"'willavandijk',",6
[],6
