,lemmas
"'mcconnell',",128
"'biden',",100
"'senate',",96
"'filibuster',",87
"'democrats',",77
"'bill',",64
"'not',",60
"'say',",54
"['mcconnell',",53
"'president',",53
"'vote',",47
"['davidpopp',",45
"'sen',",44
"'new',",38
"'dems',",36
"'infrastructure',",33
"'republicans',",33
"'leadermcconnell',",33
"['leadermcconnell',",32
"'like',",31
"['srcc',",31
"'good',",31
"'call',",29
"'leader',",29
"'school',",28
"'house',",28
"'go',",27
"'senator',",27
"['mattdizwhitlock',",26
"'gop',",26
"'today',",25
"'covid',",25
"'state',",24
"'year',",24
"'mitch',",23
"'think',",23
"'plan',",23
"'bipartisan',",23
"'come',",22
[],22
"'time',",22
"['scottsloofman',",22
"'talk',",21
"'relief',",21
"'partisan',",21
"'power',",21
"'schumer',",21
"['igorbobic',",21
"'american',",20
"'job',",20
"'need',",20
"['burgessev',",20
"'ask',",19
"'senatortimscott',",19
"'bidens',",19
"'scott',",19
"'work',",19
"'tax',",18
"'wage',",18
"'tell',",18
"'right',",18
"'way',",18
"'proposal',",18
"'support',",17
"'tim',",17
"'doug',",17
"'reopen',",17
"'take',",17
"'trillion',",17
"'want',",16
"'people',",16
"'s',",16
"'thing',",16
"'americans',",16
'filibuster'],15
"'be',",15
"'court',",15
"'majority',",15
"'get',",15
"'amendment',",15
"'know',",15
"'republican',",15
'th'],15
"['rutsey',",14
"'minimum',",14
"'spend',",14
"'package',",14
"['johncornyn',",14
"'press',",14
"'manchin',",14
"'policy',",14
"'border',",14
"['steventdennis',",13
"'democratic',",13
"'law',",13
"'try',",13
"'administration',",13
"'read',",13
"'pass',",12
"'day',",12
"'kill',",12
"'money',",12
"'change',",12
"'news',",12
"'washington',",12
"'floor',",12
"'minority',",12
"'end',",12
"'disarray',",12
"'joe',",12
"'white',",12
"'election',",12
"'hard',",12
"'address',",12
"'far',",11
"'crisis',",11
"'capitol',",11
"'congress',",11
"'hr',",11
"'cdc',",11
"'deliver',",11
"['mkraju',",11
"'ago',",11
"['senate',",11
"'member',",11
"'covid-',",11
"'open',",11
'right'],11
"'legislative',",11
"'great',",11
"'national',",10
"'lead',",10
"'voting',",10
"'business',",10
"['seungminkim',",10
"'officer',",10
"'actually',",10
"'vaccine',",10
"'legislation',",10
'doug'],10
"'dem',",10
"'eliminate',",10
"'spending',",10
"['craigcaplan',",10
"'speech',",10
"'rule',",10
"['mepfuller',",10
"'point',",10
"'bridge',",10
'senate'],10
"'nation',",10
"'dougandres',",10
"'reform',",10
"'break',",10
"'bad',",10
"'staff',",9
"'federal',",9
"'trump',",9
"'follow',",9
"'check',",9
"'increase',",9
"'thank',",9
"'look',",9
"'teacher',",9
"'push',",9
"'durbin',",9
"'letter',",9
"'force',",9
"'kid',",9
"'turn',",9
"'klain',",9
"'key',",9
"['robertsteurer',",9
"'big',",9
"'important',",9
"'long',",9
"['heatherscope',",9
"'science',",9
"'include',",9
"['thehill',",9
"['suzyoungblood',",9
"'union',",9
"'fact',",9
"'statement',",9
"'defend',",8
"'feel',",8
"'progressive',",8
"'give',",8
"'act',",8
"['senategop',",8
"'party',",8
"'fox',",8
"'road',",8
"'pelosi',",8
"'millennial',",8
'disarray'],8
"'dougs',",8
"'yes',",8
'like'],8
"'history',",8
"'admit',",8
"'imagine',",8
"'use',",8
"'director',",8
"'oppose',",8
"'reporter',",8
"'political',",8
"'attack',",8
"['democrats',",8
"'report',",8
'https'],8
"'make',",8
"'colleague',",7
"'sign',",7
"'fund',",7
"'left',",7
"'sinema',",7
"'liberal',",7
"'join',",7
"'punchbowlnews',",7
"'becerra',",7
"'pm',",7
"'set',",7
"'america',",7
"'help',",7
"'problem',",7
"'tweet',",7
"['jakewilkns',",7
'democrats'],7
"['holmesjosh',",7
"'pres',",7
"'create',",7
"'georgia',",7
"'live',",7
"'supreme',",7
"'pack',",7
"'chief',",7
"'cut',",7
"'economic',",7
'bill'],7
"'team',",7
"'hold',",7
"'raise',",7
"'project',",7
"['ericawerner',",7
'vote'],7
"['lindsaywise',",7
"'conference',",7
"['jakesherman',",7
"'democrat',",7
"'million',",7
"'hour',",7
'year'],7
"'warn',",7
"'miss',",7
"'let',",7
"'real',",7
"['senatortimscott',",7
"'chuck',",7
"'clear',",7
'demsindisarray'],7
"'stimulus',",6
"'will',",6
"'high',",6
"'unity',",6
"'kind',",6
"'trial',",6
"'office',",6
"'neera',",6
"'safe',",6
"'reminder',",6
"'hike',",6
"'record',",6
"['sahilkapur',",6
"'quote',",6
"'group',",6
"['senatecloakroom',",6
"'special',",6
"'secretary',",6
"'pet',",6
"'late',",6
"'hill',",6
"'leadership',",6
"'note',",6
"'china',",6
"'admin',",6
"'attempt',",6
"'dc',",6
'congress'],6
"'true',",6
"'lot',",6
"'leave',",6
"'americas',",6
'biden'],6
"'keystone',",6
"'hear',",6
"'watch',",6
"['hotlinejosh',",6
"'response',",6
"'story',",6
"'tanden',",6
"'write',",6
"'stop',",6
"'person',",6
"'min',",6
"'racist',",6
"'continue',",6
"'economy',",6
"'send',",6
"'iowa',",6
"'police',",6
"'interview',",6
"'seungminkim',",6
"'describe',",6
"'billion',",6
"'corporation',",6
"'seat',",6
'thank'],6
"['jackpandol',",6
"'blast',",6
"'corporate',",6
"'week',",6
"'introduce',",6
"'d',",5
"'swing',",5
"'wrong',",5
"'politico',",5
"'friend',",5
"'tonight',",5
'infrastructure'],5
"'deal',",5
"'official',",5
"'have',",5
"'word',",5
"'voter',",5
'school'],5
"'davidpopp',",5
"'states',",5
"['chuckgrassley',",5
"'would',",5
"['scottgottliebmd',",5
"'justice',",5
"['andrewcquinn',",5
"'heatherscope',",5
"'roll',",5
"'pay',",5
"'process',",5
"'commission',",5
"['oknox',",5
"'future',",5
"'promise',",5
"'run',",5
"'serve',",5
"'show',",5
"'regret',",5
"'line',",5
'foxnews'],5
"'th',",5
"'strong',",5
