,lemmas
"['/n',",160
"'mask',",70
"'vaccine',",48
"'covid',",47
"'new',",44
"'need',",41
"'viral',",40
"'work',",40
"'time',",37
"'people',",37
"'gene',",34
"'know',",34
"'good',",33
"'/n',",33
"'patient',",29
"['vincentrk',",29
"'test',",28
"'piece',",27
"'study',",27
"'cell',",26
"'human',",26
"'cancer',",26
"'read',",26
"'not',",25
"'thank',",24
"['ok',",24
"'drug',",22
"'add',",22
"'worker',",22
"'post',",22
"'history',",22
"'b',",21
"'erictopol',",21
"'look',",21
"'write',",21
"'go',",20
"'use',",19
"'yes',",19
"'virus',",19
"'immunity',",19
"'talk',",18
"'chicken',",18
"'care',",18
"'want',",18
"'lab',",18
"'question',",18
"'skathire',",18
"'paper',",18
"'try',",18
"'load',",18
"'intimate',",18
"'wear',",17
"'pbs',",17
"'book',",17
"'datum',",16
"'antibody',",16
"'nyc',",16
"'social',",16
"['purtonlouise',",16
"'vincentrk',",16
"'hospital',",16
"'story',",16
"'percent',",16
"'n',",15
"'day',",15
"'medical',",15
"'fry',",15
"'ill',",15
"'disease',",15
"'think',",15
"'s',",15
"'scekker',",15
"'ask',",14
"'high',",14
"'vaccinate',",14
"'send',",14
"'important',",14
"'make',",14
"'case',",14
"'let',",14
"'doctor',",14
'th'],13
"'open',",13
[],13
"'distance',",13
"'wait',",13
"'mix',",13
"'death',",13
"'health',",13
"'week',",13
"'hand',",12
"'news',",12
"'lot',",12
"'trial',",12
"'follow',",12
"'food',",12
"'public',",12
"'early',",12
"'mean',",12
"'show',",12
"'therapy',",12
"'likely',",12
"'nee',",12
"'cause',",12
"'like',",12
"'trishgreenhalgh',",11
"'be',",11
"'bring',",11
"'ok',",11
"'way',",11
"'tomorrow',",11
"'effect',",11
"'stay',",11
"['drmjoyner',",11
"'oil',",11
"'thread',",11
"'tell',",11
"'spice',",11
"'oxygen',",11
"'genome',",11
"'issue',",11
"'love',",10
"'young',",10
"'infection',",10
"'long',",10
"'nurse',",10
"'spread',",10
"'cook',",10
"'get',",10
"'tbsp',",10
"['skathire',",10
"'coriander',",10
"'india',",10
"'pandemic',",10
"'diet',",10
"['mbeisen',",10
"'little',",10
"'rate',",10
"'immune',",10
"'medicine',",10
"'ginger',",10
"'yorker',",10
"'sars',",10
"'strain',",10
"'onion',",10
"'bean',",10
"'covid-',",10
"['tmprowell',",10
"'tmprowell',",9
"'genetic',",9
'yes'],9
"['look',",9
"'half',",9
"'water',",9
"'scaddenlab',",9
"'cov',",9
"'hope',",9
"'come',",9
"'ken',",9
"['erictopol',",9
"'salt',",9
"'atulgawande',",9
"'variant',",9
"'vaccination',",9
"'red',",9
"'true',",9
"'home',",9
"'turn',",9
"'kenburns',",9
"'science',",9
"'c',",9
"'stop',",9
"'nccomfort',",9
"'real',",9
"'nature',",9
"'include',",9
"'severe',",9
"'kitchen',",9
"'decrease',",9
"'mushroom',",9
"['add',",9
"'low',",9
