,lemmas
"'joebiden',",190
"'say',",168
"'trump',",150
"['new',",118
"'president',",113
"'biden',",110
"'campaign',",102
"'today',",75
"'vote',",71
"'million',",69
"'raise',",62
"'new',",62
"'announce',",58
"'state',",56
"'plan',",53
"'day',",52
"'senate',",51
"'lead',",50
"['inbox',",50
"'election',",49
"'cbsnews',",47
"'house',",47
"'voter',",45
"'tonight',",41
"'ad',",40
"['joebiden',",39
"'people',",37
"'ballot',",36
"'include',",36
"'candidate',",35
"'race',",35
"'presidential',",34
"'georgia',",32
"'call',",31
"'joe',",30
"'statement',",30
"'berniesander',",30
"'show',",30
"'support',",29
"'american',",29
"'report',",28
"'polling',",28
"'head',",28
"'wage',",28
"'come',",27
"'find',",27
"'white',",27
"'kamalaharris',",27
"'spend',",26
"'covid',",26
"'want',",26
"'time',",26
"'week',",26
"['president',",25
"'confirm',",25
"'secretary',",24
"'primary',",24
"'ask',",24
"'cash',",24
"'minimum',",24
"'debate',",23
"'coronavirus',",23
"'late',",23
"'go',",23
"['cbsnews',",23
"'year',",23
"'vp',",23
"'speak',",23
"['biden',",23
"'s',",23
"'janetyellen',",23
"'news',",22
"'fundraising',",21
'biden'],20
"'iowa',",20
"'event',",20
"'count',",20
"'dnc',",20
"['trump',",20
"'take',",20
"'realdonaldtrump',",19
"'committee',",19
"'tell',",19
"'hand',",19
"'potus',",19
"'ewarren',",19
"'bill',",19
"'hold',",19
"'gop',",19
"'pres',",19
"'carolina',",19
"'poll',",18
"'not',",18
"'elect',",18
"'democratic',",18
"'end',",18
"'fec',",18
"'check',",18
"'senator',",18
"'tax',",18
"'democrats',",17
"'woman',",17
"'ahead',",17
"'look',",17
"['news',",17
"'dem',",17
"'united',",17
"'caucus',",17
"'win',",17
"'bring',",17
"'states',",16
"'q',",16
"'republican',",16
"'americans',",16
"'relief',",16
"'harris',",16
"'mail',",16
"'continue',",16
"'amid',",16
"'number',",16
"'join',",16
"'early',",16
"'month',",16
"'south',",16
"'national',",16
"['edokeefe',",16
"'break',",15
"'remark',",15
"'think',",15
"'need',",15
"'convention',",15
"'rescue',",15
"'tv',",15
"'project',",15
"'pick',",15
"'make',",15
"'capitol',",15
"'like',",14
"'economic',",14
"'th',",14
"'sanders',",14
"'press',",14
"'work',",14
"'night',",14
'th'],14
"'accord',",14
"'health',",14
"'twitter',",14
"'sen',",14
"'america',",14
"'right',",14
"'impeachment',",14
"'federal',",14
"'filing',",14
"'vice',",14
"'endorse',",14
"'release',",14
"'total',",13
"['weijia',",13
"'pay',",13
"'pandemic',",13
"'hour',",13
"'run',",13
"'line',",13
"'member',",13
"'good',",13
"'rnc',",13
"'talk',",13
"'quinnipiacpoll',",13
"'chair',",13
"'ago',",13
"'give',",13
"'economy',",12
"'joebidens',",12
"['chueyburns',",12
"'powell',",12
"'job',",12
"'petebuttigieg',",12
"'order',",12
"'w/',",12
"'tweet',",12
"'get',",12
"'pence',",12
"'florida',",12
"'hear',",12
"'record',",12
"['accord',",12
"'joint',",12
'say'],12
"'currently',",12
"'congress',",12
"'barackobama',",12
"'test',",12
'w'],12
"'act',",12
"'battleground',",12
"'k',",12
"'expect',",12
"'help',",12
"'morning',",12
"'key',",12
"'donald',",12
"'berniesanders',",12
"'change',",12
"'march',",12
"'tomorrow',",11
"'virtual',",11
'c'],11
"'know',",11
"'rally',",11
"'court',",11
"'claim',",11
"'black',",11
"'b',",11
"'supreme',",11
"'post',",11
"'party',",11
"'police',",11
"'official',",11
"'texas',",11
'b'],11
"'arizona',",11
"'heres',",11
"'ga',",11
"'send',",11
"'travel',",11
"['adambrew',",11
"'person',",11
"'question',",10
"'leave',",10
"'general',",10
"'tuesday',",10
"'mean',",10
'joebiden'],10
"'stand',",10
"'pennsylvania',",10
"'pm',",10
'election'],10
"'republicans',",10
"'wisconsin',",10
"'pa',",10
"'care',",10
"'far',",10
"'address',",10
"['break',",10
"'file',",10
"'cast',",10
"'nation',",10
"'country',",10
"'happen',",9
"'deliver',",9
"'believe',",9
"'staff',",9
"'mate',",9
"'meet',",9
"'monday',",9
"'super',",9
"'administration',",9
"'infrastructure',",9
'come'],9
"'cmte',",9
'trump'],9
"'see',",9
"'tight',",9
"'way',",9
"'political',",9
'tonight'],9
"['tperry',",9
"'response',",9
"'monmouthpoll',",9
'include'],9
"['white',",9
"'family',",9
"'voting',",9
'h'],9
"'january',",9
"'april',",9
"'supporter',",9
"'fundraiser',",9
"'appear',",9
"'dc',",9
"'lot',",9
"'estimate',",8
