,lemmas
"'film',",496
"'heritage',",137
"'foundation',",114
"'preservation',",109
"'piece',",90
"'cinema',",88
"'look',",86
"'restoration',",77
"'india',",76
"'workshop',",75
"['film',",67
"'session',",65
"'filmmaker',",59
"'th',",58
"'indian',",56
"'take',",54
"'online',",49
"'singh',",46
"'today',",46
"'work',",43
"'edition',",42
"'fiaf',",42
"'director',",41
"'ray',",38
"'know',",37
"'satyajit',",36
"'write',",33
"'mumbai',",33
"'actor',",33
"'legendary',",32
"'delight',",32
"'shivendra',",31
'film'],30
"'archive',",30
"'time',",29
"'like',",29
"'speak',",28
"'dungarpur',",28
"'hindi',",28
"'begin',",27
"'pass',",27
"'day',",27
"'screen',",26
"['fhf',",26
"'bear',",25
"'open',",25
"'amitabh',",24
"'away',",23
"'award',",23
"['look',",23
"'announce',",22
"'share',",22
"['bear',",22
"'support',",22
"'participant',",22
"'video',",22
"'new',",22
"'express',",22
"'indias',",21
"'fprwi',",21
"'bachchan',",21
"'save',",21
"'early',",20
"'star',",20
"'year',",20
"'art',",19
"'poster',",19
"'music',",19
"['heres',",19
"'opportunity',",19
"'application',",18
'th'],18
"'career',",18
"'ambassador',",18
"'come',",18
"'story',",17
"'great',",17
'f'],17
"'practical',",17
"'repair',",17
"'miss',",17
"'image',",17
[],17
"'start',",16
"'fhf',",16
"'composer',",16
"'tape',",16
"'age',",16
"'cinematographer',",16
"'base',",16
"'collection',",15
"'print',",15
"['shividungarpur',",15
"'contribute',",15
"'scroll',",15
"'writer',",15
"'industry',",15
"'times',",15
"'win',",15
"'motion',",14
"'museum',",14
"'include',",14
"'pioneer',",14
"'hear',",14
"'audio',",14
"'forget',",14
"'institut',",14
"'collaboration',",14
"'celebrate',",14
"'cover',",14
"'colour',",14
"'interview',",14
"'picture',",14
"'movie',",14
"'rich',",14
"['not',",14
"'not',",14
"'series',",13
"'max',",13
"'national',",13
"'single',",13
"'birth',",13
"'december',",13
"'direct',",13
"'debut',",13
"'actress',",13
"'mueller',",13
"'article',",13
'heritage'],13
"'mark',",13
"'bhavan',",13
"'interest',",13
"'september',",13
"'big',",13
"'renowned',",13
"'need',",12
"'theatre',",12
"'feature',",12
"'filmheritagefoundationgmailcom',",12
"'faculty',",12
"'anniversary',",12
"'pandemic',",12
"'manipur',",12
"'superstar',",12
"'long',",12
"'history',",12
"'old',",12
"['th',",12
"'hollywood',",12
"'sound',",12
"'invite',",12
"'pm',",11
"'watch',",11
"'literary',",11
"'song',",11
"'make',",11
"'remember',",11
'cinema'],11
"'rays',",11
"['delighted',",11
"'opening',",11
"'conservator',",11
"'release',",11
"'give',",11
"'preserve',",11
'preservation'],11
"'life',",11
"['note',",11
"'goethe',",11
"'short',",11
"'wonderful',",11
"'welcome',",11
'year'],11
'c'],10
'h'],10
"'go',",10
"'lecture',",10
'b'],10
"'dr',",10
"'family',",10
"'fascinating',",10
"'ceremony',",10
"'find',",10
"'iconic',",10
"['email',",10
"'mm',",10
"'line',",9
"'studios',",9
"'post',",9
"'photograph',",9
"'magazine',",9
"'form',",9
"'close',",9
"['nandini',",9
"'volunteer',",9
'fil'],9
'start'],9
"'state',",9
"'videotape',",9
"'government',",9
"'house',",9
"'dance',",9
'participant'],9
"'de',",9
"'world',",9
"'join',",9
"'conduct',",9
"'performance',",9
"'kumar',",9
"'archivist',",9
"'artist',",9
'w'],9
"'log',",9
"'k',",9
"'examine',",9
"'advance',",9
"['confirm',",9
"'fame',",9
"'painter',",9
"'anand',",9
"'member',",8
"'producer',",8
"'sen',",8
"'filmheritagefoundation',",8
"'dancer',",8
"'develop',",8
"'turn',",8
"'title',",8
"'annapurna',",8
"'building',",8
"'visit',",8
"'format',",8
"'learn',",8
'india'],8
"'language',",8
"'storage',",8
"'experience',",8
"'personal',",8
"'david',",8
'edit'],8
"'continue',",8
"'studio',",8
"'emulsion',",8
"'amitabhbachchan',",8
"'dungarpurs',",8
"'son',",8
"'field',",8
"'bengali',",8
"'assamese',",8
"['amitabhbachchanfiaf',",8
'christophernolan'],8
"'training',",8
"'tribute',",8
"['renowned',",8
'anno'],8
"['today',",8
"'martinscorsese',",8
'today'],8
"['wonderful',",7
"'ramnath',",7
"'scorsese',",7
"'restore',",7
"'impact',",7
"'countdown',",7
"'digital',",7
"'documentary',",7
"'unforgettable',",7
"'nagarjuna',",7
"'academy',",7
"'memorable',",7
"'-day',",7
"'team',",7
"'roy',",7
"'landmark',",7
"['occasion',",7
"'black',",7
"'describe',",7
"'tragic',",7
"'benegal',",7
"'use',",7
"'lose',",7
"'conservation',",7
"'institute',",7
"'rahman',",7
"'negative',",7
"'international',",7
"'narrative',",7
"['watch',",7
"'classic',",7
"'spend',",7
"'centenary',",7
"'poet',",7
"'bring',",7
"['shivendra',",7
"'note',",7
"'lyricist',",7
"'development',",7
"'store',",7
'fprwi'],7
"'moment',",7
"'play',",7
"'expert',",7
"'design',",7
"'small',",7
"'march',",7
"'consider',",7
"'introduce',",7
"'honour',",7
"'donate',",7
"['excitement',",7
"'cabaret',",7
"'lead',",7
"'newnham',",7
"'present',",7
"'event',",6
"'calcutta',",6
"'chapter',",6
"'prasad',",6
"'acknowledge',",6
"'list',",6
"'barua',",6
"'survive',",6
"'founder',",6
"'american',",6
"'figure',",6
"'msfds',",6
'cinematic'],6
"'memory',",6
"'mid',",6
'r'],6
"'record',",6
"['legendary',",6
"'mick',",6
"'lane',",6
"['veteran',",6
"'deliver',",6
"'group',",6
"'thank',",6
"'head',",6
"'kolkata',",6
"'future',",6
"'choreographer',",6
"'guardian',",6
"'study',",6
"'shoot',",6
"'magnetic',",6
'fi'],6
"'journalist',",6
"'kapoor',",6
"'end',",6
"'leading',",6
"'historic',",6
"'move',",6
"'recent',",6
"'better',",6
"'woman',",6
"'leave',",6
'l'],6
"'shyam',",6
"'launch',",6
"'interviews',",6
"'british',",6
"'medium',",6
"['oscar',",6
"'kamal',",6
"'highlight',",6
"'television',",6
"'create',",6
"'talkie',",6
"'bombay',",6
