,lemmas
"'not',",66
"'biden',",52
[],47
"['glennyoungkin',",46
"'trump',",43
"'like',",33
"'go',",33
"'border',",30
"'time',",29
"'s',",29
"'new',",29
"'year',",28
"'election',",28
"'virginia',",28
"'good',",28
"'say',",27
"['leadermcconnell',",27
"'ds',",27
"'think',",26
"'covid',",26
"'administration',",25
"'cause',",25
"'know',",24
"'get',",24
"'day',",23
"['good',",22
"'democrats',",22
"'bad',",22
"'sure',",22
"'want',",21
"'state',",21
"'senate',",21
"'glennyoungkin',",20
"'government',",20
"'voter',",20
"'people',",19
"'bill',",19
"'right',",18
"'great',",18
"'law',",18
"'talk',",17
"'governor',",17
"'fact',",17
"'white',",17
"'support',",17
"'house',",16
"'news',",16
"'thank',",16
"'to',",16
"'school',",16
"'political',",16
"'president',",16
"'kentucky',",15
"'run',",15
"'filibuster',",15
"'need',",14
"'far',",14
"'msm',",14
"'mcconnell',",14
"'leave',",13
"'leadermcconnell',",13
"['not',",13
"'work',",13
"'press',",13
"'today',",13
"'line',",13
"'mask',",13
"'be',",13
"'american',",13
"'issue',",13
"'way',",13
"'republican',",13
"'vaccine',",12
"['s',",12
"'americans',",12
"'big',",12
"'hard',",12
"'leader',",12
"['pretty',",12
"'candidate',",12
"'read',",12
"'folk',",12
"'number',",12
"'month',",12
"'republicans',",12
"'fauci',",12
"'scott',",11
"'politic',",11
"'week',",11
"'twitter',",11
"'point',",11
"'lot',",11
"'america',",11
"'look',",11
"'have',",11
"'try',",11
'th'],11
"'crisis',",11
"'r',",11
"'local',",11
"'gas',",11
"'control',",11
"['seriously',",10
"'vax',",10
"'let',",10
"'rule',",10
"'come',",10
"'hand',",10
"'win',",10
"'would',",10
"'black',",10
"'old',",10
"'family',",10
"'lose',",10
"'tell',",10
"'woman',",10
"'take',",10
"'wake',",10
"'medium',",9
"'outside',",9
"'ask',",9
"'wrong',",9
"'delegate',",9
"['hmm',",9
"'totally',",9
"'stop',",9
"'cdc',",9
"'voting',",9
"'convention',",9
"'give',",9
"'gop',",9
"'man',",9
"'meet',",9
"'morning',",9
"'public',",9
"['mattdizwhitlock',",9
"'vp',",9
"'official',",8
"'science',",8
"'vote',",8
"'challenge',",8
"['biden',",8
"'infrastructure',",8
"'partisan',",8
"['srcc',",8
"['mcconnellpress',",8
'w'],8
"'federal',",8
"'tim',",8
"'start',",8
"'call',",8
"'country',",8
"'free',",8
"'business',",8
"['yea',",8
"'party',",8
"'ga',",8
"'maybe',",8
"'word',",8
"'libs',",8
"'thing',",8
"'response',",8
"'ago',",8
"'guy',",8
"'choice',",8
"'little',",8
"'world',",8
"'question',",8
"'love',",8
"'money',",8
"'sign',",8
"'act',",8
"'friend',",7
"'kid',",7
"'pretty',",7
"'past',",7
"'expand',",7
"'va',",7
"'policy',",7
"'w',",7
"'include',",7
'say'],7
"'open',",7
"'pay',",7
"'tweet',",7
"['chadpergram',",7
"'require',",7
"'watch',",7
"'youngkin',",7
"'check',",7
"'will',",7
"'see',",7
"'head',",7
"'attack',",7
"'relief',",7
"'tax',",7
"'elect',",7
"'economy',",7
"'hell',",7
"'actually',",7
"'life',",7
"'campaign',",7
"'potus',",7
"'spend',",7
"'lead',",7
"'speech',",7
"'home',",7
"'lawyer',",7
"'cnn',",7
"'senator',",7
"'national',",7
"['cause',",7
"'live',",7
"'hear',",7
"'make',",7
"'continue',",6
"'york',",6
"'game',",6
"'lie',",6
"'speak',",6
"'police',",6
"'mind',",6
"'long',",6
"'announce',",6
"'billion',",6
"'conservative',",6
"'democrat',",6
"'reaction',",6
"'ky',",6
"'ballot',",6
"'understand',",6
"'politician',",6
"'pass',",6
"'highlight',",6
'not'],6
"'company',",6
"'fund',",6
"'northam',",6
"'kill',",6
"'happen',",6
"'projectlincoln',",6
"'record',",6
'people'],6
'right'],6
"'center',",6
"'matter',",6
"'idea',",6
"'glenn',",6
"'post',",6
"'answer',",6
"'deal',",6
"'decision',",6
"'taxpayer',",6
"'group',",6
"'track',",6
'lord'],6
"['oh',",6
'fauci'],5
"'declare',",5
"'pack',",5
'crisis'],5
"['interesting',",5
"'note',",5
"'community',",5
"'strategy',",5
"'source',",5
"'tough',",5
"'union',",5
"'believe',",5
"'vs',",5
"'job',",5
"'sen',",5
"'feel',",5
"['get',",5
"'current',",5
"'rs',",5
"'kind',",5
'time'],5
"'divide',",5
"'dc',",5
"'nominee',",5
'work'],5
"'demand',",5
"['twitter',",5
"'real',",5
"'remember',",5
"'ill',",5
"'visit',",5
"'night',",5
"'legislative',",5
"'well',",5
"['ryanquarlesky',",5
"['brithume',",5
"'hope',",5
"'worker',",5
"'lord',",5
"'dollar',",5
"'bipartisan',",5
"'county',",5
"'plan',",5
"'majority',",5
"'late',",5
"'endorse',",5
"'move',",5
"'follow',",5
"['know',",5
"'high',",5
"['dougandre',",5
"'register',",5
"'apparently',",5
"'security',",5
"'person',",5
"'literally',",5
"'turn',",5
"'senatortimscott',",5
"'role',",5
"['think',",5
"'class',",5
"'yes',",5
