,lemmas
"'countdowncptl',",56
"'definitely',",46
"'macconwell',",45
"'thank',",44
"'agree',",44
"'founder',",40
"'great',",38
"'not',",36
"'good',",35
"'dm',",35
"'think',",34
"'yes',",29
"'vc',",29
"'time',",28
"'way',",27
"'come',",27
"'s',",26
'lol'],26
'point'],26
"'point',",24
"'like',",23
"'tech',",22
'agree'],22
"'know',",21
"'work',",20
"'get',",20
"'invite',",20
"'deep',",19
"'love',",19
'dm'],18
'come'],18
"'yep',",18
'true'],18
"'invest',",17
"'need',",16
"'seed',",16
"'right',",16
"'officialbbrooks',",15
'say'],15
"'today',",15
"'lot',",15
"'dms',",15
"'yea',",15
"'deck',",15
"'startup',",15
'thank'],14
"'folk',",14
'man'],14
"'man',",14
"'lol',",14
"'fair',",13
"'fund',",13
"'sure',",13
"'actually',",13
"'raise',",12
"'see',",12
'shortly'],12
"['zsilvs',",12
"'haha',",12
"'kubha',",12
"'investor',",12
"'early',",12
"'pitchbook',",12
"'let',",11
"'be',",11
"'company',",11
"'word',",11
"'look',",11
"'want',",11
"['adotconnector',",11
"'close',",11
"'build',",10
"'big',",10
"'hope',",10
"'dunkhippo',",10
"'well',",10
"'mikemaccombie',",10
"'lolitataub',",10
"['officialbbrooks',",9
"'oh',",9
"'happen',",9
"['galeforcevc',",9
"'true',",9
"'totally',",9
"'imo',",9
"'interesting',",9
"'paigefinnn',",9
"'wait',",9
'soon'],9
"['macconwell',",9
"'ton',",9
'time'],9
"'thing',",9
"'hard',",9
"'important',",9
"'venture',",9
"'type',",9
"['zeccalehn',",9
"'new',",9
"'b',",9
"'ryanli',",9
"['mattschaar',",9
"'find',",9
"'investment',",9
"'help',",8
"'manojs',",8
"'real',",8
"'vcs',",8
"['darkgaro',",8
"'day',",8
"['jslishi',",8
"'kind',",8
"'power',",8
"'have',",8
"'size',",8
"'long',",8
"'problem',",8
"'take',",8
'way'],8
"'hear',",8
"['lancelotlentini',",8
"'send',",8
"'hahaha',",8
'good'],8
"'truly',",8
"'different',",7
"'people',",7
"'year',",7
"['taytus',",7
"'def',",7
"'go',",7
'imo'],7
"'fantastic',",7
'like'],7
"'super',",7
"'job',",7
'send'],7
"'lp',",7
"'team',",7
"'tweet',",7
"['realcolinmac',",7
"'pre',",7
"'stage',",7
"'try',",7
'love'],7
"'join',",7
"['scottpatterson',",7
"'myfriendjanine',",7
"'deljohnsonvc',",7
"['muhanzhang',",7
"'crazy',",7
"['kubha',",7
"['ctjlewis',",7
"'memo',",7
"'couple',",7
"['lacostejonathan',",7
"['hotbitchintech',",7
'exactly'],6
"'support',",6
'founder'],6
"['billyruecker',",6
"'congrats',",6
"'jaimalik',",6
"'market',",6
"'ryankriser',",6
"'awesome',",6
"'mean',",6
"['stusim',",6
"'round',",6
"'term',",6
"'sound',",6
"'happy',",6
"'amanimalc',",6
"['jamoses',",6
"['proudfounderess',",6
"'honestly',",6
"'pitch',",6
"'open',",6
"'would',",6
"'strong',",6
"'zebulgar',",6
'question'],6
"'amazing',",6
"'feel',",6
"['ashleysliu',",6
"'easy',",6
'instead'],6
"['manojs',",6
'right'],6
"'meaganloyst',",6
"['thegarrettscott',",6
"'thread',",6
"'startupstom',",6
"'surprise',",6
"'luxcapital',",6
"'probably',",6
"'appreciate',",6
"['provisionalidea',",6
"'galeforcevc',",6
"'vs',",6
"'make',",6
"'change',",6
"'gen',",5
"'midwest',",5
"'april',",5
"'speak',",5
"'mhdempsey',",5
"'meme',",5
"'share',",5
"'linkedin',",5
"'depend',",5
"'disruptepreneur',",5
"'thegarrettscott',",5
"['sabakarimm',",5
"'deal',",5
'idea'],5
"'sorry',",5
"'valuation',",5
"['josephlizyness',",5
"'learn',",5
'sure'],5
"'base',",5
"['sahilypatel',",5
"['mrnotarobot',",5
['priyankasehgal'],5
"'bc',",5
"'conorneu',",5
"'clear',",5
'think'],5
"['myfriendjanine',",5
"'twitter',",5
"'wow',",5
"'syndicate',",5
'millennial'],5
"'say',",5
"['millerannette',",5
'yes'],5
"'ago',",5
"['meaganloyst',",5
"'life',",5
"['step',",5
"'pbcolossus',",5
"'minalhasan',",5
"['ransomthoughts',",5
'work'],5
"['martyrdison',",5
"'firm',",5
"['marianogonvas',",5
'haha'],5
"'focus',",5
'fact'],5
"'especially',",5
"'ask',",5
"['bensterne',",5
"['mhdempsey',",5
'day'],4
'gif'],4
"['timsalau',",4
'awesome'],4
"'single',",4
'countdowncptl'],4
"'case',",4
"'group',",4
"'disagree',",4
"'space',",4
'tbh'],4
"'ai',",4
"'use',",4
"'common',",4
"'turnernovak',",4
"'to',",4
"'thought',",4
"'business',",4
"['sturbovsky',",4
"'list',",4
"'lead',",4
"'attend',",4
"['amanimalc',",4
"['twitter',",4
"['sarahcone',",4
"'absolutely',",4
"'ama',",4
"'tough',",4
"'spac',",4
"['swamitweeteth',",4
"['steveniweiss',",4
"['markdonne',",4
"'deenashakir',",4
"['andrewkirima',",4
"['founderannie',",4
'vc'],4
"'clarify',",4
"'game',",4
"['startupstom',",4
"['zakharykipp',",4
"'connect',",4
'stage'],4
"'johncowgill',",4
'speak'],4
"'angel',",4
"'jamoses',",4
"'fundraising',",4
"'personally',",4
"'believe',",4
"['madhusharoff',",4
"'play',",4
'close'],4
"'start',",4
"'develop',",4
"'intro',",4
"'funding',",4
"'jasminvests',",4
"'yoheinakajima',",4
"'onebandwagonfan',",4
"'launch',",4
"'z',",4
'hahaha'],4
"'bad',",4
"['thienkimberly',",4
"['yadavajay',",4
"'non',",4
"'meet',",4
"'provisionalidea',",4
"'farhajmayan',",4
'tweet'],4
'risk'],4
"'customer',",4
"'hka',",4
'help'],4
"'major',",4
'answer'],4
'w'],4
"'networking',",4
"'best',",4
"'jslishi',",4
"['michaelmrush',",4
"'underrated',",4
"['turnernovak',",4
"'add',",4
"'idea',",4
"'emerge',",4
"'follow',",4
"'young',",4
"'month',",4
"'jordantplows',",4
"'thanks',",4
"['bradsiegler',",4
"'technical',",4
'share'],4
"'read',",4
"'message',",3
"'accept',",3
"'difficult',",3
"'fit',",3
