,lemmas
"'trump',",91
"'biden',",76
"['thehill',",69
"'new',",61
"'not',",55
"'say',",51
"'president',",47
"'gop',",45
"'right',",44
"'republicans',",43
"'washington',",39
"'get',",33
"'bill',",31
"'republican',",31
"'day',",30
"'go',",30
"'news',",30
"'capitol',",30
"'election',",30
"'people',",29
"'senate',",28
'post'],28
"'vote',",28
"'s',",27
"'want',",27
"'year',",27
"'like',",27
"'state',",26
"'voter',",26
"'house',",25
"'white',",25
"'know',",24
"'think',",24
"'call',",23
"'voting',",23
"['kylegriffin',",22
"'support',",21
"['mollyjongfast',",21
"'great',",21
"['projectlincoln',",21
"'try',",20
"'time',",20
"'vaccine',",20
"'american',",20
"'texas',",19
"'court',",19
"['opinion',",19
"'tell',",19
"['meidastouch',",19
"'covid',",19
"'americans',",19
"'good',",18
"'party',",18
"'make',",18
"'georgia',",18
"'give',",18
"'fox',",18
"'post',",18
"'fight',",18
"'democrats',",17
"'filibuster',",17
"'break',",17
"'work',",16
"'today',",16
"'america',",16
"'law',",16
"'pass',",15
"'help',",15
"'bad',",15
"'come',",15
"'police',",15
"'poll',",15
"'start',",15
"'old',",15
"'million',",15
"'tucker',",15
"'look',",15
"'gaetz',",15
"'official',",15
"'be',",15
"'carlson',",15
"'plan',",14
"'racist',",14
"'life',",14
"'leader',",14
"'donald',",14
"'bidens',",14
"'man',",14
"'black',",14
"['donwinslow',",14
"'need',",14
"'big',",14
"'woman',",14
"'arrest',",14
"'kill',",14
"['radiofreetom',",13
"'rep',",13
"'joe',",13
"'leave',",13
"'guy',",13
"'live',",13
"'effort',",13
"'ask',",13
"'attack',",13
"'administration',",13
"'mcconnell',",13
"'gun',",13
"'thing',",12
'trump'],12
"'long',",12
"'country',",12
"'job',",12
"['thedailybeast',",12
"'world',",12
"'member',",12
"'manchin',",12
'right'],12
"'democracy',",12
"'relief',",11
"'charge',",11
"'watch',",11
"'coronavirus',",11
"'resign',",11
"'matt',",11
"'story',",11
"'war',",11
"'claim',",11
"'stop',",11
"'congress',",11
"'political',",11
"'campaign',",11
"'governor',",11
"'culture',",11
"'york',",11
"'federal',",11
"'investigation',",11
"'child',",11
"'change',",11
"'take',",11
"'report',",11
"'putin',",11
"'tax',",11
"'real',",11
"'group',",11
"'create',",10
"'reporter',",10
[],10
"'read',",10
"'shooting',",10
"'democratic',",10
"['billkristol',",10
"'history',",10
"'supreme',",10
"'ron',",10
"'company',",10
"'ago',",10
"'senator',",10
"'lie',",10
'say'],10
"'let',",10
"'russia',",10
"'justice',",10
"'hold',",10
"'accuse',",10
"'dc',",10
"'remember',",10
"'pro',",10
"'infrastructure',",9
"'love',",9
"'john',",9
"'case',",9
"['georgetakei',",9
"'china',",9
"'mean',",9
"'lose',",9
"['glennkesslerwp',",9
"'cruz',",9
"'focus',",9
"'half',",9
"'lead',",9
"'secretary',",9
"'speak',",9
"'speech',",9
"'release',",9
"'include',",9
"'anti',",9
"'pandemic',",9
"'-year',",9
"'mccarthy',",9
"'judge',",9
"['marceelias',",9
"'see',",9
"'civil',",9
"'opinion',",9
"'book',",9
"'nra',",9
"'suppression',",9
"'actually',",9
'democracy'],9
"'game',",8
"'conservative',",8
"'economic',",8
