,lemmas
"'woman',",115
"'thank',",94
"'not',",64
"'work',",61
"'love',",51
"'know',",41
"'today',",40
"'help',",38
"'support',",38
"'good',",37
"'time',",37
"'mom',",36
"'share',",36
"'w',",34
"'need',",33
"'thing',",32
"'want',",31
"'people',",30
"'family',",29
"'day',",29
"'community',",28
"'amazing',",28
"'friend',",28
"'like',",26
"'say',",26
"'let',",25
"'speak',",25
"['thank',",24
"'new',",24
"'daughter',",24
"'company',",24
"['michelejawando',",24
"'right',",23
"'look',",23
"'talk',",23
"['not',",23
"'get',",22
"'happen',",22
"'great',",22
"'come',",22
"'voice',",22
"'appreciate',",21
"'child',",21
"'girl',",21
"'be',",21
'thank'],21
"'go',",20
"'black',",20
"'start',",20
"'feel',",20
"'panel',",20
"'year',",20
"'find',",19
"'world',",19
"'kid',",19
"'pls',",19
"'ask',",18
"'yes',",18
"'change',",18
"'hard',",17
"'join',",17
"'celebrate',",17
"['excited',",17
"'month',",17
"'old',",17
"'pay',",17
"'leader',",16
"['mongeliliana',",16
"'story',",16
"'sure',",16
"'hear',",15
"'create',",15
"'white',",15
"'color',",15
"'make',",15
"'ready',",14
"'hate',",14
"'tech',",14
"'leadership',",14
"'wait',",14
"'morning',",14
"'life',",14
"'karinacbell',",13
"'proud',",13
"'opportunity',",13
"'power',",13
"'job',",13
"'parent',",13
"'history',",13
"'week',",13
"'live',",12
"'learn',",12
"'abt',",12
"'lady',",12
"'diversity',",12
"'glad',",12
"'think',",12
"'excite',",12
"'man',",12
"'inspire',",11
"['operaqueenie',",11
"['mindaharts',",11
"'latinx',",11
"'hope',",11
"['deldelp',",11
"'event',",11
"'conversation',",10
"'miss',",10
[],10
"'equal',",10
"'baby',",10
'appreciate'],10
'work'],10
"'justice',",10
"'fight',",10
"'school',",10
"'meet',",10
"'call',",10
"'read',",10
"'send',",10
"['nancysnegron',",10
"'sweet',",10
"'workplace',",10
"'discuss',",10
"'build',",10
"'stay',",10
"'moment',",10
"'mean',",10
"'face',",10
"['openaccessio',",10
"'way',",10
"'tell',",10
"'word',",9
"'country',",9
"['today',",9
"['love',",9
"'conference',",9
"'ill',",9
"'well',",9
"'board',",9
"'lose',",9
"'pinterest',",9
"'lead',",9
"'check',",9
"'try',",9
"'bring',",9
'woman'],9
"'comcastca',",9
"'god',",9
"['woman',",9
"'girlsleadership',",9
"'care',",8
"'openaccessio',",8
"'grateful',",8
"'dinerodiva',",8
"['get',",8
"'business',",8
"'founder',",8
"'night',",8
"'tonight',",8
'love'],8
"'thanks',",8
"'home',",8
"'womens',",8
"'talent',",8
"'act',",8
"['make',",8
"'move',",8
"'take',",8
"'will',",8
"'wtrmrk',",8
"['join',",8
"'important',",8
"'role',",8
"'leave',",8
"'injustice',",8
"'teacher',",8
"'asian',",8
"'matter',",8
"'brave',",8
"'powerful',",8
"'dei',",8
"'excited',",8
"'vote',",8
"'watch',",8
'xo'],8
"'sf',",7
"'book',",7
"'hold',",7
"'ceo',",7
