,lemmas
"'kimikoglenn',",155
"'waitressmusical',",86
"'oitnb',",61
"'new',",40
'oitnb'],37
[],37
"['waitressmusical',",32
'waitressmusical'],32
"'watch',",31
"'u',",29
"'come',",28
"'love',",28
"'broadway',",27
"'kealasettle',",26
"'season',",26
"'know',",24
'kimikoglenn'],23
"['seangrandillo',",23
'https'],23
"'cast',",22
"'day',",22
"'star',",22
"'like',",21
"'wait',",20
"'happy',",20
"'trump',",19
"'good',",19
"'get',",19
"'live',",19
"'think',",18
"'look',",18
"'see',",18
"'go',",18
"'tomorrow',",17
"'seangrandillo',",17
"'musical',",14
"'interview',",14
"'today',",14
"'sarabareilles',",14
"'man',",13
'seangrandillo'],13
"['oitnb',",13
"'people',",12
"'tonight',",12
"'thank',",12
"'join',",12
"'open',",12
'hairspraylive'],12
"'fun',",12
"'kimiko',",12
"'th',",12
"'great',",12
"'leave',",12
"'samirawiley',",12
"'song',",11
"'w/',",11
"'talk',",11
"'right',",11
"'night',",11
"'tune',",11
"'vote',",11
"'voice',",11
"'dog',",11
"'video',",10
"'time',",10
"'make',",10
"'soso',",10
"'send',",10
"'guy',",10
"'gun',",10
"'need',",10
"'ur',",9
"'pm',",9
"'not',",9
"'let',",9
"['love',",9
"'thing',",9
"'woman',",9
"'periscope',",9
"'waitress',",9
'htt'],9
"'asian',",9
"['playbill',",9
"'life',",9
"'w',",9
"['theatermania',",9
'https:/'],9
"'pie',",9
"'ask',",8
"'world',",8
"'actor',",8
"'well',",8
"'album',",8
"'start',",8
"'orange',",8
"'question',",8
"'country',",8
'thebachelor'],8
"'say',",8
"'win',",8
"'birthday',",8
"'help',",8
"'play',",8
"'black',",8
"'check',",8
"'listen',",8
"'debut',",8
"'cute',",8
"'performance',",8
"'to',",8
"'try',",8
"'lizakoshy',",8
'season'],7
"'photo',",7
"'premiere',",7
"'emmamyles',",7
"'lead',",7
"'cover',",7
"'episode',",7
"'pic',",7
"'moment',",7
"'yes',",7
"'way',",7
"'stage',",7
"'jessiemueller',",7
"'shoot',",7
"['broadwayworld',",7
'u'],7
"['kealasettle',",7
"['npraskmeanother',",7
"'find',",7
"'take',",7
"'award',",7
"'til',",7
"'hrs',",7
"'center',",7
"'party',",7
"'laugh',",7
'h'],7
"'movie',",7
"'year',",7
"'sing',",7
"'sarabareille',",7
"'est',",7
"'nerve',",7
"'donald',",7
"'favorite',",6
"'opening',",6
"'preview',",6
"'meet',",6
'time'],6
'love'],6
"'s',",6
"'omg',",6
