,lemmas
"'macconwell',",350
"'rarebreedvc',",136
"'thank',",69
"'founder',",52
"'startup',",46
"'time',",44
"'vc',",43
"'know',",43
"'get',",42
"'dunkhippo',",38
"'need',",36
"'mac',",35
"'unspunio',",33
"'love',",33
"'fund',",31
"'people',",31
"'week',",30
"'raise',",28
"'good',",28
"'help',",27
"'want',",27
"'feel',",25
"'investor',",25
"'today',",24
"'year',",22
"'thread',",22
"'not',",21
"'great',",21
"'like',",21
"'black',",21
"'talk',",20
"'day',",20
"'go',",19
"'fastcompany',",19
"'be',",19
"'look',",19
"'live',",18
"'company',",18
"'amanimalc',",17
"'lolitataub',",17
"'thing',",17
'macconwell'],17
"'read',",17
"'month',",17
"'new',",16
"'share',",16
"'build',",16
"'community',",16
"'hbcuvc',",16
"'hear',",16
"'pitch',",16
"'win',",16
"'way',",16
"'come',",16
"'jefielding',",15
"'thefullratchet',",15
"'big',",15
"'margentambi',",15
"'find',",15
"'s',",15
"'follow',",14
'rarebreedvc'],14
"'launch',",14
"'think',",14
"'venture',",14
"'liamgill',",14
"'learn',",14
"'business',",14
"'let',",14
"'fear',",14
"'myfriendjanine',",14
"'friend',",14
"'start',",13
"'change',",13
"'amazing',",13
"'pm',",13
"'listen',",13
'lol'],13
"'man',",13
"'capital',",13
"'try',",13
"'benparr',",13
"'investment',",12
"'nee',",12
"'story',",12
"'woman',",12
"'podcast',",12
"'twitter',",12
"['dunkhippo',",12
"'jaimalik',",12
"'lp',",12
"'space',",12
"'joinrepublic',",12
"'invest',",12
"'world',",12
'time'],12
"'right',",12
"'white',",12
"'vcs',",12
'hbcuvc'],11
"'interview',",11
"'hope',",11
"['macconwell',",11
"'kind',",11
"'continue',",11
"'meeting',",11
"'true',",11
"'sure',",11
"'tell',",11
"'have',",11
"['lolitataub',",10
"'monday',",10
"'small',",10
"['advocatemyles',",10
"'yes',",10
"'happen',",10
"'close',",10
"'lot',",10
"'real',",10
"'police',",10
"'appreciate',",10
"'join',",10
"'money',",10
"['jaimalik',",10
"['ashleysliu',",10
"'clubhouse',",9
"'teach',",9
"'long',",9
"['amanimalc',",9
'thank'],9
"'word',",9
"'hire',",9
"'work',",9
"'ago',",9
"'chat',",9
"'cc',",9
"'host',",9
"'wait',",9
"'important',",9
"'say',",9
'b'],9
'man'],9
'love'],9
"'tech',",9
"'sorry',",8
"'life',",8
"'team',",8
"['joshuawilluhn',",8
"'conversation',",8
"'inside',",8
"['notamitalegend',",8
"'hey',",8
'win'],8
"'spend',",8
"'experience',",8
"'ok',",8
"'check',",8
"'hotline',",8
"'officialbbrooks',",8
"'excited',",8
"'deal',",8
"'hard',",8
"['officialbbrooks',",8
'thread'],8
"'agree',",8
"'take',",8
"'value',",8
'h'],8
"'intro',",8
"'oh',",8
"'car',",8
"'episode',",8
"'support',",7
"'congratulation',",7
"'see',",7
'like'],7
"'person',",7
"'forward',",7
"'k',",7
"'tweet',",7
"'excite',",7
"'give',",7
"'velissarisvc',",7
"'edgrapenutzimm',",7
"'especially',",7
"'session',",7
"'create',",7
"'awesome',",7
"'lps',",7
"['zsilvs',",7
"'partner',",7
"'ama',",7
"'lead',",7
"['taytus',",7
"'ask',",7
"['justinlabel',",7
"'folk',",7
"'insight',",7
"['lcheslerclark',",7
"'lol',",7
"'sad',",7
"'baltbizonline',",7
'exactly'],7
"'speak',",7
'day'],7
"'idea',",6
"'end',",6
"'point',",6
"'emerge',",6
"'network',",6
"'congrats',",6
"'sabakarimm',",6
"'hustlefundvc',",6
"'onebandwagonfan',",6
"'manager',",6
"'happy',",6
