,lemmas
"['criconf',",142
"'ihumarseille',",98
"'paper',",70
"'thank',",69
"'microbiome',",56
'thank'],55
"'image',",52
"'pubpeer',",47
"'find',",43
"'microbiomdigest',",40
"'research',",37
"'echabriere',",35
"'journal',",35
"'work',",33
"'good',",31
"'tweet',",30
"['borgerpieter',",29
"'borisbarbour',",27
"'sure',",27
"'de',",27
"'like',",26
"'digest',",26
"'look',",25
"'science',",25
"['new',",24
"'post',",23
"'get',",23
"'concern',",22
"'ask',",21
"'tool',",21
"'smutclyde',",20
"'yes',",20
"'lot',",19
"'criconf',",19
"'need',",19
"'study',",19
"'time',",19
"'appear',",18
"'je',",18
"'een',",18
"'year',",18
"'come',",18
"'schneiderleonid',",18
"'write',",17
"'scientific',",17
"'gut',",17
"'pjvanerp',",17
"'integrity',",17
"'new',",17
"'try',",17
"['truxanxiao',",17
"'twitter',",17
"'thatsregrettab',",16
"'author',",16
"['thatsregrettab',",16
"'people',",16
"'talk',",15
"'aphmactu',",15
"'report',",15
"'day',",15
"'leprofessionne',",15
"'different',",15
"'human',",14
"'microbiosoc',",14
"'help',",14
"'ericberton',",14
"'detlefsenpatri',",14
"'great',",14
"'retract',",14
"'duplication',",14
"'ik',",13
"'publish',",13
"'dat',",13
"'bb',",13
"'idea',",13
"'eg',",13
"'person',",13
"'raoultdidier',",13
"'university',",12
"'use',",12
"'panel',",12
"['mattjhodgkinson',",12
"'support',",12
"'bacteria',",12
"'univamueurope',",12
"'franceinfo',",12
"'harryhol',",12
"'march',",12
"'problem',",12
"'error',",12
"'hahaha',",12
"'spot',",12
"'patreon',",12
"'check',",12
"'professor',",12
"'make',",12
'paper'],11
"'hope',",11
"'case',",11
"'oh',",11
"'lisabeaujour',",11
"'text',",11
'pubpeer'],11
"'scientist',",11
"'today',",11
"'show',",11
"'nih',",11
"'cite',",11
"'know',",11
"'io',",11
"'univamu',",11
"'tell',",10
"'photo',",10
"'explain',",10
"'include',",10
"'mayoclinic',",10
"'start',",10
"'figure',",10
"'detect',",10
"'actually',",10
"'review',",10
"'april',",10
"'way',",10
"'happy',",10
"'thread',",10
"'researcher',",10
"'think',",10
"'k',",10
"'article',",10
"'comment',",10
"'nice',",10
"'focus',",10
"'datum',",10
"'fake',",9
"['microbiomdigest',",9
"'winner',",9
"'correct',",9
"'contact',",9
"'raise',",9
"'mt',",9
"'award',",9
"'level',",9
"'mean',",9
'help'],9
"'bik',",9
"['eliasmikael',",9
"'interest',",9
"'guipomro',",9
"'duplicate',",9
"'go',",9
'find'],9
"'issue',",9
"'microbiota',",9
'h'],9
"'community',",9
"'publisher',",9
"'want',",9
"'bad',",9
"'dww',",9
"'tb',",9
"'give',",9
'p'],9
"'lead',",9
"'prdrossi',",9
"'big',",9
"'en',",9
"'right',",9
"'say',",9
"'misconduct',",8
"'patient',",8
"'treat',",8
"'type',",8
"['braincures',",8
"'van',",8
"'covid-',",8
"'speaker',",8
"'old',",8
"'jb',",8
"'student',",8
"'video',",8
"'leave',",8
"'question',",8
"'share',",8
"['drfulli',",8
"'olivierfente',",8
'hahaha'],8
"'love',",8
"'suprecherche',",8
"'small',",8
"'maybe',",8
"'het',",8
"'editor',",8
"'sgrol',",8
'th'],8
"'magcarco',",8
"['kevinmckernan',",8
"'email',",8
"'similar',",8
"'microbial',",8
"'screenshot',",8
"'open',",8
"'conference',",8
"'address',",8
"'speakupatwork',",8
"'whistleblower',",8
'support'],8
'yes'],8
"'thing',",8
"['smutclyde',",8
"'happen',",8
"'original',",8
"'covid',",8
"'read',",8
"'real',",7
"'nee',",7
"'monox',",7
"['deevybee',",7
'e'],7
'award'],7
"'technology',",7
"'forbettersci',",7
"'hard',",7
"'dgcostagliola',",7
"'number',",7
"'pieter',",7
"'maar',",7
"'tatayoyokesski',",7
"'analyze',",7
"'ethic',",7
"'da',",7
"'microbe',",7
'image'],7
"['jokerdustras',",7
"'agree',",7
"'link',",7
"'important',",7
"'disease',",7
"'lehmanndrc',",7
"'et',",7
"'prize',",7
"'wow',",7
"'ubiome',",7
"'remove',",7
"'second',",7
"'karaanntinker',",7
"'animal',",7
"'bacterial',",7
"['nicolasvdrines',",7
"'let',",7
"'block',",7
"'conflict',",7
"'state',",6
"'international',",6
"'anti',",6
"'nature',",6
"'account',",6
"['lolilapopa',",6
"'create',",6
"'microbiology',",6
"'plagiarism',",6
"'detection',",6
"'annual',",6
"'dm',",6
"'mask',",6
"'see',",6
"'public',",6
"'feature',",6
"'claim',",6
"'french',",6
"'credit',",6
"'danielbolnick',",6
"'system',",6
"'search',",6
"'challenge',",6
"'sea',",6
"'director',",6
"'send',",6
"'academic',",6
"'manipulation',",6
"'point',",6
"'dacyessex',",6
"'hear',",6
"['tatayoyokesski',",6
"['ishasha',",6
"['leprofessionne',",6
"'retractionwatch',",6
"'retraction',",6
"'dr',",6
"'infectious',",6
"'merylswanlake',",6
"'well',",6
"'sonicurticant',",6
"'provide',",6
'year'],6
"'vidalfrederique',",6
"'watch',",6
"'genome',",6
"'sequence',",6
"'damienbarraud',",6
"'emoji',",6
"'long',",6
"'publication',",6
"'one',",6
"'peer',",6
"'later',",6
"'deal',",6
"'true',",6
"'danielakuna',",6
"'health',",6
