,lemmas
"'not',",69
"'love',",64
[],63
"'people',",62
"'work',",38
"'like',",36
"'life',",34
"'mtndewmajormelon',",31
'mypromotionentry'],30
"['mountaindew',",30
"'need',",29
"'know',",29
"'year',",28
"'start',",27
"'time',",27
"'feel',",26
"'today',",26
"'good',",26
"['joelakamag',",23
"'health',",23
"'founder',",23
"'think',",23
"'want',",22
"'live',",22
"'thing',",21
"'day',",20
"'startup',",20
"'week',",20
"'thank',",20
"'get',",20
"'social',",19
"'new',",19
"'build',",18
"'look',",18
"'try',",18
"'mental',",18
"'care',",18
"'great',",18
"'self',",17
"['nabeeleats',",17
"'help',",17
"'yes',",17
"'read',",17
"'be',",17
"'s',",16
"'learn',",16
"'matter',",16
"'make',",16
"'go',",16
"'hear',",15
"'hard',",15
"'well',",15
"'lol',",14
"'human',",14
"['jkutik',",14
'yes'],14
"['moodykhedr',",14
"['timsalau',",14
"'long',",14
"'lot',",14
"'company',",14
['mountaindew'],14
"'create',",14
"'job',",14
"'come',",14
"['shl',",14
"'world',",14
"'product',",14
"'stop',",13
"'entrepreneur',",13
"['great',",13
"'let',",13
"'talk',",13
"'change',",13
"'book',",13
"['hpierrejacques',",13
"'find',",13
"'mind',",13
"'say',",12
"'right',",12
"['terrinwatson',",12
"['drsepah',",12
'love'],12
"'way',",12
"'person',",12
"'deep',",11
"'event',",11
"['love',",11
"'invest',",11
"'lead',",11
"'design',",11
"'student',",11
"['ishverduzco',",11
"'community',",11
"'pay',",11
"'important',",11
"'money',",10
"'reminder',",10
"['discuss',",10
"'have',",10
"'send',",10
"'thread',",10
"'tell',",10
"'hope',",10
'lol'],10
"'big',",10
"'better',",10
"'share',",10
"'actually',",9
"'school',",9
'live'],9
"'run',",9
"'mean',",9
"'watch',",9
"'value',",9
"'happen',",9
"'list',",9
"'give',",9
"'pm',",9
'thank'],9
"'hold',",9
"'write',",9
'thing'],9
"'happy',",8
"['not',",8
"['deemozeleski',",8
"'speak',",8
"'future',",8
"'sure',",8
'work'],8
"'nee',",8
"'energy',",8
"'google',",8
"'buy',",8
"'understand',",8
"['feel',",8
"'free',",8
"['susandavidphd',",8
"'ask',",8
"'team',",8
"'lose',",8
"'business',",8
"'believe',",7
"['swayswati',",7
"'launch',",7
"'fully',",7
'know'],7
"'to',",7
"'wish',",7
"'conversation',",7
'life'],7
"'break',",7
"'child',",7
"'okay',",7
"'fund',",7
"'choose',",7
"'away',",7
"'pain',",7
"'heart',",7
"'reason',",7
"'young',",7
"'white',",7
"'tweet',",7
"'awesome',",7
"'take',",7
"'amazing',",7
"'system',",7
"'teach',",7
"'dr',",7
"'wow',",7
"['ianplevy',",6
"'call',",6
"'problem',",6
"'die',",6
"'fit',",6
"'podcast',",6
"['cycampos',",6
'thread'],6
"['good',",6
"'ceo',",6
"['austen',",6
"'thought',",6
"'global',",6
"'join',",6
"'x',",6
"['join',",6
"'black',",6
"'able',",6
"'wear',",6
"'use',",6
"'positive',",6
"'meet',",6
"'eat',",6
"'habit',",6
"'short',",6
"'fall',",6
"['chrisemdin',",6
"'leader',",6
"['gholdym',",6
"'twitter',",6
"'clubhouse',",6
"'quality',",6
"'speaker',",6
"'career',",6
"'face',",6
"'zoom',",6
"'brother',",6
'time'],6
"'month',",6
'right'],6
'worth'],6
"'fast',",6
"'agree',",6
"'user',",5
"'kind',",5
"'struggle',",5
"'feature',",5
"['shout',",5
"'jcolenc',",5
"'anti',",5
"'act',",5
"'racism',",5
"'lunchboxtech',",5
"'real',",5
"'inside',",5
'go'],5
"'push',",5
'feel'],5
'congrats'],5
"'market',",5
"'medium',",5
"'miss',",5
"'education',",5
"'b',",5
"'moodykhedr',",5
"'powerful',",5
"['people',",5
"'instead',",5
"'friend',",5
"'see',",5
"'decision',",5
"'high',",5
'good'],5
"'term',",5
"'negative',",5
"'flower',",5
"'support',",5
"'body',",5
'nabeeleats'],5
"'suicide',",5
"'form',",5
"'experience',",5
'w'],5
"'space',",5
"'man',",5
"'return',",5
"'healthy',",5
"'forward',",5
"'emotional',",5
"'will',",5
"'fire',",5
"['britchavez',",5
"['anthonysupreme',",5
"'building',",5
"'peace',",5
"'citycollegeny',",5
"'wrong',",5
"['wnrstweet',",5
"['today',",5
"['mattwallaert',",5
"'exactly',",5
"['domm',",5
'bro'],5
"'save',",5
"['thatjillian',",5
"'recently',",5
"'step',",4
"'define',",4
"'ago',",4
"'cuny',",4
"'dreamville',",4
'later'],4
'join'],4
"'knowledge',",4
"['andrewyang',",4
"'repjohnlewis',",4
"'super',",4
"'congrats',",4
"'true',",4
"'remember',",4
"'tool',",4
"'challenge',",4
"'positivity',",4
"'justice',",4
"'point',",4
"'email',",4
"'vincentarena',",4
"'deserve',",4
"'software',",4
"'khandkeraham',",4
"'catalyze',",4
"'mountain',",4
"['nycfirstlady',",4
"'sleep',",4
"['jasminemartin',",4
"['dremilyanhalt',",4
"['joshuaogundu',",4
"'close',",4
'th'],4
"'improve',",4
"'reach',",4
"'grow',",4
"'little',",4
"'breath',",4
"'valley',",4
"'age',",4
"'thinking',",4
"'ccny',",4
"'worth',",4
"'opinion',",4
"'content',",4
"'maybe',",4
"'fight',",4
"['know',",4
'today'],4
"['be',",4
"'idea',",4
'tomorrow'],4
"'cool',",4
"'quit',",4
"'feeling',",4
"'small',",4
"'tomorrow',",4
'not'],4
"'society',",4
"['lennysan',",4
"'story',",4
"'hi',",4
"'low',",4
"'soul',",4
"'co',",4
"['naval',",4
'talk'],4
"'joy',",4
"['tell',",4
"'project',",4
"'would',",4
"['chamath',",4
"'practice',",4
"'cut',",4
"'happiness',",4
"['denasimmon',",4
"'morning',",4
"'appreciate',",4
"'sell',",4
'wow'],4
"'hiphoped',",4
"'sense',",4
'read'],4
"'publish',",4
'idea'],4
"'goal',",4
"'follow',",4
"'post',",4
['nabeeleats'],4
"'set',",4
"'seek',",4
"'opportunity',",4
"'tip',",4
"['s',",4
"'hour',",4
"'strive',",4
