,lemmas
"['repmalliotakis',",113
"'new',",106
"'nmalliotakis',",97
"'cuomo',",85
"'border',",64
"'nyc',",57
"'biden',",51
"'year',",48
"'say',",48
"'york',",47
"'governor',",47
"'democrats',",46
"'malliotakis',",45
"'today',",43
"'work',",41
"'school',",40
"'join',",40
"'covid',",40
"'day',",39
"'city',",38
"'state',",38
"'ny',",38
"'want',",38
"'need',",37
"'nicole',",37
"'home',",37
"['gopleader',",36
"'congress',",35
"'police',",35
"'bill',",35
"'house',",34
"'thank',",34
"'officer',",33
"'member',",33
"'rep',",33
"'time',",32
"'vaccine',",32
"'call',",32
"'not',",30
"'nursing',",30
"'come',",30
"'congresswoman',",29
"'crisis',",29
"'reopen',",29
"'president',",28
"'tell',",25
"'people',",25
"'vote',",25
"'law',",25
"'s',",25
"'business',",25
"'open',",24
"'nygovcuomo',",24
"'statenisland',",23
"'elect',",23
"'restaurant',",23
"'plan',",22
"'discuss',",22
"'community',",22
"'go',",22
"'know',",22
"['nycpddea',",22
"'american',",21
"'hear',",21
"'give',",21
"'small',",21
"'order',",21
"'like',",21
"['nycpba',",21
"'pelosi',",20
"'yorkers',",20
"'administration',",20
"'nypd',",20
"'push',",20
"'gov',",20
"'look',",20
"'get',",19
"'visit',",19
"'potus',",19
"'proud',",19
"'support',",19
"'great',",19
"'woman',",19
"'lead',",18
"'americans',",18
"'right',",18
"'relief',",18
"'ask',",18
"'week',",18
"['nypost',",18
"'include',",17
"'money',",17
"'way',",17
"'court',",17
"'speak',",17
"'break',",17
"'federal',",17
"'have',",17
"'death',",17
"'staten',",17
"'brooklyn',",17
"'high',",16
"'lose',",16
"'take',",16
"'job',",16
"'public',",16
"'crime',",16
"['newsmax',",16
"'office',",16
"'kill',",16
"'issue',",16
"'de',",16
"'bring',",15
"'america',",15
'th'],15
"'b',",15
"'million',",15
"'good',",15
"'criminal',",15
"['stevescalise',",15
"'receive',",15
"'blasio',",15
"'policy',",15
"'trump',",15
"'mayor',",15
"'island',",15
"'act',",15
"'live',",15
"'family',",15
"'follow',",15
"['joepiscoposhow',",14
"'be',",14
"'indoor',",14
"'cuomos',",14
"'andrew',",14
"'begin',",14
"'immigrant',",14
"'help',",14
"'child',",14
"'increase',",14
"'stop',",14
"'election',",14
"'serve',",14
"'news',",14
"'republican',",14
"'old',",14
"['joeborellinyc',",13
"'safe',",13
"'nycmayor',",13
"'let',",13
"'continue',",13
"'action',",13
"'announce',",13
"'cover',",13
"'assembly',",13
"'dining',",13
"'see',",13
"'ago',",13
"'thousand',",13
"'watch',",13
"'socialist',",13
"'group',",12
"'tonight',",12
"'month',",12
"'talk',",12
"'executive',",12
"'gop',",12
"'pm',",12
"'think',",12
"'w/',",12
"'shoot',",12
"'site',",12
"'allow',",12
"'covid-',",12
"'morning',",12
"'protect',",12
"'send',",12
"'forward',",12
"'happen',",12
"'th',",12
"'mandate',",12
"'southern',",12
"'learn',",12
"'free',",12
"'jrzyjoepiscopo',",12
"['new',",12
"'national',",12
"'colleague',",12
"'nation',",11
"'democrat',",11
"'class',",11
"'resident',",11
"'illegal',",11
"'package',",11
"'distribution',",11
"'leader',",11
"'health',",11
"'republicans',",11
"'fight',",11
"'pay',",11
"'question',",11
"'honor',",11
"'taxpayer',",11
"'capitol',",11
"'fund',",11
"'enforcement',",11
"'night',",11
"'country',",11
"'end',",10
"'local',",10
"'vaccination',",10
"'hold',",10
"'defund',",10
"'release',",10
"'toll',",10
"'stand',",10
"'force',",10
"'cop',",10
"'billion',",10
"'nee',",10
"'try',",10
"['nypdpct',",10
"'committee',",10
"'freshman',",10
"['good',",10
"'government',",10
"'yesterday',",10
"'happy',",10
"'leave',",10
"['great',",10
"'individual',",10
"'believe',",10
"'friend',",10
"'address',",10
"'chief',",9
"'tax',",9
"'start',",9
"'close',",9
"'life',",9
"'meet',",9
"'bipartisan',",9
"'cost',",9
"'united',",9
"['repmalliotaki',",9
"'socialism',",9
"'provide',",9
"'decision',",9
"['governor',",9
"'cancel',",9
"'infrastructure',",9
[],9
"'migrant',",9
"'patrol',",9
"'urge',",9
"'security',",9
'w'],9
"'nancy',",9
"'big',",9
"'read',",9
"'answer',",9
"'shut',",9
"'deserve',",9
"'letter',",9
"'resignation',",9
"'pass',",9
"'taxis',",9
"'mta',",9
"'priority',",8
"['be',",8
"'coronavirus',",8
"'ice',",8
"'bidens',",8
"'capacity',",8
"['lbanypd',",8
"'detective',",8
"['thank',",8
"['housegop',",8
"'find',",8
"'history',",8
"'deal',",8
"'wish',",8
"'line',",8
"'service',",8
"'trillion',",8
"'senior',",8
"'council',",8
"'resign',",8
"'judge',",8
'border'],8
"'person',",8
"'finally',",8
"['siadvance',",8
"'todays',",8
"'voice',",8
"'americas',",8
"'freedom',",8
"'cdc',",8
"['malliotakis',",8
"'love',",8
"'economy',",8
"'admit',",8
"'organization',",8
"'celebrate',",8
"'defunde',",8
"'repmalliotakis',",8
"['janicedean',",8
"'k',",8
"'require',",8
"['repleezeldin',",8
"'official',",8
"'place',",8
"'wrong',",7
"'sense',",7
"'congratulation',",7
"'senate',",7
"'add',",7
"'claim',",7
"'tomorrow',",7
"'restore',",7
"'washington',",7
"['americanewsroom',",7
'r'],7
"'bar',",7
"'salt',",7
"'sexual',",7
"'past',",7
"'kid',",7
"'coverup',",7
"'play',",7
"'mean',",7
"'cartel',",7
"'spend',",7
"'joeborellinyc',",7
"'statement',",7
"'make',",7
"'destroy',",7
"'doj',",7
"'victim',",7
"'listen',",7
"['today',",7
"'speaker',",7
"'restriction',",7
"'district',",7
"'center',",7
"'attack',",7
"'south',",7
"'turn',",7
"'states',",7
"'number',",7
"'congressional',",7
"'investigation',",7
"'outside',",7
"'march',",7
"'use',",7
"['stevenmatteo',",7
"['nyc',",7
"'student',",7
"['nikkihaley',",7
"'transportation',",7
"'party',",7
'time'],7
"'opportunity',",6
"'supreme',",6
"'name',",6
"'justice',",6
"['not',",6
"'economic',",6
"'greek',",6
"'dream',",6
"'facility',",6
"'aoc',",6
'congress'],6
"'strip',",6
"'attempt',",6
"'instead',",6
"'minute',",6
"'radical',",6
"'foreign',",6
"'sign',",6
"'remember',",6
"'concern',",6
"'members',",6
"'world',",6
"'debate',",6
"['cuomo',",6
"'snow',",6
'want'],6
"'legislature',",6
"'create',",6
'f'],6
"'strong',",6
"['miketannousis',",6
"'role',",6
'p'],6
'year'],6
"['repcarlos',",6
'c'],6
"'hero',",6
"'convict',",6
"'mexico',",6
"'focus',",6
"'legislation',",6
"'save',",6
"'anti',",6
"'ensure',",6
"'man',",6
'st'],6
"'lawmaker',",6
"'dems',",6
"'-year',",6
"'maelvirasalazar',",6
"['happy',",6
"'would',",6
"'stimulus',",6
"'chairman',",6
"'nys',",6
'home'],6
"'agree',",6
"'little',",6
"'emergency',",6
"'control',",6
"'cuba',",6
"'veteran',",6
"'fellow',",6
"'power',",6
"'bad',",6
"'joe',",6
"'win',",6
"'forget',",6
"'safety',",6
"'agenda',",6
"'thing',",6
"'development',",6
"'die',",6
"'enter',",6
"'hearing',",6
"'introduce',",6
"'worker',",6
"'scandal',",6
"'violence',",6
"'accountability',",6
"'squad',",6
"'arrest',",6
"'bail',",6
"'survive',",6
"'remain',",6
"'guard',",6
"['look',",6
"'check',",6
"'cross',",6
"'seek',",6
"['democrats',",6
"'swear',",6
"'miss',",6
'police'],6
"'killer',",6
"'expect',",5
"'street',",5
"'partner',",5
"'team',",5
"'illegally',",5
"'schedule',",5
"'international',",5
"'dc',",5
"'education',",5
"'entire',",5
"'staff',",5
"'combat',",5
'american'],5
"'lie',",5
"'ground',",5
"['year',",5
"'favorite',",5
"'hard',",5
'nmalliotakis'],5
"'step',",5
'co'],5
"'run',",5
'work'],5
'crisis'],5
"'fall',",5
"'medical',",5
"'easy',",5
"'assault',",5
"'heres',",5
"'democratic',",5
"'ppp',",5
"'remove',",5
"'understand',",5
"['repbrianmast',",5
"['nycmayor',",5
"'encounter',",5
"'advocate',",5
"'duty',",5
"'affairs',",5
"['claudiatenney',",5
"'important',",5
"'terrorist',",5
"'harassment',",5
"['donaldjtrumpjr',",5
"'press',",5
"'private',",5
"'nearly',",5
"'story',",5
"'citizen',",5
"'bless',",5
"['carlosgimenezfl',",5
"'realdonaldtrump',",5
"'lift',",5
"'spending',",5
"'subway',",5
"'china',",5
"['nycdot',",5
"'stevenmatteo',",5
"['nypdnews',",5
"'st',",5
"'rule',",5
"'welcome',",5
"'relate',",5
"'late',",5
"'subcommittee',",5
"'cut',",5
