,lemmas
"'covid',",142
"'india',",118
'thank'],116
"'delhi',",108
"'oxygen',",106
"'hospital',",97
"'thank',",67
"'need',",62
"'vaccine',",59
"'help',",58
"'not',",50
"'patient',",47
"'covid-',",46
"'case',",45
"'people',",44
"'day',",40
"'government',",36
"'today',",35
"'break',",35
"'nidhi',",32
"'report',",32
"'govt',",30
"'bed',",29
"'sorry',",29
"'state',",28
"['ndtv',",27
"'die',",26
"'crisis',",26
"'centre',",26
"'death',",26
"'pandemic',",26
"'indian',",26
"'say',",26
"'new',",26
"'srinivasiyc',",25
"'high',",24
"'good',",23
"'time',",23
"'friend',",23
"'hope',",22
"'health',",20
"'vaccination',",20
"'supply',",20
"'coronavirus',",20
"'ask',",20
"'test',",20
"'urgent',",19
"'dr',",19
"['ani',",19
"'court',",19
"'ndtv',",18
"'home',",18
"'tehseenp',",18
"'be',",18
"['maya',",18
"'send',",18
"'pm',",18
"'election',",18
"'like',",18
"'year',",18
"['gargirawat',",18
"'journalist',",17
"'news',",17
"'care',",17
"'tell',",17
"['faheemyounus',",17
"'country',",17
"'go',",17
"'come',",17
"'minister',",17
"'know',",17
"'dose',",17
"'doctor',",17
"'request',",16
"'surge',",16
"'situation',",16
"'read',",16
"'plasma',",16
"'lose',",16
"['dillidurast',",15
"'s',",15
"'omarabdullah',",15
"'medical',",15
"'love',",14
"'positive',",14
"'wave',",14
"'age',",14
"'medium',",14
"'shortage',",14
"'mask',",14
"'hour',",14
"'get',",14
"'th',",14
"'week',",14
"['vishnundtv',",14
"'family',",14
"'foreign',",14
"'urgently',",14
"'hear',",13
"'sos',",13
"'big',",13
"'cylinder',",13
"'old',",13
"['samirsaran',",13
"'second',",13
"'april',",13
"'cm',",13
"'want',",13
"['rakakhashu',",13
"'indias',",13
"'level',",13
"'rohinisgh',",13
"'run',",13
"'take',",12
"'ago',",12
"'well',",12
"'life',",12
"'uk',",12
"'number',",12
"'national',",12
"'order',",12
"'story',",12
"'word',",12
"'maharashtra',",12
"'lockdown',",12
"'pass',",11
"'hc',",11
"'adityarajkaul',",11
"'johnson',",11
"'reach',",11
"['suparnasingh',",11
"'month',",11
"'share',",11
"'tweet',",11
"'feel',",11
"['virsanghvi',",11
"'loss',",11
"'use',",11
"['rohinisgh',",11
"'save',",11
"['teensthack',",11
"['vikramchandra',",10
"'find',",10
"'citizen',",10
"'blood',",10
"'young',",10
"'receive',",10
"'group',",10
"'give',",10
'soon'],10
"'critical',",10
"'sc',",10
"['suhasinih',",10
"'capital',",10
"'look',",10
"'bring',",10
"'world',",10
"'vaccinate',",9
"'continue',",9
"'struggle',",9
"'watch',",9
"'public',",9
"['aneeshabedi',",9
"'commission',",9
"['rishisuri',",9
"['scribeprashant',",9
"'severe',",9
"'tomorrow',",9
"'raghavchadha',",9
"'provide',",9
"'deep',",9
"'right',",9
"'result',",9
"'bad',",9
"'increase',",9
"'lakh',",9
"'way',",9
"['gitamuniversity',",9
"'modi',",9
"'message',",8
"'emergency',",8
"'set',",8
"'official',",8
"'bengal',",8
"'amplify',",8
"'wish',",8
'w'],8
"'remdesivir',",8
"'leave',",8
"'treat',",8
"'night',",8
"['bainjal',",8
"'speak',",8
"'lot',",8
"'think',",8
"'lead',",8
"'healthcare',",8
"'singh',",8
'loss'],8
'care'],8
"'work',",8
"'admit',",8
"['srinivasiyc',",8
"'call',",8
"['jyotsnamohan',",8
"'system',",8
"'fight',",8
"'board',",8
"'away',",8
"'huge',",8
"'senior',",8
"'effort',",8
"'try',",8
'covid'],8
"'amid',",8
"'social',",8
"['langamahesh',",8
"'appeal',",8
"'start',",8
"['kaalicharan',",8
"'till',",8
"'require',",8
"['amitabhmattoo',",8
"'daily',",8
"'political',",8
"['arvindersoin',",8
'vaccine'],8
"'explain',",8
"'poll',",8
"'sputnik',",8
"['sanjayraina',",7
"'positivity',",7
"'aiims',",7
"'phase',",7
"'jyotsnamohan',",7
"'pfizer',",7
"'ban',",7
"'hold',",7
"'dead',",7
"'travel',",7
"['shivaroor',",7
"'rate',",7
"'astrazeneca',",7
"'dilipkpandey',",7
"'review',",7
"'mumbai',",7
"'issue',",7
"'past',",7
"'max',",7
'hospital'],7
"'update',",7
"'double',",7
"'rise',",7
"'available',",7
"'announce',",7
"'heartbreaking',",7
"['timesofindia',",7
"'ensure',",7
"'include',",7
"'lack',",7
"['smitasharma',",7
"['amankayamhai',",7
"['cbhattacharji',",7
"'allow',",7
"'expert',",7
"'aid',",7
"'virus',",7
"'write',",7
"'bjp',",7
"'central',",7
"'forward',",7
"'talk',",7
"'face',",7
'help'],6
"['seemagoswami',",6
"'live',",6
"'better',",6
"['livelawindia',",6
"'blame',",6
"'yes',",6
"['ptinews',",6
"'possible',",6
"'nandigram',",6
"'meet',",6
"'suparnasingh',",6
"['afp',",6
"'meeting',",6
"'icu',",6
"['kiranmanral',",6
"'challenge',",6
"'evening',",6
"'symptom',",6
'need'],6
"'important',",6
"'jk',",6
"'complete',",6
"'kumbh',",6
"'open',",6
"'supreme',",6
"'ipl',",6
"'difficult',",6
"'infection',",6
"['help',",6
"['rezhasan',",6
'hug'],6
"'soon',",6
"'medicine',",6
"'chief',",6
"['piyuk',",6
'hour'],6
'p'],6
"'exam',",6
"'wear',",6
"'non',",6
"'district',",6
"'west',",6
"'gurgaon',",6
"'reason',",6
"'air',",6
"'testing',",6
"'force',",6
"'late',",6
"'isolation',",6
"'major',",6
"'batra',",6
"'decision',",6
"'mother',",6
"'humanitarian',",6
"'prayer',",6
"'v',",6
"'seek',",6
"'direct',",6
"'person',",6
"['tehseenp',",6
"'hit',",6
"'focus',",6
"'recover',",6
"'close',",6
"'judge',",6
"'support',",6
"'follow',",6
"'thing',",6
"'colleague',",6
"'datum',",5
"'import',",5
'recovery'],5
'h'],5
"'woman',",5
"'volunteer',",5
"'confirm',",5
"'eligible',",5
"['sunetrac',",5
"['arunbothra',",5
"'safe',",5
"'question',",5
'people'],5
'th'],5
"'jab',",5
"['swatiwild',",5
"'cancel',",5
