,lemmas
"'not',",86
"'love',",50
"'be',",48
"'watch',",47
"'think',",41
"'like',",39
"'year',",38
"'know',",34
"'go',",33
"['not',",30
"'s',",29
"'wait',",28
"'people',",28
"'time',",26
"'need',",25
"'have',",25
"'good',",24
"'story',",23
"'trump',",23
"'get',",23
"'right',",23
"['love',",22
[],21
"'new',",21
"'movie',",21
"'man',",21
"'white',",20
"'day',",20
"'film',",19
"'try',",19
"'happy',",19
"['oh',",18
"'come',",18
"'want',",18
"'say',",18
"'vote',",18
"'see',",18
"'work',",17
"'woman',",17
"'president',",16
"'change',",16
"['be',",16
"'asian',",16
"'american',",16
"'black',",15
"['think',",15
"'feel',",14
"'news',",14
"'yes',",13
"'read',",13
"'family',",13
"'literally',",13
"'hear',",13
"'oh',",13
"'talk',",12
"'racist',",12
"'tell',",12
"'give',",12
"'damn',",12
"['shararehdrury',",12
"'today',",12
"'real',",12
"'america',",12
"['have',",12
"'lead',",11
"['hey',",11
"'look',",11
"'joe',",11
"'person',",11
"'x',",11
"'happen',",11
"'hollywood',",11
"'will',",11
"'cover',",11
"'lie',",11
"'make',",11
"'past',",10
"'brilliant',",10
"'biden',",10
"'force',",10
"'night',",10
"'interview',",10
"'wear',",10
"'sure',",10
"'decade',",10
"'speak',",10
"'pay',",10
"'mean',",10
"'god',",10
'thank'],10
"'debate',",10
"'thank',",10
"'send',",9
"'cool',",9
"'remember',",9
"['lol',",9
"'word',",9
"'definitely',",9
"'thing',",9
"'eat',",9
"'head',",9
"'lose',",9
"'la',",9
"'tonight',",9
'day'],9
"'actually',",9
"'great',",9
"'show',",8
"'single',",8
"'actor',",8
"'beautiful',",8
"'play',",8
"'sorry',",8
"'law',",8
"'absolutely',",8
"'group',",8
"'british',",8
"'hope',",8
"'big',",8
"'win',",8
"'write',",8
"'truly',",8
"'favourite',",8
"'guess',",8
"['remember',",8
"['sethrogen',",7
"'hell',",7
"'americans',",7
"'run',",7
"'hour',",7
'th'],7
"'aapi',",7
"'kamalaharris',",7
"'taylor',",7
"['kylebuchanan',",7
"'piece',",7
"['people',",7
"'listen',",7
"'way',",7
"'miss',",7
"'brad',",7
'movie'],7
"'book',",7
"'heart',",7
'be'],7
"'race',",7
"'role',",7
"'especially',",7
"'lot',",7
"'south',",7
"'excellent',",7
"'ask',",7
"'call',",7
"'ago',",7
"'girl',",7
"'voice',",7
"'sound',",7
'right'],7
"'thread',",7
"['know',",7
"'house',",7
"'world',",7
['jdavidsonla'],6
"'learn',",6
"'medium',",6
"'stay',",6
"'journalist',",6
"'job',",6
"'bad',",6
"['runwithskizzer',",6
"'leave',",6
"'ill',",6
"'week',",6
"'shit',",6
"'color',",6
"'tweet',",6
"['derekschulte',",6
"'community',",6
"'kamala',",6
