,lemmas
"'not',",153
"'good',",80
"'s',",70
"'think',",59
"'preview',",52
"'like',",52
"'england',",51
"'big',",46
"'have',",45
"['sportinglife',",45
"'sportinglife',",44
"'get',",44
"'ipl',",44
"'day',",43
"'play',",39
"'win',",36
"'look',",35
"'bettor',",34
"'year',",33
"['davesmith',",33
"['nickmetcalfe',",33
"'cricketonly',",33
"'go',",32
"'week',",32
"'time',",31
"'come',",30
"'series',",28
"'cricket',",28
"'be',",27
"'test',",27
"['jonmullin',",27
"'world',",27
"'player',",26
"'snooker',",26
"'great',",26
"['gwsnookertips',",26
"'run',",26
"'need',",25
"'ball',",25
"'today',",25
"'would',",25
"['bencoleygolf',",24
"'know',",24
"'start',",24
"'india',",24
"'ronnie',",24
"'want',",24
"'watch',",23
"'old',",23
"'anderson',",23
"'final',",23
"'match',",23
"'sampsoncollins',",22
"'bet',",22
"'championship',",22
"'sure',",21
"'paulmotty',",21
"'bash',",21
"'thank',",21
"'point',",20
"'thing',",20
"['darkagefootball',",20
"'podcast',",19
"'agree',",19
"'game',",18
"'man',",18
"'hope',",18
"'right',",18
"'richardmann',",18
"'v',",18
"['fouldsy',",18
"'horse',",18
"'osullivan',",18
"'way',",17
"'bat',",17
"'cricketbetting',",16
"'open',",16
"'team',",16
"'miss',",16
"['cricketbetting',",16
"'special',",16
'indveng'],15
"['valueracingplus',",15
"'interview',",15
"'batting',",14
"['adammorgs',",14
"'fair',",14
"'will',",14
"'tonight',",14
"'night',",14
"'give',",14
"'love',",14
"'brilliant',",14
"'buttler',",13
"'proper',",13
"'mark',",13
"'selby',",13
"'take',",13
"['betfairexchange',",13
'bbl'],13
"['chenzorod',",13
"'hell',",13
"'long',",13
"'work',",13
"'talk',",13
"'tweet',",12
"'feel',",12
"'write',",12
"'catch',",12
"'see',",12
"'excellent',",12
"'race',",12
"'outright',",12
"'drop',",12
"'tip',",12
"'make',",12
"'wicket',",12
"'bowl',",12
"'people',",11
"'home',",11
"'warner',",11
"'tomorrow',",11
"'higgins',",11
"'absolutely',",11
"'away',",11
"'weather',",11
"'say',",11
"'wood',",11
"'find',",11
"'trump',",11
"['richwilson',",11
"'beat',",11
"'probably',",11
"['tomc',",11
"['not',",11
"'bit',",11
"'winner',",10
"'put',",10
'like'],10
"'class',",10
"'month',",10
"['good',",10
"'ahead',",10
"'nice',",10
"'captain',",10
"['halostraight',",10
'ipl'],10
"'late',",10
"'bowler',",10
"'mean',",10
"'franmberry',",10
"'ill',",10
"'absolute',",10
"'darkagefootball',",10
"'try',",10
"'hard',",10
"['great',",10
"'place',",10
"'cricketbadger',",10
"'finish',",9
"'batsman',",9
"'bencoleygolf',",9
"['sdavis',",9
"'nickmetcalfe',",9
"'sport',",9
"['mattbrocklebank',",9
"'lose',",9
"'john',",9
"['philhaigh',",9
"'well',",9
"'australia',",9
"'chance',",9
"'fan',",9
'day'],9
"'tell',",9
"['ronnie',",9
"'awful',",9
"'cent',",9
"'root',",9
"'mind',",8
"'better',",8
"'interesting',",8
"'saturday',",8
'h'],8
"'early',",8
"'crucible',",8
"'kohli',",8
"'friday',",8
'b'],8
"'williamson',",8
"'thunder',",8
"'turn',",8
'come'],8
"'betting',",8
"'bowling',",8
"['big',",8
"'join',",8
"'betfair',",8
"'yeh',",8
'preview'],8
"'cup',",8
"'pick',",8
"'new',",8
"'finally',",7
"['newcol',",7
"'quick',",7
"'david',",7
"['chrisoliver',",7
"['jkeene',",7
"'umpire',",7
"'record',",7
"'god',",7
"'number',",7
"'guide',",7
"'change',",7
"'toss',",7
"'leeds',",7
"'tournament',",7
"['tbuckleythinks',",7
"'pace',",7
"'spot',",7
"'boris',",7
"'actually',",7
"'tour',",7
"'line',",7
"'life',",7
'good'],7
"'lot',",7
"'ago',",7
"'couple',",7
"'ride',",7
'year'],7
"'soon',",7
"['late',",7
"'bbc',",7
"'fine',",7
"'joe',",7
"'easy',",7
"'deserve',",7
"'word',",7
"'sydney',",7
'f'],7
"'read',",7
"'spin',",7
"'remember',",7
"'let',",6
"'sixer',",6
"'far',",6
"'stick',",6
"'mattbrocklebank',",6
'think'],6
"'bad',",6
"'keep',",6
'week'],6
"'ah',",6
'know'],6
"'help',",6
"'question',",6
"['word',",6
"'perth',",6
"'weekend',",6
"'white',",6
"'huge',",6
"['mjlh',",6
"'bbl',",6
"'shocking',",6
"'morning',",6
"'head',",6
"['final',",6
'test'],6
"'plenty',",6
"['cricketbette',",6
"['jamiepock',",6
"'hold',",6
"'dhoni',",6
"['dancopeland',",6
'th'],6
'captain'],6
"'sit',",6
"'back',",6
"'racing',",6
"'selection',",6
"'ridiculous',",6
"'foot',",6
"'round',",6
"'thought',",6
"'form',",6
"'keane',",6
"'steve',",6
"'west',",6
"'light',",6
"'winter',",6
"'hi',",6
"'boss',",6
"'sign',",6
'not'],6
"'indveng',",6
"['anderson',",6
"'golf',",6
"'face',",6
"'bairstow',",6
['chrisoliver'],6
"'job',",6
"'cricketer',",6
"'james',",6
"'flat',",6
"'worth',",6
"'call',",6
"['love',",6
"'clearly',",6
"'jockey',",6
"'best',",6
"'field',",6
"'strong',",6
"'act',",6
'engvwi'],6
'w'],6
"'th',",6
"'jimmy',",6
"['kevinmurphy',",6
"['paulmotty',",6
"'frame',",6
"'price',",6
"'pope',",6
'snooker'],6
"'insight',",5
'winner'],5
"'lord',",5
"'fire',",5
'time'],5
"'attack',",5
"'hear',",5
"'swing',",5
"'moore',",5
"'content',",5
"['think',",5
"'judd',",5
'win'],5
"'bess',",5
"'bloody',",5
"'cummins',",5
'game'],5
"'luck',",5
"'reverse',",5
"['cricketbadger',",5
"['england',",5
'man'],5
"'order',",5
"'finger',",5
'play'],5
"'pitch',",5
"'credit',",5
"'grief',",5
"'surely',",5
"'club',",5
"'earlier',",5
"'rohit',",5
"'machine',",5
"'over',",5
"'ireland',",5
"'imo',",5
"'genius',",5
"'super',",5
"'terrific',",5
"'yorkshire',",5
"'score',",5
"'batter',",5
"'thanks',",5
"'stokes',",5
"'sir',",5
"'weekly',",5
"'market',",5
"'second',",5
"'sunriser',",5
"'nearly',",5
"'depth',",5
"'lad',",5
'lad'],5
"'maybe',",5
"'kane',",5
"'kevinmurphy',",5
"'incredible',",5
"'leave',",5
"'poor',",5
"'frankel',",5
's'],5
"'happy',",5
"'break',",5
"'to',",5
"'stop',",5
"'century',",5
"'ashe',",5
"'chase',",5
"'ton',",5
"'shot',",5
"'favourite',",5
"'cut',",5
"'nonsense',",5
"'rest',",5
"'sorry',",5
"'piece',",5
"'summer',",5
"'hales',",5
"'africa',",5
"['twd',",5
"'table',",5
"['bumble',",5
"'tomc',",5
"['garyoncue',",5
"'pack',",5
"'sam',",5
"['damianw',",4
'horse'],4
'say'],4
"'yesterday',",4
"['georgedobell',",4
'cricket'],4
"'semi',",4
"'believe',",4
"'opportunity',",4
"['outright',",4
"'doubt',",4
'love'],4
"['chiefno',",4
"'news',",4
"'shocker',",4
"'woakes',",4
"'cool',",4
"'indies',",4
"'please',",4
"'trainer',",4
"'rum',",4
"['write',",4
"['s',",4
"'lingfield',",4
"'nick',",4
