,lemmas
"'academicchatter',",55
"'new',",53
"['evilution',",52
"'thank',",49
"'work',",47
"'paper',",46
"'time',",43
"'like',",41
"'look',",39
"'cell',",32
'bioinformatics'],32
"'datum',",31
"'feel',",30
"'good',",30
"'year',",30
"'need',",27
"'lot',",26
"'find',",26
"'get',",23
"'people',",22
"'study',",22
"'know',",22
"'grant',",22
"'cancer',",22
"'great',",22
"'today',",21
"'day',",21
"'long',",21
"'want',",21
"'use',",21
"'think',",21
"'share',",20
"'not',",20
"'go',",19
"'lab',",19
"'tea',",19
"'student',",19
"['vdageraldine',",19
"'learn',",19
"'science',",19
"'start',",19
"'read',",19
'congratulation'],18
"'review',",18
"'try',",18
"'phd',",18
"['garmiregroup',",17
"'gene',",17
"'r',",17
"'come',",16
"['nilshomer',",16
"'happy',",16
"'check',",16
"'ask',",16
"'email',",16
"'code',",16
"'analysis',",16
"'super',",15
"'job',",15
"'run',",15
"'week',",15
"'base',",15
"'method',",15
"'big',",15
"'data',",15
"'tumor',",15
"'open',",14
"'tool',",14
"'talk',",14
"'human',",14
"'would',",14
"'list',",13
"'friend',",13
"'meeting',",13
"'computer',",13
"['sergheimangul',",13
"'author',",13
'time'],13
'academicchatter'],13
"'s',",13
"'nature',",13
"'project',",13
"'write',",13
"'single',",13
"'far',",12
"['zeynephg',",12
"['aemonten',",12
'try'],12
"['moment',",12
"'team',",12
"'result',",12
"'add',",12
"'see',",12
"'dr',",12
"'important',",12
"'package',",12
"'thing',",12
"'join',",12
"'bioinformatics',",12
"'x',",12
"['jasonlukemd',",12
"'w',",12
"'finally',",12
"'recent',",11
"'submit',",11
"'set',",11
'work'],11
"'hour',",11
"'rna',",11
"'conference',",11
"'upmchillmancc',",11
"'sound',",11
"'covid',",11
"'hi',",11
"'online',",11
"'cool',",11
"'call',",11
"'help',",11
"'yup',",11
"'research',",11
"'sure',",10
"'riyuesunnybao',",10
"'publish',",10
"'case',",10
"'feature',",10
"'excite',",10
"'depend',",10
"'twitter',",10
"'seq',",10
"'sample',",10
"'month',",10
"'test',",10
"'take',",10
"'make',",9
"'phase',",9
"'forward',",9
"'follow',",9
"'number',",9
"'jasonlukemd',",9
"'microbiome',",9
"'congratulation',",9
"'support',",9
"'let',",9
'good'],9
"'break',",9
"'nice',",9
"'compare',",9
"'receive',",9
"'order',",9
"'bubble',",9
"['airdlab',",9
"'question',",9
"'love',",9
"'amazing',",8
"'place',",8
"'coffee',",8
"'website',",8
"'scientist',",8
"'way',",8
"'mean',",8
"['clementychow',",8
"'early',",8
"'career',",8
"'include',",8
"'line',",8
"'star',",8
"'post',",8
"'academia',",8
"'co',",8
"'welcome',",8
"'plan',",8
"'watch',",8
"'field',",8
"'change',",8
"'zoom',",8
"'free',",8
"'wow',",8
"'turn',",8
"'wonder',",8
"'right',",8
"'favorite',",8
"'google',",8
"'yes',",8
"'d',",8
"'reviewer',",8
"'pretty',",8
"'miss',",8
"['arjunmk',",7
"['time',",7
'know'],7
"'report',",7
"'usually',",7
"'finger',",7
'c'],7
"'variant',",7
"'position',",7
"'vs',",7
"'world',",7
"'skill',",7
"'researcher',",7
"'response',",7
"'ai',",7
"['timtriche',",7
"'senior',",7
"['albertwcheng',",7
"'idea',",7
"'genomic',",7
"'leave',",7
"'reference',",7
"'lead',",7
"'happen',",7
'p'],7
"'tell',",7
"'exist',",7
"'interesting',",7
"'hear',",7
"'sequence',",7
