,lemmas
"['ambkcsingh',",92
"'india',",91
"['svaradarajan',",83
"'punjab',",81
'thetribunechd'],76
"['shammybaweja',",69
"'government',",60
"'people',",51
"'need',",48
"'kashmir',",44
"'indian',",41
"'say',",39
"'state',",39
"'modi',",36
"'like',",34
"'case',",33
"'court',",32
"'day',",32
"'chandigarh',",32
"'not',",31
"'delhi',",31
"'captamarinder',",30
"'govt',",30
"'leader',",29
"'time',",27
"'year',",26
"'police',",26
"'come',",25
"'take',",24
"'go',",24
"'great',",24
"'new',",24
"['thewirein',",23
"'chief',",23
"'pm',",23
"'today',",23
"'singh',",23
"'good',",23
"'bjp',",22
"'news',",22
"'country',",21
"['singhlawyer',",21
"['vpsbadnore',",21
"'farmer',",20
"'tell',",20
"'know',",20
"'party',",20
"'poll',",19
"'kill',",19
"'officer',",19
"'ask',",18
"'right',",18
"'covid',",18
"'pakistan',",17
"'supreme',",17
"'report',",17
"'world',",17
"'minister',",17
"'justice',",17
"'political',",17
"['pbhushan',",16
'th'],16
"'happen',",16
"'medium',",16
"'issue',",16
"'help',",16
'thewirein'],16
"'thank',",15
"'s',",15
"['captamarinder',",15
"'look',",15
"'let',",15
"'work',",15
"'indias',",15
"'judge',",15
"'article',",15
"['bdutt',",14
"'way',",14
"'sc',",14
"'th',",14
"['manamanchhina',",14
"'law',",14
"'talk',",14
"'army',",14
"'force',",14
"'border',",14
"'see',",13
"'set',",13
"'watch',",13
"'trump',",13
"'give',",13
"'nation',",13
"['good',",13
"'jk',",13
"'election',",13
"'military',",13
"'get',",13
"'centre',",13
"'free',",13
"'home',",13
"'situation',",13
"'win',",13
"'sabha',",13
"'piece',",12
"'release',",12
"'human',",12
"['indianexpress',",12
"'journalist',",12
"'man',",12
"'special',",12
"'interview',",12
"'war',",12
"'question',",12
"'open',",12
"'woman',",12
"'step',",12
"'family',",12
"['punjab',",11
"'kartarpur',",11
"'haryana',",11
"'shah',",11
"'protest',",11
"'want',",11
"'aappunjab',",11
"'bring',",11
"'attack',",11
"'high',",11
'w'],11
"'stop',",11
"'use',",11
"'power',",11
"'press',",11
"'religion',",11
"'decision',",11
"'narendramodi',",11
"'leave',",11
"'find',",11
"'hold',",10
"'follow',",10
"'anti',",10
"'flight',",10
"'post',",10
"['sardesairajdeep',",10
"'citizen',",10
"'past',",10
"'explain',",10
"['rahulkanwal',",10
"'lead',",10
"'hand',",10
"'start',",10
"'learn',",10
"'join',",10
"'hour',",10
"'record',",10
"'corridor',",10
"'job',",10
"'cm',",10
"'violence',",10
"'try',",10
"'democracy',",10
"'place',",10
"'break',",10
"'away',",10
"'caa',",9
"'general',",9
"'house',",9
"'action',",9
"'abdullah',",9
"'canada',",9
"'miss',",9
"'indians',",9
"'farooq',",9
"'young',",9
"'international',",9
"'gov',",9
"'announce',",9
"'think',",9
"'debate',",9
"'write',",9
"'create',",9
"['thehindu',",9
"'person',",9
"'kharar',",9
"'public',",9
"['yes',",9
"'lose',",9
"'lawyer',",9
"'gandhi',",9
"['great',",9
"'moment',",9
"'show',",9
"'vpsbadnore',",9
"'face',",9
"'kumar',",8
"'battle',",8
"'month',",8
"'national',",8
"'story',",8
"['agree',",8
"'express',",8
"'union',",8
"'death',",8
"'change',",8
'india'],8
"['unfortunate',",8
"'politic',",8
"'health',",8
"'support',",8
"'important',",8
"'allow',",8
"'love',",8
"'turn',",8
"'covid-',",8
"'gen',",8
"'soldier',",8
"'child',",8
"'point',",8
"['arvindkejriwal',",8
"'raise',",8
"'aap',",8
"'air',",8
"'serve',",8
"'end',",8
"'pay',",8
"'vidhan',",8
"'pak',",8
"'sahib',",8
"'arrest',",8
"'share',",8
"'electoral',",8
"'defence',",8
"'act',",8
"'session',",8
"'indianexpress',",7
"['jagmeetbrar',",7
"'model',",7
"'school',",7
"'aamaadmiparty',",7
"'victory',",7
"'amit',",7
"'city',",7
"'honour',",7
"'claim',",7
"'encounter',",7
"'large',",7
"'detain',",7
"'remember',",7
"'history',",7
"'book',",7
"'cbi',",7
"'assembly',",7
"['scrollin',",7
"'welcome',",7
"'till',",7
"'common',",7
"'amritsar',",7
"'water',",7
"'sad',",7
"'hope',",7
"'fight',",7
"'president',",7
"'campaign',",7
"'ias',",7
"'life',",7
"'meet',",7
"'ex',",7
"'cop',",7
"'foreign',",7
"'china',",7
"'fire',",7
"'murder',",7
"['ndtv',",7
"'proud',",7
"'send',",7
"'speak',",7
"'congress',",7
"'victim',",7
"'role',",7
"'lakh',",7
"'enforce',",7
"'plan',",7
"'gupta',",7
"'rawat',",7
"'live',",7
"'cow',",7
"'vote',",6
"'governor',",6
"'video',",6
"'clear',",6
"'dispute',",6
"'cover',",6
"'ji',",6
"'mob',",6
"'constitutional',",6
"'feel',",6
"'arvindkejriwal',",6
"'staff',",6
"'eminent',",6
"'believe',",6
"'troop',",6
"'include',",6
"'speech',",6
"'big',",6
"'long',",6
"'statement',",6
"['indian',",6
['arvindkejriwal'],6
"'run',",6
"'hindu',",6
"'remain',",6
"'project',",6
'b'],6
"'word',",6
"'khan',",6
'c'],6
"'democratic',",6
"'tv',",6
"'bad',",6
"'visit',",6
"'politician',",6
"'constituency',",6
"'un',",6
"'return',",6
"'agency',",6
"'condemn',",6
"'shoot',",6
"'urge',",6
"'drug',",6
"'ram',",6
"'student',",6
"'call',",6
"'forward',",6
"'mlas',",6
"'security',",6
"'hear',",6
"'commander',",6
"'coronavirus',",6
"'wish',",6
"'consider',",6
"'mla',",6
"'village',",6
"'invite',",6
"'valley',",6
"'farm',",6
"'road',",6
"'stand',",6
"'dal',",6
"'shocking',",6
"'team',",6
"'district',",6
"'head',",6
"'die',",6
"'rural',",6
"'guru',",6
"'sikh',",6
"'lockdown',",6
"'editor',",6
"'omarabdullah',",6
"'wonder',",6
"'kashmiri',",6
"'cji',",6
"'thewirein',",6
"'channel',",6
"'require',",6
"'week',",6
"'development',",6
"'tweet',",6
"'fail',",6
"'read',",6
"'base',",5
'r'],5
"'activist',",5
"'abroad',",5
"'dr',",5
"'rahul',",5
"'incindia',",5
"'friend',",5
"'deserve',",5
"'strike',",5
"['aappunjab',",5
"'seek',",5
"'chinese',",5
"'nanak',",5
"'canadians',",5
"'level',",5
"'suggest',",5
"'notice',",5
"'fund',",5
"'far',",5
"'heart',",5
"'worker',",5
"'pandemic',",5
"'commission',",5
'p'],5
"'enter',",5
'n'],5
"'sri',",5
"'twitter',",5
"'gesture',",5
"'fact',",5
"'poor',",5
"'decide',",5
"'finally',",5
"'ladakh',",5
"'remove',",5
"'night',",5
"['barackobama',",5
"'probe',",5
"'highly',",5
"'ayodhya',",5
"'brave',",5
"['sad',",5
"'register',",5
