,lemmas
"'case',",165
"'india',",134
"'daily',",111
"['daily',",105
"'rise',",78
"'vaccination',",72
"['covidindia',",58
"'shamikaravi',",56
"'death',",56
"'rate',",54
"'active',",53
"'state',",49
"'=',",48
"'thank',",45
'thank'],44
"'new',",44
"'vaccine',",44
"'growth',",42
"['shamikaravi',",40
"'covid',",39
"'day',",36
"'testing',",35
"'million',",34
"'people',",33
"'health',",32
"'fall',",31
"'country',",30
"'continue',",30
"'second',",28
"'infection',",27
"['total',",26
"'test',",25
"'high',",23
"'datum',",23
"'wave',",22
"'grow',",22
'rise'],21
"'global',",21
"'time',",21
"'delhi',",21
"'report',",20
"'decline',",20
"'need',",20
'india'],19
"'big',",19
"'economic',",19
"'world',",19
"'look',",18
"'recover',",18
'case'],18
"'maharashtra',",18
"'happy',",17
'='],17
"'woman',",17
"'pandemic',",17
[],16
"'total',",16
'sharply'],16
"'fatality',",16
"'surge',",16
"'covidindia',",16
"'infrastructure',",15
"'study',",15
"['overall',",15
'vaccination'],15
"'vs',",15
"'sharply',",14
"'lockdown',",14
"'paper',",14
"'year',",14
"'share',",14
"'positivity',",14
"'public',",14
"'major',",14
"'number',",14
"'mh',",14
"'covid-',",13
"'punjab',",13
"'healthcare',",13
"'article',",13
"'good',",13
"'read',",13
"'vaccinate',",12
"'overall',",12
"'national',",12
"'v',",12
"'concern',",12
"'show',",12
"'work',",12
"'policy',",12
"'sector',",12
"'uts',",12
"'indias',",11
"'indian',",11
"'take',",11
"'spread',",11
"['thank',",11
"'like',",11
"'confirm',",11
"'budget',",11
"['case',",11
"'month',",10
"'level',",10
"'s',",10
"'drive',",10
"['growth',",10
"'fast',",10
"'say',",10
"'important',",10
"['aparanjape',",10
'shamikaravi'],10
"'today',",10
"'data',",10
"'government',",10
"'kerala',",9
"'population',",9
"'include',",9
"'analysis',",9
'grow'],9
"'speak',",9
"'development',",9
"'follow',",9
"'prof',",9
"'economist',",9
"'watch',",9
"'steady',",9
"['india',",9
"'remain',",9
"'democracy',",9
"'dose',",9
"'recovery',",9
"'support',",9
"'chhattisgarh',",9
'death'],9
"'kl',",9
"'ct',",9
"'post',",8
"'available',",8
"'talk',",8
"'witness',",8
"'bad',",8
'budget'],8
"'improve',",8
"'early',",8
"'think',",8
"'uncertainty',",8
"'dl',",8
"'economy',",8
"'variant',",8
'year'],8
"['new',",8
"'states',",8
