,lemmas
"'covid',",290
"'india',",113
"'vaccine',",78
"'govt',",75
'report'],71
"'say',",70
"'theprint',",69
"'modi',",65
"['wordedit',",56
"'hospital',",54
"'oxygen',",52
"['theprintindia',",52
"'not',",47
"'report',",43
"'story',",41
"'crisis',",40
"'case',",40
"'vaccination',",38
"'indias',",38
"'editor',",35
"'state',",35
"'delhi',",35
"'bengal',",34
"'bjp',",32
"'need',",32
"'centre',",31
"'help',",30
"'poll',",29
"'patient',",29
"'people',",28
"'new',",28
"'wave',",27
"'fight',",27
"'senior',",26
"'day',",26
"['modi',",26
"'death',",26
"'live',",26
"['india',",25
"'tell',",24
"'want',",24
"'surge',",24
"'read',",24
"'reporter',",23
"'minister',",23
"'rise',",23
"'write',",22
"'china',",22
[],22
"'covid-',",21
"'work',",21
"'pm',",21
"'party',",20
"'bed',",20
"'like',",19
"'nd',",19
"'political',",19
"'s',",19
"'good',",18
"'die',",18
"'worker',",18
"'year',",18
"'look',",18
"'news',",17
"'indian',",17
"'congress',",17
"'take',",17
"['covid',",17
"'kumbh',",17
"'show',",17
"'blame',",17
"'know',",17
"'high',",17
"'abantika',",17
"'test',",17
"'time',",17
"'get',",16
"'singh',",16
"'journalist',",16
"'chief',",16
"'change',",16
"'supply',",16
"'lead',",16
"'today',",15
"'woman',",15
"'infection',",15
"'shortage',",15
"'follow',",15
"'health',",15
'write'],15
"'leader',",15
"'jyotiyadaav',",15
"'reach',",15
"'associate',",14
"'government',",14
"'call',",14
"'come',",14
"'mumbai',",14
"'maharashtra',",14
"'run',",14
"'talk',",14
"'snehesh',",14
"'war',",14
"'face',",13
"'family',",13
"'alex',",13
"'remdesivir',",13
"'vote',",13
"'cm',",13
"'medical',",13
"'chhattisgarh',",13
"'go',",13
"'order',",13
'repor'],13
"'mohanabasu',",13
"['bjp',",13
"'late',",13
"'body',",13
"'army',",13
'repo'],13
"['aneeshabedi',",13
"'find',",13
"'national',",13
"'mamata',",13
"'vaccinate',",13
"'give',",13
"'win',",12
"'bring',",12
"['jyotiyadaav',",12
"'answer',",12
"'world',",12
"'leave',",12
"'start',",12
"'old',",12
"'plan',",12
"'aneeshabedi',",12
"'doctor',",12
"'rate',",12
"'neelam',",12
"'pandey',",12
"'hit',",12
"'lose',",12
"'lockdown',",12
"'district',",12
"'chinese',",12
"'end',",12
"'big',",12
'rep'],12
"'number',",12
'f'],12
'philip'],12
"'share',",12
"'virus',",12
"'revathi',",11
"'ask',",11
"['not',",11
"'ex',",11
"'manasi',",11
"'claim',",11
"'spread',",11
"'force',",11
"'set',",11
"['indias',",11
"'shivshankar',",11
'theprint'],11
"'home',",11
"'miss',",11
"'biden',",11
"'bismee',",11
"'way',",11
"'pakistan',",11
"'shekhargupta',",11
"'kill',",11
"'hold',",11
"'see',",11
"'idea',",11
"'das',",11
"'student',",11
"'second',",11
"'battle',",11
"'daily',",11
"['young',",10
"'punjab',",10
"'tie',",10
"'ahmedabad',",10
'th'],10
"'pradesh',",10
"'plant',",10
"'will',",10
"'datum',",10
"'kerala',",10
"'menon',",10
"'raw',",10
"'deep',",10
'r'],10
"'break',",10
"'chitleenksethi',",10
"'madhuparna',",10
"'mask',",10
'taskin'],10
"'send',",9
"'drug',",9
"'return',",9
"'correspondent',",9
"'moushumi',",9
"'bad',",9
"'madhya',",9
"'medium',",9
"'nayanimabasu',",9
"'turn',",9
"'dr',",9
"'likely',",9
"'drive',",9
"'lakh',",9
"'delhis',",9
"'key',",9
"'chandnahimani',",9
"['new',",9
"'assam',",9
"'rural',",9
"'strategic',",9
"'tn',",9
"'police',",9
"'think',",9
"'revathii',",9
"'court',",9
"'continue',",9
"'study',",9
"'material',",9
"['good',",9
"'politic',",9
'editor'],9
"'west',",9
"'save',",9
"'election',",9
"'prevent',",9
"'month',",9
"'cuttheclutter',",9
"'export',",9
"'amid',",8
"'fund',",8
"'room',",8
"'taran',",8
"'away',",8
"'simrinsirur',",8
"'record',",8
"['theprint',",8
"'result',",8
"'man',",8
"'fear',",8
"'attack',",8
"'begin',",8
"['tdeoll',",8
"'pandemic',",8
"'million',",8
"'speak',",8
"'krishnan',",8
"'manmohan',",8
"'sandhya',",8
'ghosh'],8
"'truth',",8
"'muslims',",8
"'banerjee',",8
"'travel',",8
"'love',",8
"'economic',",8
"'power',",8
"'long',",8
"'stock',",8
"'seek',",8
"'price',",8
"['delhi',",8
"['vaccine',",8
"'protest',",8
"'struggle',",8
"'treat',",8
"'base',",8
"'question',",8
"'theprintotc',",8
"'foreign',",8
"'soon',",8
"'rally',",8
"'week',",8
"'npday',",8
"'global',",7
