,lemmas
"'thank',",483
'thank'],134
"'hope',",97
"'good',",92
"'sir',",82
"'cheer',",61
'sir'],54
'hope'],54
"'hello',",50
"'work',",49
"'score',",46
"'great',",41
"'film',",41
"'kind',",39
"'happy',",39
'appreciate'],38
"'cheers',",34
'good'],33
"'glad',",33
"'ourplanet',",33
"'release',",31
'sp'],30
"'hear',",30
"'lovely',",28
"'new',",28
"'love',",27
"'look',",27
"'enjoy',",27
"'music',",26
"'come',",25
"'brilliant',",25
"'watch',",25
'listen'],24
"'year',",24
'enjoy'],24
"'today',",23
"'soundtrack',",22
"'time',",22
"'wonderful',",19
"'amazing',",19
"'see',",19
"'congrats',",19
"'thing',",19
'sx'],18
'soon'],18
"'listen',",18
"['edgarwright',",18
"'congratulation',",17
"'proud',",17
"'netflix',",17
"'beautiful',",17
"'day',",17
"'fun',",16
"'thehunt',",15
"'th',",15
"['jedijoemc',",14
"'album',",14
"['jonniehughes',",14
"'tonight',",13
"'stevebprice',",13
"['stjohns',",13
"['filmsonwax',",13
"'movie',",13
"'appreciate',",13
"'forward',",13
"'episode',",13
"'hopefully',",12
"'gavrov',",12
"'week',",12
'word'],12
"'yes',",12
"['gavrov',",12
"'word',",12
"'sorry',",12
'work'],12
"'luck',",11
"'go',",11
'year'],11
"['ntjohnson',",11
"['thank',",11
'film'],11
"'like',",11
"'davidalifefilm',",11
"['whiskeyrich',",11
"'afraid',",11
"'baby',",11
"'project',",11
"'moment',",11
'kind'],11
'appreciated'],10
"'write',",10
"'honour',",10
"['robinparker',",10
"'pm',",10
"'excited',",10
"'night',",10
"'abbeyroad',",9
"['buckingabout',",9
"'bbc',",9
"'pleasure',",9
"'ha',",9
'steve'],9
"'premiere',",9
"'let',",9
"'wait',",9
"'chat',",9
"'sound',",9
'hear'],9
"'soon',",9
"'world',",9
"'uk',",8
"'record',",8
"'huge',",8
"'track',",8
"'thanks',",8
"'ask',",8
'day'],8
"'feature',",8
"'way',",8
"'sure',",8
"'think',",8
"'driver',",8
"'get',",7
"'believe',",7
'score'],7
"'bit',",7
"'hunt',",7
"'hi',",7
"'gravity',",7
"'bafta',",7
"['today',",7
"'s',",7
"'ifmca',",7
"'incredible',",7
"'thrill',",7
"'meet',",7
'best'],7
"'tomorrow',",7
'jon'],7
"'favourite',",7
"'idea',",6
"'grant',",6
"['badfortrains',",6
"'man',",6
"'wow',",6
"['grantkirkhope',",6
"['excited',",6
"'evening',",6
"'live',",6
"['grantolde',",6
"['sandravets',",6
"'archive',",6
"'footage',",6
"'absolutely',",6
"'oldvictheatre',",6
"'nice',",6
"'news',",6
"'help',",6
"'spotify',",6
"'composer',",6
"'life',",6
"'original',",6
"'follow',",6
"'arctic',",6
"['danielpemberton',",6
"'play',",6
"'deccarecords',",6
"'mix',",6
"'wish',",6
"'vinyl',",6
"['jonbrowntv',",6
"['honour',",6
"'ben',",6
"'david',",6
"'ah',",6
"'john',",6
"'splendid',",6
"'ago',",6
