,lemmas
"'hai',",96
"'covid',",84
"'oxygen',",82
"'delhi',",71
"'hospital',",66
"'need',",61
"'ke',",57
"'help',",53
"'mein',",50
"'patient',",49
"'ki',",49
"['kapsology',",48
"'bhi',",45
"'ka',",45
'hai'],40
['roflgandhi'],40
"['roflgandhi',",38
"'bed',",37
"['ikumar',",37
"['itsallryt',",37
"'ho',",37
"'india',",36
"'ko',",34
"'se',",34
"'people',",33
"'ji',",33
"'nahin',",31
"'kar',",31
"['hallagullaboy',",31
"'ye',",30
"'hain',",30
"'case',",29
"'know',",29
"['ndtv',",29
"'aur',",28
"'time',",27
"'toh',",26
"['aamnationalist',",26
"'hi',",25
"'modi',",23
"'day',",23
"['divyaamanna',",23
"'urgent',",22
['ranvijaylive'],22
"'plasma',",21
"['jhapooja',",20
"'rahe',",20
"'ek',",20
"['untoldstory',",19
'hain'],19
"'ikumar',",18
"'kuchh',",18
"'kya',",18
"'ne',",18
"'srinivasiyc',",17
"'wo',",17
"'like',",16
"'icu',",16
"['gaye',",16
'mitron'],16
"'die',",15
"'gaya',",15
"'pe',",15
"'tweet',",15
"'positive',",15
"'govt',",15
"'vaccine',",15
"'pm',",15
"'get',",14
"['killbillpandey',",14
"'good',",14
"'hour',",14
"'request',",14
"'nahi',",14
"'hope',",14
"'aap',",14
"'care',",14
"'urgently',",14
"'bas',",14
"'news',",13
"'death',",13
[],13
'care'],13
"'cylinder',",13
"'friend',",13
"['rofljamesbabu',",13
"'tha',",13
"'space',",13
"'pls',",12
"'ab',",12
"'remdesivir',",12
"'high',",12
"'guy',",12
"['ranvijaylive',",12
"'state',",12
"'not',",12
"'dilipkpandey',",12
"'hoga',",12
"'test',",12
"'bjp',",12
"['shaifilifecoach',",12
"'country',",12
"'blood',",12
"'number',",11
"'aa',",11
"'minister',",11
"'stay',",11
"'leave',",11
"'raha',",11
"'government',",11
"'verify',",11
"['asgarhid',",11
"'critical',",11
"'donor',",11
"'today',",11
"'great',",11
"'require',",11
"'thank',",11
"'say',",11
"'come',",11
"'sir',",11
"'find',",10
"'par',",10
"'report',",10
"'oh',",10
"'week',",10
"'abhi',",10
"'month',",10
"'hallagullaboy',",10
"'court',",10
"'lockdown',",10
"['arun',",10
"'baar',",10
"'sab',",10
"'na',",10
"'twitter',",10
"'arey',",10
"'aamnationalist',",10
"'election',",10
"'doctor',",10
"'go',",9
"'level',",9
"'le',",9
"'try',",9
"'group',",9
"'live',",9
"'bol',",9
"['minniiemehra',",9
"'want',",9
"'new',",9
"'jab',",9
"'contact',",9
"'situation',",9
"'world',",9
"'open',",9
"'indian',",9
"'life',",9
"'jo',",9
"['joshiji',",9
'help'],9
"'watch',",9
"'age',",9
"'kiya',",9
'covid'],9
"'bad',",9
"'mukt',",8
"['cruelsmoker',",8
"'supply',",8
"'use',",8
"'injection',",8
"'kam',",8
"'bharat',",8
"'max',",8
"'centre',",8
"'sos',",8
"'look',",8
"'bana',",8
"'let',",8
"'medicine',",8
"'health',",8
"'imagine',",8
"'din',",8
"'wave',",8
['brajeshlive'],8
"'ventilator',",8
"'koi',",8
"'think',",8
"['mahuamoitra',",8
"'main',",8
"['navendusingh',",8
"'bhai',",8
"'daily',",8
"'fine',",8
"['fairymysteryy',",8
"'dm',",8
"'year',",8
"'keliye',",7
"'bengal',",7
"'recover',",7
"'face',",7
"'crisis',",7
"'insaan',",7
"'work',",7
"'arun',",7
"['ani',",7
"'karne',",7
"'family',",7
"['greeshmashukla',",7
"'arrange',",7
"['chotesarcar',",7
"'system',",7
"'haan',",7
"'share',",7
"'second',",7
"'medium',",7
"'kaun',",7
"'th',",7
"'asgarhid',",7
"'way',",7
"'arvindkejriwal',",7
"'lead',",7
"'spread',",7
"['roflepicdon',",7
"['akpandey',",7
"['mahuadey',",7
"'kapsology',",6
"'desh',",6
"'available',",6
"['prena',",6
"'log',",6
"'tak',",6
"'b',",6
"'break',",6
"'pray',",6
"'gaye',",6
"'bhakts',",6
"['asifdrmed',",6
"'well',",6
"'fever',",6
"'virus',",6
"'cm',",6
"'worry',",6
"'karte',",6
'th'],6
"'hua',",6
"'take',",6
"'miss',",6
"'narendramodi',",6
"['shuvankr',",6
"'ask',",6
'india'],6
"'word',",6
"'papa',",6
"['retheeshraj',",6
"'bhakt',",6
"'shame',",6
"'human',",6
"'public',",6
"'baad',",6
"'variant',",6
"'k',",6
"'stop',",6
"'khud',",6
"'garrywalia',",6
"'coronavirus',",6
"'admit',",6
"'wale',",6
"'ya',",6
"'cell',",6
"'entire',",6
"'mean',",6
"'mrbatty',",6
"'matter',",6
"'win',",5
'nahin'],5
"'shortage',",5
"'sakta',",5
"'save',",5
"'collapse',",5
"'global',",5
"'tell',",5
"'maharashtra',",5
'ji'],5
"'yahan',",5
'oxygen'],5
"'saurabhmlagk',",5
"'citizen',",5
'time'],5
"'saheb',",5
"'babu',",5
"'dude',",5
"'west',",5
"'model',",5
"'deepakpande',",5
"'hear',",5
"'sc',",5
"'pandemic',",5
"'fight',",5
"'sa',",5
['asgarhid'],5
"'political',",5
"'morning',",5
"'symptom',",5
"'seriously',",5
'delhi'],5
"'apne',",5
"'sorry',",5
"'divyaamanna',",5
'hoga'],5
'rahe'],5
['aamnationalist'],5
"'message',",5
"'covid-',",5
"'de',",5
"'tanker',",5
"'pic',",5
"'tirangawasi',",5
"['nherwho',",5
'ikumar'],5
"['pjverma',",5
"'feel',",5
"'hone',",5
"'rest',",5
"'job',",5
"'beds',",5
"'record',",5
"'hello',",5
"'protocol',",5
"'turn',",5
"'crore',",5
"'kare',",5
"['rohinisgh',",5
"'nagar',",5
"'kahan',",5
"'yahi',",5
"['abhinavpan',",5
'hallagullaboy'],5
"'birthday',",5
"'dr',",5
'thank'],5
'd'],5
"'hum',",5
"'ham',",5
"'avsar',",5
"'rahi',",5
"'aapko',",5
"'lakh',",5
"'suffer',",5
"'call',",5
"'medical',",5
"'immediate',",5
"'father',",5
"'big',",5
"'karenge',",5
"['deepakpande',",5
"'amit',",5
"'ja',",5
"'nandigram',",5
"'lucknow',",5
"'hindu',",5
"'deliver',",5
"'note',",5
"'uttar',",5
'ka'],4
"'lose',",4
"['arvindkejriwal',",4
"'ambedkar',",4
"'wakeupmitron',",4
"'notice',",4
"'increase',",4
"'rate',",4
"'reach',",4
"'hoon',",4
"'liya',",4
"'kahin',",4
"'sure',",4
"'act',",4
"'follow',",4
"'eye',",4
"'noida',",4
"'name-',",4
"['olddelhigirl',",4
"'late',",4
"'warna',",4
"'saath',",4
"'requirement',",4
'n'],4
"'duniya',",4
"'prime',",4
"['babu',",4
"'busy',",4
"'quick',",4
"'jayega',",4
"'emergency',",4
"['komalindian',",4
"'arora',",4
"'dose',",4
"'arvind',",4
"'indias',",4
"'dete',",4
"'ban',",4
"['mufflrman',",4
"'concentrator',",4
"'untoldstory',",4
"'plz',",4
"'dear',",4
"['thank',",4
"'real',",4
"'talk',",4
"'mat',",4
"'wahi',",4
"'lagta',",4
"'wish',",4
'h'],4
"'support',",4
"'reason',",4
"'yes',",4
"'online',",4
"['know',",4
"'rohini',",4
"'hit',",4
"'central',",4
"'mitron',",4
'w'],4
"'drop',",4
"'party',",4
"'wb',",4
"['raghavchadha',",4
"['ptinews',",4
"'bina',",4
"'ct',",4
"'show',",4
"'city',",4
"'hc',",4
"'fabiflu',",4
"'immediately',",4
"'agar',",4
"'st',",4
"'line',",4
"['saahilmenghani',",4
"'kisi',",4
"'doc',",4
"'uk',",4
'co'],4
'coronavirus'],4
"'demand',",4
"'receive',",4
"'fairymysteryy',",4
"'video',",4
'mein'],4
"'super',",4
"'kaha',",4
"'thing',",4
"'baat',",4
"'aate',",4
['rofljamesbabu'],4
"'provide',",4
'death'],4
"'aaj',",4
"'cancel',",4
"'journalist',",4
'b'],4
"'patna',",4
"'corona',",4
"['barandbench',",4
"'priority',",4
'centre'],4
':p'],4
"'phir',",4
"'lot',",4
"'exactly',",4
"'mother',",4
"'dono',",4
"'hide',",4
"'wahan',",4
"'liye',",4
"'mask',",4
"'sharma',",4
"'rally',",4
"'indians',",4
"'reporter',",4
"'power',",4
"'tab',",4
"'r',",4
"'aise',",4
"'iska',",4
"'gtb',",4
"'aapda',",4
"'karta',",4
"'private',",4
"'announce',",4
"'free',",4
"'theek',",4
"'positivity',",4
"'pradesh',",4
"'block',",4
'amplify'],4
"'single',",4
"'=',",4
"'desperate',",4
"'narendra',",4
"'pmo',",4
'day'],4
"'mrsgandhi',",4
"'export',",4
"'away',",4
"'logon',",4
'narendramodi'],4
['tirangawasi'],4
"'door',",4
"'chakkar',",4
"['yogitabhayana',",4
"'kolkatapolice',",4
"'despite',",4
"'pata',",4
"'killbillpandey',",4
"['faheemyounus',",3
"'hobe',",3
"'person',",3
"'sushantbsinha',",3
"'international',",3
"'hamare',",3
"'prepare',",3
"'oxygencylinder',",3
"'lady',",3
"['podpiramkmete',",3
"'noble',",3
"'road',",3
"'anchor',",3
'g'],3
"'inko',",3
"'low',",3
"'relative',",3
"'response',",3
"'problem',",3
"'food',",3
"['appurvgupta',",3
"'bola',",3
"'instead',",3
"'shift',",3
"'run',",3
"'isliye',",3
"'disaster',",3
"'shuvankr',",3
"'start',",3
"'karna',",3
"'waste',",3
"'rule',",3
"'jaan',",3
"'hamesha',",3
"'old',",3
"'asifdrmed',",3
'ho'],3
"'remdisivir',",3
"'bheekh',",3
"'reverse',",3
"'rohit',",3
"['dear',",3
"'actual',",3
'roflgandhi'],3
"'president',",3
"'kha',",3
"'near',",3
"'mild',",3
"'continue',",3
"'itna',",3
"'step',",3
"'pass',",3
"'mr',",3
'aartic'],3
"'phone',",3
"'twitterindia',",3
"'order',",3
'like'],3
"'amplify',",3
"'uncle',",3
"'wala',",3
"'macha',",3
"'md',",3
"'iyc',",3
"'kumbh',",3
"'cc',",3
"'pahle',",3
"'god',",3
"['covid',",3
'chotesarcar'],3
"['india',",3
"'tv',",3
"'float',",3
"'tum',",3
'lead'],3
'number'],3
'kya'],3
"'senior',",3
"'mera',",3
"'bahut',",3
"'son',",3
"'postpone',",3
'main'],3
"'ec',",3
"'hopefully',",3
"'mg',",3
"'mp',",3
"'grim',",3
"'bihar',",3
"'singh',",3
"['urbanguy',",3
"'guess',",3
"'mast',",3
"'troll',",3
'r'],3
"'vista',",3
"'delivery',",3
"'strong',",3
"'add',",3
"'recovery',",3
"'rakha',",3
"'infrastructure',",3
"'date',",3
"'nee',",3
"['sarkaaridoc',",3
"'ndtv',",3
"'risingsurbhi',",3
"'expect',",3
"'paper',",3
"'godi',",3
"'cremation',",3
"'current',",3
'contact'],3
"'file',",3
"'home',",3
"'khan',",3
'dm'],3
"'jao',",3
"'national',",3
'know'],3
"'ok',",3
"'atleast',",3
"'link',",3
'soon'],3
"'bagga',",3
"'yogeshangrish',",3
"'far',",3
"'tl',",3
"'secret',",3
"'mumbai',",3
"['hemantrajora',",3
"'air',",3
"'roflgandhi',",3
"'vaccination',",3
"'negative',",3
"'mere',",3
"['jburnmurdoch',",3
"'itni',",3
"'ignore',",3
"'total',",3
"'bdutt',",3
'modi'],3
"'force',",3
"'soch',",3
"'sector',",3
'ab'],3
"'isi',",3
"'wait',",3
"'claim',",3
"'hota',",3
"'diya',",3
"'kyonki',",3
"'hue',",3
"'district',",3
"'kejriwalsunita',",3
"'plan',",3
"'happy',",3
"'milega',",3
"'farmer',",3
"'rise',",3
"'sleep',",3
"'yogi',",3
"'wife',",3
"'chai',",3
"['kunalkamra',",3
"'decision',",3
"'gurgaon',",3
"'haal',",3
"'naya',",3
"'supporter',",3
"'poor',",3
"'master',",3
"'dijiye',",3
"'chinta',",3
"'lal',",3
"'kejriwal',",3
"['rsrajat',",3
['ikumar'],3
"'location',",3
"'duty',",3
"'ghar',",3
"'mamata',",3
"'sardana',",3
"'relate',",3
"'chahiye',",3
"'infection',",3
"'long',",3
"'see',",3
"'update',",3
'pls'],3
"['indian',",3
"'advice',",3
"'rofljamesbabu',",3
"'leader',",3
['cruelsmoker'],3
"'ghaziabad',",3
"'woh',",3
"'man',",3
"'ahead',",3
"'shuru',",3
"'warning',",3
'bjp'],3
"'inox',",3
'fine'],3
"'spo',",3
'worry'],3
"'disease',",3
