,lemmas
"'year',",88
"'good',",78
"'company',",76
"'vc',",72
"'fund',",66
"'investor',",61
"'time',",60
"'startup',",59
"'founder',",56
"'great',",51
"'invest',",48
"['trengriffin',",47
"'like',",45
"'venture',",45
"'know',",42
"'people',",42
"'new',",41
"'investment',",40
"'vcs',",38
"'market',",36
"'business',",35
"'look',",34
"'not',",34
"'miami',",34
"'go',",34
"'learn',",33
"'b',",33
"'capital',",32
"'find',",31
"'public',",31
"'today',",31
"'early',",30
"'think',",30
"'tech',",29
"'get',",27
"'return',",27
"'come',",27
"'week',",27
"'ask',",26
"'value',",26
"'want',",25
"'big',",25
"'lot',",25
"'seed',",24
"'work',",24
"'money',",24
"'share',",24
"'raise',",23
"'world',",23
"'thread',",23
"'write',",23
"'help',",22
"'high',",22
"'start',",22
"'stage',",22
"'tell',",21
"'way',",21
"'firm',",21
"['dividendgrowth',",21
"['samirkaji',",20
"'read',",20
"'thing',",20
"'advice',",20
"'right',",20
"'low',",19
"'ceo',",19
"'interesting',",19
"['jasonlk',",19
"'run',",19
"'growth',",19
"'x',",18
"'announce',",18
"'key',",18
"'day',",18
"'pitch',",18
"'s',",18
"'have',",17
"'see',",17
"'say',",17
"'manager',",17
"'team',",17
"'number',",17
"['joepompliano',",17
"'idea',",16
"'private',",16
"'lesson',",16
"['bgurley',",16
"'interview',",16
"'grow',",16
"'join',",16
"'story',",16
"'spend',",15
"['francissuarez',",15
"'valuation',",15
"'emerge',",15
"'industry',",15
"'cash',",15
"['patrickoshag',",15
"'book',",15
"'million',",15
"'build',",15
"'series',",15
"'use',",15
"'list',",15
"'take',",15
"'need',",15
"'revenue',",15
"'create',",15
"'equity',",14
"'lp',",14
"'favorite',",14
"'price',",14
"'partner',",14
"'hard',",14
"'post',",14
"'arr',",14
"'datum',",14
"'strategy',",14
"'drive',",14
"'give',",14
"'ago',",14
"'old',",14
"'portfolio',",14
"'history',",13
"'ipo',",13
"'love',",13
"'term',",13
"'talk',",13
"'deal',",13
"'entrepreneur',",13
"'make',",13
"['businessinsider',",13
"['techcrunch',",12
"'h',",12
"'change',",12
"['roichristie',",12
"'peter',",12
"'deck',",12
"'pay',",12
"'live',",12
"'thank',",12
"'spac',",12
"'month',",12
"'long',",12
"'margin',",12
"['fintechjunkie',",12
"['beezer',",12
"'focus',",12
"'buy',",12
"'round',",12
"'stock',",12
"'pre',",12
"'career',",12
"'software',",12
"'explain',",11
"'technology',",11
"'hit',",11
"'sell',",11
"'product',",11
"'excited',",11
"'provide',",11
"'investing',",11
"'w',",11
"'lps',",11
"'increase',",11
"'record',",11
"'past',",11
"'point',",11
"'understand',",10
"'easy',",10
"'family',",10
"'important',",10
"'job',",10
"'class',",10
"'t',",10
"'let',",10
"'bad',",10
"'billion',",10
'year'],10
"'article',",10
"'smart',",10
"'saas',",10
"'game',",10
"'model',",10
'f'],10
"'problem',",10
"'k',",10
"'happen',",10
"'event',",10
"'multiple',",10
"'future',",10
"'realize',",10
"'try',",10
"'piece',",10
"'late',",10
"'tiger',",10
"'exit',",10
"'mm',",10
"'analyst',",9
"'opportunity',",9
"'case',",9
"'little',",9
"'win',",9
"'experience',",9
"'watch',",9
"'person',",9
"'dog',",9
"'active',",9
"'ai',",9
"'check',",9
"'plan',",9
"'major',",9
"'listen',",9
"'follow',",9
"['fastcompany',",9
"'bill',",9
"'vs',",9
"'th',",9
"'forget',",9
"['secretcapital',",9
"'pick',",9
"'speak',",9
"'stay',",9
"'news',",9
"'chicago',",9
"'add',",9
"'rule',",9
"'minute',",9
'th'],9
"'tax',",9
"'annual',",9
"'be',",9
"'break',",9
"'worth',",9
"'life',",8
"'gold',",8
"'super',",8
"'open',",8
"'scale',",8
"'flow',",8
"'friend',",8
"'simple',",8
"'generate',",8
"'care',",8
"'marketing',",8
"'turn',",8
"'actually',",8
"'fundraising',",8
"'angel',",8
"'hope',",8
"'michael',",8
'https'],8
"'meet',",8
"'question',",8
"'current',",8
'c'],8
"'recently',",8
"'finance',",8
"'successful',",8
"'home',",8
"'global',",8
"'nick',",8
"'acquisition',",8
"'base',",7
"'bring',",7
"'apple',",7
"'wonder',",7
"'power',",7
"['daveambrose',",7
"'student',",7
"'lynch',",7
"['minalhasan',",7
"'place',",7
"'co',",7
"'earning',",7
"'asset',",7
"['jposhaughnessy',",7
"'include',",7
"'quote',",7
"'thought',",7
"'hear',",7
"'similar',",7
"'level',",7
"'moment',",7
"'formula',",7
"'bubble',",7
"'feel',",7
"'samirkaji',",7
"['iancassel',",7
"'amazon',",7
"'brand',",7
"'real',",7
"'customer',",7
"'self',",7
"'buffett',",7
"'conversation',",7
"'pm',",7
"'office',",7
"'economic',",7
"'w/',",7
"'data',",7
"'acquire',",7
"'report',",7
"'clear',",7
"'silicon',",7
"'covid',",7
"'board',",7
"'call',",7
"'corporate',",7
"'math',",7
"'covid-',",7
"'service',",6
"'nba',",6
"'talent',",6
"'thinking',",6
"'head',",6
"['lpolovet',",6
"'ecosystem',",6
"'table',",6
"'miss',",6
"['alexgarciaatx',",6
"'design',",6
"'update',",6
"'role',",6
'p'],6
"'demand',",6
'time'],6
"'longer',",6
"'cost',",6
"'tweet',",6
"'wow',",6
"'amazing',",6
"'zoom',",6
"'pandemic',",6
"['inpractise',",6
"'valley',",6
"'miamitech',",6
"'wall',",6
"'own',",6
"'teach',",6
"'community',",6
"'sport',",6
"['chamath',",6
"'sale',",6
"['garrytan',",6
'w'],6
"'mean',",6
"'trade',",6
"'short',",6
"['alexiskold',",6
"'apply',",6
"'presentation',",6
"'patent',",6
"['goodmarketinghq',",6
"'require',",6
"'different',",6
"'m',",6
"'sequoia',",6
"'wish',",6
"'fast',",6
'write'],6
"['bw',",6
"'set',",6
'capital'],6
"'discuss',",6
"'average',",6
"'launch',",6
"'success',",6
"'result',",6
"'clean',",6
"'large',",6
"'ownership',",6
"'lead',",6
"'heres',",6
"'hide',",6
"'offer',",6
"'performance',",6
"'facebook',",6
"'remember',",6
"'=',",6
"'fisher',",6
"'guest',",6
"'innovation',",6
"'memo',",6
"'fundraise',",6
"'tomorrow',",6
"'hire',",6
"'distribution',",6
"'yes',",6
"'expect',",6
"['awilkinson',",6
"'management',",6
"'hold',",6
"'college',",5
"'second',",5
"'possible',",5
'invest'],5
"'single',",5
'work'],5
"'sit',",5
'new'],5
"'common',",5
"'leader',",5
"'expand',",5
"['mjmauboussin',",5
"'play',",5
"'law',",5
"'skill',",5
"'liquidity',",5
"'strong',",5
"'risk',",5
"'blog',",5
"'wait',",5
"'fee',",5
"['jason',",5
"['jaydimonte',",5
"['galeforcevc',",5
"'tip',",5
"'player',",5
"'useful',",5
"'introduce',",5
"'man',",5
"'potential',",5
"'develop',",5
"'end',",5
"'example',",5
'today'],5
"'airbnb',",5
"'track',",5
"'funding',",5
"'mba',",5
"'phil',",5
"'generation',",5
"'drop',",5
"'naval',",5
"'recent',",5
"['brentbeshore',",5
"'eat',",5
"'excite',",5
"'personal',",5
"'coffee',",5
"'francissuarez',",5
"'welcome',",5
"'wealth',",5
"'reach',",5
"'answer',",5
"'decision',",5
"'sponsor',",5
"'analysis',",5
"'outcome',",5
"['tracecohen',",5
'investment'],5
"'collect',",5
"'hedge',",5
"'culture',",5
"'allbirds',",5
'ge'],5
"['tihobrkan',",5
'read'],5
"'spacs',",5
"'manage',",5
"'email',",5
"'accord',",5
"'decide',",5
"'process',",5
"['pitdesi',",5
"'saban',",5
'http'],5
"'probably',",5
"'school',",5
"'slide',",5
"'original',",5
"'nearly',",5
"'word',",5
"'catch',",5
'b'],5
"'feature',",5
"'note',",5
"'young',",5
"'professional',",5
"'net',",5
"'pass',",5
"'building',",5
"'joinclubhouse',",5
"'ebitda',",5
"'fit',",5
"'iconic',",5
"'support',",5
"'mark',",5
"'proud',",5
"'health',",5
"'nike',",5
'company'],5
"'valuable',",5
"'reason',",5
"'irr',",4
"'draft',",4
"'difficult',",4
"'enjoy',",4
"'force',",4
"'continue',",4
"'webinar',",4
'vcs'],4
"'booth',",4
"'effective',",4
"['bznote',",4
"'sure',",4
"'well',",4
"'paper',",4
"'file',",4
"'hour',",4
"'prepare',",4
"'resource',",4
"['cliffordasness',",4
"'finally',",4
"'walk',",4
"'fact',",4
"'guide',",4
"'director',",4
"'incredible',",4
"'absolute',",4
"'save',",4
"'cap',",4
"['brianferoldi',",4
"'twitter',",4
"'music',",4
"'digital',",4
"'ie',",4
'know'],4
"'yesterday',",4
"'stand',",4
"'chart',",4
"['uofigrainger',",4
"'pretty',",4
"'todays',",4
"'york',",4
"'crisis',",4
"'dividend',",4
'wi'],4
'play'],4
"'adidas',",4
"'size',",4
"'zero',",4
"'engineer',",4
"'better',",4
"'sign',",4
'startup'],4
"'video',",4
"'cup',",4
"['semil',",4
