,lemmas
"'narendramodi',",310
"['pm',",242
"['newsindia',",190
"'pm',",157
"'covid',",85
"'india',",69
"'meet',",46
"'review',",41
"'today',",41
"'launch',",39
"'address',",38
"'visit',",37
"['india',",36
"'th',",35
"'meeting',",35
"'high',",33
"'minister',",32
"'inaugurate',",31
"'project',",30
"'national',",30
"'prez',",28
"'oxygen',",28
"'say',",28
"'breakingnews',",27
"'state',",26
"'new',",25
"'bjpindia',",25
"'hold',",24
"'indian',",23
"'vaccine',",23
"'bjp',",23
"'vaccination',",23
"'level',",22
"'announce',",21
"'world',",20
"'jan',",20
"['govt',",20
"'bengal',",20
"'year',",19
"'delhi',",19
"'chair',",19
"'bihar',",18
"'meaindia',",18
[],18
"'jpnadda',",18
"'committee',",18
"['nitingadkari',",17
"'support',",17
"'set',",17
"'govt',",16
"'news',",16
"'country',",16
"'crore',",16
"'ensure',",16
"'china',",16
"'interact',",16
"'rajnathsingh',",16
"'take',",16
"'provide',",16
"['cabinet',",16
"'day',",15
"'time',",15
"['bjpindia',",15
"'summit',",15
"'morthindia',",15
"['morthindia',",15
'amitabhnews'],15
'pm'],15
"'st',",15
"'approve',",14
"'foundation',",14
"'public',",14
"'amitabhnews',",14
"'scheme',",14
"'team',",14
"'amitshah',",14
"'newsindia',",14
"'situation',",14
"'stone',",13
"'secretary',",13
"'indias',",13
"'water',",13
"'write',",13
"'pmoindia',",13
"'sep',",12
"'cms',",12
"'issue',",12
"'nation',",12
"'receive',",12
"'modi',",12
"'supply',",12
"['union',",12
"'lay',",12
"'work',",12
"['centre',",12
"'pak',",12
"'aajkamudda',",12
"['th',",12
"'flag',",11
"'good',",11
"'begin',",11
"'tmrow',",11
"'vc',",11
"'campaign',",11
"'lakh',",11
"['cnnnews',",11
"'border',",11
"'dedicate',",11
"'come',",11
"'foreign',",10
"'discuss',",10
"'chinese',",10
"'election',",10
'newsindiachaupal'],10
"'varanasi',",10
"'rally',",10
"'release',",10
"'dose',",10
"'urge',",10
"'use',",10
"'kolkata',",10
"'exclusive',",10
"'sabha',",10
"'rd',",10
"'case',",10
"'international',",10
"'global',",10
"'feb',",10
"'singh',",9
"'base',",9
['newsindia'],9
"'rs',",9
"'service',",9
"'lead',",9
"'people',",9
"'long',",9
"'khadi',",9
"'jaljeevan',",9
"'give',",9
"'break',",9
'c'],9
"'bangladesh',",9
"'drsjaishankar',",9
"'nov',",9
'superexclusive'],9
"'get',",9
"'health',",9
"'chief',",9
"'july',",9
"'medical',",9
"'talk',",9
"'bilateral',",9
"'facility',",9
"'road',",9
"'leader',",9
"'speak',",9
"'infrastructure',",8
"'key',",8
"['narendramodi',",8
"'aiims',",8
"'un',",8
"'dialogue',",8
"'remdesivir',",8
"'far',",8
"'production',",8
"'jk',",8
"'open',",8
"'record',",8
"'indochina',",8
"'welcome',",8
"'app',",8
"'rsprasad',",8
"'city',",8
"'source',",8
"'states',",8
"'mobile',",8
"'farmer',",8
"'kvicindia',",8
"'round',",8
"'parliament',",8
"'central',",8
"'virtual',",8
"'include',",8
"'official',",8
"'special',",8
"'tap',",8
"['new',",8
"'increase',",8
"'ministry',",8
"'develop',",8
"'lac',",8
'breakingnews'],8
"'house',",8
"'thank',",8
"'mvenkaiahnaidu',",8
"'hospital',",8
"'vehicle',",8
'narendramodi'],8
"'building',",7
"'appoint',",7
"'film',",7
"'statement',",7
"'assam',",7
'r'],7
'bjp'],7
"'priority',",7
"'attack',",7
"'participate',",7
"'sport',",7
"'force',",7
"'pms',",7
"'diwali',",7
"'face',",7
"'chairs',",7
"['indias',",7
"'agree',",7
"'financial',",7
"'large',",7
"'development',",7
"'hour',",7
"'japan',",7
"'chairman',",7
'b'],7
"'defence',",7
"'commission',",7
"'fund',",7
"'distribute',",7
"'conduct',",7
"'invite',",7
"'air',",7
"'effort',",7
"'boost',",7
"'direct',",7
"'deliver',",7
"'reach',",7
"'letter',",7
'covid'],7
'th'],7
'h'],7
"'nd',",7
"'session',",7
"'continue',",7
"'lie',",7
"'call',",7
"'reform',",7
"'march',",7
"['meaindia',",7
"'prakashjavdekar',",7
"'celebration',",7
"'troop',",7
"'community',",7
"'enhance',",7
"'superexclusive',",7
"'mp',",7
'newsindia'],7
"'commemorate',",6
"'constitute',",6
"'conversation',",6
"'mps',",6
'p'],6
'india'],6
"'access',",6
"'capacity',",6
"'find',",6
