,lemmas
"'ai',",678
"'fintech',",622
"'datascience',",255
"'bigdata',",225
"['andistaub',",203
"'machinelearne',",152
"'insurtech',",148
"'artificialintelligence',",121
"'ml',",95
"'iot',",80
"'ipfconline',",79
"'innovation',",77
"'behavioraleconomic',",74
"['spirosmargaris',",72
"'algorithm',",67
"'technology',",60
"'new',",55
"'futureofwork',",53
"['ipfconline',",53
"'v/',",52
"'deeplearne',",52
"'future',",52
"'spirosmargaris',",52
"'robot',",51
'fintech'],50
"'fabriziobustama',",47
'ipfconline'],45
"'datum',",45
"'tech',",44
"'digitaltransformation',",44
"'ir',",43
"'cybersecurity',",42
"'jblefevre',",42
"['chboursin',",42
"'robotic',",41
"'data',",40
"'cc',",40
"'algorithms',",40
"['fabriziobustama',",40
"'ethic',",40
"'human',",39
"'education',",36
"'andistaub',",36
"'industry',",36
"'dl',",36
"'science',",35
"['enilev',",34
"'startup',",34
"'business',",33
"'wef',",33
"'banking',",32
"'learn',",32
"'cloud',",32
"'quantum',",31
"'digital',",30
"'world',",30
"['mariafariello',",30
"'python',",29
"'blockchain',",29
"'artificial',",29
"'g',",29
"'nlp',",29
"'health',",28
"'need',",28
"'sustainability',",27
"'change',",27
"'haroldsinnott',",27
"'intelligence',",27
"['yuhelenyu',",27
"'leadership',",26
"['globaliqx',",25
"'not',",25
"'quantumcompute',",25
"'read',",25
"'financial',",24
"'bank',",24
"'math',",23
"'neuralnetwork',",23
"'trend',",23
"['mvollmer',",23
'fabriziobustama'],22
"'automation',",22
"'application',",22
"'machine',",22
"'time',",22
"'psbdc',",22
"'sabinevdl',",21
"'work',",21
"'finance',",21
"['psbdc',",21
"'good',",21
"'sallyeaves',",21
"['ai',",20
"'help',",20
'haroldsinnott'],19
"['efipm',",19
"['xbond',",19
"'insurance',",19
"'aiio',",18
"'model',",18
"['terencemills',",18
"'great',",18
"'think',",18
"'use',",18
"'ecosystem',",17
"'whiteheartvic',",17
"'bitcoin',",17
"'chboursin',",17
"'design',",17
"'payment',",17
"['haroldsinnott',",17
"'deeplearn',",17
"'computer',",17
"['reread',",17
"'finserv',",17
"'healthcare',",17
"'neuroscience',",16
"['albertogaruccio',",16
'spirosmargaris'],16
"'strategy',",16
"'iiot',",16
"'economy',",16
"'service',",16
"'challenge',",16
"'chatbot',",16
"'drive',",15
"'cx',",15
'ai'],15
"'privacy',",15
"'platform',",15
"'nlu',",15
"'impact',",15
"'big',",15
"'regulation',",15
"'bimedotcom',",15
"'problem',",15
"'risk',",14
"'age',",14
"['paulapiccard',",14
"'machinelearning',",14
'mariafariello'],14
"'guide',",14
"'research',",14
"'brain',",14
'bigdata'],14
"'guzmand',",14
'whiteheartvic'],14
"'history',",14
"'security',",14
"'look',",13
"'analytic',",13
"'rpa',",13
"'survey',",13
"'case',",13
"'edtech',",13
"'floriansemle',",13
"['yvesmulker',",13
"'bias',",13
"'nerdstuff',",13
"'network',",13
"'role',",13
"'smartcitie',",13
"'evolution',",13
"'era',",13
"'vc',",12
"'year',",12
"'key',",12
"'know',",12
"'crypto',",12
"'vr',",12
"['weekendread',",12
"'mariafariello',",12
"'code',",12
"'like',",12
"'martech',",12
"'paper',",12
"'mikequindazzi',",12
"'society',",11
"'stat',",11
"'people',",11
"'company',",11
"'ar',",11
"'way',",11
"'scientist',",11
"'step',",11
"'reread',",11
"'principle',",11
"'global',",11
"'build',",11
"'xbond',",11
'cc'],11
"'solution',",11
"['damiencabadi',",11
'jblefevre'],11
"['floriansemle',",11
"'project',",11
"'framework',",11
"'ux',",10
"'explain',",10
"'well',",10
"'harvardbiz',",10
"'energy',",10
"'kalydeoo',",10
"'control',",10
"'start',",10
"'come',",10
"'maths',",10
"'understand',",10
'innovation'],10
"'life',",10
"'approach',",9
"'make',",9
"'thing',",9
"['whiteheartvic',",9
"'century',",9
"'job',",9
"'skill',",9
"['paper',",9
"'pandemic',",9
'pierrepinna'],9
"'china',",9
'xbond'],9
"'pierrepinna',",9
"'mvollmer',",9
"'deeplearning',",9
"'create',",9
"'consumer',",9
"'damiencabadi',",9
"'important',",9
"'post',",9
"'lead',",9
"['sallyeave',",9
"'prediction',",9
"'rise',",9
"'take',",9
"'frronconi',",8
"'therudingroup',",8
"'marketing',",8
"'base',",8
"'value',",8
"'book',",8
"['good',",8
"'inclusion',",8
"'management',",8
"'cryptocurrency',",8
'c'],8
"'dinisguarda',",8
"['leimer',",8
"'literacy',",8
"'form',",8
"'computerscience',",8
"'automate',",8
"'real',",8
"'leimer',",8
"'connect',",8
"'designthinke',",8
"'field',",8
"'insight',",8
"'leader',",8
"'governance',",8
"'limit',",8
"'sector',",8
"'openbanke',",8
"'agi',",8
'deeplearn'],8
"'join',",8
"'ethical',",7
"'edge',",7
"'emergingtech',",7
"'different',",7
"'healthtech',",7
"'learning',",7
"'growth',",7
"'study',",7
"'jimmarous',",7
"['wswmuc',",7
"'woman',",7
"'language',",7
"'predictiveanalytics',",7
'algorithms'],7
"'day',",7
"'shape',",7
"'matter',",7
"'diversity',",7
"'forbes',",7
"'gdpr',",7
"'introduction',",7
"'development',",7
"'review',",7
'chboursin'],7
"'physics',",7
'floriansemle'],7
"'gender',",7
"'terencemills',",7
"'retail',",7
"'live',",7
"'st',",7
'iot'],7
"'eu',",7
"'investment',",7
"'invest',",7
"'pay',",7
"'vs',",7
"'mit',",7
"'podcast',",7
'sabinevdl'],7
'guzmand'],7
"'paulapiccard',",7
"'question',",7
"'opendata',",6
"'daysofcode',",6
"'firm',",6
"'billion',",6
"'autonomous',",6
"['sabinevdl',",6
"'market',",6
"'define',",6
"'stem',",6
"'fast',",6
"'device',",6
"['guzmand',",6
"'transformation',",6
"['interesting',",6
'cybersecurity'],6
"'system',",6
"'sustainable',",6
"'want',",6
'b'],6
"['relevant',",6
"['future',",6
"'enable',",6
"'pov',",6
"'cloudcompute',",6
"'tlloydjones',",6
"'tdatascience',",6
"'power',",6
"'programming',",6
"'perspective',",6
"'head',",6
"'go',",6
"'predictiveanalytic',",6
"'smarthome',",6
"'information',",6
"'get',",6
"'break',",6
"'concept',",6
"['lucschuurman',",6
"'solve',",6
"'report',",6
"'mobility',",6
"'opportunity',",6
"'car',",6
"'interaction',",6
"'prepare',",6
"'paradigm',",6
"'geopolitics',",6
'nicochan'],6
"'bigtech',",6
"'reduce',",6
"'stock',",6
'andistaub'],6
"'speed',",6
'datascience'],6
"'intelligent',",6
"'enterprise',",6
"'technical',",6
"['great',",6
"'game',",6
"'transform',",6
'd'],6
"'smart',",6
"['pierrepinna',",6
"['artificialintelligence',",6
"'womenintech',",5
"'pizza',",5
"'consumption',",5
"'hard',",5
"'juleznorton',",5
"'infographic',",5
"'pwc',",5
"'hybrid',",5
"['technology',",5
"'interpretable',",5
"['machinelearne',",5
"'mean',",5
"'businessmodel',",5
'di'],5
"'improve',",5
"'regulate',",5
'terencemill'],5
"'myth',",5
"'trust',",5
"'evolve',",5
"'weekendread',",5
"'remote',",5
"['jimmarous',",5
"'heres',",5
"'medium',",5
"'self',",5
"'aiethic',",5
"'shift',",5
"'decision',",5
"'enricomolinari',",5
"'decade',",5
"'revolution',",5
"['neiraosci',",5
"'success',",5
"'generate',",5
"'neuralnetworks',",5
"'process',",5
"'gold',",5
"'environment',",5
"'disruptive',",5
"['insightful',",5
'ip'],5
"'share',",5
"'software',",5
'w'],5
"'black',",5
"'bad',",5
"'essential',",5
"'literature',",5
"'scale',",5
"['study',",5
"'covid',",5
'psbdc'],5
'insurtech'],5
"'nocode',",5
"'sbmeunier',",5
"'dataviz',",5
"'planet',",5
"'behavioraleconomics',",5
"'miss',",5
"'workplace',",5
"'promise',",5
'ipfconl'],5
"'space',",5
"'gtgs',",5
"'late',",5
"'cybersec',",5
"'quality',",5
"'nee',",5
"'mathematic',",5
'education'],5
"'box',",5
"'transition',",5
"'say',",5
"'idea',",5
'ipfconlin'],5
"'socialmedia',",5
"'yuhelenyu',",5
"'unicorn',",5
"'explainability',",5
"'disruption',",5
"['mcin',",5
'p'],5
"'order',",5
"'cognitive',",5
"'dzoneinc',",4
"'bcg',",4
"'lab',",4
'kalydeoo'],4
"'tomorrow',",4
"'natural',",4
'machinelea'],4
"'humanity',",4
"'large',",4
'f'],4
"'customer',",4
"'launch',",4
"'entrepreneurship',",4
"'dlt',",4
"'buy',",4
"'wswmuc',",4
"'funding',",4
"'researcher',",4
"'agent',",4
"'rethink',",4
"'worker',",4
"'fisherm',",4
"'personality',",4
"'week',",4
'mvollmer'],4
"'money',",4
"'sound',",4
"'strategic',",4
"'teach',",4
"'end',",4
"'map',",4
'sallyeave'],4
"'high',",4
"'road',",4
"'globaliqx',",4
"'affect',",4
"'deliver',",4
"'credit',",4
"'ibm',",4
"'theory',",4
"'stop',",4
"'culture',",4
"'equal',",4
'machinelearne'],4
"'public',",4
"'size',",4
"'overview',",4
"'dataanalytic',",4
"'city',",4
"'set',",4
"'introduce',",4
"'giant',",4
"'example',",4
"'inequality',",4
"'win',",4
"'fear',",4
"'water',",4
"'require',",4
'deeplearne'],4
'g'],4
"'citizen',",4
"'modelling',",4
"'mobile',",4
"'fix',",4
"'ask',",4
"'enilev',",4
"'sarbjeetjohal',",4
"'state',",4
'da'],4
"'relevant',",4
"'economics',",4
"'tackle',",4
"'expert',",4
"'social',",4
'ir'],4
"'institution',",4
"'raise',",4
"'telematics',",4
"'api',",4
"'ronaldvanloon',",4
"'architecture',",4
"'user',",4
"'talk',",4
'ipfco'],4
"'low',",4
"'dynamic',",4
"'neural',",4
"'ahead',",4
"'processing',",4
"'visualize',",4
"'race',",4
"'adoption',",4
"'wealth',",4
"'critical',",4
'fabriziobustam'],4
"'master',",4
"'internet',",4
"'soon',",4
"'news',",4
"'forward',",4
'ma'],4
"'let',",4
"'workforce',",4
"'employee',",4
"'replace',",4
"'green',",4
"'wave',",4
"'interesting',",4
"'non',",4
"'today',",4
"'deep',",4
'damiencabadi'],4
"'issue',",4
"'right',",4
"'quad',",4
"'redefine',",4
"'apply',",4
"'country',",4
'bimedotcom'],4
"'propose',",4
"['industry',",4
"'measure',",4
"'move',",4
"'record',",4
"'nigelwalsh',",4
"'centric',",4
"'wealthtech',",4
'predictiveanalytic'],4
"'million',",4
"'hacking',",4
"'art',",4
"'breakthrough',",4
"'open',",4
"['new',",4
"'watch',",4
"'cycle',",4
"'begin',",4
"'follow',",4
"'successful',",4
"'better',",4
"'nicochan',",4
"['explainable',",3
'http'],3
"'realize',",3
"'artificalintelligence',",3
"'ultimate',",3
"'charliehalkett',",3
"'warehouse',",3
"'unleash',",3
"'insightful',",3
"'ecommerce',",3
"'april',",3
"'techcrunch',",3
"'ursbolt',",3
"'shoot',",3
"'facialrecognition',",3
"'sebbourguignon',",3
"'mental',",3
"'fuel',",3
"'brand',",3
"'product',",3
"'visual',",3
"'organization',",3
"'explanation',",3
"'plan',",3
"'beat',",3
"['fintech',",3
"'push',",3
'insurance'],3
"'advanced',",3
"'overcome',",3
"'ways',",3
"'amazon',",3
"'antgrasso',",3
"'sallyeave',",3
"'generation',",3
"'worth',",3
'pbucquet'],3
"'spac',",3
"'behavior',",3
"'engine',",3
"'earthday',",3
"'write',",3
"['gerritsinderman',",3
"'behavioralscience',",3
"'team',",3
'sbmeunier'],3
'mac'],3
"'establish',",3
'nicoch'],3
"['quantum',",3
'kirkdbo'],3
"['evolution',",3
"'cloudcomputing',",3
"'gamification',",3
"'type',",3
"'cost',",3
"'pervasive',",3
"['sarbjeetjohal',",3
"'der',",3
"'zdnet',",3
'akwyz'],3
"'rse',",3
"'mistake',",3
"'growthhacke',",3
'sp'],3
"'oil',",3
"'compute',",3
"'implication',",3
"'ready',",3
"'datadriven',",3
"'embrace',",3
"'electricity',",3
"'venturecapital',",3
"'missdkingsbury',",3
"['sallyeaves',",3
"['nee',",3
"'accelerate',",3
"'purpose',",3
"'rate',",3
"'technological',",3
"'creativity',",3
"'announce',",3
"'explainable',",3
'ml'],3
"'edgecomputing',",3
"'ubi',",3
"'fintechs',",3
"'remotework',",3
"'account',",3
"'estimate',",3
"'able',",3
"'resource',",3
'time'],3
"'industrial',",3
"'climate',",3
"'innovative',",3
"'fundamental',",3
"'delltech',",3
"['deeplearne',",3
"'trinity',",3
"'library',",3
"['cybersecurity',",3
'fintec'],3
"'building',",3
"'changer',",3
"'limited',",3
"'economic',",3
"'emotion',",3
"'tesla',",3
"'gap',",3
"'reinforcement',",3
"['fundamental',",3
"'engineering',",3
"['robot',",3
'andi'],3
"'mckinsey',",3
"'corner',",3
"'und',",3
"'fully',",3
"'gartnerinc',",3
"'demand',",3
"['jblefevre',",3
"'wrong',",3
"'beginner',",3
'h'],3
"'plastic',",3
"'emerge',",3
"'find',",3
"'biometric',",3
"'operation',",3
"'techxplorecom',",3
"'biased',",3
'fin'],3
"'memory',",3
"'engineer',",3
"'simple',",3
'fr'],3
"'image',",3
'global'],3
"'thank',",3
"'regtech',",3
'spiro'],3
"'earth',",3
"'performance',",3
"'boston',",3
"'farm',",3
"'futurism',",3
"'cyberattack',",3
"'wfh',",3
"'determine',",3
'yuhelenyu'],3
"'solar',",3
"'d',",3
'spirosmar'],3
"'cbdc',",3
"'battle',",3
"'dead',",3
"'app',",3
"'infrastructure',",3
"'roi',",3
"'program',",3
"'nvidia',",3
"['human',",3
"'course',",3
"'techforgood',",3
"'esg',",3
"'csis',",3
"'hire',",3
"'amazing',",3
'tech'],3
"'index',",3
"'surprise',",3
"['essential',",3
"'fight',",3
"'fairness',",3
"'andylucerne',",3
"'doubt',",3
"'learnandmakeit',",3
'kmcdtech'],3
"'collective',",3
'ipf'],3
"'landscape',",3
"'dataparadox',",3
"['datascience',",3
"'explainer',",3
"'mitsloan',",3
"'tool',",3
"'ceo',",3
"'implement',",3
"'disrupt',",3
'v/'],3
"'meet',",3
"'characteristic',",3
"'psd',",3
"'unlock',",3
"'shop',",3
"'analysis',",3
"'law',",3
"'include',",3
"'mooc',",3
"'training',",3
"['transition',",3
'dataanalytic'],3
"'executive',",3
"'reshape',",3
"'carbon',",3
"'nicklamparelli',",3
"'pre',",3
"'card',",3
'behavioraleconomic'],3
"'europes',",3
"'rush',",3
"'founder',",3
"'develop',",3
"'event',",3
'globaliqx'],3
"'rapid',",3
'yvesmulker'],3
'insurtechforum'],3
'juleznorton'],3
"'area',",3
"'goal',",3
"'potential',",3
"'natashakyp',",3
"'s',",3
'spir'],3
"'iphone',",3
"'corporate',",3
"'womenwhocode',",3
'maria'],3
"'hide',",3
"'swan',",3
"'delltechcloud',",3
"'article',",3
"'selfdrivingcar',",3
"'informationage',",3
"'trial',",2
"'function',",2
'whiteheartvi'],2
"['cool',",2
"'alternative',",2
"'waste',",2
"'cbinsights',",2
'artificialintell'],2
"'remover',",2
"'integrate',",2
'earthday'],2
"'unprotected',",2
"'hit',",2
"'truth',",2
"'drfeifei',",2
"'excellent',",2
"'interview',",2
'fi'],2
"'copycat',",2
'spirosmarga'],2
"'task',",2
'andistau'],2
"'pleasure',",2
"'decentralize',",2
"'logic',",2
"'wisely',",2
"'aiot',",2
"'hci',",2
"['black',",2
"'millennial',",2
'finte'],2
"'finally',",2
"'europe',",2
"'th',",2
"'silicon',",2
"'release',",2
"'prove',",2
'urs'],2
"'story',",2
"'electric',",2
"'glance',",2
"'definition',",2
"'offer',",2
"'assistant',",2
"'autonomousvehicles',",2
"'female',",2
"'saas',",2
"'ocean',",2
'ethic'],2
"'inspire',",2
"'blog',",2
"'hack',",2
"['iot',",2
"'ye',",2
"'valuation',",2
"['bigdata',",2
"'india',",2
"'notch',",2
"'source',",2
"'evankirstel',",2
"'achieve',",2
'computerscience'],2
"'siftedeu',",2
'therudingroup'],2
'energy'],2
"'probability',",2
"'ev',",2
"'barter',",2
"'writer',",2
"'generalize',",2
"['artificial',",2
"'video',",2
"'sustainablefinance',",2
"'mt',",2
"'dream',",2
"'efipm',",2
"'actually',",2
"'free',",2
"'chinese',",2
"'return',",2
'dig'],2
"'fulfill',",2
"'fault',",2
"'leverage',",2
"'register',",2
"'government',",2
"['algorithmic',",2
"'communication',",2
"'rural',",2
'mis'],2
"'blame',",2
"'bn',",2
"'churn',",2
"'aristotle',",2
"'actual',",2
"'quantumcomputing',",2
"'democratic',",2
"'revenue',",2
'whiteheart'],2
"'mind',",2
"'american',",2
"'centre',",2
"'representation',",2
'algorithm'],2
"'q',",2
'raconteur'],2
"'atlanticcouncil',",2
"'kill',",2
"'love',",2
"'dataefficient',",2
'albertogaruccio'],2
'sabinev'],2
'tlloyd'],2
'm'],2
"'la',",2
'fabriz'],2
"'recycle',",2
'k'],2
"'dataanalytics',",2
"'trajectory',",2
"'walk',",2
"'nodexl',",2
"'train',",2
'chbou'],2
"'hcd',",2
"'nerd',",2
"'futuretech',",2
"'aim',",2
"'newyorker',",2
"'powered',",2
"'tendency',",2
"['myth',",2
"'biology',",2
"['recommendation',",2
"'sdgs',",2
'machinele'],2
"'jeanetteaw',",2
'mik'],2
"'white',",2
'payment'],2
"'renewable',",2
"'monetary',",2
"'finextra',",2
'ipfc'],2
"'nature',",2
"'list',",2
"'method',",2
"'intuition',",2
"'submit',",2
"'york',",2
"'longer',",2
"'seeker',",2
"['digital',",2
"['perspective',",2
'yuhele'],2
"'iwoodford',",2
"'google',",2
"'quantummechanics',",2
"'swap',",2
'artificialintelligence'],2
"'statup',",2
"'thursdaythought',",2
"'salesman',",2
"'target',",2
"'digitalization',",2
"'median',",2
"'datafication',",2
"'avatar',",2
'whit'],2
"['way',",2
"'later',",2
"'blackhole',",2
"['finmktg',",2
"'genderequity',",2
"'covid-',",2
"'cobot',",2
"'markovchain',",2
'natashakyp'],2
"'maybe',",2
"'environmental',",2
'th'],2
"['step',",2
"'complete',",2
"'text',",2
"'visualcap',",2
'cloud'],2
"'gafa',",2
"'bigdataanalytic',",2
'crypto'],2
"'jeffkagan',",2
"'albertogaruccio',",2
"'futuristic',",2
"'window',",2
"'ipo',",2
"'mobileapps',",2
"'truck',",2
"'chat',",2
"'town',",2
"'cnns',",2
"'recreate',",2
"'richardturrin',",2
'salzer'],2
"'segundoatdell',",2
"'agriculture',",2
"'rule',",2
"'ftpartner',",2
"['sbmeunier',",2
'environment'],2
"'discovery',",2
"'conversation',",2
"'term',",2
"'singapore',",2
"'uncertainty',",2
"'dominos',",2
"['use',",2
"'manipulation',",2
"'coin',",2
'machinelearn'],2
"'digitallife',",2
"'climatechange',",2
"'see',",2
"'advisor',",2
"'feel',",2
"'office',",2
'futureofwork'],2
"'evolutionary',",2
"'financialservice',",2
"'programmer',",2
"'govern',",2
"'algorithmic',",2
"'neuroeconomic',",2
"'exchange',",2
"['read',",2
"'motivation',",2
"'asia',",2
"'compete',",2
"'facilitate',",2
"'russia',",2
"'assistive',",2
'pe'],2
"'kirkdborne',",2
'pa'],2
"'publish',",2
"['asokantelecom',",2
"'whitehats',",2
"'ft',",2
"'narrative',",2
'xbo'],2
"'boom',",2
"'ireland',",2
"'nft',",2
"'strike',",2
"'wireless',",2
"'ist',",2
'leadership'],2
"'cashless',",2
"'password',",2
'machi'],2
"'interface',",2
'bigda'],2
'sabin'],2
"'digitise',",2
"'clean',",2
'star'],2
"'mathematicians',",2
"'unravel',",2
"'scifi',",2
"'specialization',",2
"['ahier',",2
"'voice',",2
"'andre',",2
"'happy',",2
"['look',",2
"'decide',",2
"'girlswhocode',",2
"'simulate',",2
"'gen',",2
"['understand',",2
"'democratization',",2
"'kmcdtech',",2
"'strategicthinke',",2
"'insurer',",2
'leimer'],2
'e'],2
"'boardroom',",2
"'cheeky',",2
'artificialinte'],2
'al'],2
"'empathy',",2
"'modern',",2
"'rank',",2
'damien'],2
"'disparate',",2
"['ethic',",2
"'adaptable',",2
"'sea',",2
"'empower',",2
"'play',",2
"'robotics',",2
"['simoncocking',",2
'jblefevr'],2
"'stratandbiz',",2
"'vertical',",2
"'insurtechforum',",2
"'drone',",2
"'invention',",2
"'devops',",2
"'montecarlo',",2
"'negotiator',",2
"'center',",2
"'versus',",2
"'helenewpli',",2
"'miad',",2
"'quarter',",2
"'hub',",2
"'hunt',",2
"['financial',",2
"['chrisggarrod',",2
"'save',",2
"['woman',",2
'banking'],2
"'nearly',",2
"['incredible',",2
"'ransomware',",2
"'battery',",2
"'oxygen',",2
"['world',",2
"['neuralnetwork',",2
"'ht',",2
"'cat',",2
"'advance',",2
'whi'],2
"'transparency',",2
"'voicefirst',",2
"'adopt',",2
"['innovation',",2
'spirosmargari'],2
"'instead',",2
"'imaginative',",2
"'price',",2
"'practice',",2
'sally'],2
"['game',",2
"'sentience',",2
"'act',",2
'spi'],2
"'sure',",2
"'responsibility',",2
"'famous',",2
"'select',",2
"'deal',",2
'harold'],2
"'nash',",2
"['mathematic',",2
"'paradox',",2
"['simple',",2
"'colorblindness',",2
"'surround',",2
'flori'],2
"'schmarzo',",2
'cybersec'],2
"'invisible',",2
"'nasa',",2
"'element',",2
"'brettking',",2
"'astray',",2
"'hero',",2
"['rise',",2
'alvinfoo'],2
"'recovery',",2
'dinisg'],2
"'nickbrackney',",2
"'sport',",2
"'sandbox',",2
"'equation',",2
"'initiative',",2
"'imagine',",2
'machine'],2
"'choose',",2
"['machinelearning',",2
"'friendly',",2
"'predictive',",2
"'futurist',",2
"'habit',",2
"'stevejobs',",2
"'chain',",2
"'digitalcurrency',",2
"'balanced',",2
'psbd'],2
"'bring',",2
"'email',",2
"'lot',",2
"'seanmoffitt',",2
'deep'],2
"'sky',",2
"'worry',",2
"'object',",2
"'hr',",2
'sallyeaves'],2
"'africa',",2
"'manufacturing',",2
"'allow',",2
"'agility',",2
'fa'],2
"'akwyz',",2
"'statistic',",2
"['interpretable',",2
"'explore',",2
"'eai',",2
'har'],2
"'autonomousvehicle',",2
"'quantification',",2
"'todays',",2
"'plus',",2
"'partnership',",2
"'version',",2
"['tech',",2
"['fintechna',",2
"'thrive',",2
"'digitalexperience',",2
"'increase',",2
'fgraillot'],2
"'nanotech',",2
"'dlapiper',",2
"'topbot',",2
"'bot',",2
"'deepfake',",2
'teren'],2
"'holy',",2
"'chinas',",2
"'avrohomg',",2
"'mashable',",2
"'yvesmulkers',",2
"['kalydeoo',",2
"'repair',",2
'sa'],2
"'tell',",2
"'financialliteracy',",2
"'spend',",2
"'congrats',",2
"'light',",2
"'shicooks',",2
"'name',",2
"'hot',",2
"'openai',",2
"'den',",2
"'update',",2
"'sharing',",2
'jule'],2
"'destruction',",2
"'link',",2
"'avoid',",2
"'emission',",2
"['learn',",2
'finserv'],2
"'emergingtechnologie',",2
"'core',",2
"'businessintelligence',",2
"'fail',",2
"'climateaction',",2
"'manage',",2
"'digitaltrend',",2
"'blackhat',",2
"'dataset',",2
"'tango',",2
"['unravel',",2
"'virtualreality',",2
"'existence',",2
"'theeconomist',",2
"'supercomputer',",2
"'owner',",2
"'fund',",2
"'bb',",2
'deeplea'],2
"'level',",2
"'kdnugget',",2
"'r',",2
"'basics',",2
"'spectator',",2
"'economist',",2
"['create',",2
"'fresh',",2
"'virtual',",2
"'gpt',",2
'https'],2
"'standard',",2
"'behaviour',",2
"'associate',",2
"'nowthisnews',",2
"'unsupervised',",2
"'trick',",2
'chatbot'],2
"'siliconvalley',",2
"'personalization',",2
"'remain',",2
"'planning',",2
"'be',",2
"['algorithm',",2
"'die',",2
"'womeninstem',",2
"'strong',",2
'enilev'],2
