,lemmas
"'not',",76
"'like',",70
"'people',",67
"'prince',",54
"'know',",53
"'new',",47
"'get',",44
"'be',",41
"'s',",40
"'think',",37
"'time',",36
"'thing',",30
"'love',",30
"'yeah',",29
"'good',",28
"'right',",28
"'glitch',",27
"'year',",24
"'go',",23
"'look',",23
"'folk',",23
"'work',",23
"'nyc',",23
"'feel',",22
"'lol',",22
"'darlingnisi',",22
"'way',",21
"'today',",21
"'day',",21
"'need',",20
"'vaccine',",20
"'lot',",20
"'come',",20
"'talk',",19
"'say',",19
"'want',",19
"'great',",18
"'write',",18
"'oh',",18
"'see',",18
"'share',",17
"'white',",17
"'india',",17
"'community',",17
"'make',",16
"'try',",16
"'asian',",15
"'firefire',",15
"'mean',",15
"'police',",15
"'hear',",15
"'live',",15
"'app',",15
"'week',",14
"'pm',",14
"'to',",14
"'yes',",14
"'tell',",13
"'big',",13
"'story',",13
"'ask',",13
"'world',",12
"'long',",12
"'support',",12
"'covid',",12
"'use',",12
"'sure',",12
"'help',",12
"'video',",12
"'friend',",12
'th'],11
"'black',",11
"'drclaw',",11
"'old',",11
"'family',",11
"'social',",11
"['aishastaggers',",11
"'run',",11
"'happen',",11
"'wonder',",11
"'million',",11
"'american',",11
"'release',",11
'like'],11
"'man',",11
"'case',",11
"'cop',",11
"'hope',",10
"'school',",10
"'iamslickrick',",10
"'hate',",10
"'break',",10
"'have',",10
"'definitely',",10
"'company',",10
"'walk',",10
"'report',",10
"'record',",10
"'read',",10
"'create',",10
"'young',",10
"'bad',",10
"'build',",10
"'song',",9
"'pretty',",9
"'speak',",9
"'public',",9
"'child',",9
'w'],9
"'wonderful',",9
"'actually',",9
"'city',",9
"'important',",9
'time'],9
"'system',",9
"'find',",9
"'guy',",9
"'place',",9
"'news',",9
"'play',",9
"['anildash',",9
"'start',",9
"'music',",9
"'apple',",9
"'night',",9
"'watch',",9
"'state',",9
"'open',",9
"'miss',",9
"['sifillldf',",9
"'anti',",9
"'woman',",9
"'conversation',",9
"['darlingnisi',",8
"'give',",8
"'moment',",8
"'thank',",8
"'will',",8
"'mattzollerseitz',",8
"'person',",8
"['tressiemcphd',",8
"['questlove',",8
"'join',",8
"'hour',",8
"'official',",8
"'care',",8
"'late',",8
"'album',",8
"'different',",8
"'officer',",8
"'couple',",8
"'york',",8
"'update',",8
"['glitch',",8
"'little',",8
"'maybe',",8
"'life',",8
"'tool',",7
"'lose',",7
"['goldman',",7
"'yep',",7
"'fix',",7
"'kid',",7
"'response',",7
"'aishastaggers',",7
"'take',",7
"'email',",7
"'context',",7
"'th',",7
"'follow',",7
"'fun',",7
"'high',",7
"'film',",7
"'keep',",7
"'one',",7
