,lemmas
"['girlsonfilmpod',",275
"'film',",247
"'girlsonfilmpod',",186
"'annasmithjourno',",159
"'girlsonfilm',",150
"'new',",98
"'join',",92
"'talk',",81
"'today',",76
"'bfi',",76
"'director',",73
"'female',",68
"'star',",61
"'late',",60
"'woman',",55
"'thank',",54
"'great',",53
"'watch',",50
"'podcast',",49
"'recommendation',",48
"['today',",47
"'good',",47
"'movie',",46
"'ep',",45
"['bfi',",44
"'award',",44
"'year',",44
"'youtube',",43
"'pod',",43
"'pm',",41
"'love',",40
"'episode',",40
"'review',",40
"'day',",36
"'tonight',",35
"'week',",35
"'host',",33
"'feature',",32
"'time',",32
"'hear',",31
"'fab',",31
"'chat',",31
"'uk',",30
"'critic',",30
"'guest',",29
"'special',",29
"'live',",29
"'come',",28
"'check',",28
"'win',",27
"'night',",26
"'work',",26
"'interview',",26
"'kermodemovie',",25
"'eebaftas',",25
"'brilliant',",25
"'direct',",24
"'cinema',",24
"'oscars',",23
"'screen',",23
'girlsonfilmpod'],23
"'release',",22
"'enjoy',",22
"'nominate',",21
"'big',",21
"'available',",21
"'look',",21
"'home',",20
"'like',",20
"'festival',",20
"'listen',",20
"'fun',",19
"'fabulous',",19
"'qa',",19
"'share',",19
"'discuss',",18
"'girl',",18
"'tomorrow',",18
"'focus',",18
"'get',",18
"'celebrate',",18
"'filmmaker',",18
"'catch',",17
"'feminist',",17
"'drama',",17
"'doc',",17
"'go',",17
"'support',",16
"'anna',",16
"'lockdown',",16
"['heddatweet',",16
"'oscar',",16
"['ashantiomkar',",16
"['thank',",16
"'iffr',",16
"'thrill',",16
"'list',",15
"'winner',",15
'film'],15
"'online',",15
"'see',",15
"'announce',",15
"['annasmithjourno',",14
'f'],14
"'th',",14
"'news',",14
"'young',",14
"'comedy',",14
"'smith',",14
"'rocksthefilm',",13
"'writer',",13
"'tune',",13
"'primevideouk',",13
"'think',",13
"'bbc',",13
"'weekend',",13
"'rec',",13
"'series',",13
"'wonderful',",12
"'cinemas',",12
"'lead',",12
"'nominee',",12
"'fantastic',",12
"'friday',",12
"'channel',",12
"'little',",12
"'story',",12
"'miss',",12
'h'],12
"['birdseyeviewff',",12
"'launch',",12
"'congrats',",12
"'set',",12
'thank'],12
"'digital',",12
"'brand',",12
"'life',",11
"'rise',",11
"'bring',",11
"'team',",11
"'exclusive',",11
"'include',",11
"'bbciplayer',",11
"'write',",11
"'hi',",11
"'have',",11
"'funny',",11
"'not',",11
"'line',",11
"'age',",11
"'bafta',",11
"'follow',",11
"['love',",11
"'short',",11
"'netflixuk',",11
"'lovely',",11
"'littlewomen',",10
"'free',",10
"'happy',",10
"'say',",10
"'pick',",10
"'lff',",10
"'start',",10
"['deadline',",10
"'thing',",10
'girlsonfilm'],10
"'actor',",10
"'documentary',",10
"'bifa',",10
"'music',",10
"'congratulation',",10
"'excellent',",10
"'premiere',",9
"'right',",9
"'homemcr',",9
"'programme',",9
"'amazing',",9
"'ask',",9
"'know',",9
'w'],9
"'huge',",9
"'tell',",9
"'speak',",9
"'monicadolan',",9
"'conversation',",9
"'saintmaudmovie',",9
"'view',",9
"'tuesday',",9
"'susan',",9
"['great',",9
"'favourite',",9
"'screening',",9
"'rhiannadhillon',",9
"'moment',",9
"'excited',",9
"'record',",9
"'world',",9
"'nomination',",9
"'powerful',",8
"'explore',",8
"'carolmorley',",8
"'jury',",8
"'dark',",8
"'debut',",8
'guest'],8
"'musical',",8
"'intl',",8
"'stream',",8
"'sarahgavron',",8
'g'],8
"'akhavandesiree',",8
"'word',",8
"'excite',",8
"'bbcradio',",8
"'gender',",8
"'inspire',",8
"'sex',",8
"'hour',",8
"'birthday',",8
"'season',",8
"'perfect',",8
"'long',",8
"'bbcnews',",8
"'terrific',",8
"'christmas',",8
"'video',",8
"'email',",8
"'performance',",8
"'help',",8
"'hit',",8
"'show',",8
"'shout',",8
"'radio',",8
"'morning',",8
"'activist',",8
"'eerisingstar',",8
"'give',",8
"'london',",8
"'babyteeth',",7
"'actress',",7
"'activism',",7
"'greta',",7
"'critics',",7
"'thought',",7
'c'],7
"'august',",7
"'ee',",7
"'nishaganatra',",7
"'londoncritics',",7
"'birdseyeviewff',",7
"'daysfilms',",7
'annasmithjourno'],7
"'pride',",7
"'talent',",7
"'kick',",7
"'deep',",7
"['thrill',",7
"'play',",7
"'especially',",7
"'co',",7
"'ticket',",7
"'ruthmadeley',",7
"'hope',",7
"'event',",7
"'finally',",7
"'heddatweet',",7
'check'],7
"'ace',",7
"'sign',",7
"'british',",7
'th'],7
'talk'],7
"'issue',",7
"'audience',",7
"'goldenglobes',",7
"'themayfairhotel',",7
'woman'],6
"['primevideouk',",6
"'edition',",6
"'lady',",6
"'fascinating',",6
"'fancy',",6
"['carolmorley',",6
"'quote',",6
"'make',",6
"['kermodemovie',",6
"'ammaasante',",6
"'misbehaviouruk',",6
"'feel',",6
"'loveliff',",6
"'role',",6
"'superhero',",6
