,lemmas
"'vaccine',",214
"'covid',",113
"'ashishkjha',",109
"'vaccinate',",79
"'pandemic',",75
"'people',",70
"'get',",68
"'new',",68
"'dose',",64
"'case',",58
"'death',",58
"'today',",57
"'variant',",54
"'day',",54
"'infection',",51
"'say',",50
"'health',",48
"'vaccination',",48
"'think',",46
"'good',",45
"'need',",44
"'high',",43
"'year',",43
"'mask',",41
"'lot',",41
"'dr',",40
"'time',",39
"'like',",39
"'k',",38
"'right',",37
"'india',",36
"'state',",36
"'great',",36
"'datum',",36
"['ashishkjha',",35
"'folk',",34
"'week',",33
"'public',",33
"'go',",33
"'know',",33
"'work',",30
"'global',",30
"'news',",30
"'talk',",29
"'jj',",29
"'thank',",28
"'agree',",27
"'end',",27
"'risk',",26
"'thread',",26
"'start',",25
"'number',",25
"'piece',",25
"'want',",24
"'world',",24
"'not',",24
"'month',",23
"'school',",23
"'million',",23
"'look',",22
"'join',",22
"'b',",22
"'test',",22
"'americans',",22
"'see',",22
"'cdc',",21
"'fully',",20
"'immunity',",20
"['bobwachter',",20
"'let',",20
"'die',",20
"'daily',",20
"'help',",19
"'team',",19
"'person',",19
"'fall',",18
"'point',",18
"'ago',",18
"'continue',",18
"'late',",18
"'covid-',",18
"'tell',",18
"'likely',",18
"'hospital',",17
"'change',",17
"'come',",17
"'nation',",16
"'long',",16
"'read',",16
"'speak',",16
"'vaccinated',",16
"['meganranney',",15
"'bad',",15
"'nd',",15
"'nee',",15
"'big',",15
"'thing',",15
"'herd',",15
"'pause',",15
"'discuss',",15
"'important',",15
"'adult',",15
"'rise',",14
"'feel',",14
"'nearly',",14
"'hit',",14
"'place',",14
"'march',",14
"'pfizer',",14
"'ask',",14
"'old',",14
"'report',",14
"'president',",14
"'virus',",14
"'concern',",14
"'make',",14
"'hospitalization',",14
"'biden',",14
"'america',",14
'w'],14
"'efficacy',",13
"'friend',",13
"'fda',",13
"'true',",13
"'close',",13
"'uk',",13
"'happen',",13
"'yes',",13
"'give',",13
"'far',",13
"'tonight',",13
'vaccinate'],13
"'plan',",13
"'icu',",13
"'january',",13
"'past',",13
"'base',",12
"'early',",12
"'mean',",12
"'wait',",12
"'shoot',",12
"'clear',",12
"'indoor',",12
"'trial',",12
"'mid',",12
"'take',",12
"'population',",12
"['bhrenton',",12
"'safe',",12
"'drop',",11
"'life',",11
"'care',",11
"'line',",11
"'actually',",11
"'critical',",11
"'learn',",11
"'rate',",11
"'mandate',",11
"'announce',",11
"'yesterday',",11
"'outbreak',",11
"'different',",11
"'jha',",11
"'way',",11
"['let',",11
"'expect',",11
"'extraordinary',",11
"'cause',",11
"'shot',",10
"'hear',",10
"['erictopol',",10
"'level',",10
"'hope',",10
'vaccine'],10
"'spread',",10
"'american',",10
"'age',",10
"'expert',",10
"'az',",10
"'brownsph',",10
"'th',",10
"'vax',",10
'th'],10
"'single',",10
"'healthcare',",10
"'job',",10
"'supply',",10
"['ucheblackstock',",10
"['jgallen',",10
"'drive',",10
"'write',",10
"'message',",10
"'understand',",10
"'soon',",9
"'brazil',",9
"'bring',",9
"'story',",9
'f'],9
"'patient',",9
"'hard',",9
"'large',",9
"'share',",9
"['good',",9
"'half',",9
"'reduce',",9
"'call',",9
"'sure',",9
"'awful',",9
"'national',",9
'r'],9
"'surge',",9
"'sign',",9
"'move',",9
"'brown',",9
"'johnson',",9
