,lemmas
"'student',",51
"'taurusutaustin',",50
"'like',",48
"'galaxy',",47
"'year',",46
"'not',",45
"'time',",44
"'program',",43
"'work',",42
"'know',",38
"'research',",36
"'stsci',",35
"'think',",34
"'new',",34
"'s',",34
"['utastronomy',",34
"'today',",32
"'yes',",32
"'thank',",32
"'day',",32
"'utaustin',",30
"'look',",30
"'good',",29
"'get',",29
"'be',",28
"'paper',",27
"'astronomy',",27
"'summer',",26
"'feel',",25
"'people',",25
"'great',",25
"'utastronomy',",22
"'nsf',",22
"'have',",22
"'go',",20
"'black',",20
"'reu',",20
"'covid',",19
"'talk',",19
"'telescope',",19
"'want',",18
"'grad',",17
"'early',",17
"'university',",17
"'happen',",17
"'heres',",17
"'z',",16
"'apply',",16
"'find',",16
"'class',",15
"'austin',",15
"'learn',",15
"'tell',",15
"'ut',",15
"'read',",15
"'cosmosastro',",15
"'week',",15
"'application',",15
"['jorgzavala',",15
"'physics',",15
"'aas',",15
"'need',",15
"'school',",15
"'ask',",14
"'come',",14
"'woman',",14
"'star',",14
"'help',",14
"'space',",14
"'start',",14
"'science',",14
"'faculty',",14
"'ago',",13
"'hear',",13
"'thing',",13
"'postdoc',",13
"['mbkplus',",13
"'thread',",13
"'lot',",13
"'dust',",13
"'astronomer',",13
"['astroarianna',",13
"'hard',",13
"'proposal',",13
"'sure',",13
"'right',",13
"'image',",12
"'high',",12
"'job',",12
"'almaobs',",12
"'lol',",12
"'arxiv',",12
"'say',",12
"'point',",12
"'oh',",12
"'write',",12
"'amazing',",12
"'include',",11
"['matbethermin',",11
"'jwst',",11
"'sorry',",11
"'man',",11
"'pretty',",11
"'love',",11
"'meeting',",11
"'important',",11
"'night',",11
"'cosmos',",11
"'super',",11
"'let',",11
"'folk',",11
"'undergrad',",11
"'check',",11
"'take',",10
"'observatory',",10
"'vote',",10
"'leave',",10
"'deadline',",10
"'present',",10
"'experience',",10
"'news',",10
"'nasawebb',",10
"'video',",10
"'bpbowler',",10
"'taurus',",10
"'health',",10
"'actually',",10
"'long',",10
"'email',",10
[],10
"'old',",10
"'big',",10
"'friend',",10
"'awesome',",10
"'survey',",10
"'lead',",9
"'professor',",9
"'open',",9
"'k',",9
"'measure',",9
"'community',",9
"'coronavirus',",9
"['hey',",9
"'th',",9
"'sky',",9
"'system',",9
"'use',",9
"'test',",9
"'astrocaits',",9
"['ut',",9
"'gre',",9
"'personal',",9
"'college',",9
"'interested',",9
"'share',",9
"'see',",9
"'national',",9
"'agree',",9
"'teach',",9
"['check',",9
"'hope',",9
"'fun',",9
"'result',",8
'th'],8
"'phd',",8
"'source',",8
"['studentdeancns',",8
"'show',",8
"'distance',",8
'f'],8
"['be',",8
"'congrats',",8
"'radio',",8
"'advice',",8
"'definitely',",8
"'away',",8
"'watch',",8
"'course',",8
"'problem',",8
"'bad',",8
"'form',",8
"'field',",8
"'spend',",8
"'story',",8
"'hubble',",8
"['profkelsey',",8
"'astro',",8
"'person',",8
"'cycle',",8
"'temperature',",8
"'american',",8
"'number',",8
"'career',",8
"'yeah',",7
"'discussion',",7
"'team',",7
"['karinavoggel',",7
"'et',",7
"'late',",7
"'statement',",7
"'send',",7
"'mbkplus',",7
"'decision',",7
"['justtheletteru',",7
"'view',",7
"'young',",7
"'article',",7
"'close',",7
"'congratulation',",7
"['introspectrych',",7
"'especially',",7
"'reason',",7
"'type',",7
"'light',",7
"'opportunity',",7
"'post',",7
"'change',",7
"'real',",7
'work'],7
'paper'],7
"'aasoffice',",7
"'live',",7
"'social',",7
"'mean',",7
"'online',",7
'b'],7
"'link',",7
"'word',",7
"'department',",7
"'cover',",7
"'way',",7
"'state',",7
"'happy',",6
"'water',",6
"'hole',",6
"'graduate',",6
"'smanning',",6
"'universe',",6
'time'],6
"['astrocrash',",6
"'hand',",6
"'x',",6
"'general',",6
'astronomy'],6
"'webb',",6
"'distant',",6
"'formation',",6
"'decide',",6
"'undergraduate',",6
"'vegahm',",6
"'impact',",6
"'mcdonaldobs',",6
"'observe',",6
"'thanks',",6
"'ill',",6
"'dusty',",6
'summer'],6
"'bit',",6
"'recognize',",6
"'focus',",6
"'cancel',",6
"['think',",6
"'run',",6
"['oh',",6
"'requirement',",6
"'update',",6
"'deep',",6
"'giant',",6
'yes'],6
"'ok',",6
"'piece',",6
"'hey',",6
"'stop',",6
"'goyh',",6
"'make',",6
"'past',",6
"'non',",6
"'plan',",6
"'lose',",6
"'large',",6
"'committee',",6
"'join',",6
"'believe',",6
"'will',",6
"'campus',",6
"'give',",6
'datum'],6
"'morning',",6
"'scientist',",6
"'density',",6
"'small',",6
'right'],5
'year'],5
"'forget',",5
"'approach',",5
"'base',",5
'student'],5
"['look',",5
"'spring',",5
"'planet',",5
"'zoom',",5
"'labrams',",5
"['not',",5
"'fill',",5
"'world',",5
"['cosmojellyfish',",5
