,lemmas
"'think',",96
"['jsellenberg',",68
"['jaycaspiankang',",59
"'like',",49
"['profmusgrave',",44
"'neurips',",40
"'people',",40
"['neurips',",38
"'time',",35
"'right',",32
"'agree',",31
"'good',",31
"'know',",31
"'twitter',",31
"['pinboard',",30
"['benmazer',",30
"'model',",29
"'talk',",29
"['vprasadmdmph',",28
"'get',",27
"'jsellenberg',",27
"['conorsen',",27
"'yes',",26
"'mean',",26
"'great',",25
"'thing',",25
"'work',",25
"'learn',",25
"'paper',",25
"['kordinglab',",24
"'ldc',",23
"'berkeley',",23
"'look',",22
"['mclendaniel',",22
'ldc'],21
"'school',",21
"'say',",21
"'bad',",21
"'find',",20
"'tweet',",20
"'thank',",20
"'conference',",19
"'jacobmbuckman',",19
"'jachiam',",18
"'way',",18
"'ethancaballero',",18
"'read',",18
"['mattzeitlin',",17
"'year',",17
"'go',",17
"'preetumnakkiran',",17
"'true',",17
"'datum',",17
"'lot',",17
"'try',",17
"'california',",17
"['therealvinaypr',",17
"'post',",17
"'oh',",16
"'pretty',",16
"'want',",16
"'sure',",16
"'let',",16
"['idothethinke',",16
"'make',",16
"'need',",16
"'covid',",15
"'point',",15
"'day',",14
"'data',",14
"'csabaszepesvari',",14
"'mask',",14
"'take',",14
"'control',",14
"'high',",14
"'actually',",14
"'question',",14
"'ai',",14
"'ask',",14
"'answer',",13
"'love',",13
"'problem',",13
"'well',",13
"'clear',",13
"'hard',",13
"'interesting',",13
"'wait',",12
"'new',",12
"'pandemic',",12
"'press',",12
"'link',",12
"'use',",12
"'claim',",12
"'vprasadmdmph',",12
"'start',",12
"['nanjiangcs',",12
"'come',",12
"'example',",11
"'case',",11
"'follow',",11
"'yeah',",11
"['alexanderrusso',",11
"'feel',",11
"'run',",11
"'article',",11
"'nanjiangcs',",11
"'parent',",10
"'live',",10
"'write',",10
"'bit',",10
"'big',",10
"'place',",10
"'understand',",10
"['sdbaral',",10
"'wrong',",10
"'conorsen',",10
"'positive',",10
"'benmazer',",10
"'study',",10
"'pinboard',",10
"'open',",10
"'today',",10
"'learning',",10
"'vaccine',",10
"'week',",10
"'remain',",9
"'evidence',",9
"'help',",9
"'issue',",9
"'machine',",9
"'sort',",9
"'test',",9
"'hope',",9
"['fhuszar',",9
"'online',",9
"'dynamic',",9
"'worth',",9
"'amazing',",9
"'definitely',",9
"'field',",9
"'low',",9
"'close',",9
"'hear',",9
"['csabaszepesvari',",9
"'far',",9
"'error',",9
"['dimitrispapail',",9
"'thread',",9
"'see',",9
"['madsjw',",8
"'maybe',",8
"'particular',",8
"'hold',",8
"'plan',",8
"'experience',",8
"'blog',",8
"'current',",8
"'super',",8
"'man',",8
"'add',",8
"'probability',",8
'thank'],8
"'important',",8
"'believe',",8
"['quantumaram',",8
"'jaycaspiankang',",8
"'sologen',",8
"'base',",8
"'decide',",8
"'argue',",8
"'website',",8
"'better',",8
"'different',",8
"['ehaspel',",8
"['lrntzrsc',",8
"'berkeleyside',",8
"'certainly',",8
"'worry',",8
"'state',",8
"'drive',",8
"'idea',",8
"'fair',",8
"'folk',",8
"'friend',",8
"'class',",8
"'exactly',",8
"['dkthomp',",8
"'policy',",8
"'term',",8
"'odd',",7
"'call',",7
'th'],7
"'anti',",7
"'research',",7
"'sir',",7
"'change',",7
"'r',",7
"'list',",7
"'vote',",7
"'virtual',",7
'twitter'],7
"['thestalwart',",7
"'clearly',",7
"'forward',",7
"'recommend',",7
"'board',",7
"'video',",7
"['wespegden',",7
"'expert',",7
"'system',",7
"'deep',",7
"'science',",7
"'weird',",7
"'happen',",7
"'turn',",7
"'wear',",7
"'mrtz',",7
"'camera',",7
"'funny',",7
"'fine',",7
"'end',",7
"['tweetermeyer',",7
"'academic',",7
"'roydanroy',",7
"['stochastician',",7
"'number',",7
"['ajlamesa',",7
"'play',",7
"'long',",7
"'neural',",7
"'plot',",7
"'madsjw',",7
"'give',",7
"'x',",7
"'disagree',",7
"'useful',",7
"'past',",6
"'miss',",6
"'program',",6
"'ah',",6
"'twete',",6
"'fhuszar',",6
"'williamjordann',",6
"'world',",6
"'hah',",6
"'old',",6
"'seantrende',",6
"'ok',",6
"'series',",6
"'fwiw',",6
'sigh'],6
"'survey',",6
"['sebastienbubeck',",6
"'keynote',",6
"'provide',",6
"'method',",6
"'tell',",6
"['vkoganpolisci',",6
"'lucaamb',",6
"'line',",6
"'eat',",6
"'share',",6
"'correct',",6
"'game',",6
"'effect',",6
"'community',",6
"'happy',",6
"'watch',",6
"['bergerbell',",6
"'check',",6
"'optimization',",6
"'hand',",6
"'ml',",6
'c'],6
"'john',",6
'r'],6
"'show',",6
"'sdbaral',",6
"'hot',",6
"'algorithm',",6
"['seantrende',",6
"'completely',",6
"'free',",6
"'file',",6
"'health',",6
"['halhod',",6
"'single',",6
'time'],6
"'rate',",6
"'public',",5
"'prove',",5
'thing'],5
"'process',",5
"'journalist',",5
"'network',",5
"'kqednews',",5
"'unfortunately',",5
"'maxhinne',",5
"['rajiinio',",5
'co'],5
'day'],5
"'dude',",5
"'weather',",5
'question'],5
"'election',",5
"'deadline',",5
"'debate',",5
"'nice',",5
"'discussion',",5
"['apsmunro',",5
'take'],5
"'chicken',",5
'work'],5
"'theory',",5
"'facebook',",5
"'brohrer',",5
"'bring',",5
"'kordinglab',",5
"'garymarcus',",5
"'book',",5
"'credit',",5
"'government',",5
"'guess',",5
"'option',",5
'true'],5
"'comment',",5
"'release',",5
"['tsimonite',",5
"'mattzeitlin',",5
"['ballouxfrancois',",5
"'net',",5
"'nate',",5
"['tdietterich',",5
"'tdietterich',",5
"'multiple',",5
"['deeplycloudy',",5
"['alirahimi',",5
"'record',",5
"'piece',",5
"'standard',",5
"'flu',",5
"['zeynep',",5
"'cloth',",5
"'probably',",5
"'citizen',",5
"'instead',",5
"'lrntzrsc',",5
"'=',",5
"'person',",5
'paper'],5
"'ill',",5
"'optimal',",5
"'move',",5
"'solve',",5
"'difference',",5
"'mraginsky',",5
'like'],5
"'python',",5
"'action',",5
"'highly',",5
"'deliprao',",5
"'course',",5
"['politicalmath',",5
"'wish',",5
"'rl',",5
"'explain',",5
"'curious',",5
"'win',",5
"'minute',",5
"'reason',",5
"'response',",5
"'message',",5
"['bosejoey',",5
"'award',",5
"'simple',",5
"['boazbaraktcs',",5
"'word',",5
'model'],5
"'realize',",5
"['yoavgo',",5
"'google',",5
"['mraginsky',",5
"'figure',",5
"['jugander',",5
"'black',",5
"'friday',",5
"'catch',",5
"'penn',",5
"'fall',",5
"'white',",5
"'kid',",5
"'journal',",5
"'corporate',",4
"'poor',",4
"'cost',",4
"'stream',",4
"'slide',",4
"['erikloomis',",4
"'autonomous',",4
"'confidence',",4
"'fun',",4
"['think',",4
'de'],4
"'build',",4
"'microsoft',",4
"'madison',",4
"'supply',",4
"'fact',",4
"'student',",4
"'update',",4
"'presidential',",4
"'olympic',",4
"'programming',",4
"'incredible',",4
"'favorite',",4
"'reduce',",4
'p'],4
"'floriankrammer',",4
"'poll',",4
"'webpage',",4
"'access',",4
"'awesome',",4
"'crowd',",4
"'quote',",4
"'director',",4
"'reference',",4
"'isbellhfh',",4
"'suppose',",4
'week'],4
"'truly',",4
"'real',",4
"'dkthomp',",4
"'burrito',",4
"'delete',",4
