,lemmas
"'film',",88
"['notsosnob',",55
"'good',",39
"'watch',",39
"'year',",35
"['jahanbakshi',",31
"'time',",30
"'not',",30
"['abhilashas',",30
"['deemelinda',",29
"'new',",29
"'india',",29
"'look',",25
"'read',",23
"'thank',",23
"'like',",22
"'world',",22
"'great',",21
"'know',",19
"'think',",18
"'say',",18
"'love',",18
"'people',",17
"'indian',",17
"'birthday',",17
"'today',",17
"'th',",14
"'super',",14
"'movie',",14
"'day',",14
"'make',",14
"'sonamakapoor',",13
"'oscars',",13
"'go',",13
"'write',",12
"'ftii',",12
"'mumbai',",12
"'win',",12
"'moment',",12
"'see',",12
"'live',",12
"'miss',",12
"'work',",12
"['time',",11
"'screening',",11
"['happy',",11
"'director',",11
"'big',",11
"'set',",11
"'favourite',",11
"'coronavirus',",11
"'happy',",10
"'performance',",10
"'start',",10
"'life',",10
"'faroutakhtar',",10
"'get',",10
"'enjoy',",10
"'actor',",10
"'week',",10
"'filmmaker',",10
"'come',",10
"'wait',",10
"'s',",10
"'bhaagmilkhabhaag',",10
"'death',",10
"'take',",10
"'covid',",10
"'song',",9
'watch'],9
"'brilliant',",9
"'play',",9
"'trailer',",9
"'be',",9
"'notsosnob',",9
"'man',",9
"'shivrohira',",9
"'hear',",9
"'award',",9
"'cinema',",9
"'run',",9
"'secret',",9
"'die',",9
"'release',",9
"'collindcunha',",9
"'superstar',",9
"'official',",9
"'medium',",8
"'direct',",8
'day'],8
"'thing',",8
"'pm',",8
"'star',",8
'thank'],8
"['bbcworld',",8
"'video',",8
"['pvrcinemas',",8
"'celebrate',",8
"'forward',",8
"'list',",8
"['nytimes',",8
"'music',",8
"'amazing',",8
"'young',",8
"'shoot',",8
"'change',",7
"'show',",7
"'guy',",7
"'congratulation',",7
"'beautiful',",7
"'sound',",7
"'tell',",7
"'important',",7
"['sonamakapoor',",7
"'give',",7
"['karanjohar',",7
"'book',",7
"['congrats',",7
"'deemelinda',",7
"'find',",7
"'boy',",7
"'announce',",7
"'mumbaifilmfest',",7
"'delhi',",7
"'festival',",7
"'crew',",7
"'wonderful',",7
"'italy',",7
"['norbertelekes',",7
"'thread',",7
"['super',",6
"'short',",6
"'pass',",6
"'ask',",6
"'fun',",6
"'tom',",6
"'lead',",6
"'morning',",6
"'feel',",6
"'screen',",6
"'team',",6
'love'],6
"'away',",6
"'review',",6
"'leave',",6
"'cannes',",6
"'n',",6
"'picture',",6
"'order',",6
'th'],6
[],6
"'rome',",6
"'hindi',",6
"['absolutely',",6
"'try',",6
"'speak',",6
"'need',",6
"'rare',",6
"'home',",6
"['theacademy',",6
"'mean',",6
"'month',",6
"'news',",6
"'deserve',",6
"'absolutely',",6
"['chinkster',",6
"'night',",6
"'ago',",6
'good'],6
"'wish',",6
"'student',",6
"'word',",6
"'entire',",6
"'bmbthefilm',",6
"'story',",6
"'surprise',",6
"'forget',",6
"'true',",6
"'abhaydattsharma',",6
"'place',",5
"['rajasen',",5
"'tweet',",5
"'thrill',",5
"'begin',",5
"'help',",5
"'complete',",5
"'cr',",5
"'report',",5
"['faroutakhtar',",5
"'air',",5
"'congrats',",5
"'sure',",5
"'woman',",5
"'proud',",5
"['bbcindia',",5
"'high',",5
"'power',",5
"'problem',",5
"'fall',",5
"['aniguha',",5
"'secretsuperstar',",5
"'number',",5
"'way',",5
"'imagine',",5
"'rich',",5
"'haha',",5
"'family',",5
"'police',",5
"'friend',",5
"'have',",5
"'premiere',",5
"'hain',",5
"'hope',",5
"['abhaydattsharma',",5
"['navjotalive',",5
"'city',",5
"'ka',",5
"'understand',",5
'today'],5
"'aamirkhan',",5
"'test',",5
"'dostana',",5
"['coldplay',",5
"'success',",5
"'course',",5
"'hit',",5
"'st',",5
"'large',",5
"['kandydcunha',",5
"'remember',",5
"'account',",5
"'abhilashas',",5
"'craft',",5
"'fascinating',",5
'film'],5
"'debut',",5
"'design',",5
"'million',",5
"'wear',",5
"'country',",5
"'cast',",5
"'finally',",5
"'outside',",5
"'village',",5
"'wow',",5
"'article',",5
"'talk',",5
"['scrollin',",4
'read'],4
"'break',",4
"'male',",4
"'school',",4
"'party',",4
"'ready',",4
"'shape',",4
"'lockdown',",4
"'yesterday',",4
"'production',",4
"'scene',",4
"'model',",4
"'page',",4
'http'],4
"'ok',",4
"'handle',",4
"['ghaywan',",4
"'content',",4
"'photo',",4
"['poulocruelo',",4
"'edit',",4
"'money',",4
"['good',",4
"['anupamachopra',",4
"'hollywood',",4
"'move',",4
"'listen',",4
"'heres',",4
"'long',",4
"'late',",4
"'dance',",4
"'detail',",4
"'state',",4
"'appear',",4
"'special',",4
"'fact',",4
"'feature',",4
"'de',",4
"'post',",4
"'explain',",4
'find'],4
'enjoy'],4
"'guess',",4
"'oh',",4
"'indias',",4
"['varungrover',",4
"'couple',",4
"'kid',",4
"'deepti',",4
"'times',",4
"'best',",4
"['watch',",4
'oscars'],4
"'finding',",4
"'far',",4
"'demand',",4
"'restraint',",4
"'theaaryankartik',",4
"'french',",4
'india'],4
"['yogital',",4
'year'],4
"'happiness',",4
'performance'],4
"'china',",4
"'government',",4
"'rajkummarrao',",4
"'teaser',",4
"'child',",4
"'character',",4
"'shuru',",4
"'agree',",4
"'bring',",4
"'link',",4
"'sunday',",4
"['bollywoodirect',",4
'movie'],4
"'interview',",4
"'bollywood',",4
"'funny',",4
"'dream',",4
'h'],4
"'train',",4
"'heart',",4
"['indiewire',",4
"'excellent',",4
"['newyorker',",4
"'achievement',",4
"['festivalcanne',",4
"'heartbreaking',",4
"'want',",4
"'loss',",4
"['jancoutto',",4
"'fly',",4
"'bbc',",4
"'jeeta',",4
"'dead',",4
"['thank',",4
"'hospital',",4
"'mention',",4
"'yeh',",4
"'sonam',",4
'abhilashas'],4
"'cool',",4
"'development',",4
"'let',",4
'mumbai'],4
"'yummy',",4
"'discover',",4
"'hour',",4
"'artist',",4
"'masterclass',",4
"'college',",4
"'end',",4
"'mother',",4
"'mirapaglinair',",4
"'instagram',",4
