,lemmas
"'health',",77
"'care',",66
"'product',",60
"'patient',",56
"['nikillinit',",55
"'company',",54
"'not',",53
"'think',",50
"'get',",48
"'tech',",47
"'work',",46
"'healthcare',",45
"'like',",44
"'s',",44
"'covid',",39
"'people',",34
"'go',",33
"'need',",32
"'folk',",32
"'time',",32
"'friend',",31
"'good',",30
"'be',",28
"'want',",28
"'see',",27
"'new',",26
"'know',",25
"'have',",25
"'hospital',",25
"'team',",24
"'come',",24
"'provider',",24
"'management',",24
"'look',",24
"'ask',",23
"'year',",23
"['singareddynm',",22
"['manasu',",22
"'build',",22
"'base',",22
"'share',",22
"'love',",22
"'lot',",20
"'problem',",20
"'digital',",18
"'great',",18
"'physician',",18
"'day',",18
"'take',",18
"'real',",18
"'agree',",18
"'hear',",17
"'call',",17
"'system',",17
"'start',",17
"'home',",16
"'family',",16
"['chiefofstuffs',",16
"'give',",16
"'tell',",16
"'definitely',",16
"'community',",16
"'drive',",16
"'talk',",15
"'help',",15
"'question',",15
"'role',",15
"'nikillinit',",15
"'post',",15
"'point',",15
"'manager',",14
"'say',",14
"'large',",14
"'way',",14
"'send',",14
"'high',",14
"'right',",14
"['chrissyfarr',",14
"'office',",14
"'amazing',",13
"'early',",13
"'long',",13
"'social',",13
"'job',",13
"'feel',",13
"'try',",13
"'impact',",13
"'user',",13
"'today',",13
"'model',",13
"'story',",13
"'service',",13
"'twitter',",12
"'world',",12
"'pm',",12
"'startup',",12
"'conversation',",12
"'hire',",12
"'show',",12
"'hard',",12
"'number',",12
"'case',",12
"'worker',",12
"'motion',",12
"['good',",12
"['s',",12
"'risk',",12
"['vidythatte',",11
"'interesting',",11
"'test',",11
"'black',",11
"'experience',",11
"'thing',",11
"'change',",11
"'totally',",11
"'check',",11
"'phone',",11
"'write',",11
"'indian',",11
"'manage',",11
"'person',",11
"'use',",11
"'private',",11
"['lisabari',",11
"'advice',",11
"'fund',",11
"'group',",11
"'create',",11
"['marioatxmd',",11
"'dad',",11
"'value',",11
"'big',",11
"'lead',",10
"'able',",10
"'plan',",10
"'make',",10
"'platform',",10
"'launch',",10
"'payer',",10
"'far',",10
"'pay',",10
"'old',",10
"'direct',",10
"'healthbjk',",10
"'zoom',",10
"'investor',",10
"'focus',",10
"'end',",10
"'telehealth',",10
"'clinical',",9
"'open',",9
"'life',",9
"'x',",9
"'market',",9
"'run',",9
"'cms',",9
"'pe',",9
"'coordination',",9
"'man',",9
"'realize',",9
"'mean',",9
"'vaccine',",9
"['stuartblitz',",9
"'email',",9
"'ehr',",9
"'customer',",9
"'increase',",9
"'surprise',",9
"['new',",9
"'program',",9
"'list',",9
"'tweet',",9
"'vs',",9
"['healthbjk',",8
"'probably',",8
"'boston',",8
"'news',",8
"'step',",8
"'back',",8
"'well',",8
"'policy',",8
"'discuss',",8
"'low',",8
"'issue',",8
"'contracting',",8
"'guy',",8
"'require',",8
"'discovery',",8
"'state',",8
"'push',",8
"'typically',",8
"'immigrant',",8
"'slack',",8
"'dynamic',",8
"'network',",8
"'business',",8
"'lab',",8
