,lemmas
"'energy',",311
"'job',",307
"'clean',",222
"'cleanenergy',",207
"'new',",133
"'worker',",113
"'climate',",100
"'eorg',",97
"'economy',",91
"'report',",82
"'sector',",76
"'state',",74
"'solar',",70
"'covid',",70
"'work',",61
"'america',",60
"'economic',",56
"'need',",55
"'wind',",55
"['bkeefee',",54
"'create',",54
"'grow',",48
"'lose',",44
"'good',",43
"'industry',",41
"'business',",41
"'join',",39
"'year',",39
"'renewable',",37
"'employ',",37
"'time',",36
"['new',",36
"'find',",36
"'project',",36
"'plan',",36
"'nearly',",36
"'recovery',",36
"'today',",36
"['clean',",35
"'change',",34
"'unemployment',",34
"'policy',",34
"'power',",33
"'w/',",33
"'fuel',",33
"'support',",32
"'million',",31
"['acore',",31
"'e',",31
"'growth',",30
"'north',",30
"'future',",30
"'come',",29
"'congress',",28
"'carolina',",28
"'add',",28
"'acore',",28
"'ethefuture',",27
"'k',",27
"'pay',",26
"'americans',",26
"'energyefficiency',",26
'job'],26
"'billion',",25
"'build',",25
"'infrastructure',",25
"'vehicle',",24
"'pandemic',",24
"'include',",24
"'month',",24
"'carbon',",24
"'crisis',",24
"'cost',",23
"'investment',",23
"'biden',",23
"'way',",23
"'help',",23
"'march',",23
"'ev',",23
"'invest',",23
"'great',",23
"'hit',",22
"'fossil',",22
"'community',",22
"'drive',",22
"'company',",21
"['know',",21
"'say',",21
"'make',",21
"'important',",21
"'loss',",21
"'big',",21
"'leader',",21
"'show',",20
"'impact',",20
"'analysis',",20
"'workforce',",20
"'like',",20
"'look',",20
"'bill',",20
"'th',",20
"'high',",20
"'start',",20
"'continue',",19
"'world',",19
"'fast',",19
"'market',",19
"'bkeefee',",19
"'lead',",19
"'emission',",19
"'employment',",19
"'gas',",19
"'storage',",18
"'address',",18
"'potus',",18
"'wage',",18
"'large',",18
"'advance',",18
"['ethefuture',",18
"'federal',",18
"'stimulus',",18
"'opportunity',",17
"'national',",17
"'benefit',",17
"'act',",17
"'end',",17
"'california',",17
"'go',",17
"'action',",17
"'global',",17
"'remain',",16
"['report',",16
"'expect',",16
"'electric',",16
"'total',",16
"'thank',",16
"'get',",16
"'mean',",15
"'oil',",15
"['read',",15
"'see',",15
"'well',",15
"'want',",15
"'pass',",15
"'break',",15
"'car',",15
"'climatechange',",15
'th'],15
"'renewableenergy',",15
"'x',",14
"'president',",14
"'evs',",14
"'transition',",14
"'not',",14
"'sign',",14
"'st',",14
"'farm',",14
"'grid',",14
"'jobs',",14
"'announce',",14
"'trump',",14
"'step',",14
"'increase',",13
"'provide',",13
"'release',",13
"'reach',",13
"'environmental',",13
"'home',",13
"'news',",13
"'boost',",13
"'battery',",12
"'virginia',",12
"'take',",12
"'better',",12
"['biden',",12
"'bring',",12
"'talk',",12
"'strong',",12
"'nc',",12
"'let',",12
"'forward',",12
"'american',",12
"'admin',",12
"'pennsylvania',",12
"'health',",12
"'overall',",12
"'late',",12
"'house',",12
"'long',",12
"'country',",12
"'fellowship',",11
"'fight',",11
"'goal',",11
"'number',",11
"'s',",11
"'electricity',",11
"['break',",11
"'administration',",11
"['despite',",11
"'leadership',",11
"'local',",11
"'executive',",11
"'generation',",11
"'white',",11
"['sammyroth',",11
"'know',",11
"'bwresearch',",11
"'low',",11
"'nevada',",11
"'director',",11
"'set',",11
"'week',",11
"'lot',",11
"'unemployed',",11
"['look',",11
"'median',",11
"'critical',",11
"'record',",10
"'scale',",10
"['renewable',",10
"'senate',",10
'c'],10
"['fact',",10
"'leave',",10
"'city',",10
"'discuss',",10
"'group',",10
"'people',",10
"'hear',",10
"'environment',",10
"'zero',",10
"'gov',",10
"'offshorewind',",10
"'key',",10
"'development',",10
"'focus',",10
"'building',",10
"'crop',",10
'f'],9
"'level',",9
"['covid',",9
"'account',",9
"'datum',",9
"'major',",9
"'meet',",9
"'host',",9
"['today',",9
