,lemmas
"'day',",141
"'engineering',",91
"['stemfeed',",82
"['world',",78
"'=',",78
"'quiz',",73
"'invention',",67
"['historic',",62
"['term',",55
"'definition',",55
'='],47
"['scalebanana',",38
"'world',",32
"['feb',",29
"['mar',",27
"['elonmusk',",26
"'space',",26
"'x',",24
"'earth',",24
"'youtube',",24
"'engineer',",23
"'invent',",23
"['subscribe',",21
"'type',",21
'channel'],21
"'launch',",20
"'like',",20
"'power',",20
"'take',",20
"['statsfeed',",20
"'water',",20
"['=',",19
"'make',",18
"'year',",18
"'use',",18
"'number',",18
"'rocket',",16
"'new',",16
"'light',",16
"'force',",16
"'metal',",16
"'know',",15
['elonmusk'],15
'link'],15
"'orbit',",14
"'think',",13
"['engineer',",13
"['apr',",13
"'people',",13
"'time',",13
"'good',",13
"'thing',",13
"'science',",13
"'unit',",12
"'air',",12
"'tool',",12
"'moon',",12
"'build',",12
"'produce',",12
"'planet',",11
"'scientist',",11
"'not',",11
"'mars',",11
"'square',",11
"['affiliate',",11
"'design',",11
"'welding',",11
"'united',",11
"'high',",11
"'digit',",11
"'human',",11
"'process',",11
"'work',",11
"'away',",11
"'bc',",10
"'try',",10
"'machine',",10
"'form',",10
[],10
'day'],10
"'man',",10
"['know',",10
"'color',",10
"'heat',",10
"'million',",10
"'life',",10
"'great',",10
"'th',",10
"'element',",9
"'bitcoin',",9
'work'],9
"'mean',",9
"'motion',",9
"'discover',",9
"'minute',",9
"'nasa',",9
"'gravity',",9
"'old',",9
"'second',",9
"'leave',",9
"'elonmusk',",9
"'bridge',",9
"['nerdsfeed',",9
"'look',",9
"'follow',",9
"'travel',",9
"'idea',",9
"'big',",9
"'center',",8
"'art',",8
"['reallifestarman',",8
"['happy',",8
"'flow',",8
"'k',",8
"'letter',",8
"'technology',",8
"'person',",8
"'pi',",8
"'spacecraft',",8
"'flight',",8
"'credit',",8
"'way',",8
"'change',",8
"'create',",8
"'arc',",8
"'energy',",8
"'true',",8
"'end',",8
"'measure',",8
"'solar',",8
"'hour',",8
['='],8
"['science',",8
"'material',",7
"'call',",7
"'point',",7
"['today',",7
"'base',",7
"'surface',",7
"'long',",7
"'station',",7
"'engine',",7
"'x=',",7
"'valve',",7
"'states',",7
"'star',",7
"'british',",7
"['lexfridman',",7
"'ft',",7
"'sun',",7
"'apollo',",7
"'century',",7
"'vehicle',",7
"'steel',",7
"'fire',",7
"'computer',",7
"'velocity',",7
"'electric',",7
"'patent',",7
"'aircraft',",7
"['tilfeed',",7
"'country',",7
"'reality',",7
"'car',",7
'c'],7
"'give',",7
"'speed',",7
"'law',",6
"'robert',",6
"'foot',",6
"'right',",6
"'missile',",6
"'get',",6
"'piece',",6
"'close',",6
"'bell',",6
"'fly',",6
"'usually',",6
"'effect',",6
"'mission',",6
"['interesting',",6
"'tire',",6
"'control',",6
"'different',",6
"'fast',",6
"'see',",6
"'volume',",6
"'carry',",6
"['til',",6
'usd'],6
"['s',",6
"'body',",6
"'measurement',",6
"'turbine',",6
"'word',",6
"'cut',",6
"'s',",6
"'black',",6
"'help',",6
"'john',",6
"'photo',",6
"'object',",6
"'atom',",6
"'begin',",6
"'shuttle',",6
"'system',",6
"'escape',",5
"'application',",5
"'hard',",5
"'drill',",5
"'mechanical',",5
"'equation',",5
"['not',",5
"'steam',",5
"'device',",5
"'happy',",5
"'jet',",5
"'distance',",5
"'screw',",5
"'method',",5
'th'],5
"'photograph',",5
"'km',",5
"'direct',",5
"'lead',",5
"'quick',",5
"'de',",5
'space'],5
"'principle',",5
"'fact',",5
"'russia',",5
"'birthday',",5
"'instagram',",5
"'understand',",5
"'check',",5
"'problem',",5
"'heating',",5
"'russian',",5
"'write',",5
"['spacex',",5
"'current',",5
"'til',",5
"'tesla',",5
"'hole',",5
"'go',",5
"'add',",5
"'albert',",5
"'thomas',",5
"'matter',",5
"'source',",5
"'story',",5
"'want',",5
"'joseph',",5
"'english',",5
"'nuclear',",5
"'guy',",5
'b'],5
"'mile',",5
"'test',",5
"'liquid',",5
"'let',",5
'year'],5
"'pipe',",5
"'join',",5
"'buy',",5
"'cm',",5
"'gear',",5
"['reverse',",5
"'meter',",5
'cut'],5
"'video',",5
"'history',",5
"['chemical',",5
"'march',",5
"'temperature',",5
"['power',",4
"['take',",4
"['unusual',",4
"'wide',",4
"'separate',",4
"'general',",4
"'bit',",4
"'book',",4
"'protect',",4
"'laser',",4
"'paper',",4
"['old',",4
"'statement',",4
"'alexander',",4
"'city',",4
"'stop',",4
"'universe',",4
"'cover',",4
"'start',",4
"'satellite',",4
"'bear',",4
"'box',",4
"'wheel',",4
'know'],4
"'telephone',",4
'machine'],4
"'fluid',",4
"'rate',",4
"['think',",4
"'super',",4
"'frame',",4
"'mind',",4
"'electrically',",4
"'william',",4
"'electronic',",4
"'ship',",4
"'atomic',",4
"'digital',",4
"'project',",4
'earth'],4
"'manufacturing',",4
"'find',",4
"'cost',",4
"'explorer',",4
"'ask',",4
"'henry',",4
"'live',",4
"'constant',",4
"'twitter',",4
"'span',",4
"'artificial',",4
"'plant',",4
"'job',",4
"'need',",4
"'woman',",4
"'actually',",4
"'tell',",4
"'scale',",4
"'billion',",4
'build'],4
"'modern',",4
"['make',",4
'einstein'],4
"'fit',",4
'time'],4
"'gas',",4
"'contain',",4
"'road',",4
"'die',",4
"'beauty',",4
"'strong',",4
"['x',",4
"'room',",4
"'propose',",4
'tool'],4
"'american',",4
"'come',",4
"'reach',",4
"'large',",4
"'charge',",4
"'prefer',",4
'car'],4
"'non',",4
"'operation',",4
"'soviet',",4
"'dark',",4
"'mass',",4
'europe'],4
"'grant',",4
"'move',",4
'scale'],4
"'combine',",4
"'publish',",4
"'land',",4
"'radiation',",4
"'thank',",4
"['awesome',",4
"'answer',",4
"'graham',",4
"'state',",4
'way'],4
['stemfeed'],4
"'ice',",4
"'transfer',",4
"'area',",4
"'invariant',",4
"'program',",4
"'knowledge',",4
'system'],4
"'sum',",4
"'iron',",4
"'well',",3
"'spin',",3
"'functional',",3
"'smelting',",3
"'nobel',",3
"['water',",3
'germany'],3
"'chemical',",3
"'bottle',",3
"'gather',",3
"'release',",3
"'nature',",3
"'annual',",3
"'spacex',",3
"'venus',",3
"'boil',",3
"'linear',",3
'tesla'],3
"'torch',",3
"'pressure',",3
"'mask',",3
"'kingdom',",3
"'floor',",3
"['neiltyson',",3
"'completely',",3
"['self',",3
"'armstrong',",3
"'cylinder',",3
"'real',",3
"'table',",3
"'carbon',",3
"'past',",3
"'rubber',",3
"'jump',",3
"'shape',",3
"'common',",3
"'ballistic',",3
"'learn',",3
"'absence',",3
"'average',",3
"'musk',",3
"'isaac',",3
"'solution',",3
"'charles',",3
"['watch',",3
'buy'],3
"'cloud',",3
"'study',",3
"['ascend',",3
"'gate',",3
"'rotate',",3
"'gyroscope',",3
"'line',",3
"'demonstrate',",3
'empire'],3
"'pair',",3
"'banana',",3
"'mistake',",3
"'anti',",3
"'fill',",3
'true'],3
"'animation',",3
"'ocean',",3
"'allow',",3
'control'],3
"'finish',",3
"'public',",3
"'usa',",3
"'copper',",3
"'engineersfeed',",3
"'announce',",3
"'equivalent',",3
"['amazon',",3
"'length',",3
"'map',",3
['youtube'],3
"'equal',",3
"'bus',",3
"'powered',",3
'f'],3
"['people',",3
'engine'],3
"['time',",3
"'physics',",3
"'watch',",3
"'edison',",3
'trick'],3
'w'],3
"'bernoulli',",3
"'china',",3
"'wrong',",3
"'class',",3
"'open',",3
"'run',",3
"'tiny',",3
"'rotational',",3
"'james',",3
"'ancient',",3
"'construction',",3
"'appear',",3
"'especially',",3
"'easily',",3
'install'],3
"'angular',",3
"'induction',",3
"'house',",3
"['twitter',",3
"'aqueduct',",3
"'wind',",3
"'double',",3
"'mill',",3
"'compress',",3
"'kinetic',",3
"'famous',",3
"'dust',",3
"['scientist',",3
"'feature',",3
'physicsj'],3
"'theory',",3
"'news',",3
"'place',",3
'rotation'],3
"'mouse',",3
"'act',",3
'astronaut'],3
"'highway',",3
"'amazon',",3
"'complete',",3
"'affiliated',",3
"'half',",3
"'smart',",3
"'successful',",3
"'red',",3
"'truck',",3
"'structure',",3
"'stephen',",3
"'december',",3
"'diameter',",3
"'m',",3
"'week',",3
"'chemist',",3
'km'],3
'line'],3
"'reverse',",3
"'provide',",3
"'train',",3
"'landing',",3
"['ok',",3
'process'],3
"'practical',",3
"'field',",3
"'theodore',",3
"'strength',",3
"'image',",3
'help'],3
"'henri',",3
"'roll',",3
"'observe',",3
"'successfully',",3
"'hand',",3
"'roman',",3
"'orbital',",3
'water'],3
"'oil',",3
'engineer'],3
'engineering'],3
"'tube',",3
'guy'],3
"'found',",3
"['cool',",3
"'electrical',",3
"'electron',",3
"'radioactive',",3
"'explode',",3
"['life',",3
"'sign',",3
"'einstein',",3
"'exist',",3
"'cool',",3
'tha'],3
"'systematic',",3
"'love',",3
"'bolt',",3
"['perfect',",3
"'neil',",3
"'particle',",3
'sculpture'],3
"'eye',",3
"'correct',",3
'total'],3
"'month',",3
"'drop',",3
"'hydraulic',",3
"'saint',",3
'fun'],3
"'ton',",3
"'dog',",3
"'building',",3
"'glass',",3
"'spaceflight',",3
"'chain',",3
"'mexico',",3
"'magnetic',",3
"'play',",3
"'g',",3
"['great',",3
"'weld',",3
"'vacuum',",3
"'small',",3
"'technique',",3
"'fiber',",3
"'tall',",3
"'show',",3
"'chernobyl',",3
