,lemmas
"'be',",100
"'veefriends',",94
"'not',",68
"'u',",64
"'garyvee',",61
[],49
"['teamgaryvee',",36
"'think',",33
"'go',",33
"'nft',",33
"'s',",32
"'listen',",31
"'like',",30
"'work',",29
"'lot',",29
"'launch',",28
'u'],27
"'hope',",26
"'project',",25
"'good',",25
'humble'],24
"'day',",24
"'token',",24
'lol'],24
"'mean',",23
"'eth',",23
"'love',",23
"'art',",22
"'feel',",22
"'floor',",21
"'thank',",21
"'people',",20
"'ajv',",19
"'nfts',",19
"'long',",18
"'auction',",18
"'discord',",17
"'thing',",16
"'dutch',",16
"'build',",16
"'hard',",16
"'teamgaryvee',",16
"'know',",16
"'sure',",15
"'want',",15
"'free',",15
"'sorry',",15
"'kevinrose',",15
"'appreciate',",15
"'yes',",14
"'life',",14
'yes'],13
"'get',",13
"'new',",13
"'talk',",12
"'let',",12
"'time',",12
"'respect',",12
'spotifypodcast'],11
"'look',",11
"'come',",11
"'sad',",11
"'man',",11
"'way',",11
"'bp',",11
'fun'],11
"'will',",11
'token'],10
'applepodcasts'],10
"'happy',",10
"'chubbiesnft',",10
"'conference',",10
'time'],10
"'need',",10
"['odonnellnh',",10
"'et',",10
"'hour',",10
"'friend',",10
"'pm',",10
"'term',",10
'veefriends'],10
"'understand',",9
"'interview',",9
"'humble',",9
"'great',",9
'yup'],9
"'have',",9
"'kirklandjones',",9
"'give',",9
'lot'],9
"'drop',",9
"'pls',",9
"'away',",9
"'zedrun',",8
"'incredible',",8
"'real',",8
"'year',",8
'love'],8
'xoxo'],8
"'ill',",8
"['s',",8
'eth'],8
'veefriend'],8
"'play',",8
"'believe',",8
"'live',",8
"'punkemonnft',",8
"'make',",8
"['realitychktarot',",8
"'nbatopshot',",8
"'wait',",8
'agree'],8
'good'],8
"'spend',",8
"'doodle',",8
"'smart',",8
"'buy',",7
"'cryptwarrr',",7
"'say',",7
"['lukerobertmason',",7
"'hey',",7
"'right',",7
'floor'],7
"'nfteye',",7
'discord'],7
'garyvee'],7
"'world',",7
"'hashbastardsnft',",7
"['emojimatt',",7
"'pov',",7
"'vaynermedia',",7
'right'],7
'ty'],7
"'hit',",7
"'jamesdaviesuk',",7
'nft'],7
"'giveaway',",7
"'web',",7
"'veefriend',",7
"'agree',",7
'know'],7
"'jet',",7
'art'],7
'ready'],7
"'cryptostacys',",7
"'wish',",6
"'excited',",6
"'lol',",6
"'virtuallyzain',",6
"'learn',",6
"'abumair',",6
"['teedubya',",6
"['jaymeswestfall',",6
"'price',",6
"'find',",6
"'tomorrow',",6
"'opensea',",6
"'control',",6
"'market',",6
"'beaniemaxi',",6
"'ready',",6
"'change',",6
"'watch',",6
"'close',",6
'week'],6
"'guy',",6
'idiomacy'],6
"'miss',",6
'sure'],6
"'future',",6
"'worry',",6
"['jgalassodesign',",6
"'iceicedante',",6
'come'],6
"'check',",6
"'see',",6
"'site',",6
"'earn',",6
"'technology',",6
'think'],5
"['be',",5
"'special',",5
"'mfpooma',",5
"'business',",5
"'high',",5
"'big',",5
"'chissweetart',",5
"'today',",5
'period'],5
'sorry'],5
'work'],5
"['jeffalomaniac',",5
'auction'],5
"'eye',",5
"'funny',",5
"['ogvii',",5
"['alexisohanian',",5
"'try',",5
'project'],5
"['longgamelife',",5
"'community',",5
"'dclblogger',",5
"'timing',",5
"['dclblogger',",5
"['fun',",5
"'afford',",5
"'person',",5
"'team',",5
"'week',",5
"'metamask',",5
"['itstylersays',",5
'xoxox'],5
"'would',",5
"'refresh',",5
"['akapoet',",5
"'happen',",5
"'proud',",5
'friend'],5
'soon'],5
"'wonderful',",5
"'speak',",5
'matter'],5
'happy'],5
"'gary',",5
'launch'],5
'virtuallyzain'],5
"'houlehoops',",4
"'soon',",4
"'throw',",4
['yes'],4
"['benhaleymade',",4
'conference'],4
"'nftboxes',",4
"['love',",4
"'link',",4
"'event',",4
"'detail',",4
"['bitaliens',",4
"'use',",4
"'tell',",4
"'level',",4
"'wallet',",4
"'mother',",4
"'nbatopshoteast',",4
'get'],4
'man'],4
"'alanfalcon',",4
"'australia',",4
"'focus',",4
'excite'],4
"['want',",4
'not'],4
"'meet',",4
'tomorrow'],4
"'cnn',",4
"'fun',",4
'https:/'],4
"['makinmves',",4
"'draw',",4
"'decade',",4
"['join',",4
"'thefirstmint',",4
"'rare',",4
"'allow',",4
"'trust',",4
'let'],4
"'michael',",4
"'support',",4
"'chat',",4
"'risk',",4
"'music',",4
"'course',",4
"['work',",4
"'veecon',",4
"['warlockrakaul',",4
"'marketing',",4
'c'],4
"'contract',",4
"'artist',",4
"'cap',",4
"['big',",4
"'tonight',",4
"'hold',",4
"'banklesshq',",4
'respect'],4
"['ajv',",4
"['day',",4
"'spotifypodcasts',",4
"'actually',",4
"'early',",4
'pm'],4
"'super',",4
"'excite',",4
'likely'],4
"['jasonstapleton',",4
"'myburne',",4
"'ticket',",4
"'ip',",4
"'tcryptocurrency',",4
"'lancethedon',",4
"'key',",4
"'gas',",4
'feel'],4
'day'],4
"'theellenshow',",4
"'cryptopapi',",4
"'start',",4
"'franciscochoz',",4
"['bp',",4
"'minute',",4
"'aka',",4
"'dailytxg',",4
"'markapetroutman',",4
"['zachbyers',",4
"'join',",4
'year'],4
"'nyjets',",4
"['doodle',",4
'giveaway'],4
'ip'],4
"'discuss',",4
"'create',",4
'conversation'],3
"'niftygateway',",3
'market'],3
'away'],3
'go'],3
"'content',",3
'lo'],3
"'shoot',",3
"'set',",3
"'janet',",3
"'beat',",3
"'value',",3
'applepodca'],3
"'stock',",3
"'twitter',",3
"'keyboardmonkey',",3
"'take',",3
"'ty',",3
"'idea',",3
'hope'],3
"'digital',",3
"['hope',",3
"'bday',",3
"'vaynerchuk',",3
"'hopefully',",3
'close'],3
"'plan',",3
'doodle'],3
'et'],3
"'honest',",3
"'damn',",3
"'win',",3
"'human',",3
"'help',",3
"['discord',",3
"'month',",3
"['dutch',",3
"['ryantotka',",3
"['joelcomm',",3
"['jessealtman',",3
"'zachkapono',",3
"'matter',",3
"['henrywangcal',",3
"'answer',",3
"'mobile',",3
"'benhaleymade',",3
"'owner',",3
"'macro',",3
"'passion',",3
'open'],3
"'property',",3
"'issue',",3
"'brother',",3
"'podcast',",3
"['coachadmir',",3
'ufc'],3
"'invest',",3
"'gliche',",3
'buy'],3
"['joeswam',",3
"'core',",3
"'wildly',",3
"['rockurstocksoff',",3
"'multi',",3
"'push',",3
"'youngbucknft',",3
"'tweet',",3
"'crypto',",3
"'different',",3
"'gift',",3
"'platform',",3
"'short',",3
"'little',",3
"['veefriends',",3
"'character',",3
"'ahead',",3
"'patience',",3
"'announce',",3
"'og',",3
'metamask'],3
"'clever',",3
"'ton',",3
"'sevensevensix',",3
"'ok',",3
"['info',",3
"'mcuban',",3
"'ps',",3
"'deliver',",3
"'casey',",3
"'tech',",3
"'collection',",3
"'overall',",3
"'point',",3
"['joshordonezzz',",3
"['yes',",3
'talk'],3
"'chrome',",3
"'talent',",3
"['eauangreenn',",3
'guy'],3
"'important',",3
"'bankless',",3
"'ledgervince',",3
"'fix',",3
"'email',",3
"'opinion',",3
"'audio',",3
"['people',",3
"['wow',",3
"'open',",3
"['pm',",3
"'arjun',",3
"['pls',",3
"'thought',",3
"'nftupdate',",3
'xo'],3
"'sonic',",3
"['nftupdate',",3
"['zacharydash',",3
"'hurt',",3
'try'],3
"'comfortable',",3
'wow'],3
"['thedigitalvee',",3
"'hand',",3
'want'],3
"'to',",3
"['web',",3
"'draft',",3
"'perspective',",3
"'intellectual',",3
'live'],3
"'game',",3
"'seedphrase',",3
'win'],3
"'massive',",3
'smart'],3
"['live',",3
"['happy',",3
"['dimensionfan',",3
'nope'],3
"'reason',",2
"'feature',",2
"'tommyavalanche',",2
"['kylewillkom',",2
'gooooooo'],2
"'feeling',",2
"'development',",2
"['thing',",2
"'educate',",2
"'swan',",2
"'lesson',",2
"['econrockstar',",2
"'jesse',",2
"'care',",2
'fuck'],2
"['wallet',",2
"'hang',",2
"'board',",2
"'well',",2
'contract'],2
"['mindfulmania',",2
"['fraddison',",2
"'tyschmitt',",2
'p'],2
'opensea'],2
"'thepizzaknight',",2
'honest'],2
'great'],2
"'promise',",2
"'rest',",2
"'session',",2
"'clip',",2
"'hype',",2
"'late',",2
"'eagle',",2
"'kirkland',",2
"'lazerow',",2
'fix'],2
"'post',",2
"'thedavidhu',",2
"'york',",2
'joe'],2
'thank'],2
"['paulyhype',",2
'lose'],2
"'sacrifice',",2
'better'],2
'afford'],2
"['digitalpratik',",2
"'shift',",2
"'internet',",2
