,lemmas
"'ceo',",102
"'arr',",79
"'customer',",73
"'b',",73
"'sale',",61
"'year',",59
"'saas',",51
"'great',",50
"'grow',",50
"['related',",50
'post'],49
"'not',",48
"'saastr',",47
"'know',",44
"'founder',",42
"'time',",40
"'cloud',",40
"'fund',",39
"'big',",38
"'revenue',",37
"'get',",36
"'think',",36
"'hire',",36
"'sure',",36
"'growth',",35
"'vp',",35
"'company',",34
"['jasonlk',",34
"'way',",34
"'vc',",33
"'team',",33
"'work',",33
"'deal',",32
"'x',",32
"'go',",32
"'product',",31
"'covid',",31
"'new',",30
"'need',",30
"'like',",30
"['new',",30
"'thing',",27
"'good',",27
"'enterprise',",27
"'come',",26
"'build',",26
"'vcs',",25
"'zoom',",25
"'raise',",24
"'start',",24
"'event',",23
"'yes',",23
"'close',",22
"'week',",22
"'lot',",22
"'smbs',",22
"'marketing',",21
"'ipo',",21
"'startup',",21
"'high',",21
"'free',",21
"'partner',",20
"'post',",20
"'shopify',",19
"'scale',",19
"'look',",19
"'sell',",19
"'nrr',",19
"'interesting',",19
"'point',",19
"'want',",18
"'invest',",18
"'day',",18
"'make',",18
"['deep',",18
"'k',",18
"['alex',",18
"'salesforce',",18
"'investor',",18
"'learn',",17
"['saastr',",17
"'service',",17
"'right',",17
"'hard',",17
"'early',",16
"'take',",16
"'annual',",16
"'pay',",16
"'bit',",16
"'seed',",16
"'help',",16
"'month',",16
"'learning',",15
"'long',",15
"'qualtrics',",15
"'email',",15
"'large',",15
"'ok',",15
"'venture',",15
'dive'],14
"'stay',",14
"'elastic',",14
"['zoom',",14
"'sort',",14
"'rate',",14
"'pre',",14
"'m',",14
"'today',",14
"'s',",14
"'round',",14
"'uipath',",13
"'bay',",13
"'squarespace',",13
"'area',",13
"'market',",13
"'maybe',",13
"'run',",13
"'business',",13
"'join',",13
"'see',",13
"'real',",13
'arr'],13
"'probably',",13
"'have',",12
"'folk',",12
'time'],12
'work'],12
"'past',",12
"'lead',",12
"'worth',",12
"'love',",12
"['customer',",12
"'share',",11
"'churn',",11
"'price',",11
"'success',",11
"'sign',",11
"'ask',",11
"'cross',",11
"'dive',",11
"'pick',",11
"'answer',",11
"'open',",11
"'use',",11
"'true',",11
"'money',",11
"'story',",11
"'valuation',",11
"'sf',",11
"'spend',",10
"'lose',",10
"'end',",10
"'well',",10
"['honam',",10
"'key',",10
"'pretty',",10
"['nrr',",10
'w'],10
"'try',",10
"'yeah',",10
"'far',",10
"'lesson',",10
"'hear',",10
"'low',",10
"'truly',",10
"'podcast',",10
"'stage',",10
"'matter',",10
"'net',",10
"'small',",10
"'acv',",9
"'hit',",9
"'olo',",9
"'manager',",9
"['big',",9
"'vaccinate',",9
"'easy',",9
"['hunterwalk',",9
"'add',",9
"['auren',",9
"'drive',",9
"['want',",9
"['good',",9
"'capital',",9
"'write',",9
'day'],9
"'soon',",9
"'say',",9
"'payment',",8
'year'],8
"'different',",8
"'important',",8
"'software',",8
"'accelerate',",8
"'community',",8
"'give',",8
"'employee',",8
"'call',",8
"'especially',",8
"['not',",8
['bit'],8
"'vendor',",8
"'demo',",8
"'guide',",8
"'meeting',",8
"'smb',",8
"'change',",8
"'own',",8
[],8
"['ok',",8
"'note',",8
"'incredible',",8
"'cto',",8
"'tech',",8
"'mean',",8
"'unicorn',",8
"'thoughtspot',",8
"'sense',",8
"['harrystebbings',",8
"'etc',",8
"'co',",7
"'brand',",7
"'meet',",7
"'ttunguz',",7
"'cco',",7
