,lemmas
"'scalaradio',",288
"'thank',",287
"'jrapepper',",103
"['scalaradio',",98
"'today',",92
"'music',",85
"'culturebunker',",77
"'great',",74
"'hear',",57
"'enjoy',",55
"'join',",55
"'kind',",53
"'new',",53
"'please',",51
"'pm',",48
"'look',",47
"'time',",45
"'fantastic',",44
"'resonancefm',",42
"'be',",42
"'special',",41
"'good',",40
"'year',",40
"'work',",40
"'radio',",38
"'not',",38
"'come',",36
"'tonight',",36
"'day',",36
"'speak',",35
"'word',",34
"'listen',",31
"'tomorrow',",31
"'hope',",31
"'week',",30
"'composer',",29
"'classical',",29
"'forward',",29
"'huge',",29
"'thrill',",29
"'chat',",29
"'musical',",28
"'simonmayo',",27
"'young',",27
'enjoy'],26
"'meet',",26
"'talk',",26
"'londonsymphony',",26
"['great',",25
"'love',",25
"'s',",24
"'headleycourt',",23
"'scala',",22
"'people',",22
"'celebrate',",22
"'support',",22
"'big',",21
"'wait',",20
"'live',",20
"'musicalminds',",20
"'bauermedia',",20
"'culture',",20
"'concert',",20
"'feature',",19
"'evening',",19
"'happy',",19
"'thing',",19
"'launch',",18
"'tune',",18
"'write',",18
"'bunker',",18
"'play',",18
"'interview',",18
"'song',",18
"'dmrcbenfund',",17
"'birthday',",17
"'luck',",17
"'afternoon',",17
'scalaradio'],16
"'th',",16
'listen'],16
"['thank',",16
"['musicforyouth',",16
"['royalphilsoc',",16
"['fantastic',",16
"'have',",16
"'chance',",16
"'appreciate',",16
"'present',",16
"'holocaustuk',",15
"'musician',",15
"'fun',",15
"'musicforyouth',",15
"'weekend',",15
"'episode',",14
"'-pm',",14
"'jack',",14
"'dinner',",14
"['millermartin',",14
"'pepper',",14
"'way',",14
"'rondavismusic',",14
"'rmbandservice',",13
"'catch',",13
"'gala',",13
"'go',",13
"['rondavismusic',",13
"'congratulation',",13
"'super',",13
'thank'],13
"['excited',",13
"'think',",13
"'honour',",12
"'right',",12
"'lovely',",12
"['thejrichards',",12
"'mark',",12
"['good',",12
"'piece',",12
"'pleasure',",12
"'royalphilsoc',",12
"'shirleyjtmusic',",12
"'award',",12
"'martin',",12
"'watch',",11
"'late',",11
'work'],11
"'station',",11
"['headleycourt',",11
"'guest',",11
"'read',",11
"'piano',",11
"'congrats',",11
"'event',",11
"'conductor',",11
"'pianoday',",10
"'miss',",10
"'get',",10
"'performance',",10
"'perform',",10
"'festival',",10
"'yesterday',",10
"'hour',",10
'w'],10
"['delighted',",10
