,lemmas
"'asheville',",152
"['asheville',",65
"'check',",55
"'fact',",53
"'day',",52
'avlnews'],49
"'know',",48
"'today',",46
"'new',",43
"'news',",40
"'local',",36
"'like',",36
"'time',",36
"'say',",35
"'people',",35
"'week',",33
"'usatoday',",32
"'story',",32
"'county',",31
"'buncombe',",31
"'go',",31
"'good',",31
"'coronavirus',",31
"'wnc',",30
"'nc',",30
"['mackensy',",30
"'not',",29
"'work',",29
"'get',",29
"'right',",28
'factcheck'],27
"'s',",27
"'vote',",27
"'trump',",26
"'cover',",26
"'need',",26
"'come',",26
"'look',",25
"'city',",24
"['jennbowman',",24
"'journalist',",24
"'election',",24
"'find',",23
"'year',",22
"'want',",22
"'include',",21
"'break',",21
"'be',",21
"'state',",20
"'morning',",20
"'start',",19
"'watch',",19
"'newsroom',",19
"'think',",19
"'claim',",18
"'buncombegov',",18
"'team',",18
"'close',",18
"'house',",18
"'update',",18
"'live',",18
"'answermanboyle',",17
"'feel',",17
'asheville'],17
"'read',",17
"'let',",17
"'pretty',",17
"'school',",17
"'community',",17
"'tell',",17
"'public',",17
"'biden',",17
"'covid-',",17
"'question',",16
"'home',",16
"'night',",16
"'hour',",16
"'downtown',",16
"'great',",15
"'board',",15
"'bill',",15
"'see',",15
"'president',",15
"'happen',",15
"'have',",15
"['mrbrownsir',",15
"'thing',",15
"'thank',",14
"'avlreporter',",14
"'try',",14
"'case',",14
"'make',",14
"'carolina',",14
"'month',",14
"'change',",14
"'hear',",14
"'north',",14
"'weekend',",14
"['dillondavis',",14
"'big',",13
"'ask',",13
"'ballot',",13
"'lot',",13
"'jennbowman',",13
"['answermanboyle',",13
"'leave',",13
"'way',",13
"'follow',",13
"'report',",13
"'long',",12
"['usatoday',",12
"'bring',",12
"'pm',",12
"'capitol',",12
"'sure',",12
"'journalism',",12
"'avlnews',",12
"'high',",12
"['briansamuel',",12
"'woman',",12
"['mackwick',",12
"'job',",11
'right'],11
"'easy',",11
"'set',",11
"'hca',",11
"'health',",11
"'mask',",11
"['hey',",11
"'free',",11
"['good',",11
"'mail',",11
"'talk',",11
"'official',",11
"'end',",11
"'meeting',",11
"'protest',",11
"'place',",11
"'count',",10
"['sodendritic',",10
"'paper',",10
'th'],10
"'white',",10
"'mean',",10
"['big',",10
"'medium',",10
"'support',",10
'today'],10
"'friday',",10
"'event',",10
"'plan',",10
"['nicolecarroll',",10
"['look',",10
"'give',",10
"'council',",10
"'tonight',",10
"'coverage',",10
"['new',",10
"'police',",9
"'million',",9
"'park',",9
"'false',",9
"'post',",9
"'power',",9
"'fine',",9
"'take',",9
"'pandemic',",9
"'restaurant',",9
"'monday',",9
"'manager',",9
"'wear',",9
'day'],9
"['nicholaswu',",9
"['carolynmorrisro',",9
'usatoday'],9
'b'],9
"['virginiadaffron',",9
"'south',",9
"'debate',",9
"'detail',",9
"'hard',",9
"['acthshuddle',",9
"'karenchavezact',",9
"'business',",9
"'line',",8
"['fmccormickbmn',",8
"'mission',",8
"'outside',",8
"'race',",8
"'note',",8
"'trail',",8
"'deal',",8
"['icymi',",8
"'number',",8
"'word',",8
"'angeliwright',",8
"'death',",8
"'miss',",8
"'facebook',",8
"'reporter',",8
['avlnews'],8
"'bit',",8
"'play',",8
"'early',",8
"'fall',",8
"'info',",8
"'usa',",8
"'speak',",8
"['angeliwright',",8
"'donald',",8
"'ahead',",8
"'idea',",8
"'true',",8
"'mackensy',",8
"['karenchavezact',",8
"'answer',",8
"'covid',",7
"'law',",7
"'family',",7
"'greene',",7
"['watch',",7
"'late',",7
"'yes',",7
"'joe',",7
"'government',",7
"'staff',",7
"'list',",7
'week'],7
"'car',",7
"'college',",7
"'hit',",7
"['fact',",7
"'storm',",7
"'super',",7
"'open',",7
"'cityofasheville',",7
"['wonder',",7
"'voting',",7
"'social',",7
"'photo',",7
"'child',",7
"'stay',",7
"'drive',",7
"'bar',",7
"'metro',",7
"'conspiracy',",7
"'pick',",7
"'away',",7
"'maybe',",7
"'service',",7
"'dc',",7
"'system',",7
'avlwomanup'],7
"'pay',",7
"'hospital',",7
"'resident',",7
"'point',",7
"'subscriber',",7
"'write',",7
"'head',",7
"'area',",7
"'wanda',",7
"'learn',",7
"'call',",7
"'court',",7
"'release',",6
"['start',",6
'r'],6
"'reminder',",6
"'march',",6
"'quick',",6
"['caseyblakeavl',",6
"'shoot',",6
"'angelamwilhelm',",6
"['annahbackstrom',",6
"'worth',",6
"['daveth',",6
"'plant',",6
"'sentence',",6
"'plus',",6
"'trial',",6
"'special',",6
"['love',",6
"'americans',",6
"'remain',",6
"'bear',",6
"'doctor',",6
"'expect',",6
"'man',",6
"['today',",6
"'housing',",6
"'factcheck',",6
"'arden',",6
"'turn',",6
"'wait',",6
"['maybe',",6
"'safe',",6
"'tuesday',",6
"'gift',",6
"'dukeenergy',",6
"'food',",6
"'k',",6
"'crowd',",6
"'bad',",6
"'fire',",6
"'announce',",6
"'lose',",6
"'sunday',",6
"'road',",6
"'half',",6
"['hayleytweeet',",6
"'video',",6
'read'],6
"'spend',",6
"'forward',",6
"'run',",6
"'fill',",6
"'office',",6
"'candidate',",6
"'riley',",6
"'face',",6
"'subscription',",6
'work'],6
"'federal',",6
"'hope',",6
"'short',",6
"'order',",6
"'nee',",6
"'vaccine',",6
"'believe',",6
"'twitter',",6
"'tie',",6
'thing'],5
"'politic',",5
"'unc',",5
"'friend',",5
"'pass',",5
"'times',",5
'w'],5
"'game',",5
"'test',",5
"['ledgeking',",5
"'real',",5
"'holiday',",5
"'email',",5
[],5
"'future',",5
'time'],5
"['find',",5
"'market',",5
"'george',",5
"'join',",5
"'role',",5
"'victim',",5
"'past',",5
"'issue',",5
"'member',",5
"'key',",5
"'couple',",5
"'stop',",5
"'reason',",5
"'old',",5
'story'],5
"'riot',",5
"'th',",5
"'hold',",5
"'blue',",5
"['like',",5
"'sorry',",5
"'accord',",5
"'dog',",5
"'session',",5
"'inform',",5
"'lake',",5
"['need',",5
"'small',",5
"'senate',",5
"'little',",5
"'presidential',",5
"'second',",5
"'room',",5
"'block',",5
"'add',",5
"'base',",5
"['s',",5
"'misinformation',",5
"'likely',",5
"'move',",5
'election'],5
"['byellalee',",5
"'topic',",5
"'access',",5
"'site',",5
"'retire',",5
"'district',",5
"['let',",5
"['read',",5
"'effective',",5
"'love',",5
"['thrill',",5
"'soon',",5
"'actually',",5
"'apparently',",5
"'ready',",5
'mask'],5
'n'],5
"'beat',",5
"'director',",5
"'share',",5
"'amid',",5
"'sit',",5
"'hotel',",5
"['avlreporter',",5
"'dr',",5
"'commissioner',",5
"'award',",5
"'hey',",5
"'will',",5
"'far',",5
"'amendment',",5
"'democrats',",5
"'lead',",5
"'effort',",5
"'ago',",5
'say'],5
"'seat',",5
"['usatodaydc',",5
"'help',",5
"'track',",5
"'leader',",5
"'favorite',",4
"'mark',",4
"'digital',",4
"'construction',",4
"'reader',",4
"'madison',",4
"'show',",4
"'wonder',",4
"'tweet',",4
"'recent',",4
"'certain',",4
"'parking',",4
"'truck',",4
"'die',",4
"'imagine',",4
"'store',",4
"'stand',",4
"'nearly',",4
"['journalist',",4
"'would',",4
"'action',",4
"'visit',",4
'h'],4
"'reach',",4
"'excited',",4
"'opportunity',",4
"'western',",4
"'statement',",4
"'arrive',",4
"'care',",4
"'young',",4
"'drop',",4
"'voter',",4
"'poll',",4
"'information',",4
"'cut',",4
"'avlchamber',",4
"'target',",4
"'fly',",4
"'network',",4
"'judge',",4
"'important',",4
"'stock',",4
"'employee',",4
'good'],4
"'eat',",4
"['ckovash',",4
"['not',",4
"['eabrown',",4
"'viral',",4
"['city',",4
'avlwx'],4
"'tourism',",4
"'continue',",4
"'trend',",4
"['angelamwilhelm',",4
'sure'],4
'want'],4
"'chuck',",4
'avlsnomg'],4
"['buncombegov',",4
"['buncombe',",4
"'emergency',",4
"'native',",4
"['attention',",4
"['nc',",4
"'situation',",4
"'best',",4
"'well',",4
"['local',",4
"'sound',",4
"'enjoy',",4
"'debunk',",4
"'online',",4
"'lunch',",4
"'evening',",4
"'gas',",4
"'page',",4
"'population',",4
"'theory',",4
"'suntimes',",4
"'snow',",4
"'julian',",4
"'ncpol',",4
"'tomorrow',",4
"'thread',",4
"'walk',",4
"'to',",4
"'difference',",4
"'mayor',",4
"'truth',",4
"'context',",4
"'ground',",4
"'image',",4
"['come',",4
'know'],4
"'use',",4
"'spring',",4
"'obama',",4
"['markbarrettact',",4
"'space',",4
"'hand',",4
"'explainer',",4
"'prison',",4
"'candy',",4
"'celebrate',",4
"'probably',",4
"['state',",4
"'result',",4
"'interested',",4
"'elect',",4
"'catch',",4
"'revenue',",4
"'chief',",4
"'remember',",4
"'mountain',",4
"'massive',",4
"'mention',",4
"'cashier',",4
"'able',",4
'look'],4
"'rule',",4
"'buncombeschools',",4
"'newspaper',",4
"'republican',",4
"'colleague',",4
"'wow',",4
"'citizen',",4
"'saturday',",4
"'proud',",4
"'tip',",4
"'suggest',",4
'support'],4
"'beautiful',",4
"'charge',",4
"'background',",4
"'suppose',",4
"'recover',",4
"'put',",4
"'creek',",4
"'campbell',",4
'way'],4
"'pack',",4
"'deadline',",4
"'impact',",4
'ago'],4
"'message',",4
"'fair',",4
"'floyd',",4
