,lemmas
"'movie',",46
"['markharrisnyc',",39
"'like',",38
"'good',",34
"'new',",33
"'w/',",33
"'read',",31
"'great',",31
"'girl',",30
"'critic',",30
"'watch',",28
"'time',",27
"'look',",26
"'book',",26
"'say',",25
"'day',",25
"'year',",24
"'thank',",24
"'love',",23
"'work',",23
"'woman',",22
"'film',",22
"'night',",22
"'get',",21
"'see',",21
"'write',",20
"'trump',",20
"'talk',",20
"'know',",19
"'vote',",19
"'come',",19
"'think',",19
"'mean',",18
"'little',",18
"'tv',",18
"'ew',",18
"'nyc',",18
"'right',",17
"'want',",17
"'thing',",17
"'go',",17
"'people',",17
"'man',",16
"'tell',",16
"['oh',",16
"'life',",16
"'today',",15
"'leave',",14
'downtonpbs'],14
"'word',",14
"'ad',",14
"'hair',",14
"'owengleiberman',",14
"'lisaschwarzbaum',",14
"'nytimes',",14
"'yes',",13
"'find',",13
"'oh',",13
"'need',",13
"'miss',",13
"'story',",13
"['good',",13
"'follow',",13
"'old',",13
"'feel',",12
"'amtrakresidency',",12
"'tonight',",12
"['emilynussbaum',",12
"'big',",12
"'wait',",12
"'piece',",11
"'end',",11
"'markharrisnyc',",11
"'review',",11
"'death',",11
"['know',",11
"'society',",11
"['great',",11
"'news',",11
"'hear',",10
"'school',",10
"'th',",10
"'join',",10
"['langealexandra',",10
"'live',",10
"'city',",10
"'free',",10
"'twitter',",10
"'turn',",9
"'ask',",9
"'screening',",9
"'kid',",9
"'national',",9
"'tweet',",9
"'mr',",9
"'sure',",9
"'speak',",9
"'call',",9
"'late',",9
"'mrs',",9
"'guy',",9
"'boyhood',",8
"'home',",8
"'bad',",8
"'oscar',",8
"'pal',",8
"['girlswritenow',",8
"'change',",8
"'t',",8
"'line',",8
"'house',",8
"'eye',",8
"'subway',",8
"'grow',",8
"'world',",8
"'actor',",8
"'high',",8
'thank'],8
"'eat',",8
"['watch',",8
'lgm'],8
"'smart',",8
"'child',",8
"'lady',",8
"'use',",8
"'post',",8
"'make',",8
"'hate',",7
'amtrakresidency'],7
"['aoscott',",7
"'way',",7
"'garden',",7
"'writer',",7
"['michaelbierut',",7
"'let',",7
"'letter',",7
"'=',",7
"'fan',",7
"['see',",7
"'tiny',",7
"'friend',",7
"'downtonpbs',",7
"'week',",7
"'fall',",7
"'meet',",7
"'maybe',",7
"'randylandia',",7
"['list',",7
"'sit',",7
"'david',",7
"'america',",7
"'boy',",7
"'take',",7
"'start',",7
"'car',",7
"'american',",7
"'la',",7
"'blame',",7
"'weekend',",7
"'wear',",6
'fifaworldcup'],6
"'amtrak',",6
"'lie',",6
"'thegoodwife',",6
"'learn',",6
"'mad',",6
"'art',",6
"'summer',",6
"['nancyfranklin',",6
"'h',",6
"'scene',",6
"['read',",6
"'nice',",6
"'young',",6
"'train',",6
"'winner',",6
"'human',",6
"'list',",6
"'mom',",6
"'recap',",6
"'stuff',",6
'right'],6
"'box',",6
"'editor',",6
"'cover',",6
"['big',",6
"'wonderful',",6
"'goodbye',",6
"'fear',",6
"'sleep',",6
"['new',",6
"'hi',",6
"'feed',",6
"'female',",6
"'genius',",6
'work'],6
"'play',",6
"'original',",6
"'party',",6
'day'],6
"'hey',",6
"'game',",6
"'try',",6
"'girlswritenow',",6
"'screen',",6
"'heart',",6
"'stand',",6
"'pop',",6
"'away',",6
"'colleague',",6
"'beautiful',",6
"'magazine',",6
"'award',",6
"'dog',",6
"'sad',",6
'htt'],6
"'white',",6
"['alexandrajacobs',",6
"'journalist',",6
"'ticket',",6
'fakecannes'],6
"'help',",6
'movie'],5
"'believe',",5
"'inside',",5
"['love',",5
"'nyt',",5
"'goldenglobes',",5
"'office',",5
"'phone',",5
"'street',",5
"'george',",5
"'study',",5
"'family',",5
"'medium',",5
"'real',",5
"'internet',",5
"'sing',",5
"'stephenathome',",5
"'deer',",5
"'show',",5
"'happy',",5
"'mary',",5
"'adult',",5
"['nprmonkeysee',",5
"'short',",5
"'mentor',",5
"'wrong',",5
"'long',",5
