,lemmas
"'not',",88
"['jamesmsama',",80
"'trump',",68
"['charitymiles',",61
"'realdonaldtrump',",46
"'thx',",45
"'s',",44
"'like',",37
"'susangkomen',",37
"['everydaycpatax',",34
"'hopehummus',",34
"['angelamelini',",32
"'know',",31
"['projectlincoln',",29
"['uibglobal',",27
"['jason',",26
"'sponsor',",26
"['mvolpe',",25
"['wolfofweedst',",25
"'people',",25
"['earn',",24
"'work',",24
"'time',",24
"'new',",24
"'badge',",24
"['englishpaulm',",23
"'be',",23
"'think',",23
"'say',",23
'hopefortheday'],22
"'spreadhope',",22
"'president',",22
"'go',",22
'untappd'],22
"['tomokeefe',",21
"'startup',",20
"'day',",20
"'good',",20
"['robgo',",20
"'hnshah',",20
"'want',",20
"'team',",20
"'level',",20
"'uib',",19
"'great',",19
"'mvolpe',",19
"'get',",18
"'today',",17
"['sbroderick',",17
"['jabbawy',",16
"'love',",16
"'help',",16
"'coronavirus',",16
"'have',",15
"'sponsoring',",15
"'watch',",15
"['hnshah',",15
"'week',",15
"'tell',",15
"'projectlincoln',",15
"'boston',",14
"'white',",14
"'covid',",14
"'million',",14
"'wear',",14
"'bad',",14
"'right',",14
"'year',",14
"'mask',",14
"['realdonaldtrump',",14
"['masschallenge',",14
"'try',",14
"'launch',",13
"'look',",13
"'biden',",13
"'gtconwayd',",13
['jamesmsama'],12
"'agree',",12
"'th',",12
'lol'],11
"'way',",11
"'live',",11
"'tax',",11
"'thank',",11
"'world',",11
'spreadhope'],11
"'thing',",11
"'twitter',",11
"'vitrainer',",11
"'check',",11
"'home',",10
"'cpa',",10
"'nice',",10
"'stop',",10
"'word',",10
"'old',",10
"'feel',",10
"'call',",10
"'send',",10
"'ceo',",10
"'joebiden',",10
"'tweet',",10
"'vote',",10
"'market',",10
"'maybe',",10
"'product',",10
"'friend',",10
"'state',",10
"'republican',",10
"'app',",10
"'will',",9
"'school',",9
"'house',",9
"'join',",9
"'man',",9
"'jamesmsama',",9
"['hodges',",9
"'kid',",9
"'americans',",9
"'hope',",9
"'apply',",9
"'facebook',",9
"'support',",9
"'autismspeaks',",9
"'employee',",9
"'pay',",9
"'build',",9
"'drink',",9
"'company',",9
'susangkomen'],9
"'kill',",9
"'follow',",9
"'hire',",8
"'read',",8
"'talk',",8
"'let',",8
"'make',",8
'trump'],8
"'st',",8
"'see',",8
"'include',",8
"'come',",8
"'pattonoswalt',",8
"'need',",8
"'remote',",8
"'share',",8
"'shop',",8
"['daynagrayson',",8
'know'],8
"'human',",8
"'office',",8
"'founder',",8
"'donald',",8
"'k',",8
"'woman',",8
"'business',",8
'realdonaldtrump'],8
"'hand',",8
"'grow',",7
"'iot',",7
"'red',",7
"'leader',",7
"'believe',",7
"'post',",7
"'email',",7
"'mean',",7
"'use',",7
"'take',",7
"'speak',",7
"'especially',",7
"'small',",7
"'hear',",7
"'sure',",7
"'happy',",7
'president'],7
"'virus',",7
"'find',",7
"'video',",7
"'would',",7
"'financial',",7
"'yesterday',",7
"'probably',",7
"'tobyruckert',",7
"'store',",7
"'responsibility',",6
"'sense',",6
"'gossip',",6
"'offer',",6
"'high',",6
"'news',",6
"'englishpaulm',",6
"'site',",6
"'spend',",6
"'run',",6
"'lol',",6
"'ill',",6
"'kenherron',",6
'day'],6
"'exactly',",6
"'learn',",6
"'give',",6
"'ago',",6
"'listen',",6
"'lose',",6
"'past',",6
"'order',",6
"'thejimmyfund',",6
"'plan',",6
"'loan',",6
"'pretty',",6
"'google',",6
"'change',",6
"['rmbanfield',",6
"'community',",6
"'super',",6
"['iammarkmanson',",6
"'covid-',",6
"'american',",6
"'question',",6
"'actually',",6
"'tomorrow',",6
"'florida',",5
"'card',",5
"'money',",5
"'buy',",5
"'fund',",5
"'play',",5
"['angelhack',",5
"['hamlord',",5
"'experience',",5
'right'],5
"['msnovember',",5
"'raise',",5
"['drink',",5
"'add',",5
"'long',",5
"'pandemic',",5
"'announce',",5
"'edition',",5
"'female',",5
'mask'],5
'work'],5
"'surprise',",5
"'drive',",5
"'ask',",5
'coronavirus'],5
"'joe',",5
"'force',",5
'week'],5
"['jab',",5
"'large',",5
"'early',",5
"'gop',",5
'agree'],5
"'wish',",5
['mvolpe'],5
"'hour',",5
"'month',",5
"'yamiche',",5
"'sign',",5
"'hit',",5
"'yeah',",5
"['josephflaherty',",5
"'remember',",5
"'expert',",5
"'ship',",5
'jimmyfundwalk'],5
"'literally',",5
"'deadline',",5
"'fire',",5
"'allow',",5
"'book',",5
"'robgo',",5
"'uibs',",5
"'minute',",5
"'administration',",5
"'dharmesh',",5
"'poll',",5
"'job',",5
"'friday',",5
"'daughter',",5
"'racket',",5
"'obama',",5
"'podcast',",5
"'online',",5
"'common',",5
'not'],5
"'form',",5
'startup'],5
'h'],5
"['joebiden',",5
"'issue',",5
"'angel',",5
'sponsoring'],5
"'instead',",5
"'billion',",5
"'point',",5
"'break',",5
['sbroderick'],5
"'lead',",5
"['micahjay',",5
'good'],4
'smallbusiness'],4
"'briefing',",4
"'round',",4
"'nee',",4
"'mother',",4
"'shopify',",4
"'states',",4
"'fit',",4
'come'],4
"['epaley',",4
"'stay',",4
"'yes',",4
"['kenherron',",4
"'god',",4
"'crisis',",4
"'therickwilson',",4
"'covidrelief',",4
"'failure',",4
"'anti',",4
"'zero',",4
"'instacart',",4
"'family',",4
"'edaizie',",4
"'blame',",4
"'bill',",4
"'test',",4
"'life',",4
'exactly'],4
"'enjoy',",4
"['congrats',",4
"'close',",4
"'university',",4
"'son',",4
"'invest',",4
"'die',",4
"'mail',",4
"'better',",4
"'favorite',",4
"'nation',",4
"'free',",4
"'power',",4
"'idea',",4
"'write',",4
"'playboy',",4
"'atrupar',",4
"'real',",4
"'kpmg',",4
"['dharmesh',",4
"'interview',",4
'dumptrump'],4
"'big',",4
"'social',",4
'ht'],4
[],4
"'tech',",4
"'care',",4
"'virtual',",4
"'forever',",4
"'series',",4
"['awwstn',",4
"'jdiamond',",4
"'kind',",4
"'supporter',",4
"'cut',",4
'pay'],4
"'student',",4
"'nd',",4
'gainesville'],4
"'pm',",4
"'powered',",4
"'weed',",4
"'worry',",4
"'wash',",4
