,lemmas
"'test',",247
"'rapid',",138
"'not',",80
"'yes',",77
"'covid',",65
"'pcr',",64
"'people',",56
"'vaccine',",55
"'public',",53
"'positive',",53
"'pandemic',",52
"'health',",51
"'usfda',",47
"'cdcgov',",46
"'like',",45
"'w',",45
"'need',",42
"'time',",39
"'testing',",39
"'false',",39
"'agree',",36
"'michaelminalab',",36
"'thank',",35
"'have',",35
"'know',",32
'test'],32
"['michaelminalab',",30
"'home',",29
"'year',",29
"'want',",29
"'abbottnews',",29
"'different',",28
"'think',",28
"'use',",28
"'virus',",28
"'point',",27
"'be',",26
"'ppl',",26
"'thing',",26
"'s',",25
"'write',",25
"'new',",25
"'rapidtest',",25
"'day',",24
"'harvardchansph',",24
"'antigen',",24
"'say',",24
"'work',",23
"'great',",23
"'world',",22
"'sensitivity',",22
"'important',",22
"'paper',",21
"'potus',",20
"'start',",20
"'ag',",20
"'go',",20
"'get',",20
"'citi',",19
"'come',",19
"'jstonedotorg',",19
"'erictopol',",19
"'mean',",18
"'question',",18
"'today',",18
"'peterpham',",18
"'long',",18
"'good',",18
"'benmarten',",17
"'look',",17
"'help',",17
"'see',",16
"'ct',",16
"'thread',",16
"'lab',",16
"'tweet',",16
"'talk',",16
"'quideldx',",16
"'case',",16
"'simple',",16
"'infectious',",16
"'week',",16
"'foogatwo',",16
"'fda',",16
"['ajkaywriter',",15
"'study',",15
"'way',",15
"'try',",15
"'low',",15
"'refer',",15
"['docmoschos',",14
"['erictopol',",14
'thank'],14
"'repkimschrier',",14
"'change',",14
"'correct',",14
"'cdcdirector',",14
"'tool',",14
"'number',",14
"'bc',",14
"'take',",13
"'exactly',",13
"'value',",13
"'high',",13
'w'],13
"'read',",13
"'presidentmu',",13
"'viral',",13
"'fact',",13
"'issue',",13
"'consider',",13
"'covid-',",13
"'effort',",13
"'turn',",12
"'understand',",12
'th'],12
"'science',",12
"'qpcr',",12
"'make',",12
"'cost',",12
"'outbreak',",12
"'cdc',",12
"['facethenation',",12
"'article',",12
"'pos',",12
"'stop',",12
"'cmoireland',",12
"'right',",12
"'load',",12
"'india',",12
"'second',",12
"'margbrennan',",12
"'sensitive',",11
"'specific',",11
"'late',",11
"'increase',",11
"'individual',",11
"'response',",11
'people'],11
"'absolutely',",11
"'datum',",11
"'government',",11
"'variant',",11
"'haha',",11
"'vaccinate',",11
"'large',",11
"'believe',",11
