,lemmas
"'mipalkar',",297
"'karwaan',",290
"'watch',",213
"'irrfank',",161
"'dulquer',",156
"'movie',",129
"'love',",98
"['rsvpmovies',",85
"'good',",80
"'film',",79
"'thank',",77
"'netflixindia',",67
"'mrakvarious',",61
"'chopstick',",60
"['thank',",55
"'season',",53
"'beautiful',",53
"'little',",51
"'thing',",45
"'littlethings',",45
"'time',",45
"'feel',",42
"'amazing',",42
"'like',",41
"'journey',",39
"'life',",38
"'fun',",37
"'tribhanga',",37
'mipalkar'],35
"'great',",35
"'performance',",33
"'abhaydeol',",29
"'story',",29
"'netflix',",28
"'lovely',",28
'thank'],27
"'littlethingsseason',",26
"'know',",26
"'road',",24
"'shaukat',",24
"'dhruvsehgal',",24
"'look',",23
"'dicemediaindia',",23
"'get',",23
"'big',",23
"'see',",23
"'day',",23
"'dhruv',",22
"'act',",22
"'work',",22
"'heart',",22
"'come',",21
"'go',",21
"'new',",21
"'smile',",20
"'make',",20
"'episode',",20
"'littlething',",20
"'bollywood',",20
"'series',",20
"'trip',",20
"'cute',",19
"'awesome',",19
"'set',",19
"'relationship',",18
"'book',",18
"'renukash',",18
"'end',",18
"['filmfare',",18
"'happy',",18
"'long',",18
"'laugh',",18
"'perfect',",18
"'moment',",17
"'ride',",17
"'brilliant',",17
"['mrakvarious',",17
"'debut',",17
"'weekend',",17
[],17
"'u',",17
"'finish',",17
"'girl',",16
"'live',",16
"'ronniescrewvala',",16
"'enjoy',",16
"'emotion',",16
'dulquer'],16
"['rsvpmovie',",16
"'character',",15
"'hilarious',",15
"'win',",15
"'not',",15
"'music',",15
"'wait',",15
"'crazy',",15
"'way',",15
"'song',",15
"'ajaydevgn',",15
"'sweet',",14
"'chotasafasana',",14
"'star',",14
"'real',",14
"'itskajold',",14
"'superb',",14
"'people',",14
"'year',",14
"'avinash',",14
"'bring',",14
"'actor',",14
"'dialogue',",14
"'give',",14
"'release',",13
"'share',",13
"'hai',",13
['thank'],13
"'ticket',",13
"'comedy',",13
"'karwaantrailer',",13
'littlethingsseason'],13
"'irrfan',",13
"'soul',",12
"'woman',",12
"'take',",12
"'need',",12
"'n',",12
"'team',",12
"'theatre',",12
'love'],12
"'kavya',",12
"'review',",12
"'mithila',",12
"'favourite',",11
"['dicemediaindia',",11
"'guy',",11
"'let',",11
"'tanya',",11
"'join',",11
"'face',",11
"'friend',",11
"'today',",11
"'chat',",11
"'leave',",11
"'adffilms',",11
"'show',",11
"'cinema',",11
"'style',",11
"'board',",11
"'trio',",11
"'pm',",10
"'fan',",10
"'right',",10
"'banijayasia',",10
"'rsvpmovies',",10
"'tell',",10
"'hope',",10
"'wonderful',",10
"'filmfare',",10
"'hindi',",10
"'th',",10
"'talk',",10
"'trailer',",10
"'job',",10
"'miss',",9
"'family',",9
"'award',",9
"'funny',",9
"'write',",9
'karwaan'],9
"'light',",9
"'find',",9
"'definitely',",9
"'finally',",9
'h'],9
"'lot',",9
"'interview',",9
"'list',",9
"'experience',",9
"'turn',",9
'watch'],9
"'absolutely',",9
"'best',",8
"'happiness',",8
"'web',",8
"'play',",8
"'special',",8
'irrfank'],8
"'entire',",8
"'night',",8
"'stream',",8
"'laughter',",8
"'read',",8
"'simple',",8
"'premiere',",8
"'beautifully',",8
"'meet',",8
"'screen',",8
"'marathi',",8
"'think',",8
"'bit',",8
"'emotional',",8
"'january',",8
"'wish',",8
"'treat',",8
"'conversation',",8
"'deepak',",8
'movie'],7
"'hussainthelal',",7
"['ifaridoon',",7
"'minute',",7
"['filmcompanion',",7
