,lemmas
"['skycricket',",226
"'cricket',",174
"'nassercricket',",168
"'england',",110
"'robkey',",94
"'day',",77
"'test',",76
"'great',",70
"'good',",68
"'athersmike',",67
"'skycricket',",66
"'thank',",62
"['paulnewmandm',",46
"'sky',",44
"['robkey',",43
"'new',",40
"'look',",38
"'today',",37
"'play',",35
"'get',",35
"'year',",34
"'join',",34
"'podcast',",31
"'not',",31
"'watch',",30
"'time',",29
"'bumblecricket',",28
"'series',",27
"'go',",27
"'world',",26
"'help',",26
"'root',",26
"'team',",26
"'think',",25
"'win',",25
"['athersmike',",25
"'talk',",25
"['richardgibsondm',",25
"'key',",25
"'work',",24
"'captain',",24
"'sport',",23
'nassercricket'],22
'mailsport'],21
"'ipl',",21
"'special',",21
"'run',",21
"'come',",21
"'catch',",21
"'bowler',",21
"'brilliant',",20
"'youtube',",20
"'start',",20
"'need',",20
"'say',",20
[],20
"'pick',",20
"'bob',",19
"'nasser',",19
"'hussain',",19
"'man',",19
"'ball',",18
"['benedictb',",18
"'interview',",18
"'s',",18
"'final',",18
"['thetopspin',",17
"'pm',",17
"'sports',",17
"'game',",17
"'cricketer',",17
"'benedictb',",17
"['markbutcher',",17
"'rob',",17
"'home',",16
"'indies',",16
"'joe',",16
"'shanewarne',",16
"'episode',",16
"'jimmy',",16
"'match',",16
"'old',",16
'skycricket'],16
"'west',",16
"'kp',",16
"'morning',",16
"'want',",15
"'virtual',",15
"'donate',",15
"'big',",15
"'love',",15
"'bowling',",15
"'coach',",14
"'pakistan',",14
"'eoin',",14
"'redforruth',",14
"'week',",14
"'have',",14
"'tour',",14
"'mumbai',",13
"'player',",13
"'lad',",13
"'willis',",13
"'india',",13
"'nice',",13
"'like',",13
"'batting',",13
"'australia',",13
"'support',",13
"'icc',",13
"'chat',",13
"'enjoy',",13
"'englandcricket',",12
"'th',",12
"'discuss',",12
"'ruthstraussfdn',",12
"'summer',",12
"'excellent',",12
"'video',",12
"'news',",12
"'fast',",12
"'wardyshort',",12
"'xi',",12
"['mailsport',",12
"'be',",12
"'hope',",12
"['enjoy',",12
"'squad',",11
"'session',",11
"'girl',",11
"'south',",11
'today'],11
"'way',",11
"'live',",11
"'mate',",11
"'late',",11
"'young',",11
"'sure',",11
