,lemmas
"'blood',",337
"'need',",326
"'covid',",280
"'plasma',",179
"'type',",156
"['blooddonorsin',",155
"'component',",150
"'delhi',",148
"'hospital',",144
"'positive',",142
"'patient',",130
"'oxygen',",117
"'recover',",110
"'help',",71
"'b',",62
"'india',",50
"'number',",48
"'o',",45
"['asiframeez',",43
"'nistula',",41
"'urgent',",41
"'say',",40
"'group',",40
"'case',",40
"'noida',",39
"'bed',",38
"'new',",35
"'bjp',",32
"'report',",30
"'covid-',",30
"'bve',",30
"'vaccine',",30
"'today',",30
"'medical',",29
"'state',",28
"'ove',",28
"'lose',",27
"'centre',",27
"'test',",27
"['thehindu',",27
"'cylinder',",24
"'age',",24
'number'],24
"'govt',",24
"'die',",24
"'journalist',",24
"'icu',",23
"'urgently',",23
"'not',",23
"['ani',",23
"'friend',",22
"'pm',",22
"'election',",22
"'death',",21
"'vaccination',",21
"'government',",21
'patient'],20
"'day',",20
"['payalmehta',",20
"'time',",20
"'bengal',",20
"'supply',",19
"'unit',",19
"'people',",19
"'contact',",19
"['jatinpaul',",19
"'year',",19
"'week',",18
"'require',",18
"'second',",18
"'poll',",18
"'wave',",18
"'indiatoday',",17
'covid'],17
"['kartikeya',",17
"'city',",17
"'sos',",17
"'court',",17
"'srinivasiyc',",17
"'health',",16
"'senior',",16
"'family',",16
"'dr',",16
"'go',",16
"'lakh',",16
"'lockdown',",16
"'ab',",16
"'work',",16
"'get',",16
"'care',",16
"'break',",16
"'pass',",16
"'ave',",16
"'lead',",16
"'till',",15
"'max',",15
"'home',",15
"'minister',",15
"'hour',",15
"['abeelaw',",15
"'situation',",15
"'ventilator',",15
"'thehindu',",15
"'take',",15
"'colleague',",14
"'hope',",14
"'issue',",14
"'dose',",14
'recover'],14
"['dhanyarajendran',",14
"'hyderabad',",14
"'party',",14
"'commission',",13
"'chief',",13
"'concentrator',",13
"'donor',",13
"'west',",13
"'give',",13
"'tmc',",13
"'high',",13
"'big',",13
"'tell',",13
"'rubikaliyaquat',",13
"'ghaziabad',",13
'u'],13
"'leave',",13
"'negative',",12
"'worker',",12
"'yesterday',",12
"'thank',",12
"['rohitchahal',",12
"'know',",12
"'crisis',",12
"'assam',",12
"'ask',",12
"'kolkata',",12
"'district',",12
"'result',",12
"'live',",11
"'update',",11
"'cm',",11
"'requirement',",11
"'level',",11
"'run',",11
"'mr',",11
"'receive',",11
"'away',",11
"'total',",11
"'month',",11
"['nistula',",11
"'assembly',",11
"'plant',",11
"'announce',",11
"'pls',",11
"'good',",11
"'lucknow',",10
"'come',",10
"'prernakaul',",10
"'base',",10
"'hear',",10
"['ikasnik',",10
"'u',",10
'numbe'],10
"'request',",10
"'kanpur',",10
"'member',",10
"'talk',",10
"'write',",10
'unit'],10
"'pandemic',",10
"'primary',",9
"'congress',",9
"['abantika',",9
"'hc',",9
"'maharashtra',",9
"'order',",9
"['ashokbagriya',",9
"'old',",9
"'odisha',",9
"'count',",9
"'social',",9
"'shortage',",9
"'april',",9
"'sc',",9
"'vote',",9
"'condolence',",9
"'indian',",9
"'recovery',",9
"'mumbai',",9
"'sorry',",9
"'deep',",9
"'critical',",9
"'support',",9
"'ve',",9
"'supreme',",9
"'be',",9
"'include',",9
"'duty',",9
"'pay',",9
"'doctor',",9
"'army',",9
'c'],9
"'abve',",9
"'post',",9
"'loss',",9
"'country',",8
"'alwayshereforyou',",8
"'singh',",8
"'coronavirus',",8
"'life',",8
"'night',",8
'oxygen'],8
"'wait',",8
"'businessline',",8
"'plz',",8
"'service',",8
'thehindu'],8
"'political',",8
"'banerjee',",8
"'save',",8
"'daily',",8
"['soumyajitt',",8
"'look',",8
"'active',",8
"['scribeprashant',",8
"'remdesivir',",8
"'tomorrow',",8
"'find',",8
"'abaruah',",8
"'aiims',",8
'n'],8
"['vijaita',",8
"'important',",8
"'mother',",8
"'face',",8
"'fire',",8
"['meshivamahuja',",8
"'rate',",8
"'verify',",8
"'national',",8
"'read',",8
'pat'],8
'p'],8
'help'],8
"'send',",8
"'patna',",8
"'complete',",8
"'air',",8
"'sardesairajdeep',",8
"'emergency',",8
"'rise',",7
"'extend',",7
"'tajinderbagga',",7
"'available',",7
"'kerala',",7
"'wife',",7
"'surge',",7
"'attack',",7
"['srirags',",7
"'admit',",7
"'candidate',",7
"'mt',",7
"'st',",7
"'suspend',",7
"'wb',",7
"'cc',",7
'b'],7
"['langamahesh',",7
