,lemmas
"'new',",135
"'partner',",126
"'health',",112
"'join',",102
"'healthcare',",96
"'announce',",94
"'hc',",94
"'ceo',",90
"'ft',",89
"'company',",88
"'founder',",77
"'oak',",73
"'team',",71
"'care',",66
"'share',",61
"'help',",61
"'partnership',",61
"'discuss',",59
"'oakhcft',",56
"'funding',",51
"'year',",50
"'lead',",49
"'today',",48
"'late',",47
"'fintech',",47
"'digital',",46
"'portfolio',",43
"['great',",43
"'round',",41
"'work',",41
"['congrats',",40
"'proud',",40
"'forward',",39
"'feature',",39
"'co',",39
"'news',",39
"'continue',",38
"'technology',",36
"'name',",36
"['icymi',",36
"'raise',",34
"'series',",34
"'look',",34
"'support',",34
"'learn',",32
"'week',",32
"'excited',",31
"'read',",31
"'thank',",30
"'industry',",30
"'thrill',",30
"'nancybrownoak',",30
"'million',",29
"'launch',",29
"['uniteushq',",29
"'startup',",29
"'recent',",29
"['mavenclinic',",29
"'investment',",29
"'dispatchhealth',",29
"'patient',",28
"'platform',",28
"'tech',",28
"'virtual',",28
"'speak',",28
"'conversation',",27
"'time',",27
"'hear',",26
"'covid',",26
"'build',",25
"['komodohealth',",25
"'managing',",25
"'panel',",24
"['oak',",24
"'forbes',",24
"'make',",23
"'welcome',",23
"'provide',",23
"'not',",23
"['excited',",23
"'grow',",23
"'uniteushq',",23
"'excite',",23
"'list',",23
"'villagemd',",23
"'annielamont',",23
"'exciting',",22
"'future',",22
"'recently',",22
"'ai',",22
"'pm',",22
"'innovation',",22
"'woman',",22
"'check',",22
"'leader',",21
"'great',",21
"['annielamont',",21
"['feedzai',",21
"'miss',",21
"'service',",20
"'family',",20
"'bring',",20
"'mavenclinic',",20
"['look',",20
'th'],20
"'business',",20
"['check',",20
"['oliveai',",19
"'see',",19
'list'],19
"['paladinahealth',",19
"'venture',",18
"'webinar',",18
"'blog',",18
"'base',",18
"'global',",18
"'fund',",18
"'patriciakemp',",18
"'andrewadams',",18
"'th',",18
"'unite',",18
"'improve',",18
"['ocrolus',",17
"['kudos',",17
"'podcast',",17
"'sema',",17
"'hlth',",17
"'payment',",17
"'c',",17
"['exciting',",17
"'expand',",17
"['congratulation',",17
"'urjanet',",17
"['patriciakemp',",17
"'growth',",17
"'et',",17
"'day',",17
"'ocrolus',",17
"'chat',",17
"'pandemic',",17
"'enable',",16
"'principal',",16
"'invest',",16
"'covid-',",16
"'include',",16
"'community',",16
"['carebyfirefly',",16
"['kasistoinc',",16
"'good',",16
"'talk',",16
"['proud',",16
"'manage',",16
"['sema',",15
"'feedzai',",15
"'dr',",15
"'provider',",15
"'tomorrow',",15
"'need',",15
"['crickethealth',",15
"'thing',",15
