,lemmas
"'design',",151
"'brand',",145
"'podcast',",84
"'new',",80
"'thank',",78
"'youtube',",78
"'video',",68
"['brandmuse',",68
"'creative',",65
"'marketing',",62
"'interview',",62
"'business',",61
"'philipvandusen',",54
"'branding',",50
"'great',",46
"'episode',",44
"['publish',",43
"'live',",42
"['robertoblake',",42
"'build',",41
"'masters',",39
"'not',",38
"'trump',",36
"'content',",35
"'good',",34
"'philip',",32
"'way',",31
"'personal',",30
"'graphic',",30
"'people',",30
"'thechrisdo',",30
"'like',",29
"'president',",28
"'designer',",28
"['brand',",27
"'know',",27
"'entrepreneur',",26
"'time',",26
"'think',",26
"'today',",26
"'client',",25
"['check',",25
"'big',",25
"'vandusen',",24
"'go',",23
"'start',",22
"'s',",22
"'use',",22
"'need',",22
'branding'],22
"'pm',",21
"'work',",21
"'talk',",21
"'listen',",21
"'learn',",21
"'strategy',",20
"'brandmuse',",20
"'career',",20
"'medium',",20
"'get',",20
"'world',",19
"['way',",19
"'share',",19
"'help',",19
"'trend',",19
"'social',",19
"'stay',",18
"'hey',",18
"'year',",18
"'create',",18
"'est',",17
"'want',",17
"'right',",17
"'have',",17
"'love',",17
"'thing',",16
"'find',",16
"'tweet',",16
"'feel',",16
"'free',",15
"'entrepreneurship',",15
[],15
"['joebiden',",15
"['design',",15
"'let',",15
"'be',",14
'b'],14
'business'],14
"'k',",14
'youtube'],14
"'mastermind',",14
'marketing'],14
"['great',",13
"'watch',",13
"'value',",13
'philipvandusen'],13
"'professional',",13
"'ask',",13
"'post',",13
"'host',",13
"'project',",12
"'inspiration',",12
"'idea',",12
"'come',",12
"'success',",12
"'step',",12
"'pro',",12
"'master',",12
"'tell',",12
'entrepreneurship'],11
"'digital',",11
"['live',",11
"'week',",11
'design'],11
"'mistake',",11
"'teach',",11
"'try',",11
"'twitter',",11
"'youpreneur',",11
"'say',",11
"'real',",11
"'strategic',",11
"['join',",11
"'win',",11
"'channel',",11
"'lot',",11
"'vs',",10
"'add',",10
"'article',",10
"'amazing',",10
"'word',",10
"'job',",10
"['thechrisdo',",10
'est'],10
"'customer',",10
'brand'],10
"'hour',",10
"'company',",10
"'agency',",10
"'robertoblake',",10
"'check',",10
"'donald',",10
"'awesome',",10
"'group',",9
"'day',",9
"'heres',",9
'watch'],9
"'tip',",9
"['episode',",9
"['youpreneur',",9
"'grow',",9
'strategy'],9
"'goal',",9
'listen'],9
"'playlist',",9
"'secret',",9
"'smmw',",9
"'story',",9
"'turn',",9
"'successful',",9
"['rbreich',",9
"['add',",9
"'life',",8
"'stop',",8
"'happen',",8
"'expert',",8
"['danrather',",8
"'see',",8
"'american',",8
"['thanks',",8
"'hear',",8
"'lee',",8
"'product',",8
"'strong',",8
"'join',",8
"'speak',",8
"'sell',",8
"'graphicdesign',",8
"'entrepreneurial',",8
"'show',",8
"'important',",8
"'achieve',",8
"'look',",8
"'well',",8
"'network',",8
"'chris',",8
"'launch',",8
"'roberto',",8
"'man',",8
"'leave',",8
"['rezzz',",8
"'long',",7
"'ben',",7
"'subscriber',",7
'success'],7
"['go',",7
'podcast'],7
"'amos',",7
"'founder',",7
"'close',",7
'vandusen'],7
'thank'],7
"['big',",7
"'science',",7
"'house',",7
"'startup',",7
"'take',",7
"['bobgentle',",7
"'facebook',",7
"'friend',",7
"'yes',",7
"'succeed',",7
"'late',",7
"'break',",7
"'cool',",7
"'stand',",7
"'networking',",7
"'community',",7
'th'],7
"'super',",6
"'news',",6
"'land',",6
"'tale',",6
"'to',",6
"'thanks',",6
"'invite',",6
"'economy',",6
"'presentation',",6
"'chat',",6
'day'],6
"'maybe',",6
"'read',",6
"'different',",6
"'america',",6
"'jackson',",6
"'realdonaldtrump',",6
"'relevant',",6
"'easy',",6
"'human',",6
"'list',",6
"'art',",6
"'reach',",6
"'make',",6
"['janelleallen',",6
"'verhaal',",6
"'better',",6
"'small',",6
"'put',",6
"'glad',",6
"'senate',",6
"'differentiation',",6
"'quote',",6
"['watch',",6
'video'],6
"'book',",6
'f'],6
"'united',",6
"'wait',",6
"'leader',",6
"'ad',",6
"'hard',",6
"'follow',",6
"'proof',",6
"'hit',",6
"'ceo',",6
"'base',",6
"'recent',",6
"'building',",6
"'inspire',",6
"'question',",5
"'understand',",5
"'leverage',",5
"'money',",5
"'republicans',",5
"'blog',",5
'thing'],5
"'advertising',",5
"'creativeprofessional',",5
"'miss',",5
"['money',",5
"'site',",5
"'election',",5
"'home',",5
"'million',",5
'life'],5
'creativeentrepreneurs'],5
"'give',",5
'tweet'],5
"['amazing',",5
"'insight',",5
"'fuel',",5
"['joeworkman',",5
"'states',",5
"'approach',",5
"'probably',",5
"'old',",5
"['build',",5
"'wall',",5
"'wrong',",5
"'power',",5
"'roi',",5
"'confidence',",5
"['trend',",5
"'process',",5
"'tomorrow',",5
"'logo',",5
"'kind',",5
"'motivation',",5
"['come',",5
"'run',",5
"'chance',",5
"'test',",5
"'little',",5
"'corporate',",5
"'biz',",5
"'ill',",5
"['good',",5
"'pay',",5
"'engage',",5
"'place',",5
"'define',",5
"'wow',",5
"['tmiket',",5
"'tool',",5
"'brilliant',",5
'summit'],5
"'lead',",5
"'officially',",5
"'problem',",5
"'journey',",5
"'amy',",5
"'mastery',",5
"'mcconnell',",5
"['creative',",5
"['power',",5
"'view',",5
"'away',",5
"['smashingplateau',",5
"'country',",5
'today'],5
"'die',",5
"'experience',",5
"'belief',",5
"'sure',",5
"'call',",5
"'debate',",5
"'youtuber',",5
"'fri',",5
"['graphic',",5
"'dig',",4
"'profitable',",4
"'plus',",4
"'self',",4
"'kill',",4
"['look',",4
"'guild',",4
"'consistent',",4
"'daniel',",4
"'agree',",4
"'pence',",4
"'offer',",4
"'spotify',",4
'pro'],4
"'matthew',",4
'client'],4
"'level',",4
"'develop',",4
"'congrats',",4
"'folk',",4
"['fear',",4
"['want',",4
