,lemmas
"'joebiden',",262
"'trump',",119
"'president',",103
"'kamalaharris',",90
"'biden',",74
"'people',",57
"['thematthill',",55
"'new',",54
"'not',",50
"'vote',",50
"'work',",48
"['jenmolinav',",46
"'s',",44
"'know',",43
"'de',",42
"['joebiden',",40
"'america',",39
"'good',",37
"'joe',",36
"'la',",35
"'elect',",35
"'country',",35
"'say',",34
"'day',",34
"'time',",34
"'go',",34
"'teamjoe',",33
"'like',",33
"'tonight',",33
"'demconvention',",32
"'today',",32
"'latino',",32
"'leader',",32
"['tducklo',",31
"'american',",31
"'talk',",31
'demconvention'],31
"'right',",29
"'woman',",28
"'que',",28
"'look',",27
"'donald',",26
'teamjoe'],25
"'family',",25
"'let',",24
"'drbiden',",24
"'join',",23
"'plan',",23
"'en',",23
"'harris',",23
"'campaign',",22
"['munozka',",22
"'truth',",22
"'team',",21
"'ad',",21
"'speak',",21
"'get',",21
"'thing',",21
"'el',",21
'bidenharris'],21
"'news',",20
"'love',",20
"'year',",20
"'state',",20
"'proud',",20
"'democracy',",20
"'come',",20
"'puerto',",20
"'white',",19
"'vice',",19
"'live',",19
"'great',",19
"'thank',",19
"'nation',",19
"'latinos',",19
"'con',",19
"'tell',",18
"'be',",18
"['symonedsanders',",18
"'life',",18
"'united',",18
"'leadership',",18
"'care',",18
"'build',",17
"'fight',",17
"['jomalleydillon',",17
"'bideninaugural',",17
"['cristobaljalex',",17
"'honor',",17
"'need',",17
"'florida',",16
"'election',",16
"'potus',",16
"'hear',",16
"'covid',",16
"'strong',",16
"'tune',",16
"'para',",16
"'see',",15
"'states',",15
"'voter',",15
"'bring',",15
"'win',",15
"'lead',",15
"'watch',",15
"'americans',",15
"'story',",15
"['julier',",14
"'matter',",14
"'future',",14
"['emmyruiz',",14
"'kamala',",14
"'health',",14
"'amazing',",14
"['steffeldman',",14
"['bideninaugural',",14
"'crisis',",14
"['kamalaharris',",14
"'policy',",14
"'house',",14
'joebiden'],14
"'help',",14
"'pm',",13
"'history',",13
"'word',",13
"'have',",13
"'statement',",13
'vote'],13
"'address',",13
"'community',",13
"'night',",13
"'los',",13
'kamalaharris'],13
"'true',",13
"'think',",13
"'clear',",13
"['kbeds',",13
"['kateberner',",13
"'want',",13
"'immigrant',",13
"'barackobama',",12
"'tomorrow',",12
"['sabrinasingh',",12
"'call',",12
"['trump',",12
"'por',",12
"'way',",12
"'es',",12
"['robflaherty',",12
"'rico',",12
"'million',",12
"'endorse',",12
"'stake',",12
"'job',",12
"'administration',",12
"'black',",12
"'folk',",12
"'video',",11
"'pay',",11
"['not',",11
"'john',",11
"'happy',",11
"'pandemic',",11
"['tune',",11
"'well',",11
"'deliver',",11
"'lie',",11
"'kid',",11
"'take',",11
"'inauguration',",11
"'follow',",11
"'hard',",11
"['xochitlhinojosa',",11
"['pilitobar',",11
'h'],11
"'national',",11
"'away',",11
"'un',",11
"'include',",11
"'bad',",10
"'try',",10
"'powerful',",10
"['excited',",10
"'covid-',",10
"'speech',",10
"'lose',",10
"'young',",10
"'moment',",10
"'hispanic',",10
"'change',",10
"'stand',",10
"'sobre',",10
"'real',",10
"'sure',",10
"'wait',",10
"'support',",10
'w'],10
"'agenda',",10
"['marielsaez',",10
"'realdonaldtrump',",9
"'release',",9
"'believe',",9
"'make',",9
"'kbeds',",9
"'feel',",9
"'business',",9
"['geoffburgan',",9
"'show',",9
"'et',",9
"'hand',",9
"'turn',",9
"'obama',",9
"'mom',",9
"'worker',",9
"'son',",9
"'vp',",9
"'protect',",8
"'del',",8
"'continue',",8
'vpdebate'],8
"'child',",8
"'las',",8
[],8
"['amazing',",8
"'party',",8
"'bidenharris',",8
'thank'],8
"'respect',",8
"'convention',",8
"'happen',",8
"'meet',",8
"['jesslivmo',",8
"'man',",8
"'est',",8
"'democratic',",8
"'raise',",8
"'economic',",8
"'leave',",8
"'week',",8
"'yes',",8
"'justice',",8
"'cristobaljalex',",8
"'world',",8
"'line',",8
"'hold',",8
"'drive',",8
"'order',",8
"'historic',",8
"['yes',",8
"'ready',",8
"'air',",8
"'remember',",8
"'dad',",8
"'feature',",8
"'case',",8
"'al',",7
"'remark',",7
"'una',",7
"'deserve',",7
"'spanish',",7
"['tiamari',",7
"'douglasemhoff',",7
"'presidential',",7
"'friend',",7
"'action',",7
"'medium',",7
"'long',",7
"'ask',",7
"'ensure',",7
"'old',",7
"'act',",7
"'start',",7
"'contrast',",7
"'mean',",7
"'w/',",7
'democraticconvention'],7
"'safe',",7
"'admin',",7
"'mccain',",7
"'message',",7
"'second',",7
"'important',",7
"'elnuevodia',",7
"'fl',",7
"['carliewaibel',",7
"'heart',",7
"['adamslily',",7
"'virus',",7
"'early',",7
"'kind',",7
"'hit',",7
"'economy',",7
"'voto',",7
'let'],7
"'ha',",7
"'program',",7
"'se',",7
"'debate',",7
"'hope',",7
"'power',",7
"'big',",7
"'fail',",7
'day'],7
"'christiecarr',",7
"'morning',",7
"'month',",7
'de'],6
"'birthday',",6
"'executive',",6
"['meenaharris',",6
"'sign',",6
"'faith',",6
"'pretty',",6
'love'],6
'biden'],6
"'opportunity',",6
"'campaa',",6
"'chance',",6
"['christiecarr',",6
"['kjeanpierre',",6
'country'],6
"'member',",6
"'text',",6
"'record',",6
"'agree',",6
"'official',",6
"'director',",6
"'spend',",6
"'announce',",6
"'remind',",6
"'understand',",6
"'dr',",6
"'tu',",6
"'beautiful',",6
"'az',",6
"'miami',",6
"'k',",6
"'incredible',",6
"'guy',",6
"'best',",6
"'stop',",6
"['join',",6
"'dir',",6
"'event',",6
"'como',",6
"'joebidens',",6
"'pass',",6
"'end',",6
"'miss',",6
"'parent',",6
'th'],6
"'ticket',",6
"'su',",6
"'die',",6
"['time',",6
"'character',",6
"'immigration',",6
"'public',",6
"'nee',",6
"'fall',",6
"'racial',",6
"'little',",6
'l'],6
"['vedantpatel',",6
"'lewis',",6
"'will',",6
"'arizona',",6
"'launch',",6
