,lemmas
"'release',",98
"'film',",73
"'good',",56
"'look',",46
"['binge',",44
"'watch',",41
"'new',",40
"'not',",36
"'april',",34
"'tomorrow',",34
"'today',",31
"'like',",31
"'s',",30
"'go',",29
"'day',",29
"'pm',",28
"'team',",28
"'thank',",27
"'launch',",27
"'movie',",25
"'th',",24
"'wish',",24
"'cinema',",23
"'time',",22
"['good',",22
"'ott',",22
"'year',",20
"'karnan',",20
"'thriller',",20
"'mg',",19
"'sulthan',",19
"'tamil',",19
"'come',",19
"['iskarthi',",19
"'chennai',",18
"'song',",18
"'check',",18
"'grand',",18
"'play',",18
"'indian',",18
"'title',",18
"'march',",17
"'get',",17
"'video',",17
"'work',",16
"'shoot',",16
"'teaser',",16
"'fun',",16
"'be',",16
"'great',",16
"'star',",15
"'lot',",15
"'remake',",14
"'stream',",14
"'pic',",14
"'action',",14
"'week',",14
"'see',",14
"['ramvenkatsrikar',",14
"'start',",14
"'meet',",13
"['heres',",13
"'click',",13
"'director',",13
"'big',",13
"'telugu',",13
"'covid',",13
"['look',",13
"'trailer',",13
'bro'],13
"'love',",13
"'right',",12
"'direct',",12
"'need',",12
"'set',",12
"'fan',",12
"'actor',",12
"'event',",12
"'birthday',",12
"'begin',",12
"'take',",11
"'open',",11
"['ready',",11
"'announcement',",11
"'match',",11
"'have',",11
"['theindustryman',",11
"'haha',",11
"'lead',",11
"['nationalfilmaward',",11
"'interesting',",11
"'series',",11
"'say',",11
"'india',",11
"'music',",11
"'version',",11
"'drama',",11
"'let',",10
"'save',",10
"['day',",10
"'link',",10
"'show',",10
"'poster',",10
"'heres',",10
'th'],10
"'help',",10
"'netflixindia',",10
"['chiragbarjatyaa',",10
"'csk',",10
"'join',",10
"'win',",10
"'know',",10
"'home',",10
"'theatre',",10
"'update',",10
"'think',",10
"'sriramvenu',",9
"'talk',",9
"'vakeelsaab',",9
"'content',",9
"'way',",9
"'people',",9
"'absolutely',",9
"'single',",9
"'want',",9
"'life',",9
"'stay',",9
"'ft',",9
"'kaadan',",9
"'make',",9
"'sure',",9
'day'],9
'april'],9
"'tn',",9
"'list',",9
"'happy',",9
"'mandela',",9
"'care',",9
"'ipl',",9
"'malayalam',",8
"'hope',",8
"'feature',",8
"['soundarya',",8
"'date',",8
"'hindi',",8
'time'],8
"'premiere',",8
"'man',",8
"'cinemas',",8
"'karthioffl',",8
"'oh',",8
"'rangasthalam',",8
"'primevideoin',",8
"'crime',",8
"'forward',",8
"'character',",8
"'book',",8
