,lemmas
"'ai',",77
"'student',",76
"'work',",53
"'get',",49
"'mit',",45
"'like',",43
"'black',",36
"'thank',",32
"'talk',",31
"'medialab',",30
"'robot',",30
"'people',",30
"'good',",30
"'thing',",28
"'code',",28
"['blakeleyhpayne',",27
"'year',",27
"'go',",25
"'look',",25
"'school',",25
"'new',",24
"'help',",23
"'teach',",23
"['mitprg',",23
"'research',",22
"'know',",22
"'video',",22
"'kid',",21
"'think',",21
"'learn',",20
"'today',",20
"'great',",20
"['cpod',",20
"'class',",20
"'girl',",20
"'love',",19
"'to',",19
"'life',",19
"'want',",18
"'teacher',",18
"'community',",18
"'day',",18
"'phd',",18
"['itsafronomics',",18
"'time',",17
"'week',",17
"'woman',",17
"'algorithm',",17
"'read',",17
"'start',",16
"['middlefinger',",16
"'say',",16
"'share',",16
"'mitprg',",16
"'middle',",15
"'tell',",15
"'let',",15
"'paper',",15
"'come',",14
"'big',",14
"'umbc',",14
"'education',",14
[],14
"'friend',",14
"'project',",14
"'lot',",14
"['chelndor',",14
"'randic',",14
"'watch',",14
"'ask',",13
"'design',",13
"'dr',",13
"'child',",13
"'make',",13
"['rockscs',",13
"'need',",12
"'diversity',",12
"'problem',",12
"'meet',",12
"'world',",12
"['medialab',",12
"'way',",12
"'happy',",12
"'stem',",12
"'change',",12
"'check',",12
"'program',",12
"'fun',",11
"'system',",11
"'bias',",11
"'live',",11
"'conversation',",11
"'human',",11
"'happen',",11
"'find',",11
"'grad',",11
"'write',",10
"'graduate',",10
'th'],10
"'feature',",10
'work'],10
"'study',",10
"'tech',",10
"'college',",10
"'machine',",10
"'color',",10
"'focus',",10
"['umbc',",10
"'use',",10
"'cute',",10
"'issue',",10
"'randi',",10
"'awesome',",10
"'mean',",10
"'idea',",10
"'company',",9
"'model',",9
"'right',",9
"'support',",9
"'job',",9
"'join',",9
"'twitter',",9
"'not',",9
'student'],9
"'bad',",9
'like'],9
"'tweet',",9
"'williams',",9
"'chi',",9
"'book',",9
"'call',",9
"'build',",9
"'feel',",9
"'group',",9
"['code',",9
"'future',",9
"'danielladipaola',",9
"'computer',",9
"'cs',",9
"'present',",9
"['jacquelinekory',",9
"'team',",9
"'experience',",8
"'ready',",8
"'cool',",8
"'learning',",8
"'kind',",8
"'cynthiabreazeal',",8
"'super',",8
"'word',",8
"'hope',",8
"'ethic',",8
"'lol',",8
"'stop',",8
"'quote',",8
"'ml',",8
'talk'],8
"'wait',",8
"'dream',",8
"'history',",8
"['jgpantalones',",8
"'engineer',",8
'thank'],8
"'robotic',",8
"'favorite',",8
"'amazing',",8
"'long',",8
"'family',",8
"'engineering',",8
"'congratulation',",8
"'train',",8
"'jovialjoy',",8
"'picture',",8
"'play',",8
"'blakeleyhpayne',",7
"'yes',",7
"'fellow',",7
"'literacy',",7
"'piece',",7
"'sound',",7
"['jaleesat',",7
"'ed',",7
"'science',",7
"'tool',",7
"'field',",7
"'haha',",7
"['today',",7
"'stuff',",7
"['danielladipaola',",7
"'technology',",7
"'culture',",7
"'lab',",7
"['go',",7
"'medium',",7
"'topic',",7
"'racism',",7
"'young',",7
"'social',",7
"'month',",7
"'racist',",6
"'game',",6
"'article',",6
"['work',",6
"'datum',",6
"'aldinestem',",6
"'announce',",6
"'fellows',",6
"'post',",6
"'hi',",6
"'department',",6
"'academic',",6
"'public',",6
"'maybe',",6
"'develop',",6
"'fact',",6
"['know',",6
"'pop',",6
"'effort',",6
"'place',",6
"'improve',",6
"'police',",6
"'old',",6
"'robohaewon',",6
"'researcher',",6
"'point',",6
"'buy',",6
"'include',",6
'right'],6
"'away',",6
"'teaching',",6
"'sign',",6
"'question',",6
"'svicglass',",6
"['jm',",6
"'agree',",6
"'real',",6
"'release',",6
"'wear',",6
"'american',",6
"'early',",6
"'pretty',",6
"'try',",6
"'late',",6
"['shoutout',",6
