,lemmas
"['theprintindia',",271
"'revathi',",209
"'theprint',",171
"['shekhargupta',",156
"'krishnan',",120
"'covid',",103
"'say',",74
"'report',",71
"'delhi',",66
"'revathii',",63
"'india',",62
'revathii'],53
"'tamil',",52
"'bjp',",50
"'need',",41
'krishnan'],40
"'new',",40
"'year',",40
"'police',",39
"'nadu',",38
"'court',",38
"'not',",37
"'state',",37
"'modi',",35
"'case',",34
"'poll',",32
"'read',",32
"['revathii',",31
"'oxygen',",29
"'today',",29
"'get',",28
"'govt',",28
"'arrest',",27
"'hospital',",27
"'indian',",26
"'time',",26
"'protest',",26
"'day',",26
"'election',",25
"'pradesh',",25
"'people',",25
"'vaccine',",24
"'leader',",24
"'farmer',",24
"'woman',",23
"'chief',",23
"'go',",23
"'want',",23
"'minister',",23
"'news',",23
"'help',",22
"'law',",22
"'dmk',",22
"'tell',",22
"'pm',",22
"'love',",21
"'look',",21
"'mp',",21
"'tn',",21
"'journalist',",21
"['theprinthindi',",21
"'aiadmk',",20
"['ombhattacharya',",20
"'watch',",20
"['tdeoll',",20
'r'],20
"'bed',",20
"'ask',",19
"'cm',",19
"'set',",19
"'know',",19
'report'],18
"'mask',",18
"'party',",18
"'family',",18
"'story',",18
"'old',",18
"'explain',",17
"'good',",17
"'trump',",17
"'political',",17
"'break',",17
"'gandhi',",16
'revathi'],16
"'lead',",16
"['ndtv',",15
"'photo',",15
[],15
'krishn'],15
"'hathras',",15
"'long',",15
"'tilwiththeprint',",15
"'rally',",14
"'wordedit',",14
"'student',",14
"'covid-',",14
"'air',",14
"'campaign',",14
"'month',",14
'revat'],14
"'bail',",14
"'madhya',",14
"'find',",14
"'talk',",13
"'tweet',",13
"'man',",13
"'take',",13
"'accuse',",13
"'congress',",13
"'jihad',",13
"'way',",13
"'rahul',",13
"'hindu',",13
"'supreme',",12
"'make',",12
"'ground',",12
"'social',",12
"'singh',",12
"'stop',",12
"'member',",12
"'bring',",12
'revath'],12
"'leave',",12
'krish'],12
"'win',",12
"'patient',",12
"'khan',",12
"'free',",12
"'munawar',",12
"'editor',",12
"'union',",12
"'post',",12
"'show',",12
"'call',",12
"'book',",11
"['khanthefatima',",11
"'big',",11
"'indias',",11
"'south',",11
"'see',",11
"'fight',",11
"'sc',",11
"'like',",11
"'die',",11
"'college',",11
"'high',",11
"'activist',",11
"'city',",11
"'right',",11
'th'],11
"'hour',",11
"'manishamondal',",11
"'twitter',",11
"'kerala',",11
"'health',",11
"'charge',",11
"'lose',",11
"'uttar',",11
"'give',",11
"'tdeoll',",11
"'dr',",11
"'coimbatore',",11
"'speak',",10
"'jain',",10
"'come',",10
"'issue',",10
"'alliance',",10
"'justice',",10
"'group',",10
"'write',",10
'theprintindia'],10
"'open',",10
"'abvp',",10
"'number',",10
"'demand',",10
"'drive',",10
"'pandemic',",10
"'seek',",10
"'try',",10
"'allow',",10
'reva'],10
"'matter',",10
"'worker',",10
"'order',",10
"'faruqui',",10
"'rao',",10
"'stand',",10
"'wave',",10
"'turn',",10
"'father',",10
"'jail',",9
'repo'],9
"'world',",9
"'head',",9
"'away',",9
"'mk',",9
"'thank',",9
"['remyanair',",9
['theprinthindi'],9
"'collection',",9
"'second',",9
"'live',",9
"'yadav',",9
"'bad',",9
"'indians',",9
'h'],9
"'kumbh',",9
"'bihar',",9
"'history',",9
"'kamal',",9
"'play',",9
"'age',",9
"'file',",9
"'claim',",9
"'support',",9
"'national',",9
"'comedian',",9
"'border',",9
"'conversion',",9
"'body',",9
"'th',",9
"'hc',",9
"'team',",9
"'study',",9
"'start',",9
"'actor',",9
"'allege',",8
"'test',",8
"'voter',",8
"'night',",8
"'krishan',",8
"'pandey',",8
"'medical',",8
"'add',",8
"'rape',",8
"'vote',",8
"'religion',",8
"'fund',",8
"'great',",8
"'low',",8
"'indore',",8
"'urgently',",8
"'official',",8
"'taran',",8
'krishna'],8
"'force',",8
"'mother',",8
"['ramanewdelhi',",8
"'centre',",8
"'hope',",8
"'babri',",8
"'death',",8
"'fir',",8
"'join',",8
"'battle',",7
"'face',",7
"['aneeshabedi',",7
"'lay',",7
"'vaccination',",7
"'yogi',",7
"'hand',",7
"'candidate',",7
"'doctor',",7
"'raise',",7
"'player',",7
"'crore',",7
"'seat',",7
"'pls',",7
"'remark',",7
"'star',",7
"'happen',",7
"['rubberneckin',",7
"'mps',",7
"'grow',",7
"'challenge',",7
"'miss',",7
"'home',",7
"'song',",7
"'human',",7
"'assembly',",7
"'s',",7
"'daily',",7
"'unlawful',",7
"['dksingh',",7
"'run',",7
"'end',",7
"'loom',",7
"'government',",7
"'nadus',",7
"'cut',",7
"'think',",7
"'arnab',",7
"'pay',",7
"['ani',",7
"'sit',",7
"'plant',",7
"'medium',",7
"'remove',",7
"'check',",7
"'storm',",7
"'index',",7
"'video',",7
"'chennai',",7
"'deny',",7
"'line',",6
"'delhis',",6
"['bhardwajananya',",6
"'uk',",6
"'temple',",6
'thank'],6
"'entire',",6
"'fast',",6
"'likely',",6
"'tennis',",6
"'bareilly',",6
"'neelam',",6
"'tomorrow',",6
"'stalin',",6
"'rs',",6
"'point',",6
"'shah',",6
"'monday',",6
"'late',",6
"'wrong',",6
"'list',",6
"'village',",6
"['livelawindia',",6
"'link',",6
"'cloth',",6
"'continue',",6
"'let',",6
"'verify',",6
"'ram',",6
"'cover',",6
"'pass',",6
"'reporter',",6
"'change',",6
"'have',",6
"'young',",6
"['tamil',",6
"'st',",6
"'country',",6
"'probe',",6
"'china',",6
"['ahmedshabbir',",6
"'heres',",6
"'friend',",6
"'house',",6
'delhi'],6
"'rank',",6
"'hit',",6
"'bhopal',",6
"'president',",6
"'nia',",6
"'bjps',",6
"'action',",6
"'base',",6
"'international',",6
"'follow',",6
"'question',",6
"'cabinet',",6
"'urgent',",6
"'maheshwar',",6
"'road',",6
"'haryana',",6
"'wear',",6
"'celebrate',",6
"'coach',",6
"'thing',",6
"'sasikala',",6
"'plan',",6
"'pull',",6
"'life',",6
"'poet',",6
"'share',",6
"'complex',",6
"'cricket',",6
"'image',",6
"'assam',",6
"'soon',",6
"'ad',",6
