,lemmas
"'trump',",230
"'new',",142
"'say',",135
"'president',",118
"'biden',",111
"'capitol',",93
"'house',",77
"'tell',",71
"'senate',",66
"['mkraju',",63
"'vote',",60
"'not',",55
"'people',",51
"'year',",46
"'impeachment',",46
"'week',",44
"'police',",44
"['ap',",43
"'officer',",41
"'coronavirus',",40
"['axios',",39
"'white',",38
"'break',",38
"['maggienyt',",37
"'official',",37
"'news',",37
"'vaccine',",36
"'time',",35
"'trial',",33
"'today',",33
"['jonlemire',",32
"'gop',",32
"'covid',",31
"'day',",31
"'election',",31
"'republican',",30
"'call',",30
"'million',",30
"'covid-',",28
"'joe',",28
"'death',",27
"'know',",27
"'administration',",26
"'go',",26
"'team',",26
"'member',",26
"'mcconnell',",26
"'senator',",26
"['jakesherman',",25
"'ask',",23
"['yamiche',",23
"'come',",23
"'die',",23
"'record',",23
"'sen',",22
"'ap',",22
"'plan',",22
"'work',",22
"'congress',",22
"'want',",22
"'s',",22
"'state',",22
"'jan',",21
"['nytpolitics',",21
"'riot',",21
"'think',",21
"['kylegriffin',",21
"'pandemic',",21
"'washington',",21
"'source',",21
"'security',",20
"'like',",20
"'announce',",19
"'case',",19
"['judywoodruff',",19
"'get',",19
"'wednesday',",19
"['jenniferjjacobs',",19
"'talk',",19
"'republicans',",19
"'lose',",18
"'national',",18
"'party',",18
"'include',",18
"'th',",18
"'democrats',",18
"'take',",18
"'leader',",18
[],17
"'month',",17
"'rep',",17
"'wh',",17
"'rioter',",17
"'aide',",17
"'mob',",17
"'york',",16
"'good',",16
"'face',",16
"'try',",16
"'bill',",16
"'office',",16
"'history',",16
"'end',",16
"'bidens',",16
"'attack',",16
"'judywoodruff',",16
"'scoop',",16
"'close',",16
"'witness',",16
"['kyledcheney',",16
"'donald',",15
"'consider',",15
"'see',",15
"'elect',",15
"'woman',",14
"'leave',",14
"'home',",14
"'big',",14
"'united',",14
'today'],14
"'inside',",14
"'resign',",14
"'report',",14
"'virus',",14
"'relief',",14
"'americans',",13
"'hope',",13
"'way',",13
'th'],13
"'mccarthy',",13
"'need',",13
"['newshour',",13
"'long',",13
"'right',",13
"'tonight',",13
"'federal',",13
"'set',",13
"'lawyer',",13
"'speak',",13
"'start',",13
"['oliviabeaver',",13
"'deadly',",12
"'find',",12
"'american',",12
"'fbi',",12
"['jimsciutto',",12
"'committee',",12
"'old',",12
"'turn',",12
"'manager',",12
"'george',",12
"'look',",12
"['seungminkim',",12
"'law',",12
"'adviser',",12
"'begin',",12
"'run',",12
"'confirm',",12
"'ago',",12
"'hold',",12
"'serve',",12
"'step',",11
"'result',",11
"'away',",11
"'pres',",11
"'test',",11
"'schumer',",11
"'rise',",11
"'government',",11
"'goodman',",11
"'pennsylvania',",11
"'floor',",11
"'lead',",11
"'fall',",11
"'watch',",11
'b'],11
"'newshour',",11
"'country',",11
"'pass',",11
"'vice',",11
"'director',",11
"'bad',",11
"'lawmaker',",11
"'chris',",10
"'statement',",10
"'meet',",10
"['kaitlancollins',",10
"'court',",10
"'pa',",10
"'warn',",10
"'staff',",10
"'family',",10
"'give',",10
"'second',",10
"'hear',",10
"'hit',",10
"'hard',",10
"'little',",10
"'chamber',",10
"'chauvin',",10
"'rule',",10
"'believe',",10
"'impeach',",10
"'kevin',",10
"'dems',",10
"'taylor',",10
"'moment',",10
"'late',",10
"'action',",10
"'public',",10
"'help',",10
"'romney',",10
"'video',",10
"'defense',",10
"'ahead',",10
"'pm',",10
"'interview',",10
'say'],9
"'enforcement',",9
"'sit',",9
"'pelosi',",9
"'likely',",9
"'deal',",9
"'dc',",9
"'mr',",9
"'derek',",9
"'john',",9
"'expect',",9
"'black',",9
"'campaign',",9
'h'],9
"'read',",9
"'pentagon',",9
"'move',",9
"'marjorie',",9
"'world',",9
"'secretary',",9
"'man',",9
"'win',",9
"'act',",9
"'receive',",9
"'live',",9
"'fauci',",9
"'question',",9
"'support',",9
"'greene',",9
"'january',",9
"'legal',",9
"'post',",9
"'press',",9
"'happen',",9
"'effort',",9
"'story',",9
"'show',",9
"'transition',",9
"'play',",9
"'hour',",9
"'nearly',",9
"'meeting',",9
"'request',",8
"'update',",8
"'arrest',",8
"'expert',",8
"'harris',",8
"'thing',",8
"'number',",8
"'privately',",8
"'dose',",8
"'variant',",8
"'continue',",8
"'senior',",8
"'remain',",8
"'tomorrow',",8
"'investigation',",8
"'control',",8
"'gov',",8
"'justice',",8
"'states',",8
"'inauguration',",8
"'political',",8
"'attorney',",8
"'pence',",8
"'have',",8
"'open',",8
"'resolution',",8
"'threat',",8
"['thehill',",8
"'mark',",8
"'health',",8
"'prince',",8
"['mviser',",8
"'night',",8
"'process',",8
"'response',",8
"'department',",8
"'real',",8
"'cnn',",8
"'share',",8
"'force',",8
"'presidential',",8
"'return',",8
"'morning',",8
"'piece',",7
"'w/',",7
"'final',",7
"'murkowski',",7
"'group',",7
"'prepare',",7
'capitol'],7
"'evening',",7
"'remove',",7
"'decline',",7
"'sign',",7
"'convict',",7
"'follow',",7
"'cheney',",7
"['apentertainment',",7
"'focus',",7
'trump'],7
"'send',",7
"'deep',",7
"'incite',",7
"'lot',",7
"'early',",7
"'service',",7
"'past',",7
"'will',",7
"['nytimes',",7
"'package',",7
"'idea',",7
"'leadermcconnell',",7
"'offer',",7
"'despite',",7
"'pro',",7
"'push',",7
"'friday',",7
"'job',",7
"'life',",7
"['reuters',",7
'f'],7
"'-year',",7
"['mzanona',",7
"['wsj',",7
"'letter',",7
"'collins',",7
"'west',",7
"'spend',",7
"'color',",7
"'charge',",7
"'brief',",7
"'conference',",7
"'eugene',",7
"'ally',",7
"'suggest',",7
"'w',",7
"'china',",7
"'supreme',",7
"'reach',",7
"'dr',",7
"'fight',",7
"'person',",6
"['burgessev',",6
"'allow',",6
"'mean',",6
"'congressional',",6
"'near',",6
"'room',",6
"'chief',",6
"'colleague',",6
"['igorbobic',",6
"'failure',",6
"'discuss',",6
"'high',",6
"'cassidy',",6
"'key',",6
"['trump',",6
"'cdc',",6
"'trillion',",6
"'texas',",6
"'grow',",6
'covid'],6
"'join',",6
"'honor',",6
"['heatherscope',",6
"'st',",6
"'overturn',",6
"'r',",6
"['jmartnyt',",6
"'county',",6
"'guard',",6
"'note',",6
"['hillhulse',",6
"['anniekarni',",6
"'amendment',",6
"'civil',",6
"'nation',",6
"'agency',",6
"'dhs',",6
"'thune',",6
"'company',",6
"'nyt',",6
'tell'],6
"'analysis',",6
"['andrewdesiderio',",6
"'spread',",6
"'base',",6
"'large',",6
"'democrat',",6
"'clear',",6
"'general',",6
"['washingtonpost',",6
"'lie',",6
"'review',",6
"'appear',",6
"'eye',",6
"'briefing',",6
"'speed',",6
"'event',",6
"'social',",6
"'change',",6
"'corporate',",6
"'different',",6
"'defend',",6
"'johnson',",6
"'role',",6
"'strip',",6
"'giuliani',",6
'ha'],6
"'kill',",6
"'outside',",6
"'saturday',",6
"'seat',",6
'p'],6
"'bipartisan',",6
"'power',",6
"'friend',",5
"'dog',",5
"'minute',",5
"'economy',",5
"'current',",5
"'young',",5
"'kushner',",5
"'crisis',",5
"'head',",5
"'castor',",5
"'sound',",5
"'summer',",5
"'page',",5
"'identify',",5
"'investigator',",5
"'stop',",5
"['nytnational',",5
"['redistrict',",5
"'beat',",5
"'violent',",5
"'visit',",5
"'tanden',",5
"'bring',",5
"'donation',",5
"'voter',",5
"'half',",5
"'let',",5
"'stand',",5
"'cabinet',",5
"'count',",5
"['sarahnferris',",5
'jan'],5
"'ron',",5
"'powell',",5
"'breaking',",5
"'multiple',",5
"['rebeccaballhaus',",5
"'fact',",5
"'psaki',",5
"'budget',",5
"'wait',",5
"'add',",5
"'feel',",5
"'approve',",5
"'cause',",5
"'figure',",5
"'probe',",5
'post'],5
"'flag',",5
"'footage',",5
"'joanne',",5
"'amid',",5
"'positive',",5
"'obama',",5
'think'],5
"'struggle',",5
"'fear',",5
"'democratic',",5
"'accord',",5
"'conviction',",5
"'city',",5
"'fox',",5
'l'],5
"'experience',",5
"'punchbowlnews',",5
"'agent',",5
"'love',",5
"'storm',",5
"'brian',",5
"'commit',",5
"'door',",5
"'invite',",5
"'release',",5
"'major',",5
"'stay',",5
"'assault',",5
"'small',",5
"'murder',",5
"'responsibility',",5
"'building',",5
"'block',",5
'https'],5
'w'],5
"['nytpolitic',",5
"'yesterday',",5
"'editorial',",5
"'save',",5
"'authorize',",5
'c'],5
"'article',",5
"'agree',",5
"'pay',",5
"'gsa',",5
"'emerge',",5
"'america',",5
'go'],5
"'governor',",5
"'stimulus',",5
"'chair',",5
'week'],5
"'business',",5
"'be',",5
"'rare',",5
"'game',",5
"'deliver',",5
"'later',",5
"'majority',",5
"'murray',",5
"'entire',",5
"'reject',",5
"'study',",4
"'nice',",4
"'mittromney',",4
"['nbcnews',",4
"'adult',",4
'trial'],4
"'point',",4
"'file',",4
"'suspend',",4
"'board',",4
"'aoc',",4
"'separate',",4
"'worker',",4
"'quickly',",4
"'uk',",4
"'rage',",4
"'suspect',",4
"['pattymurray',",4
"'floyd',",4
"'dismiss',",4
'election'],4
"['be',",4
"'local',",4
"'south',",4
'come'],4
"'virginia',",4
"'tuesday',",4
"'royal',",4
"'racism',",4
"'carry',",4
"'insurrection',",4
['nytimes'],4
"'troop',",4
"'pardon',",4
"'relate',",4
"['npfandos',",4
"'deputy',",4
"'sentence',",4
"'k',",4
"'document',",4
"['philiprucker',",4
"'doj',",4
"'stick',",4
"['hotlinejosh',",4
"'protection',",4
"'ag',",4
"'georgia',",4
"'minneapolis',",4
"'neera',",4
"'steal',",4
"'members',",4
"'worry',",4
"'manchin',",4
"'extend',",4
"'reaction',",4
"'dead',",4
"'remarkable',",4
"'wow',",4
"'pause',",4
"'agreement',",4
"'cover',",4
"'image',",4
"'century',",4
"'evidence',",4
"'nee',",4
"['adamgoldmannyt',",4
"'surpass',",4
"'word',",4
"'foot',",4
"'testify',",4
"'twitter',",4
"['wsjpolitics',",4
"'require',",4
"'steve',",4
"'remark',",4
"['apeurope',",4
"'tweet',",4
"'represent',",4
"'injury',",4
"'reminder',",4
"'free',",4
"'average',",4
"'policy',",4
"'billion',",4
"'true',",4
"'tom',",4
"'garland',",4
"'accept',",4
"'gaetz',",4
"'bear',",4
"'direct',",4
"'cite',",4
"'short',",4
"'medium',",4
"['jeffzeleny',",4
"'oh',",4
"'wake',",4
"'determine',",4
"'cross',",4
"['usatoday',",4
"'pull',",4
'times'],4
"'pbs',",4
"'candidate',",4
"'couple',",4
"'parliamentarian',",4
"'silence',",4
"'breach',",4
"'uscp',",4
"'yamiche',",4
"'order',",4
"'pfizer',",4
"'reporter',",4
"'speech',",4
"'mike',",4
"'address',",4
"'austin',",4
'lo'],4
"'conservative',",4
"'sunday',",4
"'coons',",4
"['natashabertrand',",4
"'decision',",4
"'pat',",4
"['beschlossdc',",4
"'immunity',",4
'resign'],4
"'write',",4
"['joshwingrove',",4
"'tax',",4
"'military',",4
'away'],4
"'nbc',",4
"'seek',",4
"['geoffrbennett',",4
"'increase',",4
"'insurrectionist',",4
"'prompt',",4
"'intelligence',",4
"'patty',",4
"'fast',",4
"'minimum',",4
"'nursing',",4
"'great',",4
"'flu',",4
"'situation',",4
"'maryland',",4
"'journal',",4
"'dozen',",4
"'enter',",4
'se'],4
"'make',",4
"'thursday',",4
"'fl',",4
"'far',",4
"'draft',",4
"'course',",4
"['nytmike',",4
"'child',",4
'biden'],4
"'halt',",4
"'object',",4
"'chance',",4
"'remember',",4
"'fred',",4
"'hoyer',",4
"'ga',",4
"'detail',",4
"['costareport',",4
"'hawley',",4
"'bell',",4
'vote'],4
"['apalmerdc',",4
"'straight',",4
"'check',",4
"['sarajust',",4
"['juddlegum',",4
"'race',",4
"'rogers',",4
"'protester',",4
"['katebennettdc',",4
"'aid',",4
"'gold',",4
"'hide',",4
"'christie',",4
'home'],4
"'josh',",4
"'rate',",4
"'mcconnells',",4
"'claim',",4
"'oppose',",4
"'violence',",4
"'bid',",4
"'allege',",4
"'longer',",3
"'heavily',",3
"['ashleyrparker',",3
"""o'brien"",",3
"'king',",3
"'leadership',",3
"'indicate',",3
"'acquit',",3
"'planning',",3
"'politico',",3
"'vp',",3
"'rs',",3
"'robert',",3
"['blakehounshell',",3
"'camera',",3
"['scottwongdc',",3
"'rudy',",3
"'best',",3
"['brianstelter',",3
"'launch',",3
"'acting',",3
"['rexchapman',",3
"'voice',",3
"'literally',",3
"'financial',",3
"'desk',",3
"'tippit',",3
"'april',",3
"'contestant',",3
"'david',",3
"'seriously',",3
"'avoid',",3
"['latimes',",3
"'pac',",3
"'able',",3
'question'],3
"'shake',",3
"'kelly',",3
"'perdue',",3
"'afternoon',",3
"'increasingly',",3
"'raffensperger',",3
"'poverty',",3
"'jen',",3
"'allegation',",3
"'wuhan',",3
"'korea',",3
"'follower',",3
"'estimate',",3
"'cancel',",3
"'vaccinate',",3
"'prosecutor',",3
"'nominee',",3
"'series',",3
"'audience',",3
'life'],3
'riot'],3
"'cold',",3
'http'],3
"'operation',",3
"'wing',",3
"'kamala',",3
"'blame',",3
"'cuomo',",3
"'census',",3
"'treasury',",3
"'authority',",3
"'land',",3
"'active',",3
"'counsel',",3
"'potential',",3
"'use',",3
"'brilliant',",3
"'shooting',",3
"'stun',",3
"'rip',",3
"'sicknick',",3
"'presssec',",3
"['danabashcnn',",3
"'respect',",3
"'shoot',",3
"'scene',",3
"'directly',",3
"'britney',",3
"'correct',",3
"'saudi',",3
"'toll',",3
"'favor',",3
"['surgeongeneral',",3
'capito'],3
"'age',",3
"'lawsuit',",3
"'shut',",3
"'debate',",3
"'attend',",3
"'surveillance',",3
"'link',",3
"'guy',",3
"'walk',",3
"'private',",3
"'maggienyt',",3
"'feature',",3
"'pompeo',",3
"'quarantine',",3
"'censure',",3
'know'],3
"['jpacedc',",3
'n'],3
"'oust',",3
"'sasse',",3
"'surge',",3
"'dive',",3
"'warning',",3
"'verdict',",3
"'sanders',",3
"'whip',",3
"'la',",3
"'mitt',",3
"'husband',",3
"'cia',",3
"'popular',",3
'house'],3
'begin'],3
"'steelers',",3
"'task',",3
"'infection',",3
'time'],3
"'choice',",3
"'confusion',",3
"'burn',",3
"'economic',",3
"'monday',",3
'office'],3
"'future',",3
"'build',",3
"'art',",3
"'period',",3
"'association',",3
"'diplomat',",3
"'potus',",3
"'birx',",3
"'care',",3
"'admin',",3
"'organizing',",3
"'antifa',",3
"'rhetoric',",3
"'lockdown',",3
"'tap',",3
"'domestic',",3
"'gun',",3
"['cnnpolitics',",3
"'abc',",3
"'fed',",3
"'ohio',",3
"'gain',",3
'day'],3
"'wall',",3
"'publicly',",3
'like'],3
"'table',",3
'wer'],3
"'raskin',",3
"'powerful',",3
"'van',",3
"'matter',",3
"['alexthomp',",3
"'well',",3
"'et',",3
"['byheatherlong',",3
"'emergency',",3
"'sell',",3
"'matt',",3
"'resignation',",3
"'catch',",3
'news'],3
"'lady',",3
'states'],3
"'warp',",3
"'fraud',",3
"'formally',",3
"'der',",3
"'answer',",3
'inauguration'],3
"'patient',",3
'g'],3
"'veen',",3
"'drive',",3
"'attention',",3
"'jeopardy',",3
"'fire',",3
"'era',",3
"'iamamnanawaz',",3
"'barr',",3
"'handle',",3
"'floyds',",3
"'learn',",3
"'loeffler',",3
"['kristinwilson',",3
"'attempt',",3
"['zekejmiller',",3
"'crown',",3
'senate'],3
"['msnbc',",3
"['apodditie',",3
'president'],3
"'truth',",3
"'flight',",3
"'meadows',",3
"'wage',",3
"'keep',",3
'republican'],3
"'apologize',",3
"'war',",3
"'urge',",3
"'barackobama',",3
"'b',",3
"'argument',",3
"'dress',",3
"'star',",3
"'decade',",3
"'acquittal',",3
"'slow',",3
"'suicide',",3
"'widow',",3
"['etuckerap',",3
"'propose',",3
"'finally',",3
"'personally',",3
"['instyle',",3
"'forward',",3
"'circulate',",3
"'bush',",3
"'recent',",3
"'joebiden',",3
"'nygovcuomo',",3
"'possibility',",3
"'thank',",3
"'create',",3
"'comment',",3
'u'],3
"'steny',",3
"'daily',",3
"'demand',",3
"'ktbenner',",3
"'embrace',",3
"'secret',",3
"'stunning',",3
"'delay',",3
"'scientist',",3
"'tip',",3
"'version',",3
'sta'],3
"'liz',",3
"'declare',",3
"'pace',",3
"'ex',",3
"'arm',",3
"'joke',",3
"'miller',",3
"'nomination',",3
"'lee',",3
