,lemmas
"'senate',",206
"'gop',",121
"'trump',",109
"'nrsc',",108
"'scott',",106
"'rick',",94
"'senator',",94
"'chair',",85
"'vote',",83
"'republican',",79
"'republicans',",78
"'johnson',",77
"'georgia',",71
"'dscc',",69
"'new',",67
"'ron',",61
"'relief',",61
"'mcconnell',",59
"'sen',",57
"'election',",53
"'say',",53
"'campaign',",50
"'democrats',",49
"'work',",49
"'plan',",48
"'ossoff',",44
"'american',",42
"'majority',",40
"'not',",40
"'support',",39
"'democratic',",38
"'voter',",38
"'today',",37
"['laurenvpass',",37
"'rescue',",37
"['dscc',",36
"'help',",36
"'day',",36
"'capitol',",36
"'covid',",35
"'candidate',",34
"'year',",34
"'go',",33
"'president',",33
"'people',",32
"'big',",31
"'time',",31
"['maxasteele',",30
"'run',",30
"'party',",30
"'want',",30
"'warnock',",30
"'win',",29
"'good',",29
"'bill',",29
"'get',",29
"'lead',",29
"'state',",29
"'start',",27
"'leader',",26
"'attack',",25
"'war',",25
"'primary',",25
"'political',",24
"['bluestein',",24
"'reverendwarnock',",24
"'week',",23
"'pass',",23
"'mitch',",23
"'need',",23
"'break',",22
"'r',",22
"'thank',",22
"'americans',",22
"'s',",21
"'take',",21
"'biden',",21
"'civil',",21
"'elect',",21
"'garypeters',",21
"'call',",20
"'try',",20
"'way',",20
"'cycle',",19
"'victory',",19
"'lose',",19
"'rubio',",19
"['justinbarasky',",19
"'check',",19
"'race',",19
"'scottforflorida',",19
"'like',",19
"'peters',",19
"'hold',",19
"'job',",18
"'office',",18
"'perdue',",18
"'news',",18
"'be',",17
"'runoff',",17
"'million',",17
"'look',",17
"'know',",17
"'seat',",17
"'poll',",17
"'give',",17
"'package',",17
"'ad',",17
"'deliver',",17
"'tell',",17
"'country',",16
"'covid-',",16
"'retirement',",16
"'pa',",16
"'jon',",16
"'stimulus',",15
"'senronjohnson',",15
"'committee',",15
"'great',",15
"'join',",15
"'stand',",15
"'schumer',",15
"'marco',",15
"'come',",15
"'oppose',",15
"'continue',",15
"'right',",15
"'morning',",15
"'conspiracy',",15
"'mccrory',",14
"['republicans',",14
"'spend',",14
"'question',",14
"'life',",14
"'mandel',",14
"'think',",14
"'face',",14
"'love',",14
'th'],14
"'expand',",14
"['reverendwarnock',",14
"'gary',",14
"'see',",14
"'dems',",14
'trump'],13
"'raise',",13
"'read',",13
"'public',",13
"'speak',",13
"'hope',",13
"'josh',",13
"'house',",13
"['thehill',",13
'wisen'],13
"'make',",13
'vote'],13
"'lie',",13
"'black',",13
"'loeffler',",13
"'vaccine',",13
"'ago',",13
"'announce',",13
"'late',",13
"'violent',",13
"['davidabergstein',",13
"'flip',",13
"['amckaydean',",12
"'d',",12
"'hard',",12
"'team',",12
"'effort',",12
"'turn',",12
"'head',",12
"'keep',",12
"'result',",12
"'tax',",12
"'bring',",12
"['senatorwarnock',",12
"'insurrection',",12
"'family',",12
"'masto',",12
"'friend',",12
"'cortez',",11
"'january',",11
"'decide',",11
"'fundraising',",11
"'arm',",11
"'leadership',",11
"'push',",11
"'proud',",11
"'florida',",11
"'fight',",11
"'th',",11
"'early',",11
"'money',",11
"'claim',",11
"'defend',",11
"'find',",11
"'ga',",11
"'pat',",11
"'senatorwarnock',",11
"'post',",10
"'jan',",10
"'have',",10
"'talk',",10
"'ask',",10
"'statement',",10
"['republican',",10
"'riot',",10
"'law',",10
"'pandemic',",10
"'bipartisan',",10
"'coronavirus',",10
"'object',",10
"'kelly',",10
"'child',",10
"'history',",10
"'wisconsin',",10
"'nevada',",10
"'watch',",10
"'record',",10
"'challenge',",10
"'problem',",10
"'editorial',",10
"['nrsc',",10
"'overturn',",10
"'key',",10
"'blunt',",10
"'trillion',",9
"['potus',",9
"'message',",9
"'bidens',",9
"'historic',",9
"'ohio',",9
"['kafrauenfelder',",9
'senate'],9
"'play',",9
"'video',",9
"'control',",9
"['senate',",9
"'protect',",9
"'mob',",9
'c'],9
"'month',",9
"'ohsen',",9
"['senmarkkelly',",9
"'official',",9
"'aid',",9
"'rs',",9
"'ncsen',",9
"'show',",9
'h'],9
"'catherinefornv',",9
'w'],9
"'raphael',",9
"'voting',",9
"'donald',",9
"'truly',",9
"'press',",8
"'nc',",8
"'answer',",8
"'let',",8
"'include',",8
"'cancel',",8
"'embrace',",8
"'tonight',",8
"'michigan',",8
"'police',",8
'ohsen'],8
"['senschumer',",8
"'strategist',",8
"'hour',",8
"'far',",8
"'dem',",8
"'lot',",8
"'supporter',",8
"'line',",8
"'member',",8
'work'],8
'nrsc'],8
"'ap',",8
"'sencortezmasto',",8
"'open',",8
"'clear',",8
"'focus',",8
"'democrat',",8
"'mark',",8
"['sahilkapur',",8
"'incumbent',",8
"'decision',",8
"'wonder',",8
"'federal',",8
"'february',",8
"'release',",8
"'arizona',",8
"'sign',",8
"'fail',",8
"['jessefferguson',",8
"'issue',",8
'gapol'],8
"'ready',",8
"'action',",7
"'name',",7
"'view',",7
"'cost',",7
"'governor',",7
"'reelection',",7
"'colleague',",7
"'deal',",7
"['ap',",7
"'reporter',",7
"['helenkalla',",7
"'wait',",7
"'number',",7
"'politician',",7
"'interview',",7
"'explain',",7
"'christie',",7
"['gop',",7
"'executive',",7
"'fair',",7
"'politico',",7
"'tough',",7
"'direct',",7
"['sheanechele',",7
"'choose',",7
"'approval',",7
"'tout',",7
"'economy',",7
"['washingtonpost',",7
"'america',",7
"'gov',",7
"'health',",7
"'honor',",7
'plan'],7
"'ensure',",7
"['kylegriffin',",7
"'leave',",7
"'scotts',",7
"'chuck',",7
"'battleground',",7
"'middle',",7
"'marcorubio',",7
"'impeachment',",7
'help'],7
"'highlight',",7
"'nee',",7
"'block',",7
"['zachhudson',",7
"'credit',",7
"'save',",7
"'point',",7
'mcconnell'],7
"'loser',",7
"'fund',",7
'party'],7
'r'],7
"'senmarkkelly',",7
"'moment',",7
"'congress',",7
"'joshmandelohio',",7
"['politico',",7
"'stay',",7
"'local',",7
"'swear',",7
"'eye',",7
"'target',",7
"'school',",7
"'digital',",7
"'count',",7
"['ajc',",7
"'introduce',",6
'georgia'],6
"'prepare',",6
"'washington',",6
"'fraud',",6
"'david',",6
"'fact',",6
"'force',",6
"'congratulation',",6
"'huge',",6
"'slam',",6
"'past',",6
"'opposition',",6
"'nh',",6
"'north',",6
"['rick',",6
'election'],6
"'vaccinate',",6
"'share',",6
"'power',",6
"'concern',",6
"'set',",6
"'laurenvpass',",6
"'argue',",6
"'nearly',",6
"'live',",6
"'happen',",6
"'tweet',",6
"'bad',",6
"'roberts',",6
"'incite',",6
"['zacharycohen',",6
"['maggienyt',",6
"'add',",6
"'begin',",6
"'roy',",6
"'role',",6
"'national',",6
"'send',",6
"['ralstonreport',",6
"'w/',",6
"'close',",6
"['robillard',",6
"'exactly',",6
'p'],6
"['joshuakarp',",6
"'serve',",6
"'radio',",6
"['steventdennis',",6
"'pay',",6
"'ronjohnsonwi',",6
"'united',",6
"'accountable',",6
'scott'],6
"'board',",6
"'theory',",6
"'place',",6
'year'],6
"'director',",6
"['jamesarkin',",6
'gasen'],6
"['rosenfornevada',",6
"'reminder',",6
"'maggiehassan',",6
"['meredith',",6
"'rep',",6
"'blast',",6
"'unemployment',",6
"['ron',",6
'today'],6
"'maga',",6
"'beat',",6
"'feel',",6
"'trial',",6
"'armed',",6
'chair'],6
"'business',",6
"'throw',",6
"'gasen',",6
'relief'],6
"'senrickscott',",6
"['new',",6
"'john',",5
"'hit',",5
"'account',",5
"'bid',",5
"'cut',",5
"'position',",5
"'retire',",5
'gop'],5
"'will',",5
"'excited',",5
"'silent',",5
"'thing',",5
"'tirelessly',",5
"'az',",5
"'yesterday',",5
"'allow',",5
"'hear',",5
"'create',",5
[],5
'fo'],5
"'to',",5
"'chairman',",5
'https'],5
"'admit',",5
"'remember',",5
"'presidential',",5
"'group',",5
"'battle',",5
'bill'],5
"'k',",5
"'white',",5
"'censure',",5
"['ammarmufasa',",5
"'goal',",5
"'headache',",5
"'grow',",5
"'dangerous',",5
"'johnsons',",5
"'operative',",5
"'billion',",5
"'argument',",5
"'messy',",5
"'launch',",5
"'response',",5
"'falsely',",5
"'guilty',",5
"'justice',",5
"'amid',",5
"'represent',",5
"'budd',",5
"'confirm',",5
"'economic',",5
"'believe',",5
"'follow',",5
"'well',",5
"'emergency',",5
"'build',",5
"'pasen',",5
"'ban',",5
"['rachelgirwin',",5
"['andrewsolender',",5
"'emerge',",5
"'jessica',",5
"'act',",5
"'minute',",5
"'gain',",5
"'q',",5
"['rollcall',",5
"'return',",5
'e'],5
"['catherinefornv',",5
"['benwikler',",5
"'stewboss',",5
"'lawmaker',",5
'yo'],5
"'long',",5
"'small',",5
"'november',",5
"'desantis',",5
"'kill',",5
"'congrats',",5
"'midterm',",5
"'major',",5
"'deserve',",5
'b'],5
"['joebiden',",5
"'enter',",5
"'deadly',",5
"'insurance',",5
"'actually',",5
"'attempt',",5
"'feb',",5
"'fake',",5
"'report',",5
"'w',",5
"'replace',",5
"'self',",5
"'corporation',",5
"'speech',",5
"'expect',",5
"['marceelias',",5
"'despite',",5
"'defeat',",5
"'learn',",4
"['jameshohmann',",4
"'real',",4
'news'],4
