,lemmas
"'sudhirsrinivasn',",177
"'film',",130
"'thank',",107
"['xpresscinema',",84
"'like',",80
"'review',",74
"'interview',",61
"'watch',",54
"'xpresscinema',",44
"'good',",41
"'conversation',",39
"'love',",38
"'think',",33
"'great',",31
"'feel',",30
"'time',",30
"'haha',",29
"'look',",29
"'write',",27
"'menongautham',",25
"'way',",25
"'sudhir',",24
"'movie',",24
"'get',",24
"'not',",24
"'cinema',",23
"'speak',",21
"'enjoy',",21
"'psmithran',",21
"'know',",19
"'ashwinsaravana',",19
'film'],19
"'karnan',",19
"'say',",19
"'mean',",19
"'woman',",19
"'go',",19
"'read',",18
"'video',",18
"'dirlokesh',",18
"'director',",18
"'sure',",17
"'late',",17
"'master',",17
"'come',",17
"'play',",17
"'guy',",17
"'take',",16
"'discuss',",16
"'talk',",16
"'aravindsa',",16
"'year',",16
"'see',",16
"'long',",16
"'let',",15
"'make',",15
"'people',",15
'sudhirsrinivasn'],15
'thank'],15
"'story',",15
"'hour',",14
"'ask',",14
"'scene',",14
"'man',",14
"'lot',",14
"'work',",14
"'give',",14
"'hope',",13
"'actor',",13
"'question',",13
"'share',",13
'like'],13
"'world',",13
"'remember',",13
"'sir',",13
"'today',",12
"'try',",12
"'life',",12
"'well',",12
"'thing',",12
[],12
"'find',",11
"'suriyaoffl',",11
"['rmurali',",11
"'moment',",11
"'catch',",11
"'yes',",11
"'new',",11
"['rahulr',",11
"'hi',",11
"'day',",11
"['raunaqmangottil',",10
"'right',",10
"'author',",10
"'bit',",10
"'latereview',",10
"'dhaan',",10
"'exactly',",10
"['film',",10
"'star',",10
"'discussion',",10
"'chinmayi',",10
"'wonderful',",10
"'music',",9
"'understand',",9
"'filmmaker',",9
"'premise',",9
"'forward',",9
"'la',",9
"'chat',",9
"'character',",9
"'interesting',",9
"'glad',",9
"'netflixindia',",9
"'pretty',",9
"'end',",9
"'humour',",9
"['think',",9
"'s',",9
'th'],9
'sure'],9
"'support',",9
"'idea',",9
"'word',",9
"'big',",8
"'case',",8
'interview'],8
"'check',",8
"'experience',",8
"'start',",8
"'favourite',",8
"'tell',",8
"'include',",8
"'nice',",8
"'lovely',",8
"'especially',",8
"'thought',",8
"'space',",8
"'immancomposer',",8
'c'],8
"'release',",8
"'follow',",8
"'fantastic',",8
"'bring',",8
"'point',",7
"'begin',",7
"'wish',",7
"'award',",7
"'welcome',",7
"['thank',",7
"['ashwinsaravana',",7
"['ranjim',",7
"'family',",7
"'line',",7
"'content',",7
"'mind',",7
"'appreciate',",7
"'move',",7
"'manage',",7
'watch'],7
"'miss',",7
"'journalist',",7
"['deepika',",7
"'special',",7
"'beautiful',",7
"'song',",7
"'segment',",7
"'totally',",7
"'vijay',",7
"'shoot',",7
"'fan',",7
"'second',",7
"['pavithra',",7
"'baradwajrangan',",7
"['gradwolf',",7
"['see',",7
"['nsujatha',",7
"'paavakadhaigal',",7
"'beautifully',",6
"'oscars',",6
'review'],6
"'run',",6
'read'],6
"'mariselvaraj',",6
'go'],6
'forward'],6
"'important',",6
"['mohdsha',",6
"'lokesh',",6
"'high',",6
"'nu',",6
"'nenjammarappathillai',",6
"'yeah',",6
"'sudhakongara',",6
'yes'],6
"'want',",6
"'note',",6
"'person',",6
"'express',",6
"'book',",6
"'comedy',",6
"'performance',",6
"'happy',",6
"'sooraraipottru',",6
"'win',",6
"'youtube',",6
"['vinodhj',",6
"['njankiran',",6
"['newindianxpress',",6
"'bad',",6
"'ranjim',",6
"'tenet',",6
"'kind',",6
"['karthickkrishna',",6
"'design',",6
"'away',",6
"'indha',",6
"'minnale',",6
"'tomorrow',",6
"'phone',",6
"'gvm',",6
"'deserve',",6
"['justananth',",6
"'fun',",6
"'probably',",6
"'critic',",6
"'funny',",5
"'quality',",5
"'tweet',",5
"'clear',",5
"'stop',",5
'h'],5
"'team',",5
"'meet',",5
"'stand',",5
"'usual',",5
"'be',",5
"'couple',",5
"'heart',",5
"'villain',",5
"'choice',",5
'feel'],5
"'open',",5
"'detail',",5
"'generic',",5
'da'],5
"['catch',",5
"'need',",5
"'portion',",5
"'unique',",5
"['oh',",5
"'episode',",5
"'detailed',",5
"['enjoy',",5
"['sriramv',",5
"'aashameera',",5
"'chennai',",5
"['anujamouli',",5
"'situation',",5
"'wait',",5
"'turn',",5
"'innum',",5
"'laugh',",5
"'observation',",5
'song'],5
"'dance',",5
"'vigneshshivn',",5
"'set',",5
"['ram',",5
"'communicate',",5
"'joke',",5
"'better',",5
"'example',",5
"'track',",5
"'age',",5
"'finally',",5
"'hear',",5
"['jineshmurali',",5
"'newindianxpress',",5
"'wonder',",5
"'english',",5
"['neonity',",5
"'show',",5
"['pakkudu',",5
"'short',",5
"'batman',",5
"'serve',",5
"['yaminispeaks',",5
"['chinmayi',",5
"'passion',",5
"'simply',",5
"'reviewer',",5
"'wrong',",5
"'netflix',",5
"'thread',",5
"'answer',",5
"'brother',",5
"'expect',",5
"'amazing',",5
"'grow',",5
"['haha',",5
"'theme',",4
"'male',",4
"'aspect',",4
"'clearly',",4
"'sensible',",4
"'ku',",4
"'debutant',",4
"'lack',",4
'write'],4
"'madhri',",4
"'nostalgia',",4
"['vasumathi',",4
"'night',",4
"'lead',",4
"'interstellar',",4
"'sulthan',",4
"'art',",4
'time'],4
"'selvaraghavan',",4
"'ur',",4
"'help',",4
"'perfect',",4
"'kongara',",4
"'human',",4
"'real',",4
"'insight',",4
"'excellent',",4
"'draw',",4
"'title',",4
"['rajivrajaram',",4
"'indian',",4
"'amalaam',",4
"'laam',",4
"['hello',",4
"'description',",4
"'kirubha',",4
"['good',",4
"['love',",4
"['aravindsa',",4
"'keep',",4
'work'],4
"'adult',",4
"['madhusudhan',",4
"'kaakha',",4
"'care',",4
"'deep',",4
"['neelu',",4
"'self',",4
"'wow',",4
'lot'],4
"'realise',",4
"'friend',",4
'mo'],4
'movie'],4
"'horror',",4
'right'],4
"'sound',",4
"['nelsonvenkat',",4
"['vignesh',",4
"'girl',",4
"['sujanisanjeevi',",4
"'analysis',",4
"'thoroughly',",4
"'touch',",4
"'nalan',",4
"'disneyplushs',",4
'e'],4
"'credit',",4
"'fine',",4
"'true',",4
"'orupakkakathai',",4
"'hey',",4
"'call',",4
"'soul',",4
"'change',",4
"'sudha',",4
"'power',",4
"['dirbarath',",4
"'feature',",4
"'elaam',",4
'f'],4
'brother'],4
"'stuff',",4
"'ashwin',",4
"'place',",4
"['latereview',",4
"'oru',",4
"'ready',",4
"'protagonist',",4
"'average',",4
"'consume',",4
"'actormadhavan',",4
"'minute',",4
"'action',",4
"'week',",4
"'classicswithss',",4
"'idho',",4
"['subiksharaman',",4
"'head',",4
"'road',",4
"'addham',",4
"'sense',",4
"'genre',",4
"'low',",4
"'reason',",4
"'anthology',",4
"'selvaraj',",4
"'script',",4
"'small',",4
"'thehatmantweets',",4
"'happen',",4
"'insightful',",4
"'shape',",4
'character'],4
"'naan',",4
'try'],4
"'theatre',",4
"'complete',",4
"'ahavideoin',",4
'mind'],4
"['netizen',",4
"'dull',",4
"'course',",4
"'mass',",4
'good'],4
"'thanks',",4
"['vbhappy',",4
"['give',",4
"'vera',",4
'xpresscinema'],4
"'quote',",4
"'police',",4
"'particularly',",4
"'news',",4
"'tamil',",4
"'piece',",4
"'list',",4
"'intriguing',",4
"'post',",4
"'alert',",4
"'commentary',",4
"'iamrashmika',",3
"'version',",3
"'government',",3
"'vetrimaaran',",3
"['excerpt',",3
"'importantly',",3
"'typically',",3
'support'],3
"'neenga',",3
"'one',",3
"'masterfilm',",3
"'na',",3
"'await',",3
"'break',",3
"'add',",3
'p'],3
