,lemmas
"'film',",350
"'star',",274
"'release',",226
"'new',",130
"'telugu',",124
"'team',",107
"'poster',",98
"'director',",89
"'date',",84
"'unveil',",76
"'shoot',",71
"'look',",70
"'produce',",68
"'direct',",66
"'today',",64
"'trailer',",63
"'kumar',",60
"'hindi',",59
"'title',",57
"'join',",55
"'tamil',",54
"'announce',",50
"['official',",49
"'producer',",45
"'start',",44
"'premiere',",43
"'teaser',",43
"'begin',",41
"['announcement',",39
"'birthday',",36
"'day',",36
"'nov',",35
"'cinema',",34
"'tomorrow',",34
"'india',",33
"['cinemas',",32
"['update',",31
"'movie',",30
"'launch',",29
"'costar',",28
"'glimpse',",28
'release'],28
"'complete',",28
'film'],28
"'announcement',",28
"['biggg',",28
"'cr',",27
"'akshaykumar',",27
"'schedule',",26
"'thriller',",26
"'hand',",26
"'screen',",25
"'news',",25
"'music',",25
"'production',",25
"'collaborate',",25
"'arrive',",24
"['trailer',",24
"['new',",24
"'finalize',",24
"'kapoor',",24
"'commence',",24
'star'],23
"'cast',",23
"'prabhas',",22
"'drop',",21
"['release',",21
"'picture',",20
"'big',",20
"'bhushan',",20
"'bengali',",20
"'total',",20
"'debut',",19
"'official',",19
"['look',",19
"'march',",19
"'cinemas',",19
"'horror',",18
"'th',",18
"'rrr',",18
"'digital',",18
"'year',",18
"'pawankalyan',",17
"'oct',",17
"'jan',",17
"'prominent',",17
"'studios',",17
"'mumbai',",17
"'fri',",17
"'set',",17
"'pvr',",17
"'entertainment',",16
"'weekend',",16
"'anniversary',",16
"'maker',",16
"['prabhas',",16
"['akshay',",16
"'marathi',",16
"'australia',",16
"'second',",16
"'pooja',",16
"['laxmii',",15
"'development',",15
"['film',",15
"'list',",15
"'april',",15
'cinema'],15
"['mybmc',",15
"'major',",15
'nov'],14
"'confirm',",14
"'indian',",14
"['amitabh',",14
"'share',",14
"'reunite',",14
"'amazon',",14
"'action',",14
"'open',",14
"'starrer',",14
"'turn',",14
"'motion',",14
"'covid',",14
"'make',",14
"'drama',",13
"['important',",13
"'time',",13
"'malayalam',",13
"'vakeelsaab',",13
"'lead',",13
"'chehre',",13
"'story',",13
"'krishan',",13
"'update',",13
"'kalyan',",13
"'theatrical',",13
"'feb',",13
"'pan-#india',",13
"'multiplex',",13
"'international',",13
"'radheshyam',",12
"'warnerbros',",12
"'bo',",12
"'comedy',",12
'fi'],12
"'series',",12
"'await',",12
"'zee',",12
"'dec',",12
"'diwali',",12
"'devgn',",12
"'emraan',",12
"'bellbottom',",12
"'remake',",12
'title'],11
"'arjun',",11
"'adipurush',",11
'direct'],11
"'mark',",11
"'master',",11
"'resume',",11
"'firstlook',",11
"'aliabhatt',",11
"'babu',",11
"'radhe',",11
"'thalaivi',",11
'produce'],11
"'mon',",11
"'kgf',",11
"'mahurat',",11
"'language',",11
"'july',",11
"['pawan',",11
"'amitabhbachchan',",11
"'nz',",11
"'head',",11
'poster'],11
"'pm',",10
"'would',",10
"'association',",10
"'sequel',",10
"['major',",10
"'present',",10
"'rating',",10
"'ranadaggubati',",10
"'house',",10
"'yrf',",10
"'rajkummarrao',",10
"'bilingual',",10
"['onewordreview',",10
"'wait',",10
"'sai',",10
"'vijaysethupathi',",10
"'despite',",10
"'reopen',",10
'oct'],10
"'feature',",10
"['roohi',",10
"['title',",10
"['godzillavskong',",10
"'ajaydevgn',",10
"'tigershroff',",10
"'pallavi',",10
"'khan',",9
'akshaykumar'],9
"'sport',",9
"['mumbaisaga',",9
"'issue',",9
"'advani',",9
"'pushpa',",9
"'ajay',",9
"'coolieno',",9
'c'],9
"'drishyam',",9
"'role',",9
"'vijay',",9
"'christmas',",9
"'punjabi',",9
"'hold',",9
"'satyamevajayate',",9
"'end',",9
"'pathak',",9
"'minister',",9
"'legendary',",9
"'song',",9
"'thu',",9
"'lovestory',",9
"'overseas',",9
"'birth',",9
'b'],9
"'get',",9
"'sit',",9
"'fj',",9
"'week',",9
"'sun',",9
"'good',",9
"['shoot',",9
"'vaccination',",9
"'biopic',",9
"'ram',",9
"'rrrmovie',",9
"'reddy',",9
"'shetty',",9
"'love',",9
"'sept',",8
"'nani',",8
'march'],8
"'single',",8
"'hegde',",8
"'theatre',",8
"['nani',",8
"'award',",8
"'bhootpolice',",8
'costar'],8
'aug'],8
"'tue',",8
"'disneyplushotstar',",8
"'taapseepannu',",8
"['news',",8
"['authackeray',",8
"'shooting',",8
"'newzealand',",8
"'abhishek',",8
"'entertainer',",8
"'khurrana',",8
"'ji',",8
"'slate',",8
"'sign',",8
'shoot'],8
"'ayushmannkhurrana',",8
"['filming',",8
"['confirm',",8
"'jrntr',",8
"'mahasamudram',",8
"'mumbaisaga',",8
"'bali',",8
"'kgfchapter',",8
"'location',",8
"'ghosh',",8
"'poojahegde',",8
"'friday',",8
"'adityaroykapur',",7
"'work',",7
"'gangubaikathiawadi',",7
"'sanjaydutt',",7
"'franchise',",7
"'meet',",7
"'rao',",7
"'arjunkapoor',",7
"'lucknow',",7
"'johnabraham',",7
"'jio',",7
'telugu'],7
"'life',",7
"'daggubati',",7
"'kannada',",7
"'roy',",7
"'entire',",7
"'lakh',",7
"'market',",7
"'r',",7
"'pictures',",7
"['naga',",7
"['arrive',",7
"'raviteja',",7
"'world',",7
"'shroff',",7
"'om',",7
"'heropanti',",7
"'short',",7
"'platform',",7
"'kritisanon',",7
"'enact',",7
"'vaanikapoor',",7
"'yash',",7
"'extend',",7
"'ramsetu',",7
"'nagashaurya',",7
"'red',",7
'today'],7
"'laxmii',",7
"'rom',",7
"'malhotra',",7
"'check',",7
"['taapsee',",7
"['kangana',",7
"'forthcoming',",7
"'wish',",7
"'hugely',",7
"'preet',",6
"'book',",6
"'kriti',",6
"'singh',",6
"'ramcharan',",6
"'sajidnadiadwala',",6
"'toofaan',",6
"'festival',",6
"'auspicious',",6
"'partner',",6
"'pandey',",6
'unveil'],6
"'chaitanya',",6
"'krish',",6
"'jersey',",6
"'essay',",6
"'busan',",6
"'till',",6
"'akhtar',",6
"'roohi',",6
"'saifalikhan',",6
"'sony',",6
"['master',",6
"'statement',",6
"['wait',",6
"'capacity',",6
"'actor',",6
"'sarkaruvaaripaata',",6
"['tiger',",6
"'premieres',",6
"'maharashtra',",6
"'richachadha',",6
"'composer',",6
"'english',",6
"'salmankhan',",6
"'srk',",6
"'monday',",6
"'collaboration',",6
"['ayushmann',",6
"'ishaankhatter',",6
'july'],6
"['premiere',",6
"['xclusiv',",6
"'sadak',",6
"'studio',",6
"'abhishekbachchan',",6
'india'],6
"'raj',",6
"'clash',",6
'sta'],6
"'reliance',",6
"'ananyapanday',",6
"'celebrate',",6
"['kgf',",6
'johnabraham'],6
"'adaptation',",6
"'pandemic',",6
"'win',",6
"'shri',",6
"'sooryavanshi',",6
"'khaalipeeli',",6
"['motion',",6
"'laxmmibomb',",6
"'khiladi',",6
"'indookijawani',",6
"'parineetichopra',",6
"['vijay',",6
"'occasion',",6
"'kanganaranaut',",6
"'multiple',",6
"'directorial',",6
"['john',",6
"'usa',",6
"'emraanhashmi',",6
"['cinema',",6
"'bhatt',",6
"'-day',",6
"'son',",6
"'eye',",6
"'d',",6
"'godzillavskong',",6
"'johar',",6
"['ajay',",6
"'siddharth',",6
"'tadap',",6
'comscore'],6
"'opposite',",6
"'teja',",6
"'com',",6
'th'],5
"'akhilakkineni',",5
"'extended',",5
"'adivisesh',",5
"'face',",5
"'mosteligiblebachelor',",5
"'mangat',",5
"'malik',",5
"['ar',",5
"'important',",5
"'abraham',",5
"'biz',",5
"'number',",5
"'character',",5
"'dilbechara',",5
"'million',",5
"'dhanush',",5
"'opening',",5
"'ddlj',",5
"'keenly',",5
"'yamigautam',",5
"'ott',",5
"'distribution',",5
"'sharwanand',",5
"'appoint',",5
"'ranveersingh',",5
"'independence',",5
"'war',",5
"'come',",5
"'svf',",5
"'base',",5
"'aug',",5
"'tara',",5
"'positive',",5
"'l',",5
"'thursday',",5
'starring'],5
"['glimpse',",5
"'centre',",5
"'salaar',",5
'premiere'],5
'prabhas'],5
"['sharwanand',",5
"'biggie',",5
"'inox',",5
"'kiaraadvani',",5
"['set',",5
"['haathimeresaathi',",5
"'venture',",5
"'pankajtripathi',",5
"'request',",5
"'acquire',",5
"'madhurbhandarkar',",5
"'chhalaang',",5
"'bhumipednekar',",5
"'bhandarkar',",5
"['rrr',",5
"['mahesh',",5
"'ssrajamouli',",5
"'ntr',",5
'ayushmannkhurrana'],5
"['finally',",5
"'rohitshetty',",5
"'simultaneously',",5
"'dhaakad',",5
"'nithiin',",5
"'bachchanpandey',",5
"'ganapath',",5
"'bhagnani',",5
"'case',",5
"'filmmaker',",5
"'mass',",5
"'door',",5
"'jackieshroff',",5
"['allu',",5
"['ravi',",5
"'mgr',",5
"'seating',",5
"'medium',",5
"'mumbaikar',",5
"'sharma',",5
"'haathimeresaathi',",5
"'alluaravind',",5
"['adipurush',",5
"'pen',",5
"'tenet',",5
"'portray',",5
"'kapur',",5
"'industry',",5
"'sunielshetty',",5
"'thefilm',",5
"'south',",5
"'n',",5
"'krithi',",5
"'drive',",5
"'rashmika',",5
'r'],5
"'sanon',",5
"'anand',",5
"'nawazuddinsiddiqui',",5
"'pair',",5
"'fiji',",5
"'suresh',",5
"'label',",5
"['premieres',",5
"'spy',",5
"'randeephooda',",4
"'ghani',",4
"'return',",4
