,lemmas
"'trump',",145
"'biden',",91
"'president',",78
"['thatericalper',",74
"'joebiden',",71
"['joebiden',",50
"'not',",47
"'vote',",46
"'new',",44
"'go',",42
"'say',",42
"'joe',",42
"'know',",35
"'nh',",33
"'like',",31
"'time',",30
"'donald',",30
"['mrwaltershapiro',",29
"'great',",26
"'year',",26
"'election',",24
"'state',",24
"'house',",23
"'people',",22
"'campaign',",22
"'court',",22
"['loneillnh',",22
"'country',",22
"'think',",21
"'good',",21
"'day',",21
"['beschlossdc',",20
"'today',",20
"'need',",20
'biden'],19
"'voter',",19
"'supreme',",19
"'ask',",19
"'get',",19
"'want',",18
"'americans',",18
"'white',",17
"'s',",17
"'american',",16
"'right',",16
"'covid-',",16
"'tell',",16
"'pay',",15
"'big',",15
"'let',",15
"'republicans',",15
'joebiden'],14
"['emmaeriley',",14
"'test',",14
"'thing',",14
"['cc',",14
"'run',",14
"'drbiden',",14
"'bob',",14
"'ballot',",14
"'mask',",13
'nhpolitic'],13
"['greghale',",13
"['projectlincoln',",13
"['jeneps',",13
"'bad',",13
"'way',",13
"'million',",13
"'come',",12
"'law',",12
"['joycewhitevance',",12
"'thank',",12
"'history',",12
"'watch',",12
"'line',",12
"'senator',",12
'dylan'],12
"'love',",12
"'remember',",12
'trump'],12
"'potus',",12
"'judge',",12
"'month',",11
"'call',",11
"'sign',",11
"['mikememoli',",11
"'hampshire',",11
"'barrett',",11
"'life',",11
"'work',",11
"'dr',",11
"'john',",11
"'live',",11
"'break',",10
"'elect',",10
"'talk',",10
"'nhpolitic',",10
"'man',",10
"'be',",10
"'wear',",10
"'granite',",10
"'kamalaharris',",10
"'have',",10
"'hear',",10
"'america',",10
"'win',",10
"'senate',",9
'fitn'],9
"'health',",9
"'try',",9
"'covid',",9
"'tonight',",9
"'well',",9
"'republican',",9
"'matter',",9
"'town',",9
"'woman',",9
"'family',",9
"'jill',",9
"'bill',",9
"'look',",9
"'thatericalper',",9
"'amy',",9
"['amandawgolden',",9
"'justice',",9
'th'],8
'year'],8
"'majority',",8
"'january',",8
"'endorsement',",8
"'point',",8
"'wait',",8
"'support',",8
"'speak',",8
"'see',",8
"'leader',",8
"'administration',",8
"'news',",8
"'happen',",8
"'job',",8
"'realdonaldtrump',",8
"'lose',",8
"'answer',",8
"'red',",8
"'honor',",8
"'question',",8
"'united',",8
"'yes',",8
"'week',",8
"['nhkathysullivan',",8
"'hillary',",8
"'guy',",8
"'cc',",8
"'doctor',",8
"'person',",8
"'mcconnell',",8
"'take',",8
'vote'],7
"'far',",7
"'fire',",7
"'follow',",7
"'happy',",7
"'debate',",7
[],7
"'jackie',",7
"'believe',",7
"'states',",7
"['willrasky',",7
"'cnn',",7
"'long',",7
"['deanbarker',",7
"'meet',",7
"'plan',",7
'president'],7
"['clairecmc',",7
"'cruz',",7
"'help',",7
"'ago',",7
"'visit',",7
"'proud',",7
"'party',",7
"'nearly',",7
"'maybe',",7
"['mattboxer',",7
"'lie',",7
"['polguru',",7
"'write',",7
"'clear',",7
"'public',",7
"'lead',",7
"'th',",7
"'dylan',",7
"'result',",7
"'fact',",7
"'coney',",7
"'home',",7
"'nixon',",7
"'shut',",7
"'important',",7
"['hctrudo',",7
"'stand',",7
"['funder',",7
"'include',",6
"'ready',",6
"'trust',",6
"'bring',",6
"'leadership',",6
"'service',",6
"'presidential',",6
"'garden',",6
"'use',",6
"'government',",6
'good'],6
"'gop',",6
"'make',",6
"'reason',",6
"'clinton',",6
"'forget',",6
"'democrats',",6
'say'],6
"'pa',",6
"'political',",6
"'pass',",6
"'poll',",6
"'cover',",6
"'confirm',",6
"['drbiden',",6
"'bet',",6
"['drewhampshire',",6
'b'],6
"'office',",6
"'close',",6
"'check',",6
"'morning',",6
"'pennsylvania',",6
"['chrisdjackson',",6
"'bidens',",6
"'supporter',",6
"'issue',",6
"'leave',",6
'like'],6
"'welcome',",6
"'die',",6
"'second',",6
"'hall',",6
"'mitch',",6
"'message',",6
"'mail',",6
"'primary',",6
"'song',",6
"'hope',",6
"['paulbegala',",6
"'candidate',",6
"'event',",6
"'return',",6
"['amyklobuchar',",6
"'vaccine',",6
"['jmpalmieri',",6
"'fail',",6
"'hand',",5
"'nee',",5
"'report',",5
"'fill',",5
"'true',",5
"'owe',",5
"['thehill',",5
"'course',",5
"['mviser',",5
"'pretty',",5
"'failure',",5
"'congrats',",5
'ad'],5
"'turn',",5
"'lot',",5
"'soon',",5
"'start',",5
