,lemmas
"['thr',",318
"'game',",207
"'video',",87
"'new',",71
"['pshanley',",68
"'thr',",64
"'thank',",51
"'year',",43
"'story',",42
"'games',",37
"'gaming',",37
"'film',",37
"'chat',",35
'game'],34
"'developer',",34
"'trilbyberesford',",33
"'good',",32
"'director',",31
"'play',",30
"'unveil',",30
"'interview',",30
"'launch',",29
"'time',",29
"'series',",29
"'week',",29
"'speak',",29
"'know',",28
"'today',",28
"['great',",27
"'be',",27
"['aaroncouch',",27
"['shararehdrury',",26
"'great',",26
"'reveal',",25
"'late',",25
"'twitch',",24
"'come',",24
"'get',",24
"'go',",24
"'star',",24
"'work',",24
"'news',",23
"'movie',",22
"'studio',",22
"'gamer',",22
"'report',",22
"'company',",22
"'release',",21
"'heatvisionblog',",21
"'morning',",20
"'live',",20
"'like',",20
"'creator',",20
"'think',",19
"'feature',",19
"'not',",18
"'title',",18
"'team',",18
"'award',",18
"['lexyjperez',",18
"'take',",17
"'look',",17
"'share',",17
"'newsletter',",17
"'day',",17
"'world',",17
"['news',",16
"'set',",16
"'upcoming',",16
"'independent',",15
"['shannonoconnor',",15
"'sign',",15
"'wife',",15
"'tv',",15
"'read',",15
"'fun',",15
"'happy',",15
"'people',",14
"'talk',",14
"'have',",14
"'co',",14
"'pleasure',",14
"'actor',",14
"'write',",13
"'nintendo',",13
"'trailer',",13
"'thursday',",13
"'ubisoft',",13
"'streamer',",13
"'entertainment',",13
"'second',",13
"'esports',",13
"'friday',",13
"'exclusive',",13
"'cyberpunk',",13
"'indie',",13
"'love',",12
"'digital',",12
"'coronavirus',",12
"'exec',",12
"'night',",12
"['glad',",12
"'annual',",12
"'want',",12
"'big',",12
"'feel',",12
"'find',",12
"'action',",12
"'mobile',",12
"'friend',",12
"'watch',",11
"'party',",11
"['speak',",11
"'join',",11
"'art',",11
"'player',",11
"'animal',",11
"'switch',",11
"'s',",11
"'event',",11
"'fortnite',",11
"'follow',",11
"'base',",10
"'drop',",10
"'tweet',",10
"'lexyjperez',",10
"'honor',",10
"'book',",10
"'th',",10
"'michael',",10
"'million',",10
"'virtual',",10
"'start',",10
"'project',",10
"'post',",10
"'create',",10
"'lgbtq',",10
"'debut',",9
"'nice',",9
"'horror',",9
"'announce',",9
"'congrats',",9
"'content',",9
"'podcast',",9
"'add',",9
"'dad',",9
"'deal',",9
"'continue',",9
"'death',",9
"'amid',",9
"'definitely',",9
"'include',",9
"'yes',",9
"'favorite',",9
"'hollywood',",9
"'acquire',",9
"'place',",8
'platform'],8
"['chat',",8
"'glad',",8
"'partner',",8
"'microsoft',",8
'read'],8
"'red',",8
"'piece',",8
"'number',",8
"'issue',",8
"'free',",8
"'ceo',",8
"'adventure',",8
"'ii',",8
"'scoop',",8
"'thegameawards',",8
"'lead',",8
"'hit',",8
"'partnership',",8
"'program',",8
"'role',",8
"'electronic',",8
"'short',",8
"'medium',",8
"'platform',",8
"'pandemic',",8
"'australian',",8
"'try',",8
"'season',",8
"'e',",8
"'wait',",7
"'organization',",7
"'brilliant',",7
"'cover',",7
"['game',",7
"'need',",7
"'article',",7
"'thing',",7
"'league',",7
"'industry',",7
"['theryanparker',",7
"'right',",7
"'open',",7
"'thanks',",7
"['independent',",7
"'old',",7
"'list',",7
"'media',",7
"'group',",7
"['thrill',",7
"'epic',",7
"'sell',",7
"'crossing',",7
"'music',",7
"['get',",7
"'see',",7
"'let',",7
"'shooter',",7
"'host',",7
"'slate',",7
'today'],7
"'xbox',",7
"'celebrate',",7
"'develop',",7
"'excite',",7
"'sony',",7
"'original',",7
"['richardlnewby',",7
"'james',",7
'time'],7
'news'],7
"'date',",7
"'talent',",7
"'console',",7
'thr'],7
"['happy',",7
"'zynga',",7
"['heres',",7
"'reality',",7
"'call',",7
"'person',",7
"'publisher',",7
"['amid',",7
"'woman',",7
"'win',",6
"'special',",6
"'netflix',",6
