,lemmas
"'film',",258
"['dilanir',",126
"'viewfinderfc',",114
"'dilanir',",112
"'vfc',",102
"'good',",99
"'wish',",82
"'short',",77
"'thank',",77
"'new',",70
"'award',",67
"'happy',",67
"['vfc',",58
"'tamil',",57
"'toronto',",49
"'festival',",49
"'irsff',",47
"'iwasnotreadyda',",45
"['thank',",44
"'year',",44
"'win',",42
"'proud',",41
"'video',",41
"'check',",41
"'merkuthodarchimalai',",40
"'pm',",39
"'release',",39
"'team',",37
"'watch',",37
"'today',",37
"'aravindsa',",37
"'tolet',",36
"'announce',",36
"'silasamayangalil',",36
"'director',",35
"'come',",35
"'vfchannel',",34
"'ready',",31
"'look',",30
"'direct',",29
"'woman',",29
"'time',",29
"'great',",29
"'news',",28
"'feature',",28
"'international',",28
"'day',",27
"'work',",27
"'announcement',",26
"'aravindsas',",26
"'congrats',",25
"'south',",24
"'movie',",24
"'get',",24
"'excited',",24
"['happy',",24
"'play',",23
"'represent',",23
"'special',",23
"['cinemapayyan',",23
"'th',",23
"'love',",23
"'birthday',",23
"'world',",22
"'nyindianff',",22
"'indian',",22
"'support',",22
"'story',",22
"'cinema',",21
"['heres',",21
"'sivaranjani',",21
"'netflix',",20
"'late',",20
"'congratulation',",20
"'tomorrow',",19
"'like',",19
"'adilhussain',",19
'vfc'],19
"'ist',",19
"'star',",18
"'ticket',",18
"'canadian',",18
"'canada',",18
"'see',",18
"'interview',",18
"'let',",18
"'big',",18
"'lakshmipriyaac',",18
"'go',",17
"'wait',",17
"'fund',",17
"'not',",16
"'grab',",16
"'talented',",16
'viewfinderfc'],16
"'orukidayinkarunaimanu',",16
"'luck',",16
"'premiere',",15
'thank'],15
"'start',",15
"'leninbharathi',",15
"'rchezhi',",15
"'know',",15
"'competition',",15
"['viewfinderfc',",15
'dilanir'],15
'film'],15
"'winner',",14
'vfcpresentsirsff'],14
'announcement'],14
"'chance',",14
"'take',",14
"'aka',",14
"'give',",14
"'s',",13
"'vfcturns',",13
"['check',",13
"'talk',",13
"'asian',",13
"['rameshlaus',",13
"'st',",13
"'honor',",13
"'application',",13
"'theetu',",13
"'sir',",13
"'submission',",13
"'sarjun',",13
"'bring',",13
"'filmmaker',",13
"'think',",12
"'montreal',",12
"'heres',",12
"'mention',",12
"'production',",12
"'page',",12
"'india',",12
"'hope',",12
"'ahead',",12
"'dir',",12
"'producer',",12
"'national',",12
"'amazing',",12
"'screen',",12
"'performance',",12
"'reppe',",12
"'share',",12
"'audience',",12
"'detail',",12
"'founder',",11
"'fukuoka',",11
"['rebeccapamela',",11
"'untouchability',",11
"['mahe',",11
"'make',",11
"'prakashraaj',",11
"'actor',",11
"'leave',",11
"'japan',",11
"'chennai',",11
"'sure',",11
"'man',",11
"'vasanthssai',",11
"'sigai',",10
"'week',",10
'today'],10
"'travel',",10
"'strong',",10
"'bag',",10
"'idea',",10
"'vasanth',",10
"'vfcs',",10
"'lot',",10
"'priyadarshandir',",10
"'script',",10
"'boss',",10
"'lakshmi',",10
"'cinemapayyan',",10
"'close',",10
"'cad',",10
'irsff'],10
"'forward',",10
"'leninbharathis',",10
"'sell',",10
"'deadline',",10
"'best',",9
"['exciting',",9
"'original',",9
"'fantastic',",9
"'tune',",9
"'send',",9
"'enjoy',",9
"'open',",9
"'jury',",9
"'excite',",9
"'stay',",9
"'awareness',",9
"'kind',",9
"'soon',",9
"'unlock',",9
'f'],9
"'guess',",9
"'brand',",8
"'ajith',",8
"'nd',",8
"'constant',",8
"'place',",8
"'nationalawards',",8
"['look',",8
"'continue',",8
"'select',",8
"'vspproductions',",8
"'edition',",8
"'tour',",8
"'help',",8
"'malayalam',",8
'support'],8
"'medium',",8
"'ah',",8
"'writer',",8
"'trailer',",8
"'feel',",8
"'person',",8
"'month',",8
"'fan',",8
"'social',",8
"'sila',",8
"'ashokselvan',",8
"'journey',",8
"'exciting',",8
'happy'],8
"'receive',",8
"'darshin',",8
"'mark',",8
"['congrats',",8
"['hour',",8
"'submit',",8
"'vijaysethuoffl',",8
"'produce',",8
"'read',",7
"'episode',",7
"'instagram',",7
"'want',",7
"'youtube',",7
"'write',",7
"'list',",7
"'intl',",7
"'head',",7
'festival'],7
"'welcome',",7
"['vidtweetshere',",7
"'vijaysethupathi',",7
"'alert',",7
"'october',",7
"'sunday',",7
"'sreekarprasad',",7
"'iyackuddy',",7
"'available',",7
"['thrill',",7
"'da',",7
"'debut',",7
"'consult',",7
"'mother',",7
"'fest',",7
"['lakshmipriyaac',",7
"'night',",7
'ticket'],7
"'prakasan',",7
"'thala',",7
"'rabindran',",7
"'life',",7
"'present',",7
"'hour',",7
"'est',",7
"'super',",7
"'rameshlaus',",7
"'review',",7
"'thrill',",7
"'prize',",7
"['proud',",7
"'beautiful',",7
"'update',",7
"'wonderful',",6
"'talent',",6
'watch'],6
"'chat',",6
"'netflixindia',",6
"'visit',",6
"'end',",6
"'aids',",6
"'maker',",6
"'change',",6
"['trendinghyper',",6
"'lmkmoviemaniac',",6
"'santoshh',",6
"'long',",6
"'stellar',",6
"'rep',",6
"['today',",6
"'screening',",6
"'dilani',",6
"['arianoarun',",6
"['day',",6
'c'],6
'wish'],6
"'viewfinder',",6
"'bold',",6
['minute'],6
