,lemmas
"'oxygen',",70
"'manojmridul',",67
"'utkarshrajput',",62
"'manmundra',",61
[],60
"'patient',",59
'look'],59
"'need',",57
"'help',",55
"'shalabhmani',",49
"'thank',",48
"'hospital',",46
"'urgent',",45
"'bed',",43
"'look',",41
"'sonusood',",39
'help'],36
"'ekaurcrush',",36
"'covid',",35
"'aadhaar',",35
"'sudhasharma',",35
"'sumanghosh',",34
'okay'],34
"'bhai',",33
'dm'],32
"'good',",30
"'vineetkumars',",29
"['manmundra',",29
"'drkumarvishwas',",29
'bhai'],29
"'delhi',",28
"'trailer',",28
"'age',",27
"'jiostudios',",27
"['manojmridul',",26
"'open',",26
"'plasma',",24
"'bajpayeemanoj',",24
"'friend',",23
"'srinivasiyc',",23
"'hai',",23
"'level',",23
"'drishyamfilms',",22
"'imsanjaimishra',",22
"'ventilator',",21
"'myogiadityanath',",21
"'icu',",21
'utkarshrajput'],21
"'theadityakumar',",21
"['utkarshrajput',",20
"'varungrover',",18
"'pranavmatraapps',",18
"'year',",17
"'dmvaranasi',",17
"'saurabhshuklas',",17
"'sir',",17
"'admit',",17
"'congratulation',",17
"'father',",17
"'urgently',",17
'thank'],16
"'send',",16
"'check',",16
"'setwickk',",16
"'require',",16
'manojmridul'],15
"'awwwnchal',",15
"'ishashishekhar',",15
"'dm',",15
"'patna',",15
"'requirement',",15
"'tripathiipankaj',",15
"'pls',",14
'detail'],14
"'dramedy',",14
"'tweet',",13
"['pranavmatraapps',",13
"'detail',",13
"'india',",13
"'ravikishann',",13
"'film',",13
"'mohini',",13
"'contact',",13
"'okay',",13
"'social',",13
"'place',",12
'hun'],12
"'yogitabhayana',",11
"'drishyamfilm',",11
"'wish',",11
"'varanasi',",11
"'iamsudhirmishra',",11
"'pmoindia',",11
"'arunabhkumar',",11
"'cylinder',",11
"'uttarpradesh',",10
"'positive',",10
"'bindaasudit',",10
"'case',",10
"'present',",10
"'sos',",10
"'ji',",10
"'love',",10
"['varungrover',",10
'urgent'],10
"'officeofdkv',",10
"'follow',",10
"'tajinderbagga',",9
"'award',",9
"'family',",9
'try'],9
"['bajpayeemanoj',",9
"'ke',",9
"'number',",9
'sir'],9
"'critical',",9
"'ki',",9
"'shreedha',",8
'contact'],8
"'dmed',",8
"'satishbharadwaj',",8
"'sabse',",8
"'nirupamakotru',",8
"'aur',",8
"'concentrator',",8
"'vineetkumar',",8
"'bollywoodirect',",8
"['ekaurcrush',",8
"'dilipkpandey',",8
"'share',",8
"'rubikaliyaquat',",8
"'remdesivir',",8
"['goyatneeraj',",8
"'forward',",8
"'narendramodi',",8
"'get',",8
"'injection',",7
"'mukkabaaz',",7
"'gautamgambhir',",7
"'ka',",7
"'bhumipednekar',",7
"'ho',",7
"'delete',",7
"['mehtahansal',",7
"'lucknow',",7
"'dekho',",7
['manmundra'],7
"'happy',",7
"'se',",7
"['bollywoodirect',",7
"'mehtahansal',",7
"['shivams',",7
"'watch',",7
"'banaraske',",7
'oxygen'],7
"'win',",7
"'karta',",7
"'shantanumoitra',",7
"'verify',",7
'u'],7
'varungrover'],6
"'toonfactory',",6
"['shreedha',",6
"'noida',",6
'check'],6
"'raha',",6
"'old',",6
"['tripathiipankaj',",6
"'group',",6
'theadityakumar'],6
"'hi',",6
"'resulp',",6
"['toonfactory',",6
"'hemantsorenjmm',",6
"'mere',",6
"['yashginoya',",6
"'team',",6
"'patrohit',",6
"'singh',",6
"'rajputramesh',",6
"'people',",6
"'mother',",6
"'blood',",6
"'request',",6
"'give',",6
'manmundra'],6
"'mein',",6
"'hamara',",6
"'condition',",6
"'pankajsinghbjp',",6
"'iamnarendranath',",6
'mohini'],6
"'find',",6
'good'],6
"['mohini',",6
"['abhgaurr',",6
"'available',",6
'sumanghosh'],6
'saurabhshuklas'],6
"'inditripper',",6
"'kya',",5
"'dear',",5
"'oxygencylinder',",5
"'richachadha',",5
"'garbagebingags',",5
"'not',",5
"'come',",5
"'namratajoshi',",5
"'support',",5
"['pratyus',",5
"'suparn',",5
'tweet'],5
"'kagtireema',",5
'p'],5
"'try',",5
"['gvicks',",5
"'let',",5
"'donate',",5
"'dceastsinghbhum',",5
"['yogitabhayana',",5
"'kapilmishraind',",5
"'update',",5
"'celebrate',",5
'varanasi'],5
"'lot',",5
"['arunabhkumar',",5
'vineetkumars'],5
"'nnair',",5
'sudhasharma'],5
'follow'],5
"'gupta',",5
"'donor',",5
"'soon',",5
"['baxiabhishek',",5
"'nirajthesingh',",5
"'bannagupta',",5
"['atharvrajpanday',",5
"'star',",5
"'attendant',",5
'shalabhmani'],5
"'date',",5
"'work',",5
"['cypplofficial',",5
'ishashishekhar'],5
"'zyhssn',",5
"'main',",5
"'suita',",5
"'emergency',",5
"'thelallantop',",5
"'hospitalisation',",5
"'office',",4
"'ufomoviez',",4
'dmvaranasi'],4
"'mumbai',",4
'hosp'],4
"'pl',",4
"'life',",4
"'spo',",4
'h'],4
"'bloodsevaindia',",4
"'baat',",4
'c'],4
"'raghavguptaaa',",4
